,address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
778,108 West 24th Street,,,True,4,+1 212-414-1000,4.20,2376,New York
779,11 East 31st Street,,,True,4,+1 212-806-7000,4.20,1740,New York
780,11 Howard Street,,,True,4,+1 212-235-1111,4.20,2400,New York
781,"1100 South Avenue, Staten Island",,,True,4,+1 718-477-2400,4.20,1104,New York
782,"111 North 12th Street, Brooklyn",,,True,4,+1 718-631-8400,4.20,2640,New York
783,"1120 South Avenue, Staten Island",,,True,4,+1 718-477-1600,4.20,3960,New York
784,114 East 32nd Street,,,True,4,+1 212-603-9000,4.20,3000,New York
785,1033 6th Avenue,2019-03-05,2019-03-09,True,4,+1 212-768-0007,4.20,1380,New York
786,10044 Pacific Mesa Boulevard,2019-03-05,2019-03-13,True,2,+1 858-597-0500,4.50,3360,San Diego
787,1 Silvertown Way,,,True,1,+44 20 7540 4040,3.90,648,London
788,1 Suffolk Place,,,True,1,+44 20 7470 4000,4.60,720,London
789,1 Waterview Drive,,,True,2,+44 20 8463 6868,4.60,3456,London
790,"1-15, Templeton Place",,,True,4,+44 20 7598 8700,4.40,4608,London
791,1 Baffin Way,2019-03-03,2019-03-13,True,4,+44 20 7517 1100,4.10,2640,London
792,"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",,,True,3,+61 2 9634 9634,3.80,624,Sydney
793,"1 Kensington Street, Chippendale New South Wales 2008, Australia",,,True,1,+61 2 8277 8277,3.80,840,Sydney
794,"1 Kingsway, Cronulla New South Wales 2230, Australia",,,True,2,+61 2 8536 3600,3.80,2912,Sydney
795,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,2,+61 2 9680 3800,3.80,1404,Sydney
796,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,3,+61 2 8425 0400,3.80,4992,Sydney
797,10 Byfield St Macquarie Park,,,True,2,+61 2 9428 9500,3.80,1512,Sydney
798,"100 Bayswater Road, Rushcutters Bay New South Wales 2011, Australia",,,True,1,+61 2 8353 8988,3.80,1144,Sydney
799,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,3,+61 2 9633 9898,3.80,1224,Sydney
800,"106 Hassall Street, Rosehill New South Wales 2142, Australia",,,True,2,+61 2 8836 1000,3.80,1240,Sydney
801,"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",,,True,1,+61 2 9634 9634,3.80,624,Sydney
802,"1 Kingsway, Cronulla New South Wales 2230, Australia",,,True,1,+61 2 8536 3600,3.80,2912,Sydney
803,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,1,+61 2 9680 3800,3.80,1404,Sydney
804,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,1,+61 2 8425 0400,3.80,4992,Sydney
805,10 Byfield St Macquarie Park,,,True,1,+61 2 9428 9500,3.80,1512,Sydney
806,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,1,+61 2 9633 9898,3.80,1224,Sydney
807,"106 Hassall Street, Rosehill New South Wales 2142, Australia",,,True,1,+61 2 8836 1000,3.80,1240,Sydney
808,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,1,+61 2 9680 3800,4.20,1404,Sydney
809,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,1,+61 2 8425 0400,4.20,4992,Sydney
810,10 Byfield St Macquarie Park,,,True,1,+61 2 9428 9500,4.20,1512,Sydney
811,11 Hickson Road Walsh Bay,,,True,1,+61 2 8298 9999,4.20,4032,Sydney
812,11 Jamison Street,,,True,1,+61 2 9696 2500,4.20,4400,Sydney
813,"110 Cumberland Street, The Rocks New South Wales 2000, Australia",,,True,1,+61 2 8272 0900,4.20,4896,Sydney
814,12 Darling Drive,,,True,1,+61 2 8388 8888,4.20,5850,Sydney
815,122 Victoria Street,,,True,1,+61 1300 525 442,4.20,1080,Sydney
816,"139 Murray Street, Pyrmont New South Wales 2009, Australia",,,True,1,+61 2 8586 1888,4.20,5808,Sydney
817,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",2019-03-02,2019-03-10,True,1,+61 2 9680 3800,4.20,552,Sydney
818,10044 Pacific Mesa Boulevard,2019-03-05,2019-03-13,True,5,+1 858-597-0500,4.50,3360,San Diego
819,1 Addington Street,2019-03-02,2019-03-13,True,3,+44 333 400 6116,4.30,2772,London
820,"1020, Jalan Sultan Ismail, 50250",,,True,1,+60 3-2168 1688,4.30,1800,Kuala Lumpur
821,"121, Jalan Ampang, Kuala Lumpur, 50450",,,True,1,+60 3-2786 8888,4.30,1520,Kuala Lumpur
822,"145, Jalan Ampang, 50450",,,True,1,+60 3-2382 8888,4.30,945,Kuala Lumpur
823,"165, Jalan Ampang, 50450 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2782 6000,4.30,875,Kuala Lumpur
824,"199, Jalan Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2731 8333,4.30,1200,Kuala Lumpur
825,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2113 1888,4.30,3850,Kuala Lumpur
826,"2, Jalan Stesen Sentral, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2263 7888,4.30,1520,Kuala Lumpur
827,"222, Jalan Ampang, 50450 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2720 3888,4.30,184,Kuala Lumpur
828,"25, Jalan Kamunting, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2038 0000,4.30,810,Kuala Lumpur
829,"7, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2778 0888,4.30,992,Kuala Lumpur
830,"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-9100 1133,3.10,336,Kuala Lumpur
831,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2298 1888,3.10,1890,Kuala Lumpur
832,"10, Jalan Binjai, Kuala Lumpur, 50450",,,True,1,+60 3-7490 3333,3.10,3900,Kuala Lumpur
833,"10, Jalan Tun Sambanthan, Brickfields, 50470",,,True,1,+60 3-2273 1222,3.10,360,Kuala Lumpur
834,"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,True,1,+60 3-2726 6788,3.10,2160,Kuala Lumpur
835,"1020, Jalan Sultan Ismail, 50250",,,True,1,+60 3-2168 1688,3.10,1800,Kuala Lumpur
836,"12, Jalan Raja Laut, Chow Kit, 50350",,,True,1,+60 3-2614 8000,3.10,540,Kuala Lumpur
837,"120, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2143 5000,3.10,1794,Kuala Lumpur
838,"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2603 1999,3.10,1820,Kuala Lumpur
839,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",2019-03-01,2019-03-08,True,1,+60 3-2298 1888,3.10,1890,Kuala Lumpur
840,12 Darling Drive,,,True,1,+61 2 8388 8888,4.60,5850,Sydney
841,"121 Baxter Road, Mascot New South Wales 2020, Australia",,,False,1,+61 2 8303 8888,4.60,1456,Sydney
842,122 Victoria Street,,,True,1,+61 1300 525 442,4.60,1080,Sydney
843,"139 Murray Street, Pyrmont New South Wales 2009, Australia",,,True,1,+61 2 8586 1888,4.60,5808,Sydney
844,300 Kent Street,,,True,1,+61 2 9052 7588,4.60,792,Sydney
845,35 Mountain Street,,,True,1,+61 2 8379 7880,4.60,1152,Sydney
846,"69 Bynya Road, Palm Beach New South Wales 2108, Australia",,,True,1,+61 2 9974 5599,4.60,480,Sydney
847,"7 Hickson Road, The Rocks New South Wales 2000, Australia",,,False,1,+61 2 9256 1234,4.60,7260,Sydney
848,"80 Arthur Street, North",,,True,1,+61 2 8319 9888,4.60,5600,Sydney
849,"80 Pyrmont Street, Pyrmont New South Wales 2009, Australia",,,True,1,+61 2 9777 9000,4.60,1080,Sydney
850,"121 Baxter Road, Mascot New South Wales 2020, Australia",2019-03-02,2019-03-09,False,1,+61 2 8303 8888,4.60,1064,Sydney
851,100 Greenwich Street,,,True,1,+1 917-409-0800,4.40,312,New York
852,102 West 57th Street,,,True,1,+1 212-379-0103,4.50,252,New York
853,"102-05 Ditmars Boulevard, East Elmhurst",,,True,1,+1 718-565-8900,3.90,3645,New York
854,"102-40 Ditmars Boulevard, East Elmhurst",,,True,1,+1 718-672-6600,4.10,1344,New York
855,"104-04 Ditmars Boulevard, East Elmhurst",,,True,1,+1 877-270-1412,4.00,1350,New York
856,11 East 31st Street,,,True,1,+1 212-806-7000,4.40,1944,New York
857,11 Howard Street,,,True,1,+1 212-235-1111,4.30,408,New York
858,"11-01 43rd Avenue, Long Island City",,,True,1,+1 212-319-7000,4.00,840,New York
859,102 West 57th Street,2019-03-01,2019-03-09,True,1,+1 212-379-0103,4.50,2016,New York
860,1000 Northeast Multnomah Street,,,True,4,+1 503-281-6111,4.20,2520,Portland
861,1150 Northwest 9th Avenue,,,True,2,+1 503-220-1339,4.50,1428,Portland
862,11550 Northeast Airport Way,,,True,3,+1 503-252-3200,4.20,936,Portland
863,11936 Northeast Glenn Widing Drive,,,True,2,+1 503-262-8888,4.40,576,Portland
864,12048 Northeast Airport Way,,,True,3,+1 503-255-8600,4.10,1800,Portland
865,12226 North Jantzen Drive,,,True,5,+1 503-283-3030,4.30,6045,Portland
866,1355 Southwest 2nd Avenue,,,True,5,+1 503-306-4800,4.40,480,Portland
867,1441 Northeast 2nd Avenue,,,True,5,+1 503-233-2401,4.20,1320,Portland
868,1455 Southwest Broadway,,,True,3,+1 503-334-2167,4.50,1035,Portland
869,102 West 57th Street,,,True,1,+1 212-379-0103,4.50,3888,New York
870,"102-05 Ditmars Boulevard, East Elmhurst",,,True,1,+1 718-565-8900,3.90,1863,New York
871,"102-40 Ditmars Boulevard, East Elmhurst",,,True,1,+1 718-672-6600,4.10,1296,New York
872,1033 6th Avenue,,,True,1,+1 212-768-0007,4.20,1386,New York
873,"104-04 Ditmars Boulevard, East Elmhurst",,,True,1,+1 877-270-1412,4.00,5280,New York
874,108 West 24th Street,,,True,1,+1 212-414-1000,4.20,3600,New York
875,"1080 Broadway, Brooklyn",,,False,1,+1 718-715-4850,4.00,2100,New York
876,101 Andrew Young International Boulevard Northwest,,,True,1,+1 404-524-5555,4.00,900,Atlanta
877,1065 Peachtree Street Northeast,,,True,4,+1 404-745-5000,4.00,3456,Atlanta
878,125 10th Street Northeast,,,False,3,+1 404-443-1234,4.00,4620,Atlanta
879,1414 West Peachtree Street Northwest,,,True,4,+1 404-685-1677,4.00,736,Atlanta
880,160 Ted Turner Drive Northwest,,,True,3,+1 404-688-8600,4.00,4212,Atlanta
881,161 Ted Turner Drive Northwest,,,True,2,+1 404-589-1111,4.00,126,Atlanta
882,165 Courtland Street Northeast,,,True,5,+1 404-659-6500,4.00,7200,Atlanta
883,186 Northside Drive Southwest,,,False,3,+1 404-893-4663,4.00,276,Atlanta
884,188 14th Street Northeast,,,True,3,+1 404-892-6000,4.00,672,Atlanta
885,23 Linden Avenue Northwest,,,True,4,+1 404-877-9495,4.00,1596,Atlanta
886,1065 Peachtree Street Northeast,,,True,1,+1 404-745-5000,4.00,3456,Atlanta
887,1414 West Peachtree Street Northwest,,,True,1,+1 404-685-1677,4.00,736,Atlanta
888,160 Ted Turner Drive Northwest,,,True,1,+1 404-688-8600,4.00,4212,Atlanta
889,161 Ted Turner Drive Northwest,,,True,1,+1 404-589-1111,4.00,126,Atlanta
890,165 Courtland Street Northeast,,,True,1,+1 404-659-6500,4.00,7200,Atlanta
891,188 14th Street Northeast,,,True,1,+1 404-892-6000,4.00,672,Atlanta
892,23 Linden Avenue Northwest,,,True,1,+1 404-877-9495,4.00,1596,Atlanta
893,230 Peachtree Street,,,True,1,+1 404-523-7600,4.00,972,Atlanta
894,1414 West Peachtree Street Northwest,2019-03-08,2019-03-12,True,1,+1 404-685-1677,4.00,320,Atlanta
895,1 South Franklin Street,,,False,2,+1 312-558-1020,4.10,1254,Chicago
896,1 West Wacker Drive,,,True,4,+1 800-468-3571,4.10,3472,Chicago
897,10 East Grand Avenue,,,True,3,+1 312-595-0000,4.10,576,Chicago
898,100 West Monroe Street,,,True,3,+1 312-236-1234,4.10,2856,Chicago
899,1118 North State Street,,,True,4,+1 888-712-2712,4.10,1440,Chicago
900,113-125 North Green Street,,,True,2,+1 312-521-8000,4.10,572,Chicago
901,116 North Jefferson Street,,,True,4,+1 312-648-0000,4.10,2600,Chicago
902,12 South Michigan Avenue,,,True,3,+1 312-940-3552,4.10,4320,Chicago
903,1209 West Albion Avenue,,,True,5,+1 312-265-5800,4.10,5265,Chicago
904,1 South Franklin Street,2019-03-02,2019-03-13,False,1,+1 312-558-1020,4.10,1254,Chicago
905,"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",2019-03-03,2019-03-07,True,1,+1 718-512-0248,4.20,396,New York
906,1095 Market Street,,,True,3,+1 415-829-0000,3.60,1764,San Francisco
907,"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,True,2,+1 415-735-7777,3.60,1980,San Francisco
908,111 Mason Street,,,True,3,+1 415-771-1200,3.60,810,San Francisco
909,12 4th Street,,,True,4,+1 415-348-1111,3.60,3024,San Francisco
910,"1206, 155 Steuart Street",,,True,5,+1 415-495-2100,3.60,5040,San Francisco
911,138 King Street,,,True,1,+1 415-200-4977,3.60,1092,San Francisco
912,1800 Sutter Street,,,True,5,+1 888-822-8666,3.60,3645,San Francisco
913,2095 Lombard Street,,,False,5,+1 415-563-5600,3.60,2400,San Francisco
914,2222 Market Street,,,True,4,+1 415-621-8212,3.60,696,San Francisco
915,2237 Mason Street,,,True,4,+1 800-352-7366,3.60,660,San Francisco
916,1095 Market Street,,,True,2,+1 415-829-0000,3.60,1764,San Francisco
917,111 Mason Street,,,True,2,+1 415-771-1200,3.60,810,San Francisco
918,12 4th Street,,,True,2,+1 415-348-1111,3.60,3024,San Francisco
919,"1206, 155 Steuart Street",,,True,2,+1 415-495-2100,3.60,5040,San Francisco
920,138 King Street,,,True,2,+1 415-200-4977,3.60,1280,San Francisco
921,1800 Sutter Street,,,True,2,+1 888-822-8666,3.60,3645,San Francisco
922,2095 Lombard Street,,,False,2,+1 415-563-5600,3.60,2400,San Francisco
923,2222 Market Street,,,True,2,+1 415-621-8212,3.60,696,San Francisco
924,111 Mason Street,2019-03-05,2019-03-14,True,2,+1 415-771-1200,3.60,1188,San Francisco
925,1000 1st Avenue,,,True,2,+1 206-957-1000,4.10,928,Seattle
926,1011 Pike Street,,,True,4,+1 206-682-8282,4.10,2280,Seattle
927,1046 1st Avenue South,,,True,5,+1 206-204-9800,4.10,4400,Seattle
928,105 Pike Street,,,True,5,+1 206-340-1222,4.10,3300,Seattle
929,110 Stewart Street,,,True,5,+1 206-623-4600,4.10,920,Seattle
930,1100 5th Avenue,,,True,5,+1 800-853-3914,4.10,2760,Seattle
931,1101 4th Avenue,,,True,5,+1 206-621-1770,4.10,6300,Seattle
932,1112 4th Avenue,,,True,2,+1 206-264-6000,4.10,2640,Seattle
933,1113 6th Avenue,,,True,3,+1 206-464-1980,4.10,4608,Seattle
934,1000 1st Avenue,2019-03-08,2019-03-09,True,1,+1 206-957-1000,4.10,528,Seattle
935,"1003 Coast Boulevard, La Jolla, California 92037, United States",,,True,4,+1 855-287-2682,4.60,4800,San Diego
936,10044 Pacific Mesa Boulevard,,,True,1,+1 858-597-0500,4.50,588,San Diego
937,1047 Fifth Avenue,,,True,3,+1 619-515-3000,4.40,3312,San Diego
938,"10950 North Torrey Pines Road, La Jolla, California 92037, United States",,,True,4,+1 858-558-1500,4.30,4160,San Diego
939,11025 Vista Sorrento Parkway,,,True,3,+1 858-523-0500,4.30,729,San Diego
940,11520 West Bernardo Court,,,True,1,+1 858-451-6600,4.10,420,San Diego
941,11915 El Camino Real,,,True,4,+1 858-481-5900,4.20,1980,San Diego
942,11920 El Camino Real,,,True,5,+1 858-792-5557,4.20,495,San Diego
943,1333 Hotel Circle South,,,True,2,+1 619-297-2231,4.40,640,San Diego
944,1355 North Harbor Drive,,,True,3,+1 619-232-3861,4.00,360,San Diego
945,"1003 Coast Boulevard, La Jolla, California 92037, United States",2019-03-03,2019-03-13,True,4,+1 855-287-2682,4.60,4800,San Diego
946,100 Greenwich Street,,,True,2,+1 917-409-0800,4.30,648,New York
947,102 West 57th Street,,,True,2,+1 212-379-0103,4.30,3888,New York
948,103 Waverly Place,,,False,2,+1 800-222-0418,4.30,1650,New York
949,11 East 31st Street,,,True,2,+1 212-806-7000,4.30,2080,New York
950,114 East 32nd Street,,,True,2,+1 212-603-9000,4.30,4080,New York
951,120 East 39th Street,,,True,2,+1 212-686-1600,4.30,224,New York
952,120 West 41st Street,,,True,2,+1 888-559-5862,4.30,2496,New York
953,123 West 28th Street,,,False,2,+1 212-244-4477,4.30,3168,New York
954,124 East 28th Street,,,True,2,+1 212-448-0888,4.30,1296,New York
955,"125 Flatbush Avenue Extension, Brooklyn",,,True,2,+1 718-875-8800,4.30,864,New York
956,1 Ham Yard,,,True,2,+44 20 3642 2000,4.30,960,London
957,1 Seething Lane,,,True,2,+44 20 7702 2020,4.30,4928,London
958,1 Suffolk Place,,,True,2,+44 20 7470 4000,4.30,6480,London
959,1 Waterview Drive,,,True,2,+44 20 8463 6868,4.30,3456,London
960,"1-15, Templeton Place",,,True,2,+44 20 7598 8700,4.30,4608,London
961,"1-2, Serjeant's Inn",,,True,2,+44 20 3004 4141,4.30,2392,London
962,10 Berners Street,,,True,2,+44 20 7781 0000,4.30,6720,London
963,10 Harrington Road,,,True,2,+44 20 7589 5895,4.30,350,London
964,10 Palace Place,,,True,2,+44 20 3540 8800,4.30,400,London
965,10 Pepys Street,,,True,2,+44 20 7660 0675,4.30,2592,London
966,1 Ham Yard,2019-03-02,2019-03-14,True,2,+44 20 3642 2000,4.30,4320,London
967,1 West Wacker Drive,,,True,2,+1 800-468-3571,4.50,3472,Chicago
968,10 East Grand Avenue,,,True,2,+1 312-595-0000,4.20,576,Chicago
969,100 West Monroe Street,,,True,2,+1 312-236-1234,4.40,2856,Chicago
970,10000 West O'Hare Avenue,,,True,2,+1 773-686-8000,3.90,4400,Chicago
971,105 East Delaware Place,,,True,2,+1 800-948-4255,4.10,1584,Chicago
972,11 West 26th Street,,,False,2,+1 312-225-7000,4.00,3366,Chicago
973,1100 South Michigan Avenue,,,False,2,+1 312-922-2900,3.90,2340,Chicago
974,111 West Adams Street,,,True,2,+1 312-214-6400,4.00,798,Chicago
975,111 West Huron Street,,,True,2,+1 877-848-4040,3.80,5184,Chicago
976,102 West 57th Street,,,True,3,+1 212-379-0103,4.40,3888,New York
977,"111 North 12th Street, Brooklyn",,,True,2,+1 718-631-8400,4.40,840,New York
978,120 East 39th Street,,,True,1,+1 212-686-1600,4.40,480,New York
979,120 West 41st Street,,,True,4,+1 888-559-5862,4.40,2496,New York
980,"125 Flatbush Avenue Extension, Brooklyn",,,True,1,+1 718-875-8800,4.40,180,New York
981,130 West 44th Street,,,True,4,+1 212-764-6200,4.40,4680,New York
982,130 West 46th Street,,,True,4,+1 212-485-2400,4.40,3248,New York
983,1414 6th Avenue,,,True,2,+1 212-703-2001,4.40,3400,New York
984,145 East 50th Street,,,True,5,+1 800-683-0400,4.40,3780,New York
985,15 West 56th Street,,,True,4,+1 212-974-5656,4.40,1280,New York
986,"111 North 12th Street, Brooklyn",2019-03-06,2019-03-10,True,1,+1 718-631-8400,4.40,840,New York
987,1000 1st Avenue,,,True,4,+1 206-957-1000,4.50,528,Seattle
988,1006 Spring Street,,,False,4,+1 206-583-6453,3.90,4320,Seattle
989,1016 Republican Street,,,False,4,+1 206-708-8200,4.10,2610,Seattle
990,1046 1st Avenue South,,,True,4,+1 206-204-9800,4.30,4400,Seattle
991,105 Pike Street,,,True,4,+1 206-340-1222,4.40,3300,Seattle
992,110 Stewart Street,,,True,4,+1 206-623-4600,4.40,920,Seattle
993,1100 5th Avenue,,,True,4,+1 800-853-3914,4.40,2760,Seattle
994,1101 4th Avenue,,,True,4,+1 206-621-1770,4.50,6300,Seattle
995,1112 4th Avenue,,,True,4,+1 206-264-6000,4.40,4200,Seattle
996,1000 1st Avenue,2019-03-08,2019-03-11,True,4,+1 206-957-1000,4.50,1200,Seattle
997,"1003 Coast Boulevard, La Jolla, California 92037, United States",,,True,2,+1 855-287-2682,4.60,4800,San Diego
998,10044 Pacific Mesa Boulevard,,,True,2,+1 858-597-0500,4.50,4620,San Diego
999,1047 Fifth Avenue,,,True,2,+1 619-515-3000,4.40,3312,San Diego
1000,"10950 North Torrey Pines Road, La Jolla, California 92037, United States",,,True,2,+1 858-558-1500,4.30,4160,San Diego
1001,11025 Vista Sorrento Parkway,,,True,2,+1 858-523-0500,4.30,729,San Diego
1002,11520 West Bernardo Court,,,True,2,+1 858-451-6600,4.10,1872,San Diego
1003,11915 El Camino Real,,,True,2,+1 858-481-5900,4.20,1980,San Diego
1004,11920 El Camino Real,,,True,2,+1 858-792-5557,4.20,495,San Diego
1005,1355 North Harbor Drive,,,True,2,+1 619-232-3861,4.00,360,San Diego
1006,"1003 Coast Boulevard, La Jolla, California 92037, United States",2019-03-03,2019-03-13,True,2,+1 855-287-2682,4.60,4800,San Diego
1007,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,2,+61 2 9680 3800,4.30,1404,Sydney
1008,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,3,+61 2 8425 0400,4.30,4992,Sydney
1009,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,3,+61 2 9633 9898,4.30,1224,Sydney
1010,11 Hickson Road Walsh Bay,,,True,3,+61 2 8298 9999,4.30,4032,Sydney
1011,"110 Cumberland Street, The Rocks New South Wales 2000, Australia",,,True,4,+61 2 8272 0900,4.30,4896,Sydney
1012,12 Darling Drive,,,True,5,+61 2 8388 8888,4.30,5850,Sydney
1013,"121 Baxter Road, Mascot New South Wales 2020, Australia",,,False,1,+61 2 8303 8888,4.30,1456,Sydney
1014,122 Victoria Street,,,True,5,+61 1300 525 442,4.30,1080,Sydney
1015,"139 Murray Street, Pyrmont New South Wales 2009, Australia",,,True,4,+61 2 8586 1888,4.30,5808,Sydney
1016,161 Elizabeth Street,,,True,2,+61 2 9286 6000,4.30,1120,Sydney
1017,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,1,+61 2 9680 3800,4.30,1404,Sydney
1018,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,1,+61 2 8425 0400,4.30,4992,Sydney
1019,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,1,+61 2 9633 9898,4.30,1224,Sydney
1020,11 Hickson Road Walsh Bay,,,True,1,+61 2 8298 9999,4.30,4032,Sydney
1021,"110 Cumberland Street, The Rocks New South Wales 2000, Australia",,,True,1,+61 2 8272 0900,4.30,4896,Sydney
1022,12 Darling Drive,,,True,1,+61 2 8388 8888,4.30,5850,Sydney
1023,122 Victoria Street,,,True,1,+61 1300 525 442,4.30,1080,Sydney
1024,"139 Murray Street, Pyrmont New South Wales 2009, Australia",,,True,1,+61 2 8586 1888,4.30,5808,Sydney
1025,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,2,+61 2 8425 0400,4.30,4992,Sydney
1026,11 Hickson Road Walsh Bay,,,True,2,+61 2 8298 9999,4.30,4032,Sydney
1027,"110 Cumberland Street, The Rocks New South Wales 2000, Australia",,,True,2,+61 2 8272 0900,4.30,4896,Sydney
1028,12 Darling Drive,,,True,2,+61 2 8388 8888,4.30,5850,Sydney
1029,122 Victoria Street,,,True,2,+61 1300 525 442,4.30,1080,Sydney
1030,"139 Murray Street, Pyrmont New South Wales 2009, Australia",,,True,2,+61 2 8586 1888,4.30,5808,Sydney
1031,11 Hickson Road Walsh Bay,2019-03-02,2019-03-14,True,2,+61 2 8298 9999,4.30,4032,Sydney
1032,"1 Washington Circle Northwest, Washington, District of Columbia 20037, United States",,,True,3,+1 202-872-1680,4.30,4992,Washington D.C.
1033,"1011 L Street Northwest, Washington, District of Columbia 20001, United States",,,True,3,+1 202-898-1200,4.40,465,Washington D.C.
1034,"1075 Thomas Jefferson Street Northwest, Washington, District of Columbia 20007, United States",,,True,3,+1 202-337-0900,4.30,896,Washington D.C.
1035,"1100 Pennsylvania Avenue Northwest, Washington, DC 20004, USA",,,True,3,+1 202-695-1100,4.20,6800,Washington D.C.
1036,"1111 30th Street Northwest, Washington, District of Columbia 20007, United States",,,True,3,+1 202-298-7800,4.30,870,Washington D.C.
1037,"1201 13th Street Northwest, Washington, District of Columbia 20005, United States",,,False,3,+1 202-682-5300,4.00,1400,Washington D.C.
1038,"1225 First Street Northeast, Washington, District of Columbia 20002, United States",,,True,3,+1 202-408-4870,4.20,408,Washington D.C.
1039,"1250 22nd Street Northwest, Washington, District of Columbia 20037, United States",,,True,3,+1 202-449-3100,4.40,4368,Washington D.C.
1040,"1011 L Street Northwest, Washington, District of Columbia 20001, United States",,,True,3,+1 202-898-1200,4.30,465,Washington D.C.
1041,"1127 Connecticut Avenue Northwest, Washington, District of Columbia 20036, United States",,,True,3,+1 202-347-3000,4.30,900,Washington D.C.
1042,"1201 K Street Northwest, Washington, District of Columbia 20005, United States",,,False,3,+1 202-289-7600,4.30,234,Washington D.C.
1043,"1250 22nd Street Northwest, Washington, District of Columbia 20037, United States",,,True,3,+1 202-449-3100,4.30,4368,Washington D.C.
1044,"1331 Pennsylvania Avenue Northwest, Washington, District of Columbia 20004, United States",,,True,3,+1 800-228-9290,4.30,3472,Washington D.C.
1045,"1729 H Street Northwest, Washington, DC 20006, USA",,,True,3,+1 202-296-1006,4.30,1240,Washington D.C.
1046,"1770 Euclid Street Northwest, Washington, District of Columbia 20009, United States",,,True,3,+1 202-588-0525,4.30,1500,Washington D.C.
1047,"200 C Street Southeast, Washington, DC 20003, USA",,,True,3,+1 202-543-6000,4.30,510,Washington D.C.
1048,"2117 E Street Northwest, Washington, District of Columbia 20037, United States",,,False,3,+1 202-861-8200,4.30,3240,Washington D.C.
1049,"2121 M Street Northwest, Washington, District of Columbia 20037, United States",,,True,3,+1 202-838-2222,4.30,4524,Washington D.C.
1050,"1127 Connecticut Avenue Northwest, Washington, District of Columbia 20036, United States",2019-03-08,2019-03-11,True,3,+1 202-347-3000,4.30,900,Washington D.C.
1051,1 Addington Street,,,True,1,+44 333 400 6116,4.20,2772,London
1052,1 Leicester Square,,,False,1,+44 20 3953 4200,4.20,560,London
1053,1 Seething Lane,,,True,1,+44 20 7702 2020,4.20,4928,London
1054,1 Waterview Drive,,,True,1,+44 20 8463 6868,4.20,3456,London
1055,1-13 Kings Hall Mews,,,False,1,+44 871 527 9480,4.20,1044,London
1056,"1-15, Templeton Place",,,True,1,+44 20 7598 8700,4.20,4608,London
1057,1-2 Dorset Rise,,,False,1,+44 871 527 9362,4.20,1218,London
1058,1 Leicester Square,2019-03-06,2019-03-07,False,1,+44 20 3953 4200,4.20,560,London
1059,102 West 57th Street,,,True,2,+1 212-379-0103,4.40,3888,New York
1060,120 East 39th Street,,,True,2,+1 212-686-1600,4.40,224,New York
1061,120 West 41st Street,,,True,2,+1 888-559-5862,4.40,2496,New York
1062,"125 Flatbush Avenue Extension, Brooklyn",,,True,2,+1 718-875-8800,4.40,864,New York
1063,130 West 44th Street,,,True,2,+1 212-764-6200,4.40,4680,New York
