,car_name,car_type,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price
1078,Mini Cooper,Compact,2019-03-02,,2019-03-01,Intercity Terminal,09:30,22
1079,Kia Forte,Compact,2019-03-05,,2019-03-02,Portland Bus Station,15:30,81
1080,Chevrolet Cruze,Standard,2019-03-13,,2019-03-08,Heathrow International Airport,16:00,170
1081,Toyota Highlander,Full-size,2019-03-05,,2019-03-04,Charles de Gaulle International Airport,18:00,41
1082,Honda Accord,Standard,2019-03-11,,2019-03-07,Fresno Station,14:00,120
1083,Jeep Cherokee,Full-size,2019-03-11,,2019-03-09,Fresno Station,15:00,84
1084,Kia Forte,Compact,2019-03-04,,2019-03-03,Fresno Station,15:30,27
1085,Honda Civic,Standard,2019-03-06,,2019-03-02,KLIA International Airport,15:30,96
1086,Kia Forte,Compact,2019-03-09,,2019-03-04,Pacific Central Station,19:00,100
1087,Kia Forte,Compact,2019-03-05,,2019-03-01,Pacific Central Station,19:00,96
1088,Volkswagen Golf,Compact,2019-03-05,,2019-03-01,Indira Gandhi International Airport,17:30,92
1089,Kia Forte,Compact,2019-03-08,,2019-03-02,Salesforce Transit Center,11:00,162
1090,Mini Cooper,Compact,2019-03-04,,2019-03-02,Intercity Terminal,10:30,48
1091,Hyundai Tucson,Full-size,2019-03-08,,2019-03-05,SAN International Airport,12:30,129
1092,Honda CR-V,Full-size,2019-03-03,,2019-03-02,Sacramento Valley Station,16:30,35
1093,Nissan Leaf,Compact,2019-03-14,,2019-03-09,Gatwick International Airport,17:00,120
1094,Honda Fit,Compact,2019-03-05,,2019-03-04,Downtown Station,17:30,26
1095,Chevrolet Cruze,Standard,2019-03-14,,2019-03-10,PDX International Airport,10:00,124
1096,Ford Fusion,Standard,2019-03-02,,2019-03-01,King Street Station,15:00,33
1097,Mini Cooper,Compact,2019-03-08,,2019-03-03,PDX International Airport,18:00,155
1098,Nissan Leaf,Compact,2019-03-03,,2019-03-02,Gatwick International Airport,11:30,30
1099,Honda Accord,Standard,2019-03-11,,2019-03-09,SMF International Airport,16:00,66
1100,Nissan Sentra,Standard,2019-03-14,,2019-03-09,Charles de Gaulle International Airport,12:00,185
1101,Toyota Camry,Standard,2019-03-09,,2019-03-03,Anaheim Intermodal Center,10:00,210
1102,Toyota Highlander,Full-size,2019-03-12,,2019-03-05,Charles de Gaulle International Airport,18:30,322
1103,Kia Forte,Compact,2019-03-07,,2019-03-02,Salesforce Transit Center,17:30,155
1104,Toyota Prius,Standard,2019-03-14,,2019-03-12,McCarran International Airport,15:00,68
1105,Honda Civic,Standard,2019-03-12,,2019-03-10,Salesforce Transit Center,12:00,54
1106,Nissan Leaf,Compact,2019-03-02,,2019-03-01,Charles de Gaulle International Airport,18:00,26
1107,Kia Forte,Compact,2019-03-10,,2019-03-09,Fresno Yosemite International Airport,16:30,24
1108,Ford Fusion,Standard,2019-03-14,,2019-03-09,SAN International Airport,12:30,150
1109,Nissan Leaf,Compact,2019-03-08,,2019-03-07,Charles de Gaulle International Airport,18:30,25
1110,Chevrolet Bolt,Compact,2019-03-03,,2019-03-02,Port Authority Station,12:00,25
1111,Nissan Leaf,Compact,2019-03-08,,2019-03-07,Charles de Gaulle International Airport,12:00,25
1112,Chevrolet Cruze,Standard,2019-03-12,,2019-03-11,PDX International Airport,16:30,27
1113,Mini Cooper,Compact,2019-03-07,,2019-03-04,SFO International Airport,11:30,75
1114,Honda Fit,Compact,2019-03-14,,2019-03-11,Toronto Pearson International Airport,11:00,90
1115,Toyota Highlander,Full-size,2019-03-07,,2019-03-02,Charles de Gaulle International Airport,14:00,255
1116,Honda Fit,Compact,2019-03-05,,2019-03-03,Jomo Kenyatta International Airport,10:30,32
1117,Honda Fit,Compact,2019-03-13,,2019-03-10,Grand Central Station,12:30,87
1118,Mini Cooper,Compact,2019-03-06,,2019-03-02,SFO International Airport,14:00,96
1119,Toyota Prius,Standard,2019-03-13,,2019-03-11,Sky Harbor International Airport,15:30,72
1120,Toyota Highlander,Full-size,2019-03-05,,2019-03-04,Charles de Gaulle International Airport,11:30,41
1121,Subaru Forester,Full-size,2019-03-05,,2019-03-02,Grand Central Station,18:30,111
1122,Kia Forte,Compact,2019-03-05,,2019-03-02,Pacific Central Station,17:30,81
1123,Jeep Cherokee,Full-size,2019-03-04,,2019-03-02,Fresno Yosemite International Airport,16:30,84
1124,Hyundai Tucson,Full-size,2019-03-12,,2019-03-08,Toronto Pearson International Airport,16:00,164
1125,Subaru Forester,Full-size,2019-03-02,,2019-03-01,YVR International Airport,12:30,44
1126,Toyota Highlander,Full-size,2019-03-11,,2019-03-08,Charles de Gaulle International Airport,18:00,135
1127,Toyota Highlander,Full-size,2019-03-06,,2019-03-04,Charles de Gaulle International Airport,11:00,84
1128,Chevrolet Equinox,Full-size,2019-03-13,,2019-03-09,Peachtree Station,17:00,160
1129,Volkswagen GTI,Compact,2019-03-10,,2019-03-09,Hartsfield-Jackson International Airport,16:30,27
1130,Mini Cooper,Compact,2019-03-08,,2019-03-02,McCarran International Airport,13:30,162
1131,Nissan Sentra,Standard,2019-03-10,,2019-03-07,30th Street Station,16:30,84
1132,Mini Cooper,Compact,2019-03-04,,2019-03-03,Intercity Terminal,09:30,20
1133,Honda Civic,Standard,2019-03-13,Seattle,2019-03-08,Seattle-Tacoma International Airport,14:00,150
1134,Hyundai Elantra,Standard,2019-03-13,Seattle,2019-03-08,King Street Station,14:00,145
1135,Toyota Prius,Standard,2019-03-13,Seattle,2019-03-08,Seattle-Tacoma International Airport,14:00,150
1136,Honda Civic,Standard,2019-03-13,,2019-03-08,Seattle-Tacoma International Airport,14:00,150
1137,Ford Fusion,Standard,2019-03-06,Seattle,2019-03-03,King Street Station,12:30,93
1138,Hyundai Elantra,Standard,2019-03-06,Seattle,2019-03-03,King Street Station,12:30,99
1139,Honda Civic,Standard,2019-03-06,Seattle,2019-03-03,Seattle-Tacoma International Airport,13:00,87
1140,Nissan Sentra,Standard,2019-03-06,Seattle,2019-03-03,Seattle-Tacoma International Airport,13:00,96
1141,Toyota Prius,Standard,2019-03-06,Seattle,2019-03-03,Seattle-Tacoma International Airport,13:00,99
1142,Honda Fit,Compact,2019-03-06,Seattle,2019-03-01,King Street Station,12:30,105
1143,Nissan Leaf,Compact,2019-03-06,Seattle,2019-03-01,King Street Station,12:30,130
1144,Chevrolet Bolt,Compact,2019-03-06,Seattle,2019-03-01,Seattle-Tacoma International Airport,13:00,135
1145,Kia Forte,Compact,2019-03-06,Seattle,2019-03-01,Seattle-Tacoma International Airport,13:00,120
1146,Volkswagen GTI,Compact,2019-03-06,Seattle,2019-03-01,Seattle-Tacoma International Airport,13:00,105
1147,Nissan Leaf,Compact,2019-03-06,,2019-03-01,King Street Station,12:30,130
1148,Chevrolet Bolt,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,145
1149,Honda Fit,Compact,2019-03-07,New York,2019-03-02,Grand Central Station,16:30,135
1150,Kia Forte,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,130
1151,Nissan Leaf,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,125
1152,Volkswagen Golf,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,120
1153,Chevrolet Bolt,Compact,2019-03-07,,2019-03-02,Port Authority Station,16:30,145
1154,Ford Fusion,Standard,2019-03-10,San Diego,2019-03-03,SAN International Airport,15:00,252
1155,Ford Fusion,Standard,2019-03-10,,2019-03-03,SAN International Airport,15:00,252
1156,Chevrolet Cruze,Standard,2019-03-10,Vancouver,2019-03-09,Pacific Central Station,13:30,34
1157,Honda Accord,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,31
1158,Hyundai Elantra,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,30
1159,Nissan Altima,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,37
1160,Nissan Sentra,Standard,2019-03-10,Vancouver,2019-03-09,Pacific Central Station,13:30,32
1161,Toyota Corolla,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,32
1162,Toyota Prius,Standard,2019-03-10,Vancouver,2019-03-09,Pacific Central Station,13:30,39
1163,Chevrolet Cruze,Standard,2019-03-10,,2019-03-09,Pacific Central Station,13:30,34
1164,Chevrolet Bolt,Compact,2019-03-09,Vancouver,2019-03-02,YVR International Airport,15:30,217
1165,Volkswagen Golf,Compact,2019-03-09,Vancouver,2019-03-02,Pacific Central Station,15:30,154
1166,Hyundai Elantra,Standard,2019-03-09,Vancouver,2019-03-02,YVR International Airport,15:30,252
1167,Hyundai Elantra,Standard,2019-03-09,,2019-03-02,YVR International Airport,15:30,252
1168,Chevrolet Equinox,Full-size,2019-03-13,Toronto,2019-03-10,Toronto Pearson International Airport,14:00,120
1169,Hyundai Tucson,Full-size,2019-03-13,Toronto,2019-03-10,Toronto Pearson International Airport,14:00,138
1170,Subaru Forester,Full-size,2019-03-13,Toronto,2019-03-10,Toronto Pearson International Airport,14:00,138
1171,Chevrolet Equinox,Full-size,2019-03-13,,2019-03-10,Toronto Pearson International Airport,14:00,120
1172,Ford Fusion,Standard,2019-03-09,Seattle,2019-03-02,King Street Station,15:30,252
1173,Honda Civic,Standard,2019-03-09,Seattle,2019-03-02,King Street Station,15:30,203
1174,Hyundai Elantra,Standard,2019-03-09,Seattle,2019-03-02,King Street Station,15:30,224
1175,Nissan Sentra,Standard,2019-03-09,Seattle,2019-03-02,Seattle-Tacoma International Airport,15:30,217
1176,Ford Fusion,Standard,2019-03-09,,2019-03-02,King Street Station,15:30,252
1177,Honda Accord,Standard,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,170
1178,Toyota Camry,Standard,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,170
1179,Toyota Prius,Standard,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,160
1180,Hyundai Tucson,Full-size,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,210
1181,Nissan Rogue,Full-size,2019-03-11,Phoenix,2019-03-06,Phoenix Union Station,16:30,170
1182,Toyota RAV4,Full-size,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,205
1183,Hyundai Tucson,Full-size,2019-03-11,,2019-03-06,Sky Harbor International Airport,16:30,210
1184,Chevrolet Bolt,Compact,2019-03-06,Vancouver,2019-03-04,YVR International Airport,12:00,58
1185,Honda Fit,Compact,2019-03-06,Vancouver,2019-03-04,YVR International Airport,12:00,58
1186,Mini Cooper,Compact,2019-03-06,Vancouver,2019-03-04,YVR International Airport,12:00,46
1187,Honda Fit,Compact,2019-03-06,,2019-03-04,YVR International Airport,12:00,58
1188,Chevrolet Equinox,Full-size,2019-03-05,Philadelphia,2019-03-03,30th Street Station,12:00,76
1189,Jeep Cherokee,Full-size,2019-03-05,Philadelphia,2019-03-03,Intercity Terminal,12:00,82
1190,Nissan Rogue,Full-size,2019-03-05,Philadelphia,2019-03-03,30th Street Station,12:00,80
1191,Subaru Forester,Full-size,2019-03-05,Philadelphia,2019-03-03,Intercity Terminal,12:00,76
1192,Nissan Rogue,Full-size,2019-03-05,,2019-03-03,30th Street Station,12:00,80
1193,Kia Forte,Compact,2019-03-03,Chicago,2019-03-01,O'Hare International Airport,12:00,60
1194,Mini Cooper,Compact,2019-03-03,Chicago,2019-03-01,O'Hare International Airport,12:00,62
1195,Kia Forte,Compact,2019-03-03,,2019-03-01,O'Hare International Airport,12:00,60
1196,Hyundai Elantra,Standard,2019-03-12,New York,2019-03-05,Port Authority Station,12:00,224
1197,Nissan Altima,Standard,2019-03-12,New York,2019-03-05,Port Authority Station,12:00,217
1198,Hyundai Elantra,Standard,2019-03-12,,2019-03-05,Port Authority Station,12:00,224
1199,Chevrolet Cruze,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,58
1200,Ford Fusion,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,62
1201,Honda Civic,Standard,2019-03-12,San Francisco,2019-03-10,Salesforce Transit Center,17:00,54
1202,Nissan Altima,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,62
1203,Nissan Sentra,Standard,2019-03-12,San Francisco,2019-03-10,Salesforce Transit Center,17:00,60
1204,Toyota Prius,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,60
1205,Chevrolet Cruze,Standard,2019-03-12,,2019-03-10,SFO International Airport,17:00,58
1206,Chevrolet Cruze,Standard,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,160
1207,Ford Fusion,Standard,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,140
1208,Honda Civic,Standard,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,124
1209,Hyundai Elantra,Standard,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,120
1210,Nissan Altima,Standard,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,108
1211,Nissan Sentra,Standard,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,136
1212,Toyota Corolla,Standard,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,128
1213,Toyota Prius,Standard,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,136
1214,Honda Fit,Compact,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,108
1215,Kia Forte,Compact,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,124
1216,Mini Cooper,Compact,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,92
1217,Nissan Leaf,Compact,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,96
1218,Volkswagen GTI,Compact,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,108
1219,Volkswagen Golf,Compact,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,108
1220,Honda Fit,Compact,2019-03-08,,2019-03-04,Intercity Terminal,15:30,108
1221,Honda Fit,Compact,2019-03-08,Toronto,2019-03-01,Toronto Pearson International Airport,11:00,196
1222,Honda Fit,Compact,2019-03-08,,2019-03-01,Toronto Pearson International Airport,11:00,196
1223,Ford Fusion,Standard,2019-03-07,San Diego,2019-03-02,SAN International Airport,12:30,165
1224,Hyundai Elantra,Standard,2019-03-07,San Diego,2019-03-02,SAN International Airport,12:30,145
1225,Honda Accord,Standard,2019-03-07,San Diego,2019-03-02,Santa Fe Depot,13:00,175
1226,Nissan Sentra,Standard,2019-03-07,San Diego,2019-03-02,Santa Fe Depot,13:00,150
1227,Ford Fusion,Standard,2019-03-07,,2019-03-02,SAN International Airport,12:30,165
1228,Chevrolet Cruze,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,152
1229,Ford Fusion,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,128
1230,Honda Civic,Standard,2019-03-10,San Francisco,2019-03-06,Salesforce Transit Center,12:30,136
1231,Nissan Altima,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,124
1232,Nissan Sentra,Standard,2019-03-10,San Francisco,2019-03-06,Salesforce Transit Center,12:30,112
1233,Toyota Prius,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,120
1234,Kia Forte,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,140
1235,Mini Cooper,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,130
1236,Nissan Leaf,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,140
1237,Volkswagen GTI,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,140
1238,Mini Cooper,Compact,2019-03-11,,2019-03-06,SFO International Airport,12:30,130
1239,Honda Accord,Standard,2019-03-14,New York,2019-03-08,Grand Central Station,11:00,174
1240,Nissan Altima,Standard,2019-03-14,New York,2019-03-08,Port Authority Station,11:00,198
1241,Toyota Corolla,Standard,2019-03-14,New York,2019-03-08,Grand Central Station,11:00,216
1242,Toyota Corolla,Standard,2019-03-14,,2019-03-08,Grand Central Station,11:00,216
1243,Chevrolet Cruze,Standard,2019-03-05,Los Angeles,2019-03-02,Union Station,15:00,90
1244,Ford Fusion,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,120
1245,Honda Civic,Standard,2019-03-05,Los Angeles,2019-03-02,Union Station,15:00,87
1246,Hyundai Elantra,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,102
1247,Toyota Camry,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,96
1248,Toyota Corolla,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,90
1249,Ford Fusion,Standard,2019-03-05,,2019-03-02,LAX International Airport,15:00,120
1250,Honda Accord,Standard,2019-03-06,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,130
1251,Toyota Camry,Standard,2019-03-06,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,150
1252,Toyota Prius,Standard,2019-03-06,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,145
1253,Honda Accord,Standard,2019-03-06,,2019-03-01,Sky Harbor International Airport,13:30,130
1254,Honda Civic,Standard,2019-03-14,Los Angeles,2019-03-09,Union Station,11:00,145
1255,Hyundai Elantra,Standard,2019-03-14,Los Angeles,2019-03-09,Union Station,11:00,185
1256,Toyota Corolla,Standard,2019-03-14,Los Angeles,2019-03-09,Union Station,11:00,165
1257,Honda Civic,Standard,2019-03-14,,2019-03-09,Union Station,11:00,170
1258,Honda Civic,Standard,2019-03-08,Las Vegas,2019-03-01,McCarran International Airport,12:00,266
1259,Toyota Prius,Standard,2019-03-08,Las Vegas,2019-03-01,Union Plaza,12:00,196
1260,Honda Civic,Standard,2019-03-08,,2019-03-01,McCarran International Airport,12:00,266
1261,Chevrolet Cruze,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,116
1262,Ford Fusion,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,160
1263,Honda Civic,Standard,2019-03-06,San Francisco,2019-03-02,Salesforce Transit Center,11:00,128
1264,Nissan Altima,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,124
1265,Nissan Sentra,Standard,2019-03-06,San Francisco,2019-03-02,Salesforce Transit Center,11:00,132
1266,Toyota Prius,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,144
1267,Chevrolet Cruze,Standard,2019-03-06,,2019-03-02,SFO International Airport,11:00,116
1268,Nissan Rogue,Full-size,2019-03-05,Seattle,2019-03-01,Seattle-Tacoma International Airport,15:00,184
1269,Subaru Forester,Full-size,2019-03-05,Seattle,2019-03-01,Seattle-Tacoma International Airport,15:00,172
1270,Toyota RAV4,Full-size,2019-03-05,Seattle,2019-03-01,King Street Station,15:00,184
1271,Toyota RAV4,Full-size,2019-03-05,,2019-03-01,King Street Station,15:00,184
1272,Honda Fit,Compact,2019-03-06,Toronto,2019-03-01,Toronto Pearson International Airport,15:00,155
1273,Kia Forte,Compact,2019-03-06,Toronto,2019-03-01,Toronto Pearson International Airport,15:00,150
1274,Honda Fit,Compact,2019-03-06,,2019-03-01,Toronto Pearson International Airport,15:00,155
1275,Chevrolet Cruze,Standard,2019-03-12,Philadelphia,2019-03-07,PHL International Airport,13:00,145
1276,Ford Fusion,Standard,2019-03-12,Philadelphia,2019-03-07,PHL International Airport,13:00,185
1277,Honda Civic,Standard,2019-03-12,Philadelphia,2019-03-07,PHL International Airport,13:00,155
1278,Hyundai Elantra,Standard,2019-03-12,Philadelphia,2019-03-07,Intercity Terminal,12:30,175
1279,Nissan Altima,Standard,2019-03-12,Philadelphia,2019-03-07,30th Street Station,12:30,125
1280,Toyota Corolla,Standard,2019-03-12,Philadelphia,2019-03-07,Intercity Terminal,12:30,155
1281,Toyota Prius,Standard,2019-03-12,Philadelphia,2019-03-07,Intercity Terminal,12:30,155
1282,Ford Fusion,Standard,2019-03-12,,2019-03-07,PHL International Airport,13:00,185
1283,Chevrolet Equinox,Full-size,2019-03-14,Toronto,2019-03-11,Toronto Pearson International Airport,09:30,129
1284,Hyundai Tucson,Full-size,2019-03-14,Toronto,2019-03-11,Toronto Pearson International Airport,09:30,111
1285,Subaru Forester,Full-size,2019-03-14,Toronto,2019-03-11,Toronto Pearson International Airport,09:30,138
1286,Chevrolet Equinox,Full-size,2019-03-14,,2019-03-11,Toronto Pearson International Airport,09:30,129
1287,Chevrolet Equinox,Full-size,2019-03-11,New York,2019-03-08,Port Authority Station,09:30,123
1288,Hyundai Tucson,Full-size,2019-03-11,New York,2019-03-08,Port Authority Station,09:30,126
1289,Ford Escape,Full-size,2019-03-11,New York,2019-03-08,JFK International Airport,10:00,129
1290,Subaru Forester,Full-size,2019-03-11,New York,2019-03-08,JFK International Airport,10:00,147
1291,Chevrolet Equinox,Full-size,2019-03-11,,2019-03-08,Port Authority Station,09:30,123
1292,Chevrolet Cruze,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,64
1293,Ford Fusion,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,54
1294,Hyundai Elantra,Standard,2019-03-13,Philadelphia,2019-03-11,Intercity Terminal,11:00,64
1295,Nissan Altima,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,66
1296,Nissan Sentra,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,66
1297,Toyota Corolla,Standard,2019-03-13,Philadelphia,2019-03-11,Intercity Terminal,11:00,58
1298,Toyota Prius,Standard,2019-03-13,Philadelphia,2019-03-11,Intercity Terminal,11:00,58
1299,Chevrolet Cruze,Standard,2019-03-13,,2019-03-11,30th Street Station,11:00,64
1300,Nissan Altima,Standard,2019-03-12,New York,2019-03-07,Port Authority Station,12:00,130
1301,Toyota Camry,Standard,2019-03-12,New York,2019-03-07,JFK International Airport,12:00,155
1302,Toyota Corolla,Standard,2019-03-12,New York,2019-03-07,Grand Central Station,12:00,140
1303,Toyota Prius,Standard,2019-03-12,New York,2019-03-07,Port Authority Station,12:00,155
1304,Toyota Corolla,Standard,2019-03-12,,2019-03-07,Grand Central Station,12:00,140
1305,Hyundai Tucson,Full-size,2019-03-02,Anaheim,2019-03-01,Anaheim Intermodal Center,10:00,48
1306,Nissan Rogue,Full-size,2019-03-02,Anaheim,2019-03-01,Anaheim Intermodal Center,10:00,47
1307,Toyota Highlander,Full-size,2019-03-02,Anaheim,2019-03-01,Anaheim Intermodal Center,10:00,34
1308,Ford Escape,Full-size,2019-03-02,Anaheim,2019-03-01,John Wayne Airport,09:30,48
1309,Subaru Forester,Full-size,2019-03-02,Anaheim,2019-03-01,John Wayne Airport,09:30,42
1310,Nissan Rogue,Full-size,2019-03-02,,2019-03-01,Anaheim Intermodal Center,10:00,47
1311,Honda Accord,Standard,2019-03-09,New York,2019-03-06,Grand Central Station,15:30,90
1312,Honda Civic,Standard,2019-03-09,New York,2019-03-06,JFK International Airport,15:30,93
1313,Hyundai Elantra,Standard,2019-03-09,New York,2019-03-06,Port Authority Station,15:30,96
1314,Nissan Altima,Standard,2019-03-09,New York,2019-03-06,Port Authority Station,15:30,96
1315,Toyota Camry,Standard,2019-03-09,New York,2019-03-06,JFK International Airport,15:30,108
1316,Toyota Corolla,Standard,2019-03-09,New York,2019-03-06,Grand Central Station,15:30,78
1317,Toyota Prius,Standard,2019-03-09,New York,2019-03-06,Port Authority Station,15:30,99
1318,Hyundai Elantra,Standard,2019-03-09,New York,2019-03-02,Port Authority Station,15:30,224
1319,Toyota Corolla,Standard,2019-03-09,New York,2019-03-02,Grand Central Station,15:30,203
1320,Chevrolet Bolt,Compact,2019-03-09,New York,2019-03-02,Port Authority Station,15:30,175
1321,Honda Fit,Compact,2019-03-09,New York,2019-03-02,Grand Central Station,15:30,182
1322,Kia Forte,Compact,2019-03-09,New York,2019-03-02,JFK International Airport,15:30,196
1323,Nissan Leaf,Compact,2019-03-09,New York,2019-03-02,Port Authority Station,15:30,175
1324,Chevrolet Bolt,Compact,2019-03-09,,2019-03-02,Port Authority Station,15:30,175
1325,Chevrolet Cruze,Standard,2019-03-04,Philadelphia,2019-03-03,30th Street Station,12:00,29
1326,Chevrolet Equinox,Full-size,2019-03-04,Philadelphia,2019-03-03,30th Street Station,12:00,37
1327,Ford Fusion,Standard,2019-03-04,Philadelphia,2019-03-03,30th Street Station,12:00,25
1328,Honda Fit,Compact,2019-03-04,Philadelphia,2019-03-03,Intercity Terminal,12:00,26
1329,Hyundai Elantra,Standard,2019-03-04,Philadelphia,2019-03-03,Intercity Terminal,12:00,31
1330,Jeep Cherokee,Full-size,2019-03-04,Philadelphia,2019-03-03,Intercity Terminal,12:00,36
1331,Mini Cooper,Compact,2019-03-04,Philadelphia,2019-03-03,Intercity Terminal,12:00,20
1332,Nissan Altima,Standard,2019-03-04,Philadelphia,2019-03-03,30th Street Station,12:00,31
1333,Nissan Leaf,Compact,2019-03-04,Philadelphia,2019-03-03,30th Street Station,12:00,22
1334,Nissan Rogue,Full-size,2019-03-04,Philadelphia,2019-03-03,30th Street Station,12:00,34
1335,Chevrolet Cruze,Standard,2019-03-04,,2019-03-03,30th Street Station,12:00,29
1336,Ford Fusion,Standard,2019-03-07,San Diego,2019-03-02,SAN International Airport,17:00,165
1337,Honda Accord,Standard,2019-03-07,San Diego,2019-03-02,Santa Fe Depot,17:00,175
1338,Hyundai Elantra,Standard,2019-03-07,San Diego,2019-03-02,SAN International Airport,17:00,145
1339,Nissan Sentra,Standard,2019-03-07,San Diego,2019-03-02,Santa Fe Depot,17:00,150
1340,Honda Accord,Standard,2019-03-07,,2019-03-02,Santa Fe Depot,17:00,175
1341,Honda Civic,Standard,2019-03-11,New York,2019-03-09,JFK International Airport,10:30,72
1342,Hyundai Elantra,Standard,2019-03-11,New York,2019-03-09,Port Authority Station,10:30,66
1343,Nissan Altima,Standard,2019-03-11,New York,2019-03-09,Port Authority Station,10:30,60
1344,Toyota Camry,Standard,2019-03-11,New York,2019-03-09,JFK International Airport,10:30,82
1345,Toyota Corolla,Standard,2019-03-11,New York,2019-03-09,JFK International Airport,10:30,64
1346,Toyota Prius,Standard,2019-03-11,New York,2019-03-09,Port Authority Station,10:30,64
1347,Honda Civic,Standard,2019-03-11,,2019-03-09,JFK International Airport,10:30,72
1348,Chevrolet Cruze,Standard,2019-03-12,,2019-03-10,Heathrow International Airport,16:30,64
1349,Mini Cooper,Compact,2019-03-08,,2019-03-07,O'Hare International Airport,18:00,27
1350,Toyota Camry,Standard,2019-03-12,,2019-03-10,LAX International Airport,17:30,62
1351,Toyota Corolla,Standard,2019-03-09,,2019-03-07,JFK International Airport,18:00,54
1352,Ford Escape,Full-size,2019-03-08,,2019-03-07,SFO International Airport,13:30,41
1353,Mini Cooper,Compact,2019-03-08,,2019-03-07,SFO International Airport,13:30,25
1354,Kia Forte,Compact,2019-03-13,,2019-03-12,SAN International Airport,18:00,29
1355,Chevrolet Bolt,Compact,2019-03-10,,2019-03-09,YVR International Airport,16:30,29
1356,Ford Escape,Full-size,2019-03-05,,2019-03-04,JFK International Airport,10:30,49
1357,Mini Cooper,Compact,2019-03-08,,2019-03-07,SFO International Airport,12:00,25
1358,Mini Cooper,Compact,2019-03-11,,2019-03-10,SFO International Airport,20:00,28
1359,Nissan Rogue,Full-size,2019-03-09,,2019-03-08,Heathrow International Airport,14:00,38
1360,Nissan Sentra,Standard,2019-03-08,,2019-03-05,Charles de Gaulle International Airport,13:30,96
1361,Chevrolet Cruze,Standard,2019-03-04,,2019-03-03,Hartsfield-Jackson International Airport,15:00,32
1362,Nissan Leaf,Compact,2019-03-12,,2019-03-11,JFK International Airport,13:00,34
