,address,category,date,has_seating_outdoors,has_vegetarian_options,location,number_of_seats,phone_number,price_range,rating,restaurant_name,time
517,388 Grand Avenue,Italian,,True,True,Oakland,,510-918-3205,moderate,4.50,Contrasto,
518,5474 College Avenue,Italian,,False,False,Oakland,,510-428-4078,moderate,4.50,Enoteca Molinari,
519,5095 Telegraph Avenue suite a,Italian,,False,False,Oakland,,510-652-7401,moderate,4.50,Genova Delicatessen,
520,2220 Mountain Boulevard #100,Italian,,True,True,Oakland,,510-482-8094,moderate,4.40,Italian Colors,
521,4214 Park Boulevard,Italian,,True,False,Oakland,,510-479-1448,moderate,4.40,Marzano Restaurant And Bar,
522,388 Grand Avenue,Italian,2019-03-01,True,True,Oakland,2,510-918-3205,moderate,4.50,Contrasto,18:00
523,60 Monarch Bay,American,,True,False,San Leandro,,510-351-5556,pricey,4.30,Horatio's,
524,150 West Juana Avenue,American,,True,False,San Leandro,,510-352-7652,moderate,4.40,Sons Of Liberty Alehouse,
525,5524-A Springdale Avenue,Burrito,,False,True,Pleasanton,,925-463-1231,cheap,3.30,Taco Bell,
526,431 Bush Street,Japanese,,False,False,San Francisco,,415-397-3218,pricey,4.50,Akiko's Restaurant,
527,22 Peace Plz #510,Japanese,,False,False,San Francisco,,415-292-4886,pricey,4.60,An Japanese Restaurant,
528,1234 Noriega Street,Japanese,,False,False,San Francisco,,415-665-1772,cheap,4.40,Fujiyama-ya,
529,638 El Camino Real,Italian,,False,True,Santa Clara,,408-984-0414,moderate,4.40,Fiorillo's Restaurant And Banquet Facilities,
530,1290 Benton Street,Italian,,False,True,Santa Clara,,408-241-9414,moderate,4.50,Mio Vicino,
531,3905 Rivermark Plaza,Italian,,True,True,Santa Clara,,408-330-9212,moderate,4.20,Piatti,
532,3127 Mission College Boulevard,Italian,,False,True,Santa Clara,,408-654-9000,moderate,4.20,Tomatina,
533,151 East El Camino Real,Take-out,,True,True,Sunnyvale,,408-245-9999,moderate,3.50,Bombay To Goa,
534,751 East El Camino Real,Take-out,,False,False,Sunnyvale,,408-245-3710,moderate,4.00,Marie Callender's,
535,25 Yerba Buena Lane,Indian,,False,True,San Francisco,,415-777-0500,pricey,4.20,Amber,
536,524 Van Ness Avenue,Indian,,False,True,San Francisco,,415-771-5900,moderate,4.20,August 1 Five,
537,280 Valencia Street,Indian,,False,True,San Francisco,,231-444-4444,pricey,4.00,Babu Ji Sf,
538,1063 Market Street,Indian,,False,True,San Francisco,,415-222-9696,cheap,4.40,Chanvi Eatery,
539,418 Beach Street,Indian,,False,True,San Francisco,,415-929-6983,moderate,3.70,Chennai Kings,
540,511 Jones Street,Indian,,False,True,San Francisco,,415-650-0085,cheap,4.00,Chutney Restaurant,
541,1689 Church Street,Indian,,False,True,San Francisco,,415-826-2400,moderate,3.80,Clay Oven,
542,385 West Portal Avenue,Indian,,False,True,San Francisco,,415-731-2400,moderate,3.90,Clay Oven Indian Restaurant,
543,1142 Valencia Street,Indian,,False,True,San Francisco,,415-915-2222,cheap,4.00,Deccan Spice,
544,995 Valencia Street,Indian,,False,True,San Francisco,,415-642-3672,moderate,4.30,Dosa On Valencia,
545,2355 Sand Creek Road,American,,True,True,Brentwood,,925-516-5533,moderate,4.10,Black Angus Steakhouse,
546,2013 Elkins Way,American,,False,False,Brentwood,,925-516-4131,moderate,4.70,Shutters Brasserie,
547,247 4th Street,American,,True,False,Oakland,,510-834-2467,moderate,4.40,Chop Bar,
548,5422 College Avenue,American,,True,True,Oakland,,510-871-3463,moderate,4.50,Duchess Oakland,
549,1900 Telegraph Avenue,American,,False,False,Oakland,,510-286-0100,pricey,4.40,Flora,
550,66 Franklin Street #100,American,,True,True,Oakland,,510-268-3200,moderate,4.30,Forge Pizza Oakland,
551,44 Webster Street,American,,True,True,Oakland,,510-663-4440,pricey,4.60,Haven,
552,1915 San Pablo Avenue,American,,True,False,Oakland,,510-788-6217,moderate,4.30,Hopscotch,
553,2022 Telegraph Avenue,American,,False,False,Oakland,,510-419-0622,moderate,4.00,Hutch Bar & Kitchen,
554,3112 Market Street,American,,True,True,Oakland,,510-735-9115,moderate,4.10,Ivy Moon Restaurant,
555,1 Franklin Street,American,,False,False,Oakland,,510-835-8600,moderate,4.20,"Kincaid's Fish, Chop & Steak House",
556,640 Hegenberger Road,American,,False,False,Oakland,,510-632-9225,cheap,3.50,Mcdonald's,
557,4301 Valley Avenue B,Japanese,,False,True,Pleasanton,,925-462-3321,moderate,4.40,Meiko Sushi,
558,1330 Stoneridge Mall Road,Japanese,,True,True,Pleasanton,,925-224-9916,moderate,3.80,P.f. Chang's,
559,30 Neal Street #110,Japanese,,True,False,Pleasanton,,925-600-8008,cheap,4.20,Senro Sushi,
560,2835 Hopyard Road,Japanese,,False,False,Pleasanton,,925-484-5588,moderate,4.30,Sozo Sushi,
561,817 Leisure Town Road,Sandwich,,False,False,Vacaville,,707-446-4408,cheap,3.50,Mcdonald's,
562,797 1st Street,Coffeehouse,,False,False,Gilroy,,408-842-2524,cheap,3.10,Mcdonald's,
563,1388 Locust Street,French,,False,False,Walnut Creek,,925-891-4197,moderate,4.10,Cypress Restaurant,
564,1606 North Main Street,French,,False,False,Walnut Creek,,925-448-8187,moderate,4.30,La Sen Bistro Wc,
565,1606 North Main Street,French,,False,False,Walnut Creek,,925-407-8002,moderate,0.00,Le Bistro,
566,2301 Central Avenue,American,,True,False,Alameda,,510-769-2000,moderate,4.10,Alameda Cinema Grill,
567,1500 Webster Street,American,,True,True,Alameda,,510-523-4500,moderate,4.40,Cafe Jolie,
568,2690 5th Street Ste B,American,,True,True,Alameda,,510-764-3786,moderate,4.00,Famous Dave's Alameda,
569,San Francisco,Ethiopian,,False,True,San Francisco,,415-285-2728,cheap,4.20,Cafe Ethiopia,
570,907 Irving Street,Ethiopian,,False,True,San Francisco,,415-681-1288,moderate,4.60,New Eritrea Restaurant,
571,1419 Fillmore Street,Ethiopian,,False,False,San Francisco,,415-440-7414,moderate,4.50,Sheba Piano Lounge,
572,2961 East El Camino Real,Halal,,False,True,Santa Clara,,888-786-7919,moderate,4.00,Paradise Biryani Pointe,
573,4340 Clayton Road,Asian,,False,True,Concord,,925-687-2828,cheap,3.70,New Lim's Garden,
574,3119 Clement Street,Moroccan,,False,False,San Francisco,,415-751-2312,moderate,4.50,El Mansour,
575,419 O'Farrell Street,Moroccan,,False,False,San Francisco,,415-776-1538,moderate,3.80,Marrakech,
576,140 New Montgomery Street #1,Moroccan,,False,True,San Francisco,,415-660-2500,ultra high-end,4.70,Mourad,
577,6185 Jarvis Avenue,Korean,,False,False,Newark,,510-574-0901,moderate,4.00,Cham Sae Bistro,
578,548 Ramona Street,Breakfast,,True,True,Palo Alto,,650-323-1815,moderate,4.10,Bistro Maxine,
579,855 El Camino Real,Breakfast,,True,False,Palo Alto,,650-853-9201,pricey,4.20,Mayfield Bakery & Cafe,
580,3128 El Camino Real,Breakfast,,True,False,Palo Alto,,650-494-7161,cheap,3.60,Mcdonald's,
581,157 Plaza Drive,Mexican,,True,True,Vallejo,,707-644-4063,moderate,3.80,Chevys Fresh Mex,
582,1100 Burlingame Avenue,Tapas,,True,True,Burlingame,,650-513-6059,moderate,3.90,Flights Restaurant Burlingame,
583,303 Broadway,Sushi,,False,False,Oakland,,510-451-2224,moderate,4.30,Ginza | Japanese Sushi Restaurant,
584,4390 Telegraph Avenue D,Sushi,,False,False,Oakland,,510-594-0661,moderate,4.00,Koryo Sushi,
585,2251 Broadway,Sushi,,False,True,Oakland,,510-286-9866,pricey,4.10,Ozumo,
586,5335 College Avenue # 2,Sushi,,False,False,Oakland,,510-595-7388,moderate,4.40,Rikyu | Japanese Restaurant,
587,2050 Columbus Parkway,Italian,,False,False,Benicia,,707-748-1011,moderate,4.60,Palermos,
588,911 1st Street,Italian,,True,True,Benicia,,707-747-5263,moderate,4.50,Venticellos Ristorante Italiano,
589,327 Kearny Street,Greek,,False,False,San Francisco,,415-391-1154,cheap,4.10,Ayola,
590,200 Jackson Street,Greek,,False,False,San Francisco,,415-981-0983,ultra high-end,4.70,Kokkari Estiatorio,
591,4000 24th Street,Greek,,True,True,San Francisco,,415-829-8383,moderate,4.20,Novy Restaurant,
592,243 West Portal Avenue,Greek,,False,True,San Francisco,,415-664-6739,moderate,4.40,Orexi Restaurant,
593,449 Castro Street,Greek,,False,True,San Francisco,,415-872-9779,cheap,4.30,Park Gyros Castro,
594,12100 Saratoga Sunnyvale Road,Indian,,False,True,Saratoga,,408-320-1255,moderate,3.70,Bikaner Indian Cuisine,
595,464 1st Street East Suite F,Nepalese,,True,True,Sonoma,,707-996-1161,moderate,4.50,Taste Of The Himalayas,
596,3001 El Camino Real,Italian,,False,True,Redwood City,,650-321-4080,pricey,4.20,Chantilly,
597,2107 Broadway,Italian,,False,True,Redwood City,,650-216-9713,moderate,3.70,The Old Spaghetti Factory,
598,1819 Colfax Street,Nicaraguan,,False,True,Concord,,925-446-6141,moderate,4.40,La Fritanguera,
599,1300 Fillmore Street,Brunch,,False,False,San Francisco,,415-771-7100,moderate,4.00,1300 On Fillmore,
600,398 Hayes Street,Brunch,,True,True,San Francisco,,415-551-1590,pricey,4.30,Absinthe Brasserie & Bar,
601,1434 18th Street,Brunch,,False,True,San Francisco,,415-252-1036,moderate,4.20,Aperto,
602,1785 Fulton Street,Brunch,,False,False,San Francisco,,415-416-6989,moderate,4.30,Barrel Head Brewhouse,
603,2150 Chestnut Street,Brunch,,True,True,San Francisco,,415-931-9663,moderate,4.40,Blackwood,
604,4 Mint Plaza,Brunch,,False,False,San Francisco,,415-546-4134,moderate,3.80,Chez Papa Resto,
605,622 Green Street,Brunch,,True,False,San Francisco,,415-722-9109,cheap,4.30,Chief Sullivan's,
606,369 The Embarcadero,Brunch,,True,False,San Francisco,,415-369-9218,ultra high-end,4.40,Epic Steak,
607,661 Divisadero Street,Brunch,,False,True,San Francisco,,415-440-4500,pricey,3.90,La Urbana,
608,888 Howard Street,Brunch,,False,False,San Francisco,,415-616-6566,pricey,4.20,Luce Restaurant,
609,175 Vineyard Avenue,Italian,,True,True,Livermore,,925-249-9800,moderate,4.40,Campo Di Bocce Of Livermore,
610,4433 First Street,Italian,,False,True,Livermore,,925-371-4499,moderate,4.30,Melo's Pizza & Pasta Livermore,
611,2470 First Street,Italian,,True,False,Livermore,,925-371-1000,moderate,4.30,Patxi's Pizza Livermore,
612,4040 East Avenue,Italian,,True,True,Livermore,,925-456-3333,moderate,4.30,Terra Mia,
613,310 Linden Avenue,Japanese,,False,False,South San Francisco,,650-873-1084,moderate,4.50,Amami San,
614,257 Grand Avenue,Japanese,,False,False,South San Francisco,,650-636-2267,moderate,4.10,Izanami,
615,112 Grand Avenue,Japanese,,False,False,South San Francisco,,650-952-2888,moderate,4.40,Kamu Sushi,
616,305 East 4th Avenue,Tapas,,True,False,San Mateo,,650-513-1759,moderate,4.50,Amour Amour,
617,643 Emerson Street,Italian,,False,True,Palo Alto,,650-329-0665,moderate,3.80,Buca Di Beppo Italian Restaurant,
618,2437 Birch Street,Italian,,True,False,Palo Alto,,650-326-1626,moderate,4.30,Cafe Pro Bono,
619,341 California Avenue,Italian,,True,True,Palo Alto,,650-473-9616,pricey,4.40,Italico Restaurant,
620,335 University Avenue,Italian,,True,False,Palo Alto,,650-324-8033,moderate,4.00,La Strada Ristorante Italiano,
621,247 Hamilton Avenue,Italian,,False,True,Palo Alto,,650-328-5700,pricey,4.20,Osteria Toscana,
622,417 California Avenue,Italian,,True,False,Palo Alto,,650-327-9390,moderate,4.00,Spalti Ristorante,
623,700 Welch Road,Italian,,True,True,Palo Alto,,650-646-3477,pricey,4.40,Vina Enoteca,
624,5560 Santa Teresa Boulevard,Chinese,,False,True,San Jose,,408-281-8898,moderate,4.30,Mandarin Gourmet Restaurant,
625,5400 Monterey Road,Chinese,,False,False,San Jose,,408-281-3838,moderate,4.10,Ocean Delight,
626,925 Blossom Hill Road #1515,Chinese,,True,True,San Jose,,408-960-2940,moderate,3.70,P.f. Chang's,
627,4050 Byway East,Brunch,,True,True,Napa,,707-257-1999,moderate,4.40,Fume,
628,2217 Morello Avenue,Sushi,,False,True,Pleasant Hill,,925-671-9925,moderate,4.70,Jo's Sushi Bar,
629,2217 Morello Avenue,Sushi,2019-03-13,False,True,Pleasant Hill,2,925-671-9925,moderate,4.70,Jo's Sushi Bar,11:30
630,9890 Bodega Highway,American,,True,True,Sebastopol,,707-634-7575,moderate,4.50,Fork Roadhouse,
631,6770 McKinley Street #150,American,,True,False,Sebastopol,,707-523-4814,pricey,4.20,Zazu Kitchen + Farm,
632,9890 Bodega Highway,American,2019-03-13,True,True,Sebastopol,2,707-634-7575,moderate,4.50,Fork Roadhouse,12:30
633,40900 Fremont Boulevard,American,,False,True,Fremont,,510-623-8500,moderate,4.40,Mirchi Cafe,
634,39401 Fremont Boulevard,American,,False,True,Fremont,,510-657-2436,moderate,3.90,Red Lobster,
635,40900 Fremont Boulevard,American,2019-03-10,False,True,Fremont,2,510-623-8500,moderate,4.40,Mirchi Cafe,12:00
636,1534 Locust Street,Sushi,,True,False,Walnut Creek,,925-274-9496,moderate,4.30,Kaiwa Sushi,
637,1280 Newell Avenue,Sushi,,False,True,Walnut Creek,,925-938-3239,moderate,4.10,Kana Sushi,
638,1280 Newell Avenue,Sushi,2019-03-07,False,True,Walnut Creek,2,925-938-3239,moderate,4.10,Kana Sushi,13:00
639,2083 Camden Avenue,Italian,,False,False,San Jose,,408-369-9820,moderate,4.40,Al Castello Ristorante,
640,436 Blossom Hill Road,Italian,,False,False,San Jose,,408-227-5502,moderate,4.50,Angelo's Italian Restaurant,
641,1701 Park Avenue,Italian,,False,True,San Jose,,408-279-4922,moderate,3.90,Antonella's Ristorante,
642,100 West San Carlos Street,Italian,,False,False,San Jose,,408-278-4555,pricey,4.00,Arcadia,
643,925 Blossom Hill Road,Italian,,False,True,San Jose,,408-226-1444,moderate,3.50,Buca Di Beppo Italian Restaurant,
644,320 West Saint John Street,Italian,,False,False,San Jose,,408-618-5455,moderate,4.40,Enoteca La Storia Downtown,
645,5245 Prospect Road,Italian,,False,True,San Jose,,408-446-9644,moderate,3.00,Frankie Johnnie & Luigi Too,
646,1445 Foxworthy Avenue,Italian,,True,True,San Jose,,408-264-5781,moderate,4.20,Giorgio's Italian Food & Pizzeria,
647,3055 Olin Avenue Suite 1000,Italian,,True,True,San Jose,,408-423-8973,moderate,4.20,Maggiano's Little Italy,
648,350 West Julian Street,Italian,,True,False,San Jose,,408-217-9327,moderate,4.50,Paesano,
649,2083 Camden Avenue,Italian,2019-03-03,False,False,San Jose,1,408-369-9820,moderate,4.40,Al Castello Ristorante,12:00
650,2360 South Bascom Avenue,Chinese,,False,True,Campbell,,408-377-7666,moderate,4.10,Best Taste Sushi & Chinese Restaurant,
651,2028 Winchester Boulevard,Chinese,,False,True,Campbell,,408-378-0323,moderate,4.20,Blue Sky,
652,104 San Tomas Aquino Road,Chinese,,False,False,Campbell,,408-379-5169,moderate,4.30,Tsing Tao,
653,2360 South Bascom Avenue,Chinese,2019-03-03,False,True,Campbell,3,408-377-7666,moderate,4.10,Best Taste Sushi & Chinese Restaurant,11:30
654,5945 Almaden Expressway #150,Thai,2019-03-06,False,True,San Jose,1,408-268-3235,moderate,4.20,Erawan Thai Cuisine,13:30
655,140 2nd Street #100,American,,False,True,Petaluma,,707-981-8228,moderate,4.40,Bistro 100,
656,42 Petaluma Boulevard North,American,,False,False,Petaluma,,707-778-9900,pricey,4.70,Central Market,
657,931 Petaluma Boulevard South,American,,True,False,Petaluma,,707-763-8538,cheap,4.60,Mr Mom's Cafe,
658,3120 Lakeville Highway,American,,True,True,Petaluma,,707-782-9090,moderate,4.30,Pub Republic,
659,6650 Bloomfield Road,American,,False,False,Petaluma,,707-795-0127,moderate,4.30,Stormy's Spirits & Supper,
660,190 Kentucky Street,American,,False,True,Petaluma,,707-774-6689,pricey,4.40,The Drawing Board,
661,140 2nd Street #100,American,2019-03-11,False,True,Petaluma,2,707-981-8228,moderate,4.40,Bistro 100,11:30
662,3044 East El Camino Real,Italian,,False,False,Santa Clara,,408-296-1052,moderate,4.60,Vesuvio,
663,638 El Camino Real,Italian,2019-03-11,False,True,Santa Clara,2,408-984-0414,moderate,4.40,Fiorillo's Restaurant And Banquet Facilities,11:00
664,1628 Hostetter Road f,Korean,,False,False,San Jose,,408-477-2773,moderate,4.10,Gen Korean Bbq House,
665,1035 South Winchester Boulevard,Korean,,False,False,San Jose,,408-260-7200,moderate,4.30,Mizu Sushi Bar & Grill,
666,1783 West San Carlos Street,Korean,,False,False,San Jose,,408-293-2668,moderate,4.50,Yakiniq,
667,1628 Hostetter Road f,Korean,2019-03-10,False,False,San Jose,2,408-477-2773,moderate,4.10,Gen Korean Bbq House,11:30
668,1200 Contra Costa Boulevard # K,Asian,,False,True,Pleasant Hill,,925-288-0999,cheap,4.20,China Chef Restaurant,
669,1675 Contra Costa Boulevard,Asian,,False,False,Pleasant Hill,,925-686-9190,cheap,4.50,Green Garden,
670,1200 Contra Costa Boulevard # K,Asian,2019-03-09,False,True,Pleasant Hill,1,925-288-0999,cheap,4.20,China Chef Restaurant,17:30
671,671 South Bernardo Avenue,Mexican,,False,False,Sunnyvale,,408-739-2900,moderate,4.40,Casa Lupe,
672,510 East El Camino Real,Mexican,,False,True,Sunnyvale,,408-739-1191,moderate,4.10,El Caminito,
673,168 South Murphy Avenue,Mexican,,True,False,Sunnyvale,,408-739-2021,moderate,4.20,Roberto's Cantina,
674,671 South Bernardo Avenue,Mexican,2019-03-13,False,False,Sunnyvale,2,408-739-2900,moderate,4.40,Casa Lupe,12:30
675,50 University Avenue #260,American,2019-03-01,True,True,Los Gatos,4,408-354-8118,moderate,4.10,California Cafe,13:00
676,2644 Broadway,Asian,,False,True,Redwood City,,650-483-8881,moderate,4.20,Crouching Tiger Restaurant,
677,540 El Camino Real,Asian,,False,False,Redwood City,,650-369-3240,moderate,4.50,Higuma Japanese Restaurant,
678,2550 El Camino Real,Asian,,False,True,Redwood City,,650-948-7727,cheap,3.70,Suraj Indian Cuisine,
679,2644 Broadway,Asian,2019-03-02,False,True,Redwood City,2,650-483-8881,moderate,4.20,Crouching Tiger Restaurant,11:00
680,3001 El Camino Real,Italian,2019-03-14,False,True,Redwood City,2,650-321-4080,pricey,4.20,Chantilly,11:30
681,5356 College Avenue,Italian,,False,True,Oakland,,510-768-8003,pricey,4.20,A16,
682,5655 College Avenue,Italian,,False,False,Oakland,,510-547-5356,pricey,4.00,Oliveto,
683,5403 College Avenue,Italian,2019-03-06,False,True,Oakland,2,510-350-7619,moderate,4.70,Belotti Ristorante E Bottega,11:00
684,1170 Arnold Drive #116,Italian,,False,False,Martinez,,925-228-9123,moderate,4.40,Mangia Bene Restaurant,
685,512 Center Avenue,Italian,,False,False,Martinez,,925-313-9040,moderate,4.30,Pasta Bella Ristorante,
686,1170 Arnold Drive #116,Italian,2019-03-10,False,False,Martinez,2,925-228-9123,moderate,4.40,Mangia Bene Restaurant,12:00
687,33 South Central Avenue,Italian,,True,False,Campbell,,408-370-7705,moderate,4.50,A Bellagio Italian Restaurant,
688,1875 South Bascom Avenue,Italian,,False,True,Campbell,,408-377-7722,moderate,3.70,Buca Di Beppo Italian Restaurant,
689,2509 South Bascom Avenue,Italian,,False,False,Campbell,,408-377-5850,moderate,0.00,Dicicco's Ristorante Italiano Autentico,
690,200 East Hamilton Avenue,Italian,,False,False,Campbell,,408-379-3333,moderate,4.20,Mama Mia's,
691,915 South San Tomas Aquino Road,Italian,,False,False,Campbell,,408-374-1800,moderate,4.50,Sorelle Italian Bistro,
692,33 South Central Avenue,Italian,2019-03-06,True,False,Campbell,2,408-370-7705,moderate,4.50,A Bellagio Italian Restaurant,12:30
693,1 Broadway,Breakfast,,True,False,Oakland,,510-990-7007,moderate,4.10,Lungomare,
694,800 Market Street,Breakfast,,False,False,Oakland,,510-839-9331,cheap,3.40,Mcdonald's,
695,1800 Madison Street,Breakfast,,False,True,Oakland,,510-903-3771,moderate,4.20,The Terrace Room Restaurant,
696,1 Broadway,Breakfast,2019-03-06,True,False,Oakland,3,510-990-7007,moderate,4.10,Lungomare,11:30
697,150 East Santa Clara Street,Take-out,,False,True,San Jose,,408-286-7500,moderate,4.30,4th St Pizza Co,
698,1200 El Paseo de Saratoga,Take-out,,True,True,San Jose,,408-378-0778,moderate,3.80,Mimi's Cafe,
699,1170 North Capitol Avenue,Take-out,,False,True,San Jose,,408-926-7133,moderate,3.80,Mountain Mike's Pizza,
700,2226 Eastridge Loop,Take-out,,False,True,San Jose,,408-274-2287,moderate,4.20,Olive Garden Italian Restaurant,
701,150 East Santa Clara Street,Take-out,2019-03-10,False,True,San Jose,1,408-286-7500,moderate,4.30,4th St Pizza Co,12:00
702,2809 Middlefield Road,Mexican,,False,False,Redwood City,,650-368-6444,moderate,3.80,7 Mares,
703,820 Veterans Boulevard ste b,Mexican,,False,True,Redwood City,,650-364-7848,moderate,4.50,Frida's Colibri Restaurant & Bar,
704,2098 Broadway,Mexican,,True,False,Redwood City,,650-701-0709,moderate,4.00,Margaritas,
705,1099 Middlefield Road,Mexican,,True,True,Redwood City,,650-369-4730,moderate,4.30,Milagros Latin Kitchen,
706,2809 Middlefield Road,Mexican,2019-03-09,False,False,Redwood City,2,650-368-6444,moderate,3.80,7 Mares,12:00
707,41 Woodsworth Lane,Asian,,False,True,Pleasant Hill,,925-686-9828,moderate,4.20,Sichuan Fortune House,
708,1200 Contra Costa Boulevard # K,Asian,2019-03-09,False,True,Pleasant Hill,2,925-288-0999,cheap,4.20,China Chef Restaurant,18:30
709,2337 Broadway,Mexican,2019-03-01,True,False,Oakland,2,510-338-3273,moderate,4.20,Calavera,12:30
710,2028 Winchester Boulevard,Chinese,2019-03-12,False,True,Campbell,4,408-378-0323,moderate,4.20,Blue Sky,11:00
711,240 Castro Street,Seafood,,False,False,Mountain View,,650-964-6990,moderate,4.30,Kappo Nami Nami,
712,1405 West El Camino Real,Seafood,,False,False,Mountain View,,650-964-3321,pricey,4.50,Le Petit Bistro,
713,400 San Antonio Road,Seafood,,False,True,Mountain View,,650-941-2117,cheap,4.40,Masa's Sushi,
714,545 San Antonio Road Suite 34,Seafood,,True,True,Mountain View,,650-941-1810,moderate,4.20,Pacific Catch,
715,705 East El Camino Real,Seafood,,False,False,Mountain View,,650-966-1122,moderate,4.20,Satsuma Sushi,
716,1405 West El Camino Real,Seafood,2019-03-13,False,False,Mountain View,4,650-964-3321,pricey,4.50,Le Petit Bistro,11:30
717,8000 El Cerrito Plaza,Italian,2019-03-10,False,True,El Cerrito,2,510-524-9336,moderate,3.90,Romano's Macaroni Grill,11:00
718,877 Grant Avenue,American,,True,False,Novato,,415-899-1516,moderate,4.20,Finnegan's Marin Restaurant & Bar,
719,250 Entrada Drive,American,,True,False,Novato,,415-883-9477,moderate,4.00,Rickey's Restaurant,
720,5800 Nave Drive,American,,True,True,Novato,,415-382-1133,moderate,4.00,Toast Restaurant,
721,225 Alameda del Prado,American,,True,False,Novato,,415-883-9125,moderate,4.10,Wildfox Restaurant,
722,877 Grant Avenue,American,2019-03-05,True,False,Novato,2,415-899-1516,moderate,4.20,Finnegan's Marin Restaurant & Bar,11:00
723,2355 North Main Street,American,,False,False,Walnut Creek,,925-927-1149,moderate,4.60,A'trio,
724,1627 North Broadway,American,,True,True,Walnut Creek,,925-932-2828,moderate,4.50,Benvenuti Ristorante,
725,1548 Bonanza Street,American,,True,False,Walnut Creek,,925-945-6960,moderate,4.50,Broderick Roadhouse,
726,1680 Locust Street,American,,False,False,Walnut Creek,,925-946-0949,moderate,4.20,Katy's Kreek,
727,1358 North Main Street,American,,True,True,Walnut Creek,,925-933-1001,moderate,4.30,Main Street Kitchen & Bar,
728,1300 South Main Street,American,,True,False,Walnut Creek,,925-944-0895,moderate,4.00,Stanford's Restaurant & Bar,
729,2355 North Main Street,American,2019-03-09,False,False,Walnut Creek,2,925-927-1149,moderate,4.60,A'trio,13:00
730,27 North Santa Cruz Avenue,Greek,,False,False,Los Gatos,,408-399-7417,moderate,4.20,Opa! Los Gatos,
731,27 North Santa Cruz Avenue,Greek,2019-03-05,False,False,Los Gatos,2,408-399-7417,moderate,4.20,Opa! Los Gatos,11:30
732,712 Santa Cruz Avenue,Barbecue,,False,False,Menlo Park,,650-473-6458,moderate,4.10,Juban Yakiniku House,
733,712 Santa Cruz Avenue,Barbecue,2019-03-03,False,False,Menlo Park,2,650-473-6458,moderate,4.10,Juban Yakiniku House,11:30
734,135 4th Street,California,,False,False,Santa Rosa,,707-545-6900,moderate,4.50,Jackson's Bar And Oven,
735,205 5th Street,California,,False,False,Santa Rosa,,707-545-4300,moderate,4.50,The Pullman Kitchen,
736,205 5th Street,California,2019-03-09,False,False,Santa Rosa,2,707-545-4300,moderate,4.50,The Pullman Kitchen,13:00
737,2375 Contra Costa Boulevard Ste. A,Japanese,,False,True,Pleasant Hill,,925-356-0292,moderate,4.00,Nama Sushi Pleasant Hill,
738,2375 Contra Costa Boulevard Ste. A,Japanese,2019-03-08,False,True,Pleasant Hill,1,925-356-0292,moderate,4.00,Nama Sushi Pleasant Hill,12:30
739,41 Throckmorton Avenue,Mexican,,True,True,Mill Valley,,415-384-8871,moderate,4.20,Playa Mill Valley,
740,651 East Blithedale Avenue,Mexican,,True,True,Mill Valley,,415-381-1070,moderate,4.20,The Cantina,
741,41 Throckmorton Avenue,Mexican,2019-03-11,True,True,Mill Valley,2,415-384-8871,moderate,4.20,Playa Mill Valley,11:00
742,3287 Mount Diablo Boulevard,American,2019-03-13,False,True,Lafayette,1,925-284-1621,pricey,4.00,Duck Club Restaurant,11:00
743,416 North Santa Cruz Avenue,Coffeehouse,,True,False,Los Gatos,,408-625-7272,moderate,4.40,Enoteca La Storia,
744,416 North Santa Cruz Avenue,Coffeehouse,2019-03-05,True,False,Los Gatos,2,408-625-7272,moderate,4.40,Enoteca La Storia,11:00
745,15475 Los Gatos Boulevard,Sandwich,,False,True,Los Gatos,,408-356-3095,cheap,3.90,Mcdonald's,
746,15475 Los Gatos Boulevard,Sandwich,2019-03-05,False,True,Los Gatos,1,408-356-3095,cheap,3.90,Mcdonald's,12:30
747,914 Main Street,Coffeehouse,,False,False,Antioch,,925-754-6114,cheap,3.50,Mcdonald's,
748,914 Main Street,Coffeehouse,2019-03-04,False,False,Antioch,4,925-754-6114,cheap,3.50,Mcdonald's,13:30
749,172 South Murphy Avenue,Asian,,True,True,Sunnyvale,,408-245-8585,moderate,3.80,Siam Taste,
750,172 South Murphy Avenue,Asian,2019-03-06,True,True,Sunnyvale,2,408-245-8585,moderate,3.80,Siam Taste,13:00
751,2400 Midway Drive,Steakhouse,,False,False,Santa Rosa,,707-546-1446,moderate,4.10,Cattlemens,
752,2400 Midway Drive,Steakhouse,2019-03-01,False,False,Santa Rosa,2,707-546-1446,moderate,4.10,Cattlemens,13:00
753,2521 Guerneville Road,Breakfast,,False,False,Santa Rosa,,707-528-4662,cheap,3.40,Mcdonald's,
754,2521 Guerneville Road,Breakfast,2019-03-06,False,False,Santa Rosa,1,707-528-4662,cheap,3.40,Mcdonald's,12:30
755,1200 Contra Costa Boulevard # K,Asian,2019-03-09,False,True,Pleasant Hill,3,925-288-0999,cheap,4.20,China Chef Restaurant,11:30
756,127 Throckmorton Avenue,Italian,,False,False,Mill Valley,,415-388-0224,moderate,4.50,La Ginestra,
757,22 Miller Avenue,Italian,,True,True,Mill Valley,,415-388-2126,moderate,4.50,Piazza D'angelo,
758,800 Redwood Highway #705,Italian,,True,False,Mill Valley,,415-383-0600,moderate,4.20,Pizza Antica,
759,22 Miller Avenue,Italian,2019-03-08,True,True,Mill Valley,2,415-388-2126,moderate,4.50,Piazza D'angelo,11:00
