,address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
487,"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,2019-03-02,BAM Howard Gilman Opera House,Madonna,Pop,18:00,
488,"1 Tennis Place, Forest Hills",Music,New York,2019-03-02,Forest Hills Stadium,Outlaw Music Festival,Country,20:00,
489,500 Terry A Francois Boulevard Suite 73,Music,San Francisco,2019-03-11,Chase Center Experience,Cher,Pop,20:00,
490,100 Park Boulevard,Sports,San Diego,2019-03-03,Petco Park,Padres Vs Brewers,Baseball,20:00,
491,100 Park Boulevard,Sports,San Diego,2019-03-03,Petco Park,Padres Vs Diamondbacks,Baseball,20:30,
492,100 Park Boulevard,Sports,San Diego,2019-03-03,Petco Park,Padres Vs Rays,Baseball,20:30,
493,1145 Coleman Avenue,Sports,San Jose,2019-03-03,Avaya Stadium,Cruz Azul Vs Atlas,Football,18:30,
494,1 AMB Drive Northwest,Sports,Atlanta,2019-03-11,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:00,
495,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-11,Georgia State Stadium,Panthers Vs Jaguars,Basketball,20:00,
496,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-11,Georgia State Stadium,Panthers Vs Mountaineers,Basketball,19:00,
497,1 AMB Drive Northwest,Sports,Atlanta,2019-03-11,Mercedes-Benz Stadium,United Vs Revolution,Football,20:30,
498,177 North Avenue Northwest,Sports,Atlanta,2019-03-11,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulldogs,American Football,19:00,
499,177 North Avenue Northwest,Sports,Atlanta,2019-03-11,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,18:30,
500,177 North Avenue Northwest,Sports,Atlanta,2019-03-11,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,18:00,
501,177 North Avenue Northwest,Sports,Atlanta,2019-03-11,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Wolfpack,American Football,20:00,
502,2000 East Gene Autry Way,Sports,Anaheim,2019-03-06,Angel Stadium of Anaheim,Angels Vs Astros,Baseball,19:30,
503,2000 East Gene Autry Way,Sports,Anaheim,2019-03-06,Angel Stadium of Anaheim,Angels Vs Mariners,Baseball,20:00,
504,2000 East Gene Autry Way,Sports,Anaheim,2019-03-14,Angel Stadium of Anaheim,Angels Vs Orioles,Baseball,20:30,
505,2000 East Gene Autry Way,Sports,Anaheim,2019-03-09,Angel Stadium of Anaheim,Angels Vs Red Sox,Baseball,19:30,
506,2000 East Gene Autry Way,Sports,Anaheim,2019-03-09,Angel Stadium of Anaheim,Angels Vs Tigers,Baseball,19:30,
507,"1 Tennis Place, Forest Hills",Music,New York,2019-03-14,Forest Hills Stadium,Chemical Brothers,Rock,19:00,
508,"1 Tennis Place, Forest Hills",Music,New York,2019-03-14,Forest Hills Stadium,Jethro Tull,Rock,18:30,
509,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-14,Murmrr,Low,Rock,19:30,
510,235 West 46th Street,Music,New York,2019-03-14,Sony Hall,Panteon Rococo,Rock,19:00,
511,89 South Street,Music,New York,2019-03-14,Pier 17,Squeeze,Rock,18:30,
512,89 South Street,Music,New York,2019-03-14,Pier 17,The Struts,Rock,19:00,
513,235 West 46th Street,Music,New York,2019-03-14,Sony Hall,Vertical Horizon,Rock,19:30,
514,1145 Coleman Avenue,Sports,San Jose,2019-03-11,Avaya Stadium,Cruz Azul Vs Atlas,Football,19:30,
515,123-01 Roosevelt Avenue,Sports,New York,2019-03-08,Citi Field,Mets Vs Indians,Baseball,19:30,
516,123-01 Roosevelt Avenue,Sports,New York,2019-03-08,Citi Field,Mets Vs Phillies,Baseball,18:00,
517,123-01 Roosevelt Avenue,Sports,New York,2019-03-08,Citi Field,Mets Vs Rockies,Baseball,20:30,
518,1 East 161 Street,Sports,New York,2019-03-08,Yankee Stadium,Nycfc Vs Dynamo,Baseball,18:30,
519,1 East 161 Street,Sports,New York,2019-03-08,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,18:30,
520,1 East 161 Street,Sports,New York,2019-03-08,Yankee Stadium,Nycfc Vs Sporting Kc,Baseball,19:00,
521,1 East 161 Street,Sports,New York,2019-03-08,Yankee Stadium,Nycfc Vs Union,Baseball,19:30,
522,1 East 161 Street,Sports,New York,2019-03-08,Yankee Stadium,Revolution Vs Nycfc,Baseball,18:00,
523,1 East 161 Street,Sports,New York,2019-03-08,Yankee Stadium,Yankees Vs Angels,Baseball,20:00,
524,1 Citizens Bank Way,Sports,Philadelphia,2019-03-13,Citizens Bank Park,Phillies Vs Braves,Baseball,19:00,
525,1 Citizens Bank Way,Sports,Philadelphia,2019-03-13,Citizens Bank Park,Phillies Vs White Sox,Baseball,18:30,
526,200 East Cermak Road,Sports,Chicago,2019-03-13,Wintrust Arena,Sky Vs Fever,Basketball,18:30,
527,1 AMB Drive Northwest,Sports,Atlanta,2019-03-12,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:30,
528,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-12,Georgia State Stadium,Panthers Vs Mountaineers,Basketball,18:30,
529,177 North Avenue Northwest,Sports,Atlanta,2019-03-12,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulls,American Football,19:30,
530,177 North Avenue Northwest,Sports,Atlanta,2019-03-12,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,18:30,
531,89 South Street,Music,New York,2019-03-07,Pier 17,Ben Harper,Blues,18:00,
532,"52-19 Flushing Avenue, Maspeth",Music,New York,2019-03-07,Knockdown Center,Blowout Music Festival,Hip Hop,19:00,
533,"64 North 9th Street, Brooklyn",Music,New York,2019-03-07,Rough Trade NYC,Crooked Colours,Electronica,19:00,
534,89 South Street,Music,New York,2019-03-07,Pier 17,Greensky Bluegrass,Blues,20:00,
535,235 West 46th Street,Music,New York,2019-03-07,Sony Hall,Jamey Johnson,Country,20:00,
536,235 West 46th Street,Music,New York,2019-03-07,Sony Hall,Laura Osnes,Classical,18:30,
537,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-07,Murmrr,Low,Rock,19:00,
538,235 West 46th Street,Music,New York,2019-03-07,Sony Hall,Lyfe Jennings,Blues,20:30,
539,235 West 46th Street,Music,New York,2019-03-07,Sony Hall,Shanice,Blues,20:00,
540,401 West Van Buren Street,Music,Phoenix,2019-03-08,The Van Buren,Greensky Bluegrass,Blues,19:30,
541,123-01 Roosevelt Avenue,Sports,New York,2019-03-02,Citi Field,Mets Vs Dodgers,Baseball,19:00,
542,123-01 Roosevelt Avenue,Sports,New York,2019-03-02,Citi Field,Mets Vs Indians,Baseball,18:00,
543,1 East 161 Street,Sports,New York,2019-03-02,Yankee Stadium,Nycfc Vs Red Bulls,Baseball,18:30,
544,1 East 161 Street,Sports,New York,2019-03-02,Yankee Stadium,Nycfc Vs Sporting Kc,Baseball,18:30,
545,1 East 161 Street,Sports,New York,2019-03-02,Yankee Stadium,Nycfc Vs Timbers,Baseball,20:00,
546,1 East 161 Street,Sports,New York,2019-03-02,Yankee Stadium,Nycfc Vs Union,Baseball,20:30,
547,1 East 161 Street,Sports,New York,2019-03-02,Yankee Stadium,Nycfc Vs United,Baseball,18:00,
548,1 East 161 Street,Sports,New York,2019-03-02,Yankee Stadium,Yankees Vs Angels,Baseball,18:00,
549,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-11,Warsaw,Amber Run Brooklyn,Pop,18:30,
550,89 South Street,Music,New York,2019-03-11,Pier 17,Ben Harper,Blues,20:30,
551,89 South Street,Music,New York,2019-03-11,Pier 17,Blackbear,Hip Hop,20:00,
552,"52-19 Flushing Avenue, Maspeth",Music,New York,2019-03-11,Knockdown Center,Blowout Music Festival,Hip Hop,19:30,
553,"64 North 9th Street, Brooklyn",Music,New York,2019-03-11,Rough Trade NYC,Crooked Colours,Electronica,19:30,
554,3608 33rd Street,Music,New York,2019-03-11,Melrose Ballroom,Esscalation Music Festival,Electronica,18:30,
555,881 7th Avenue,Music,New York,2019-03-11,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,20:00,
556,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-11,Prospect Park Bandshell,Mac Demarco,Blues,18:00,
557,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-09,Dodger Stadium,Dodgers Vs Giants,Baseball,19:30,
558,3911 Figueroa Street,Sports,Los Angeles,2019-03-09,LA Memorial Coliseum,Rams Vs Cardinals,American Football,18:30,
559,1111 South Figueroa Street,Sports,Los Angeles,2019-03-09,STAPLES Center,Sparks Vs Mystics,Basketball,18:00,
560,1111 South Figueroa Street,Sports,Los Angeles,2019-03-09,STAPLES Center,Sparks Vs Storm,Basketball,19:00,
561,1111 South Figueroa Street,Sports,Los Angeles,2019-03-09,STAPLES Center,Sparks Vs Wings,Basketball,19:00,
562,3911 Figueroa Street,Sports,Los Angeles,2019-03-09,LA Memorial Coliseum,Usc Vs Oregon,American Football,20:30,
563,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-04,Nationals Park,Nationals Vs Braves,Baseball,19:30,
564,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-04,Nationals Park,Nationals Vs Brewers,Baseball,19:00,
565,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-04,Nationals Park,Nationals Vs Orioles,Baseball,18:30,
566,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-04,Nationals Park,Nationals Vs Rockies,Baseball,18:30,
567,89 South Street,Music,New York,2019-03-14,Pier 17,Ben Harper,Blues,18:30,
568,89 South Street,Music,New York,2019-03-14,Pier 17,Blackbear,Hip Hop,19:30,
569,"52-19 Flushing Avenue, Maspeth",Music,New York,2019-03-14,Knockdown Center,Blowout Music Festival,Hip Hop,18:00,
570,235 West 46th Street,Music,New York,2019-03-14,Sony Hall,Buddy Guy,Blues,20:00,
571,235 West 46th Street,Music,New York,2019-03-14,Sony Hall,Chris Botti,Jazz,20:30,
572,235 West 46th Street,Music,New York,2019-03-14,Sony Hall,Jamey Johnson,Country,18:30,
573,881 7th Avenue,Music,New York,2019-03-14,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,20:00,
574,2000 East Gene Autry Way,Sports,Anaheim,2019-03-02,Angel Stadium of Anaheim,Angels Vs Astros,Baseball,18:30,
575,2000 East Gene Autry Way,Sports,Anaheim,2019-03-02,Angel Stadium of Anaheim,Angels Vs Mariners,Baseball,18:30,
576,2000 East Gene Autry Way,Sports,Anaheim,2019-03-02,Angel Stadium of Anaheim,Angels Vs Orioles,Baseball,19:30,
577,2000 East Gene Autry Way,Sports,Anaheim,2019-03-02,Angel Stadium of Anaheim,Angels Vs White Sox,Baseball,18:00,
578,2000 East Gene Autry Way,Sports,Anaheim,2019-03-02,Angel Stadium of Anaheim,La Angels Vs Houston,Baseball,18:00,
579,1844 Southwest Morrison Street,Sports,Portland,2019-03-12,Providence Park,Portland Thorns Vs Houston,Football,20:30,
580,1844 Southwest Morrison Street,Sports,Portland,2019-03-12,Providence Park,Timbers Vs Dc United,Football,19:00,
581,201 Van Ness Avenue,Music,San Francisco,2019-03-06,San Francisco Symphony,Carmina Burana,Classical,20:30,
582,500 Terry A Francois Boulevard Suite 73,Music,San Francisco,2019-03-06,Chase Center Experience,Celine Dion,Pop,19:00,
583,777 Valencia Street,Music,San Francisco,2019-03-06,The Chapel,Okkervil River,Country,18:00,
584,3911 Figueroa Street,Sports,Los Angeles,2019-03-03,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,20:30,
585,3911 Figueroa Street,Sports,Los Angeles,2019-03-05,LA Memorial Coliseum,Usc Vs Oregon,American Football,20:30,
586,3911 Figueroa Street,Sports,Los Angeles,2019-03-01,LA Memorial Coliseum,Usc Vs Ucla,American Football,20:30,
587,3911 Figueroa Street,Sports,Los Angeles,2019-03-07,LA Memorial Coliseum,Usc Vs Utah,American Football,19:00,
588,2227 Piedmont Avenue,Sports,Berkeley,2019-03-09,California Memorial Stadium,Golden Bears Vs Cougars,American Football,18:00,
589,2227 Piedmont Avenue,Sports,Berkeley,2019-03-10,California Memorial Stadium,Golden Bears Vs Trojans,American Football,20:00,
590,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-08,Dodger Stadium,Dodgers Vs Cubs,Baseball,19:30,
591,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-08,Dodger Stadium,Dodgers Vs Rockies,Baseball,18:00,
592,235 West 46th Street,Music,New York,2019-03-13,Sony Hall,Westside Gunn,Hip Hop,18:30,
593,1250 1st Avenue South,Sports,Seattle,2019-03-07,T-Mobile Park,Mariners Vs Tigers,Baseball,20:30,
594,1250 1st Avenue South,Sports,Seattle,2019-03-07,T-Mobile Park,Mariners Vs White Sox,Baseball,19:00,
595,1100 Oak Drive SE,Sports,Washington D.C.,2019-03-07,Entertainment & Sports Arena,Mystics Vs Sun,Basketball,19:00,
596,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs Diamondbacks,Baseball,18:00,
597,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs Indians,Baseball,19:00,
598,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs Orioles,Baseball,18:30,
599,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs Phillies,Baseball,20:30,
600,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs Rockies,Baseball,18:00,
601,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs Royals,Baseball,19:30,
602,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-07,Nationals Park,Nationals Vs White Sox,Baseball,18:00,
603,1100 Oak Drive SE,Sports,Washington D.C.,2019-03-07,Entertainment & Sports Arena,Washington Vs Ny Liberty,Basketball,18:30,
604,"52-19 Flushing Avenue, Maspeth",Music,New York,2019-03-08,Knockdown Center,Blowout Music Festival,Hip Hop,18:00,
605,2901 East Hastings Street,Music,Vancouver,2019-03-01,PNE Amphitheatre,Zz Top,Blues,18:00,
606,"Brisbane, California 94005, United States",Music,Brisbane,2019-03-10,Brisbane Community Park,Star City Music Festival,Blues,20:30,
607,5500 Phinney Avenue North,,Seattle,2019-03-03,Flamingo Lot,Greensky Bluegrass,,19:00,3
608,777 Pacific Boulevard,,Vancouver,2019-03-04,BC Place,Whitecaps Vs Kansas City,,20:00,2
609,"261 Driggs Avenue, Brooklyn",,New York,2019-03-03,Warsaw,Thee Oh Sees,,18:00,2
610,235 West 46th Street,,New York,2019-03-02,Sony Hall,Lyfe Jennings,,20:30,2
611,29 East Allen Street 2nd Floor,,Philadelphia,2019-03-08,The Foundry,The Lemonheads,,19:30,1
612,1 AMB Drive Northwest,,Atlanta,2019-03-05,Mercedes-Benz Stadium,Falcons Vs Buccaneers,,20:30,4
613,2901 East Hastings Street,,Vancouver,2019-03-07,PNE Amphitheatre,Billy Idol,,20:00,2
614,1530 Disneyland Monrail System,,Anaheim,2019-03-11,Crossroads at House of Blues Anaheim,Brown Sabbath,,18:00,3
615,123-01 Roosevelt Avenue,,New York,2019-03-01,Citi Field,Mets Vs Braves,,19:30,1
616,420 Mason Street,,San Francisco,2019-03-03,August Hall,Allan Rayman,,20:00,3
617,177 North Avenue Northwest,,Atlanta,2019-03-06,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,,19:00,4
618,1234 West 7th Street,,Los Angeles,2019-03-02,The Teragram Ballroom,Murder City Devils,,20:30,2
619,123-01 Roosevelt Avenue,,New York,2019-03-10,Citi Field,Mets Vs Rockies,,18:30,2
620,Holmesdale Road,,London,2019-03-07,Selhurst Park Stadium,Crystal Palace Vs Norwich,,19:00,3
621,1517 21st Street,,Sacramento,2019-03-01,Holy Diver,Yunger,,18:30,4
622,1 East 161 Street,,New York,2019-03-13,Yankee Stadium,Nycfc Vs Timbers,,20:00,4
623,800 Occidental Avenue South,,Seattle,2019-03-01,CenturyLink Field,Sounders Vs Red Bulls,,18:30,4
624,"17 Eastern Parkway, Brooklyn",,New York,2019-03-04,Murmrr,Kishi Bashi,,20:30,1
625,1844 Southwest Morrison Street,,Portland,2019-03-03,Providence Park,Timbers Vs Dc United,,18:00,2
626,"17 Eastern Parkway, Brooklyn",,New York,2019-03-13,Murmrr,The Paper Kites,,20:30,4
627,448 South Main Street,,Los Angeles,2019-03-08,Regent Theater DTLA,Jordan Rakei,,19:30,2
628,"33 Pearl Street Southwest, Washington, District of Columbia 20024, United States",,Washington D.C.,2019-03-01,Pearl Street Warehouse,Nicole Belanus Washington,,19:30,2
629,1 East 161 Street,,New York,2019-03-03,Yankee Stadium,Yankees Vs Indians,,18:00,4
630,24 Willie Mays Plaza,,San Francisco,2019-03-07,Oracle Park,Giants Vs Brewers,,20:00,3
631,401 East Jefferson Street,,Phoenix,2019-03-02,Chase Field,Diamondbacks Vs Dodgers,,20:30,1
632,1 Citizens Bank Way,,Philadelphia,2019-03-05,Citizens Bank Park,Phillies Vs Braves,,20:00,2
633,"1 Tennis Place, Forest Hills",,New York,2019-03-05,Forest Hills Stadium,Outlaw Music Festival,,18:00,3
634,178 Junction Road,,London,2019-03-06,Boston Music Room,Crystal Lake,,19:00,1
635,2000 East Gene Autry Way,,Anaheim,2019-03-02,Angel Stadium of Anaheim,La Angels Vs Houston,,18:00,2
636,1 East 161 Street,,New York,2019-03-14,Yankee Stadium,Yankees Vs Rays,,20:30,4
637,3180 Peachtree Road Northeast,,Atlanta,2019-03-13,Peachtree Road United Methodist Church,Atlanta Summer Organ Festival,,20:30,1
638,333 West 35th Street,,Chicago,2019-03-08,Guaranteed Rate Field,White Sox Vs Astros,,19:30,1
639,451 Queensbridge Road,,London,2019-03-01,The Victoria Dalston,Imperial Daze,,18:00,2
640,2891 University Avenue,,San Diego,2019-03-09,The Observatory North Park,Aly And Aj,,20:30,1
641,"141 Prospect Park West, Brooklyn",,New York,2019-03-10,Prospect Park Bandshell,Mac Demarco,,18:00,1
642,29 East Allen Street 2nd Floor,,Philadelphia,2019-03-06,The Foundry,Tuxedo,,19:00,2
643,2033 West North Avenue,,Chicago,2019-03-02,Chop Shop,The Buttertones,,20:30,2
644,1 East 161 Street,,New York,2019-03-10,Yankee Stadium,Yankees Vs Rays,,20:30,2
645,1 East 161 Street,,New York,2019-03-04,Yankee Stadium,Nycfc Vs Earthquakes,,18:00,1
646,235 West 46th Street,,New York,2019-03-02,Sony Hall,Chris Botti,,19:30,2
647,401 East Jefferson Street,,Phoenix,2019-03-13,Chase Field,Diamondbacks Vs Giants,,20:00,1
648,420 Mason Street,,San Francisco,2019-03-09,August Hall,Allan Rayman,,18:00,1
649,3939 South Figueroa Street,,Los Angeles,2019-03-12,Banc of California Stadium,Lafc Vs Rapids,,20:30,1
650,235 West 46th Street,,New York,2019-03-10,Sony Hall,Buddy Guy,,19:30,3
651,1111 Southwest Broadway,,Portland,2019-03-12,Newmark Theatre,Friends,,18:00,3
652,235 West 46th Street,,New York,2019-03-07,Sony Hall,Shanice,,20:00,3
653,"17 Eastern Parkway, Brooklyn",,New York,2019-03-11,Murmrr,Low,,20:30,2
654,2901 East Hastings Street,,Vancouver,2019-03-10,PNE Amphitheatre,Styx,,18:30,1
655,2000 East Gene Autry Way,,Anaheim,2019-03-04,Angel Stadium of Anaheim,Angels Vs Mariners,,20:00,3
656,235 West 46th Street,,New York,2019-03-03,Sony Hall,Buddy Guy,,19:00,4
657,1250 1st Avenue South,,Seattle,2019-03-01,T-Mobile Park,Mariners Vs Rays,,19:30,2
658,333 West 35th Street,,Chicago,2019-03-02,Guaranteed Rate Field,White Sox Vs Yankees,,18:30,2
659,333 West 35th Street,,Chicago,2019-03-04,Guaranteed Rate Field,White Sox Vs Angels,,20:00,2
660,1111 South Figueroa Street,,Los Angeles,2019-03-09,STAPLES Center,Sparks Vs Storm,,19:00,3
661,130 North Central Avenue,,Phoenix,2019-03-12,Valley Bar,The Chats,,20:30,1
662,235 West 46th Street,,New York,2019-03-11,Sony Hall,Vivian Green,,18:30,4
663,235 West 46th Street,,New York,2019-03-04,Sony Hall,Laura Osnes,,18:30,2
664,123-01 Roosevelt Avenue,,New York,2019-03-10,Citi Field,Mets Vs Rockies,,18:30,3
665,235 West 46th Street,,New York,2019-03-13,Sony Hall,Vertical Horizon,,20:00,4
666,24 Willie Mays Plaza,,San Francisco,2019-03-13,Oracle Park,Giants Vs Phillies,,19:30,4
667,200 South 3rd Street,,Las Vegas,2019-03-01,Downtown Las Vegas Events Center - DLVEC,Life Is Beautiful Festival,,18:00,2
668,2891 University Avenue,,San Diego,2019-03-09,The Observatory North Park,Psychedelic Furs,,19:30,2
669,2891 University Avenue,,San Diego,2019-03-04,The Observatory North Park,The Struts,,18:00,3
670,1250 1st Avenue South,,Seattle,2019-03-06,T-Mobile Park,Mariners Vs Rangers,,18:30,4
671,235 West 46th Street,,New York,2019-03-04,Sony Hall,Jamey Johnson,,18:30,1
672,1 Lincoln Financial Field Way,,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Yellow Jackets,,19:00,1
673,24 Willie Mays Plaza,,San Francisco,2019-03-08,Oracle Park,Giants Vs Rockies,,19:00,2
674,235 West 46th Street,,New York,2019-03-12,Sony Hall,Buddy Guy,,18:30,3
675,"17 Eastern Parkway, Brooklyn",,New York,2019-03-04,Murmrr,Kishi Bashi,,20:30,4
676,420 Mason Street,,San Francisco,2019-03-13,August Hall,Matt Corby,,20:30,1
677,100 Park Boulevard,,San Diego,2019-03-12,Petco Park,Padres Vs Orioles,,18:30,3
678,100 Park Boulevard,,San Diego,2019-03-03,Petco Park,Padres Vs Diamondbacks,,20:30,1
679,123-01 Roosevelt Avenue,Sports,New York,2019-03-13,Citi Field,Mets Vs Diamondbacks,Baseball,20:00,
680,123-01 Roosevelt Avenue,Sports,New York,2019-03-13,Citi Field,Mets Vs Pirates,Baseball,20:00,
681,1 East 161 Street,Sports,New York,2019-03-13,Yankee Stadium,Nycfc Vs Dynamo,Baseball,19:00,
682,1 East 161 Street,Sports,New York,2019-03-13,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,19:30,
683,1 East 161 Street,Sports,New York,2019-03-13,Yankee Stadium,Nycfc Vs Timbers,Baseball,20:00,
684,1 East 161 Street,Sports,New York,2019-03-13,Yankee Stadium,Revolution Vs Nycfc,Baseball,20:00,
685,1 East 161 Street,Sports,New York,2019-03-13,Yankee Stadium,Yankees Vs Diamondbacks,Baseball,20:30,
686,1 East 161 Street,Sports,New York,2019-03-13,Yankee Stadium,Yankees Vs Rangers,Baseball,20:30,
687,1060 West Addison Street,Sports,Chicago,2019-03-11,Wrigley Field,Cubs Vs Brewers,Baseball,19:00,
688,1060 West Addison Street,Sports,Chicago,2019-03-11,Wrigley Field,Cubs Vs Giants,Baseball,19:30,
689,1060 West Addison Street,Sports,Chicago,2019-03-11,Wrigley Field,Cubs Vs Padres,Baseball,20:30,
690,200 East Cermak Road,Sports,Chicago,2019-03-11,Wintrust Arena,Sky Vs Fever,Basketball,19:30,
691,333 West 35th Street,Sports,Chicago,2019-03-11,Guaranteed Rate Field,White Sox Vs Angels,Baseball,19:30,
692,333 West 35th Street,Sports,Chicago,2019-03-11,Guaranteed Rate Field,White Sox Vs Astros,Baseball,18:00,
693,333 West 35th Street,Sports,Chicago,2019-03-11,Guaranteed Rate Field,White Sox Vs Rangers,Baseball,19:00,
694,2033 West North Avenue,Music,Chicago,2019-03-11,Chop Shop,The Buttertones,Rock,18:30,
695,2367 Shattuck Avenue,Music,Berkeley,2019-03-12,Cornerstone Craft Beer & Live Music,Nattali Rize,Blues,19:30,
696,5970 Santa Monica Boulevard,Music,Los Angeles,2019-03-01,Masonic Lodge at Hollywood Forever,Jordan Rakei,Jazz,19:00,
697,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-11,Dodger Stadium,Dodgers Vs Cubs,Baseball,19:00,
698,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-11,Dodger Stadium,Dodgers Vs Diamondbacks,Baseball,20:00,
699,3939 South Figueroa Street,Sports,Los Angeles,2019-03-11,Banc of California Stadium,Lafc Vs Toronto Fc,Football,20:00,
700,3911 Figueroa Street,Sports,Los Angeles,2019-03-11,LA Memorial Coliseum,Rams Vs Cardinals,American Football,19:00,
701,1111 South Figueroa Street,Sports,Los Angeles,2019-03-11,STAPLES Center,Sparks Vs Wings,Basketball,19:30,
702,3911 Figueroa Street,Sports,Los Angeles,2019-03-11,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,18:00,
703,3911 Figueroa Street,Sports,Los Angeles,2019-03-11,LA Memorial Coliseum,Usc Vs Utah,American Football,18:30,
704,1 Blue Jays Way,Sports,Toronto,2019-03-02,Rogers Centre,Blue Jays Vs Astros,Baseball,19:00,
705,1 Blue Jays Way,Sports,Toronto,2019-03-02,Rogers Centre,Blue Jays Vs Rays,Baseball,18:00,
706,1 Blue Jays Way,Sports,Toronto,2019-03-02,Rogers Centre,Blue Jays Vs Royals,Baseball,18:00,
707,170 Princes' Boulevard,Sports,Toronto,2019-03-02,BMO Field,Toronto Fc Vs Rapids,Football,19:00,
708,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-05,Dodger Stadium,Dodgers Vs Cubs,Baseball,18:30,
709,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-05,Dodger Stadium,Dodgers Vs Marlins,Baseball,20:30,
710,1111 South Figueroa Street,Sports,Los Angeles,2019-03-05,STAPLES Center,Sparks Vs Lynx,Basketball,19:30,
711,1111 South Figueroa Street,Sports,Los Angeles,2019-03-05,STAPLES Center,Sparks Vs Mystics,Basketball,18:30,
712,3911 Figueroa Street,Sports,Los Angeles,2019-03-05,LA Memorial Coliseum,Usc Vs Ucla,American Football,18:30,
713,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-07,Murmrr,The Paper Kites,Rock,19:00,
714,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-07,Warsaw,Thee Oh Sees,Rock,19:30,
715,2367 Shattuck Avenue,Music,Berkeley,2019-03-10,Cornerstone Craft Beer & Live Music,Fidlar,Rock,20:30,
716,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-09,Nationals Park,Nationals Vs Phillies,Baseball,18:30,
717,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-13,Nationals Park,Nationals Vs Rockies,Baseball,20:00,
718,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-14,Nationals Park,Nationals Vs Royals,Baseball,19:00,
719,235 West 46th Street,Music,New York,2019-03-03,Sony Hall,Jamey Johnson,Country,18:30,
720,1234 West 7th Street,Music,Los Angeles,2019-03-09,The Teragram Ballroom,Girl In Red,Pop,18:30,
721,1600 Garden Highway,Music,Sacramento,2019-03-10,Discovery Park,Aftershock Festival,Rock,19:30,
722,1234 West 7th Street,Music,Los Angeles,2019-03-13,The Teragram Ballroom,Guided By Voices,Rock,19:30,
723,448 South Main Street,Music,Los Angeles,2019-03-13,Regent Theater DTLA,Jordan Rakei,Jazz,19:00,
724,1234 West 7th Street,Music,Los Angeles,2019-03-13,The Teragram Ballroom,Murder City Devils,Rock,18:00,
725,448 South Main Street,Music,Los Angeles,2019-03-13,Regent Theater DTLA,Starset,Rock,20:00,
726,448 South Main Street,Music,Los Angeles,2019-03-13,Regent Theater DTLA,The Acid,Electronica,19:30,
727,2891 University Avenue,Music,San Diego,2019-03-04,The Observatory North Park,Local Natives,Rock,20:00,
