,airlines,departure_date,destination_airport,is_nonstop,number_of_tickets,origin_airport,outbound_arrival_time,outbound_departure_time,price,seating_class,inbound_arrival_time,inbound_departure_time,return_date
258,Southwest Airlines,2019-03-05,New York,True,1,Philadelphia,15:36,14:45,94,Economy,11:41,10:50,2019-03-07
259,United Airlines,2019-03-05,New York,True,1,Philadelphia,10:36,09:45,95,Economy,06:26,05:35,2019-03-07
260,American Airlines,2019-03-01,Vancouver,False,1,New York,16:11,09:45,496,Economy,04:16,11:20,2019-03-04
261,Delta Airlines,2019-03-01,Vancouver,False,1,New York,21:56,16:20,471,Economy,20:56,06:35,2019-03-04
262,United Airlines,2019-03-01,Vancouver,False,1,New York,21:56,11:20,453,Economy,17:19,03:50,2019-03-04
263,American Airlines,2019-03-01,Philadelphia,False,1,Berlin,14:36,02:55,499,Economy,14:06,17:45,2019-03-06
264,United Airlines,2019-03-01,Philadelphia,False,1,Berlin,23:01,16:25,459,Economy,14:06,13:55,2019-03-06
265,United Airlines,2019-03-03,New York,True,1,Los Angeles,20:10,11:00,332,Economy,15:00,11:50,2019-03-14
266,American Airlines,2019-03-05,Los Angeles,True,1,London,18:34,12:45,292,Economy,,,
267,British Airways,2019-03-05,Los Angeles,False,1,London,10:57,03:25,373,Economy,,,
268,Delta Airlines,2019-03-05,Los Angeles,False,1,London,15:27,03:55,402,Economy,,,
269,United Airlines,2019-03-05,Los Angeles,False,1,London,21:52,12:40,376,Economy,,,
270,British Airways,2019-03-05,Los Angeles,True,1,London,20:19,14:30,410,Premium Economy,,,
271,American Airlines,2019-03-09,Los Angeles,True,1,London,18:34,12:45,271,Economy,,,
272,British Airways,2019-03-09,Los Angeles,True,1,London,20:19,14:30,276,Economy,,,
273,Alaska Airlines,2019-03-07,London,False,1,Seattle,05:59,07:05,398,Economy,,,
274,Delta Airlines,2019-03-07,London,False,1,Seattle,18:04,19:20,386,Economy,,,
275,Alaska Airlines,2019-03-06,San Diego,True,1,San Francisco,14:05,12:25,104,Economy,,,
276,American Airlines,2019-03-06,San Diego,True,1,San Francisco,11:00,09:20,103,Economy,,,
277,Delta Airlines,2019-03-06,San Diego,False,1,San Francisco,13:09,09:45,132,Economy,,,
278,Southwest Airlines,2019-03-06,San Diego,True,1,San Francisco,14:20,12:40,103,Economy,,,
279,United Airlines,2019-03-06,San Diego,True,1,San Francisco,10:00,08:20,93,Economy,,,
280,Alaska Airlines,2019-03-06,Mexico City,False,1,Portland,02:43,15:10,251,Economy,,,
281,American Airlines,2019-03-06,Mexico City,False,1,Portland,21:05,11:20,264,Economy,,,
282,Delta Airlines,2019-03-06,Mexico City,False,1,Portland,22:10,09:25,261,Economy,,,
283,Southwest Airlines,2019-03-06,Mexico City,False,1,Portland,02:55,18:35,237,Economy,,,
284,United Airlines,2019-03-06,Mexico City,False,1,Portland,02:55,18:20,236,Economy,,,
285,Southwest Airlines,2019-03-10,Delhi,True,1,New York,11:20,15:45,232,Economy,,,
286,United Airlines,2019-03-10,Delhi,False,1,New York,16:37,10:00,421,Economy,,,
287,Alaska Airlines,2019-03-10,Portland,True,1,San Diego,17:04,14:20,139,Economy,,,
288,Delta Airlines,2019-03-10,Portland,True,1,San Diego,11:24,08:40,146,Economy,,,
289,Southwest Airlines,2019-03-10,Portland,True,1,San Diego,09:59,07:15,127,Economy,,,
290,United Airlines,2019-03-10,Portland,True,1,San Diego,13:29,10:45,132,Economy,,,
291,Air France,2019-03-08,Portland,False,1,Paris,17:48,07:35,326,Economy,,,
292,American Airlines,2019-03-08,Portland,False,1,Paris,17:48,09:40,363,Economy,,,
293,United Airlines,2019-03-08,Portland,False,1,Paris,01:25,14:45,375,Economy,,,
294,American Airlines,2019-03-07,San Francisco,False,3,Washington,16:25,10:30,269,Economy,,,
295,Delta Airlines,2019-03-07,San Francisco,False,3,Washington,16:12,10:30,277,Economy,,,
296,Southwest Airlines,2019-03-07,San Francisco,False,3,Washington,16:50,12:30,264,Economy,,,
297,United Airlines,2019-03-07,San Francisco,False,3,Washington,16:12,11:45,274,Economy,,,
298,American Airlines,2019-03-01,Chicago,False,1,Mexico City,03:57,16:25,285,Economy,,,
299,Delta Airlines,2019-03-01,Chicago,False,1,Mexico City,23:47,15:10,294,Economy,,,
300,United Airlines,2019-03-01,Chicago,False,1,Mexico City,17:37,07:10,291,Economy,,,
301,American Airlines,2019-03-02,Chicago,False,1,New York,15:06,11:20,190,Economy,,,
302,Delta Airlines,2019-03-02,Chicago,True,1,New York,10:14,08:55,138,Economy,,,
303,Southwest Airlines,2019-03-02,Chicago,True,1,New York,13:04,11:45,119,Economy,,,
304,United Airlines,2019-03-02,Chicago,True,1,New York,15:49,14:30,144,Economy,,,
305,American Airlines,2019-03-03,New York,True,1,Mexico City,06:36,02:05,163,Economy,,,
306,Delta Airlines,2019-03-03,New York,True,1,Mexico City,23:26,18:55,153,Economy,,,
307,United Airlines,2019-03-03,New York,True,1,Mexico City,20:21,15:50,141,Economy,,,
308,American Airlines,2019-03-08,San Francisco,True,1,New York,15:56,12:30,187,Economy,,,
309,Delta Airlines,2019-03-08,San Francisco,True,1,New York,01:01,21:35,212,Economy,,,
310,Southwest Airlines,2019-03-08,San Francisco,True,1,New York,21:41,18:15,177,Economy,,,
311,United Airlines,2019-03-08,San Francisco,True,1,New York,23:01,19:35,161,Economy,,,
312,LATAM Brasil,2019-03-01,San Francisco,False,1,Rio de Janeiro,15:56,00:50,414,Economy,,,
313,American Airlines,2019-03-01,Delhi,False,1,Las Vegas,15:34,10:25,339,Economy,,,
314,United Airlines,2019-03-01,Delhi,False,1,Las Vegas,15:34,08:25,339,Economy,,,
315,American Airlines,2019-03-01,Toronto,False,1,Philadelphia,23:08,17:45,323,Premium Economy,,,
316,Delta Airlines,2019-03-01,Toronto,False,1,Philadelphia,23:08,16:15,331,Premium Economy,,,
317,United Airlines,2019-03-01,Toronto,False,1,Philadelphia,23:08,13:55,292,Premium Economy,,,
318,United Airlines,2019-03-01,Toronto,True,1,Washington,16:30,15:05,144,Premium Economy,,,
319,Alaska Airlines,2019-03-02,Vancouver,True,3,Los Angeles,11:14,08:10,225,Premium Economy,,,
320,Southwest Airlines,2019-03-02,Vancouver,True,3,Los Angeles,12:49,09:45,217,Premium Economy,,,
321,United Airlines,2019-03-02,Vancouver,True,3,Los Angeles,12:34,09:30,199,Premium Economy,,,
322,American Airlines,2019-03-01,Los Angeles,True,4,Las Vegas,11:35,10:25,84,Economy,,,
323,Delta Airlines,2019-03-01,Los Angeles,True,4,Las Vegas,20:55,19:45,75,Economy,,,
324,Southwest Airlines,2019-03-01,Los Angeles,True,4,Las Vegas,20:30,19:20,80,Economy,,,
325,United Airlines,2019-03-01,Los Angeles,True,4,Las Vegas,09:35,08:25,84,Economy,,,
326,Air France,2019-03-01,Las Vegas,False,1,Paris,14:55,07:35,356,Economy,,,
327,American Airlines,2019-03-01,Las Vegas,False,1,Paris,19:20,09:40,392,Economy,,,
328,United Airlines,2019-03-01,Las Vegas,False,1,Paris,21:45,15:00,398,Economy,,,
329,Alaska Airlines,2019-03-01,Chicago,True,1,San Francisco,12:57,06:10,188,Economy,,,
330,American Airlines,2019-03-01,Toronto,False,1,San Francisco,19:34,04:00,240,Economy,,,
331,Delta Airlines,2019-03-01,Toronto,False,1,San Francisco,00:14,09:45,263,Economy,,,
332,Southwest Airlines,2019-03-01,Toronto,False,1,San Francisco,00:14,12:25,258,Economy,,,
333,United Airlines,2019-03-01,Toronto,False,1,San Francisco,20:28,08:20,274,Economy,,,
334,American Airlines,2019-03-01,San Francisco,False,2,London,01:05,12:45,353,Economy,,,
335,American Airlines,2019-03-01,San Diego,True,3,Las Vegas,00:19,23:05,85,Economy,,,
336,Alaska Airlines,2019-03-06,Los Angeles,True,1,San Francisco,13:50,12:25,99,Economy,,,
337,American Airlines,2019-03-06,Los Angeles,True,1,San Francisco,20:35,19:10,93,Economy,,,
338,Delta Airlines,2019-03-06,Los Angeles,True,1,San Francisco,11:10,09:45,88,Economy,,,
339,Southwest Airlines,2019-03-06,Los Angeles,True,1,San Francisco,15:50,14:25,95,Economy,,,
340,United Airlines,2019-03-06,Los Angeles,True,1,San Francisco,23:15,21:50,86,Economy,,,
341,American Airlines,2019-03-09,Nairobi,False,1,Chicago,11:02,05:05,410,Economy,,,
342,Southwest Airlines,2019-03-09,Nairobi,False,1,Chicago,11:02,04:10,422,Economy,,,
343,American Airlines,2019-03-01,Toronto,False,1,Atlanta,12:25,05:10,202,Economy,,,
344,Delta Airlines,2019-03-01,Toronto,False,1,Atlanta,12:28,06:50,195,Economy,,,
345,Southwest Airlines,2019-03-01,Toronto,False,1,Atlanta,20:28,14:30,208,Economy,,,
346,United Airlines,2019-03-01,Toronto,False,1,Atlanta,23:08,13:45,207,Economy,,,
347,American Airlines,2019-03-01,Los Angeles,True,1,Chicago,12:52,10:20,164,Economy,,,
348,Delta Airlines,2019-03-01,Los Angeles,True,1,Chicago,15:27,12:55,193,Economy,,,
349,Southwest Airlines,2019-03-01,Los Angeles,True,1,Chicago,21:52,19:20,163,Economy,,,
350,United Airlines,2019-03-01,Los Angeles,True,1,Chicago,20:12,17:40,183,Economy,,,
351,American Airlines,2019-03-10,Portland,False,1,Vancouver,01:25,17:10,277,Economy,,,
352,American Airlines,2019-03-07,San Diego,True,1,Las Vegas,00:19,23:05,85,Economy,,,
353,Delta Airlines,2019-03-07,San Diego,True,1,Las Vegas,09:34,08:20,74,Economy,,,
354,Southwest Airlines,2019-03-07,San Diego,True,1,Las Vegas,21:29,20:15,94,Economy,,,
355,United Airlines,2019-03-07,San Diego,False,1,Las Vegas,10:59,08:25,154,Economy,,,
356,American Airlines,2019-03-01,Phoenix,True,1,Atlanta,06:02,04:50,158,Economy,,,
357,Southwest Airlines,2019-03-01,Phoenix,True,1,Atlanta,07:27,06:15,177,Economy,,,
358,United Airlines,2019-03-01,Phoenix,True,1,Atlanta,01:02,23:50,197,Economy,,,
359,American Airlines,2019-03-01,Phoenix,True,2,Atlanta,06:02,04:50,158,Economy,,,
360,Southwest Airlines,2019-03-01,Phoenix,True,2,Atlanta,07:27,06:15,177,Economy,,,
361,United Airlines,2019-03-01,Phoenix,True,2,Atlanta,01:02,23:50,197,Economy,,,
362,Alaska Airlines,2019-03-11,London,False,1,Seattle,05:59,07:05,391,Economy,,,
363,Delta Airlines,2019-03-11,London,False,1,Seattle,18:04,19:20,383,Economy,,,
364,Air France,2019-03-02,San Diego,False,1,Paris,14:05,07:35,353,Economy,,,
365,American Airlines,2019-03-02,San Diego,False,1,Paris,20:30,09:40,376,Economy,,,
366,United Airlines,2019-03-02,San Diego,False,1,Paris,21:39,14:45,344,Economy,,,
367,American Airlines,2019-03-01,Mexico City,False,1,Seattle,01:08,16:15,266,Economy,,,
368,Delta Airlines,2019-03-01,Mexico City,False,1,Seattle,21:05,12:35,267,Economy,,,
369,Southwest Airlines,2019-03-01,Mexico City,False,1,Seattle,01:08,13:35,248,Economy,,,
370,American Airlines,2019-03-01,San Francisco,False,2,Philadelphia,22:37,17:45,259,Economy,,,
371,Delta Airlines,2019-03-01,San Francisco,False,2,Philadelphia,03:16,22:45,251,Economy,,,
372,Southwest Airlines,2019-03-01,San Francisco,False,2,Philadelphia,11:57,07:15,290,Economy,,,
373,United Airlines,2019-03-01,San Francisco,False,2,Philadelphia,18:57,13:55,296,Economy,,,
374,Alaska Airlines,2019-03-02,Toronto,False,1,San Diego,00:14,13:05,220,Economy,,,
375,Southwest Airlines,2019-03-02,Toronto,False,1,San Diego,00:14,12:20,216,Economy,,,
376,United Airlines,2019-03-02,Toronto,False,1,San Diego,00:14,09:15,214,Economy,,,
377,American Airlines,2019-03-06,London,False,1,Philadelphia,06:47,13:20,234,Economy,,,
378,Delta Airlines,2019-03-06,London,False,1,Philadelphia,11:19,14:55,324,Economy,,,
379,Southwest Airlines,2019-03-06,London,False,1,Philadelphia,06:47,14:45,243,Economy,,,
380,United Airlines,2019-03-06,London,False,1,Philadelphia,21:12,07:35,258,Economy,,,
381,Delta Airlines,2019-03-01,London,False,1,Los Angeles,07:49,06:05,403,Economy,,,
382,Southwest Airlines,2019-03-01,London,True,1,Los Angeles,05:59,10:10,232,Economy,,,
383,United Airlines,2019-03-01,London,False,1,Los Angeles,08:22,07:05,394,Economy,,,
384,United Airlines,2019-03-01,Toronto,True,2,Washington,16:30,15:05,95,Economy,,,
385,Delta Airlines,2019-03-01,Chicago,True,1,Vancouver,18:56,12:20,173,Economy,,,
386,United Airlines,2019-03-06,Los Angeles,True,1,Berlin,08:41,04:05,263,Economy,,,
387,American Airlines,2019-03-01,Atlanta,True,1,London,02:09,20:05,249,Economy,,,
388,Delta Airlines,2019-03-01,Atlanta,True,1,London,15:34,09:30,245,Economy,,,
389,United Airlines,2019-03-01,Atlanta,True,1,London,15:19,09:15,269,Economy,,,
390,Delta Airlines,2019-03-03,London,True,1,New York,09:12,20:50,210,Economy,,,
391,Alaska Airlines,2019-03-05,San Diego,False,1,Portland,14:05,10:05,208,Economy,,,
392,American Airlines,2019-03-05,San Diego,False,1,Portland,13:09,09:35,166,Economy,,,
393,Delta Airlines,2019-03-05,San Diego,True,1,Portland,23:44,21:00,150,Economy,,,
394,Southwest Airlines,2019-03-05,San Diego,True,1,Portland,20:39,17:55,149,Economy,,,
395,United Airlines,2019-03-05,San Diego,True,1,Portland,12:19,09:35,128,Economy,,,
396,Alaska Airlines,2019-03-11,Chicago,True,1,San Francisco,12:57,06:10,183,Economy,,,
397,American Airlines,2019-03-11,Chicago,True,1,San Francisco,23:47,17:00,185,Economy,,,
398,Delta Airlines,2019-03-11,Chicago,True,1,San Francisco,03:57,21:10,180,Economy,,,
399,Southwest Airlines,2019-03-11,Chicago,False,1,San Francisco,19:14,07:55,293,Economy,,,
400,United Airlines,2019-03-11,Chicago,True,1,San Francisco,22:22,15:35,181,Economy,,,
401,Delta Airlines,2019-03-01,Nairobi,False,3,Chicago,12:17,08:00,425,Economy,,,
402,Southwest Airlines,2019-03-01,Toronto,False,1,San Diego,00:14,13:55,241,Economy,,,
403,United Airlines,2019-03-01,Toronto,False,1,San Diego,19:34,09:15,215,Economy,,,
404,Alaska Airlines,2019-03-01,Phoenix,True,1,San Francisco,01:57,23:50,114,Economy,,,
405,American Airlines,2019-03-01,Phoenix,True,1,San Francisco,09:37,07:30,115,Economy,,,
406,Delta Airlines,2019-03-01,Phoenix,True,1,San Francisco,10:37,08:30,113,Economy,,,
407,Southwest Airlines,2019-03-01,Phoenix,False,1,San Francisco,18:23,14:25,179,Economy,,,
408,United Airlines,2019-03-01,Phoenix,False,1,San Francisco,16:08,12:25,173,Economy,,,
409,Alaska Airlines,2019-03-05,Toronto,False,3,San Diego,00:14,13:05,278,Economy,,,
410,Southwest Airlines,2019-03-05,Toronto,False,3,San Diego,00:14,12:20,268,Economy,,,
411,United Airlines,2019-03-05,Toronto,False,3,San Diego,00:14,09:15,262,Economy,,,
412,United Airlines,2019-03-05,Toronto,False,3,San Diego,00:04,09:15,362,Premium Economy,,,
413,Southwest Airlines,2019-03-06,Toronto,False,2,San Diego,00:14,12:20,420,Premium Economy,,,
414,Alaska Airlines,2019-03-02,Phoenix,True,1,Portland,13:15,10:20,135,Economy,,,
415,American Airlines,2019-03-02,Phoenix,False,1,Portland,16:03,11:20,207,Economy,,,
416,Delta Airlines,2019-03-02,Phoenix,True,1,Portland,21:00,18:05,128,Economy,,,
417,Southwest Airlines,2019-03-02,Phoenix,True,1,Portland,01:30,22:35,168,Economy,,,
418,United Airlines,2019-03-02,Phoenix,False,1,Portland,22:47,17:35,228,Economy,,,
419,Alaska Airlines,2019-03-10,Portland,True,3,Los Angeles,08:00,05:30,145,Economy,,,
420,American Airlines,2019-03-06,New York,True,1,Philadelphia,14:11,13:20,55,Economy,,,
421,Delta Airlines,2019-03-06,New York,True,1,Philadelphia,15:51,15:00,56,Economy,,,
422,Southwest Airlines,2019-03-06,New York,True,1,Philadelphia,22:56,22:05,60,Economy,,,
423,United Airlines,2019-03-06,New York,True,1,Philadelphia,12:21,11:30,61,Economy,,,
424,American Airlines,2019-03-09,San Francisco,False,1,Kuala Lumpur,16:25,10:30,407,Economy,,,
425,Delta Airlines,2019-03-09,San Francisco,True,1,Kuala Lumpur,01:09,22:10,298,Economy,,,
426,American Airlines,2019-03-05,Philadelphia,True,1,New York,12:11,11:20,54,Economy,,,
427,Delta Airlines,2019-03-05,Philadelphia,True,1,New York,13:11,12:20,67,Economy,,,
428,Southwest Airlines,2019-03-05,Philadelphia,True,1,New York,11:41,10:50,54,Economy,,,
429,United Airlines,2019-03-05,Philadelphia,True,1,New York,06:26,05:35,70,Economy,,,
430,Delta Airlines,2019-03-01,Nairobi,False,1,Atlanta,11:02,06:05,424,Economy,,,
431,United Airlines,2019-03-01,Nairobi,False,1,Atlanta,11:02,07:25,421,Economy,,,
432,Alaska Airlines,2019-03-03,San Francisco,True,1,Los Angeles,01:05,23:40,91,Economy,,,
433,American Airlines,2019-03-03,San Francisco,True,1,Los Angeles,08:05,06:40,96,Economy,,,
434,Delta Airlines,2019-03-03,San Francisco,True,1,Los Angeles,22:30,21:05,106,Economy,,,
435,Southwest Airlines,2019-03-03,San Francisco,True,1,Los Angeles,08:50,07:25,103,Economy,,,
436,United Airlines,2019-03-03,San Francisco,True,1,Los Angeles,10:50,09:25,105,Economy,,,
437,Alaska Airlines,2019-03-03,San Francisco,True,1,Los Angeles,01:05,23:40,141,Premium Economy,,,
438,American Airlines,2019-03-03,San Francisco,True,1,Los Angeles,10:55,09:30,170,Premium Economy,,,
439,Delta Airlines,2019-03-03,San Francisco,True,1,Los Angeles,22:30,21:05,167,Premium Economy,,,
440,Southwest Airlines,2019-03-03,San Francisco,True,1,Los Angeles,08:50,07:25,152,Premium Economy,,,
441,Delta Airlines,2019-03-03,San Francisco,True,1,New York,01:01,21:35,217,Economy,,,
442,South African Airways,2019-03-08,San Diego,False,1,Cape Town,10:59,14:05,208,Economy,,,
443,American Airlines,2019-03-04,San Diego,False,1,Washington,14:14,10:30,243,Economy,,,
444,Southwest Airlines,2019-03-04,San Diego,False,1,Washington,16:44,12:30,223,Economy,,,
445,Air Canada,2019-03-01,Portland,False,1,Toronto,01:25,16:35,277,Economy,,,
446,United Airlines,2019-03-01,Portland,False,1,Toronto,10:00,04:45,300,Economy,,,
447,Air Canada,2019-03-02,Portland,False,1,Toronto,01:25,16:35,295,Economy,,,
448,American Airlines,2019-03-01,Seattle,False,2,Vancouver,20:46,11:20,253,Economy,,,
449,Delta Airlines,2019-03-01,Seattle,False,2,Vancouver,13:01,06:35,241,Economy,,,
450,United Airlines,2019-03-01,Seattle,False,2,Vancouver,23:46,13:40,242,Economy,,,
451,American Airlines,2019-03-02,New York,True,1,Washington,22:35,21:25,81,Economy,,,
452,Delta Airlines,2019-03-02,New York,True,1,Washington,14:05,12:55,83,Economy,,,
453,Southwest Airlines,2019-03-02,New York,True,1,Washington,22:00,20:50,86,Economy,,,
454,United Airlines,2019-03-02,New York,True,1,Washington,17:45,16:35,89,Economy,,,
455,American Airlines,2019-03-01,Washington,False,1,Philadelphia,23:33,17:45,233,Economy,,,
456,Delta Airlines,2019-03-01,Washington,False,1,Philadelphia,20:08,14:55,215,Economy,,,
457,Southwest Airlines,2019-03-01,Washington,False,1,Philadelphia,18:10,14:45,140,Economy,,,
458,United Airlines,2019-03-01,Washington,False,1,Philadelphia,18:48,13:55,218,Economy,,,
459,American Airlines,2019-03-07,Philadelphia,False,1,Washington,00:41,19:10,225,Economy,,,
460,Delta Airlines,2019-03-07,Philadelphia,False,1,Washington,16:11,10:30,251,Economy,,,
461,Southwest Airlines,2019-03-07,Philadelphia,False,1,Washington,13:51,08:40,215,Economy,,,
462,United Airlines,2019-03-07,Philadelphia,False,1,Washington,16:11,11:45,248,Economy,,,
463,Southwest Airlines,2019-03-01,Philadelphia,True,4,New York,11:41,10:50,56,Economy,,,
464,Southwest Airlines,2019-03-01,Portland,True,4,Seattle,06:13,05:15,64,Economy,,,
465,United Airlines,2019-03-01,Portland,True,4,Seattle,00:38,23:40,66,Economy,,,
466,Southwest Airlines,2019-03-01,New York,True,1,Philadelphia,22:56,22:05,101,Premium Economy,,,
467,United Airlines,2019-03-05,Seattle,True,3,Portland,05:38,04:40,64,Economy,,,
468,American Airlines,2019-03-07,New York,True,4,Washington,22:35,21:25,90,Economy,,,
469,Delta Airlines,2019-03-07,New York,True,4,Washington,14:05,12:55,99,Economy,,,
470,Southwest Airlines,2019-03-07,New York,True,4,Washington,17:10,16:00,83,Economy,,,
471,United Airlines,2019-03-07,New York,True,4,Washington,17:45,16:35,95,Economy,,,
472,American Airlines,2019-03-04,Philadelphia,True,2,New York,12:11,11:20,68,Economy,,,
473,Delta Airlines,2019-03-04,Philadelphia,True,2,New York,13:11,12:20,46,Economy,,,
474,Southwest Airlines,2019-03-04,Philadelphia,True,2,New York,11:41,10:50,68,Economy,,,
475,United Airlines,2019-03-04,Philadelphia,True,2,New York,06:26,05:35,64,Economy,,,
476,American Airlines,2019-03-05,New York,True,1,Philadelphia,08:16,07:25,66,Economy,,,
477,Delta Airlines,2019-03-05,New York,True,1,Philadelphia,15:51,15:00,65,Economy,,,
478,Southwest Airlines,2019-03-05,New York,True,1,Philadelphia,22:56,22:05,65,Economy,,,
479,United Airlines,2019-03-05,New York,True,1,Philadelphia,10:36,09:45,65,Economy,,,
480,Alaska Airlines,2019-03-04,Las Vegas,True,4,San Francisco,17:15,15:40,103,Economy,,,
481,American Airlines,2019-03-04,Las Vegas,True,4,San Francisco,14:55,13:20,101,Economy,,,
482,Delta Airlines,2019-03-04,Las Vegas,True,4,San Francisco,19:25,17:50,102,Economy,,,
483,Southwest Airlines,2019-03-04,Las Vegas,True,4,San Francisco,08:50,07:15,97,Economy,,,
484,United Airlines,2019-03-04,Las Vegas,True,4,San Francisco,18:10,16:35,105,Economy,,,
485,Delta Airlines,2019-03-05,Vancouver,False,1,Seattle,10:47,04:10,219,Economy,,,
486,Southwest Airlines,2019-03-05,Vancouver,False,1,Seattle,17:32,12:45,253,Economy,,,
487,United Airlines,2019-03-05,Vancouver,False,1,Seattle,21:56,10:35,323,Economy,,,
488,Alaska Airlines,2019-03-03,Las Vegas,True,1,San Francisco,11:55,10:20,99,Economy,,,
489,Delta Airlines,2019-03-03,Las Vegas,True,1,San Francisco,19:25,17:50,84,Economy,,,
490,Southwest Airlines,2019-03-03,Las Vegas,True,1,San Francisco,21:05,19:30,94,Economy,,,
491,United Airlines,2019-03-03,Las Vegas,True,1,San Francisco,18:10,16:35,102,Economy,,,
492,American Airlines,2019-03-04,New York,True,1,Washington,22:35,21:25,72,Economy,,,
493,Delta Airlines,2019-03-04,New York,True,1,Washington,14:05,12:55,76,Economy,,,
494,Southwest Airlines,2019-03-04,New York,True,1,Washington,22:00,20:50,79,Economy,,,
495,United Airlines,2019-03-04,New York,True,1,Washington,17:45,16:35,84,Economy,,,
496,Alaska Airlines,2019-03-08,Las Vegas,True,1,San Diego,19:44,18:30,85,Economy,,,
497,Delta Airlines,2019-03-08,Las Vegas,True,1,San Diego,08:04,06:50,93,Economy,,,
498,Southwest Airlines,2019-03-08,Las Vegas,True,1,San Diego,06:49,05:35,86,Economy,,,
499,United Airlines,2019-03-08,Las Vegas,False,1,San Diego,11:55,09:15,133,Economy,,,
500,American Airlines,2019-03-03,Washington,True,3,New York,07:30,06:20,86,Economy,,,
501,United Airlines,2019-03-03,Washington,True,3,New York,06:30,05:20,73,Economy,,,
502,American Airlines,2019-03-01,Washington,True,1,New York,18:10,17:00,83,Economy,,,
503,Southwest Airlines,2019-03-01,Washington,True,1,New York,18:20,17:10,93,Economy,,,
504,United Airlines,2019-03-01,Washington,True,1,New York,06:30,05:20,78,Economy,,,
505,American Airlines,2019-03-04,New York,True,2,Washington,22:35,21:25,72,Economy,,,
506,Delta Airlines,2019-03-04,New York,True,2,Washington,14:05,12:55,76,Economy,,,
507,Southwest Airlines,2019-03-04,New York,True,2,Washington,22:00,20:50,79,Economy,,,
508,United Airlines,2019-03-04,New York,True,2,Washington,17:45,16:35,84,Economy,,,
509,American Airlines,2019-03-04,Washington,False,1,Philadelphia,18:10,15:20,150,Economy,,,
510,Delta Airlines,2019-03-04,Washington,False,1,Philadelphia,21:43,16:15,225,Economy,,,
511,Southwest Airlines,2019-03-04,Washington,False,1,Philadelphia,18:10,14:45,136,Economy,,,
512,United Airlines,2019-03-04,Washington,False,1,Philadelphia,18:48,13:55,228,Economy,,,
513,American Airlines,2019-03-05,San Francisco,True,2,Los Angeles,10:55,09:30,166,Premium Economy,,,
514,Delta Airlines,2019-03-05,San Francisco,True,2,Los Angeles,06:40,05:15,167,Premium Economy,,,
515,Southwest Airlines,2019-03-05,San Francisco,True,2,Los Angeles,08:50,07:25,151,Premium Economy,,,
516,American Airlines,2019-03-02,Seattle,False,1,Vancouver,20:01,11:20,254,Economy,,,
517,Delta Airlines,2019-03-02,Seattle,False,1,Vancouver,12:16,06:35,246,Economy,,,
518,United Airlines,2019-03-02,Seattle,False,1,Vancouver,23:46,13:40,229,Economy,,,
519,American Airlines,2019-03-02,New York,True,1,Philadelphia,14:11,13:20,68,Economy,,,
520,Delta Airlines,2019-03-02,New York,True,1,Philadelphia,15:51,15:00,43,Economy,,,
521,Southwest Airlines,2019-03-02,New York,True,1,Philadelphia,22:56,22:05,55,Economy,,,
522,United Airlines,2019-03-02,New York,True,1,Philadelphia,12:21,11:30,63,Economy,,,
523,United Airlines,2019-03-02,New York,True,2,Philadelphia,12:21,11:30,63,Economy,,,
524,American Airlines,2019-03-09,Washington,False,3,Philadelphia,23:33,17:45,220,Economy,,,
525,American Airlines,2019-03-06,Seattle,False,1,Vancouver,20:01,11:10,244,Economy,,,
526,Delta Airlines,2019-03-06,Seattle,False,1,Vancouver,13:01,06:35,232,Economy,,,
527,United Airlines,2019-03-06,Seattle,False,1,Vancouver,17:47,09:25,273,Economy,,,
528,American Airlines,2019-03-05,Seattle,False,3,Vancouver,20:01,11:10,382,Premium Economy,,,
529,American Airlines,2019-03-01,Philadelphia,False,1,Washington,00:41,19:10,221,Economy,,,
530,Delta Airlines,2019-03-01,Philadelphia,False,1,Washington,16:11,10:30,208,Economy,,,
531,Southwest Airlines,2019-03-01,Philadelphia,False,1,Washington,14:36,10:05,238,Economy,,,
532,United Airlines,2019-03-01,Philadelphia,False,1,Washington,16:11,11:45,203,Economy,,,
533,Alaska Airlines,2019-03-02,Seattle,True,1,Portland,10:43,09:45,55,Economy,,,
534,American Airlines,2019-03-02,Seattle,True,1,Portland,22:13,21:15,69,Economy,,,
535,Southwest Airlines,2019-03-02,Seattle,True,1,Portland,15:08,14:10,65,Economy,,,
536,United Airlines,2019-03-02,Seattle,True,1,Portland,05:58,05:00,73,Economy,,,
537,American Airlines,2019-03-01,New York,True,1,Washington,22:35,21:25,85,Economy,,,
538,Delta Airlines,2019-03-01,New York,True,1,Washington,14:05,12:55,87,Economy,,,
539,Southwest Airlines,2019-03-01,New York,True,1,Washington,22:00,20:50,88,Economy,,,
540,United Airlines,2019-03-01,New York,True,1,Washington,17:45,16:35,82,Economy,,,
541,American Airlines,2019-03-02,Philadelphia,True,3,New York,12:11,11:20,58,Economy,,,
542,Delta Airlines,2019-03-02,Philadelphia,True,3,New York,13:11,12:20,53,Economy,,,
543,Southwest Airlines,2019-03-02,Philadelphia,True,3,New York,11:41,10:50,66,Economy,,,
544,United Airlines,2019-03-02,Philadelphia,True,3,New York,06:26,05:35,67,Economy,,,
545,Delta Airlines,2019-03-05,Portland,True,4,Seattle,18:33,17:35,109,Premium Economy,,,
546,Southwest Airlines,2019-03-05,Portland,True,4,Seattle,06:13,05:15,113,Premium Economy,,,
