,average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
243,5.00,,"Dr. Ali A. Zaki, MD",408-272-2252,200 Jose Figueres Avenue #490,Gynecologist,2019-03-14,16:00
244,5.00,Burlingame,Claudio A Bet Inc,650-692-1296,211 Quarry Road,General Practitioner,,
245,5.00,Burlingame,"Dr. Aaron M. Roland, MD",650-259-5840,329 Primrose Road,General Practitioner,,
246,5.00,Burlingame,"Radhika Varma, M.D.",650-652-8500,1501 Trousdale Drive #4,General Practitioner,,
247,5.00,Burlingame,"Susan Runyan, MD, MPH",650-288-1200,590 Forest Avenue,General Practitioner,,
248,5.00,,Claudio A Bet Inc,650-692-1296,211 Quarry Road,General Practitioner,2019-03-05,12:00
249,5.00,,Contra-Costa Regional Med Center: Cominos Eve D MD,925-370-5000,2500 Alhambra Avenue,General Practitioner,2019-03-03,17:30
250,5.00,,Blossom Ridge Medical Group: Zimmer J Kirk MD,408-377-9180,555 Knowles Drive #203,General Practitioner,2019-03-09,12:30
251,5.00,Napa,"Dr. Kathleen M. Healey, MD",707-251-3608,1701 4th Street Suite 120,ENT Specialist,,
252,5.00,,"Dr. Kathleen M. Healey, MD",707-251-3608,1701 4th Street Suite 120,ENT Specialist,2019-03-10,17:30
253,4.40,Benicia,"Clifford Hoffman DO, MPH Family Doctor",707-750-5944,1179 North McDowell Boulevard,General Practitioner,,
254,3.40,Benicia,Family Health Center of Benicia,707-745-0711,1440 Military West # 101,General Practitioner,,
255,5.00,Benicia,Hill D L Do,707-745-3785,831 East 2nd Street #103,General Practitioner,,
256,4.40,,"Clifford Hoffman DO, MPH Family Doctor",707-750-5944,1179 North McDowell Boulevard,General Practitioner,2019-03-14,13:00
257,5.00,Albany,"Nina R. Birnbaum, M.D.",510-524-0861,500 San Pablo Avenue,General Practitioner,,
258,3.80,Albany,"Rebecca Clyde, M.D.",510-204-8130,12 Camino Encinas,General Practitioner,,
259,5.00,Albany,Shapiro Marcey MD,510-525-2200,5915 B Hollis Street,General Practitioner,,
260,5.00,Albany,Sutter East Bay Med Foundation: Whinnery Catherine MD,510-524-1580,1152 Solano Avenue # A,General Practitioner,,
261,5.00,,"Nina R. Birnbaum, M.D.",510-524-0861,500 San Pablo Avenue,General Practitioner,2019-03-07,17:00
262,5.00,,"Aaron Tward, M.D.",415-353-2757,2380 Sutter Street,ENT Specialist,2019-03-10,11:00
263,4.00,Milpitas,"Dr. Hoang M. Duong, MD",408-263-6073,991 County Highway G4 STE 104,Dermatologist,,
264,3.20,Milpitas,Dr. Sunil S. Dhawan,408-957-7676,995 County Highway G4 #111,Dermatologist,,
265,4.00,Milpitas,Malhotra Neema MD,408-945-0300,1113 South Park Victoria Drive,Dermatologist,,
266,4.00,,"Dr. Hoang M. Duong, MD",408-263-6073,991 County Highway G4 STE 104,Dermatologist,2019-03-13,14:30
267,5.00,Antioch,Antioch Family Practice: Copeland John W MD,925-778-7233,3440 Hillcrest Avenue Suite 150,General Practitioner,,
268,5.00,Antioch,Baart Antioch: Quismorio William L MD,925-522-0124,5161 Clayton Road Suite F,General Practitioner,,
269,5.00,Antioch,Howard L Friesen Inc,925-757-2250,3436 Hillcrest Avenue # 200,General Practitioner,,
270,5.00,Antioch,"Jessica Roberts, MD",925-779-1331,3720 Sunset Lane # A,General Practitioner,,
271,4.30,Antioch,"Randolph J. Clarke, MD",925-777-0477,3741 Sunset Lane # A,General Practitioner,,
272,4.00,Antioch,Spring Hill Medical Group: Elyasi Siamak MD,925-779-9601,7667 Amador Valley Boulevard,General Practitioner,,
273,4.30,Antioch,Williams Clark E DO,925-778-4062,1111 A Street,General Practitioner,,
274,5.00,,Howard L Friesen Inc,925-757-2250,3436 Hillcrest Avenue # 200,General Practitioner,2019-03-13,15:30
275,5.00,Lafayette,"Neil Fruman, MD - Retired",925-296-7490,1450 Treat Boulevard Suite 120B,General Practitioner,,
276,5.00,,"Neil Fruman, MD - Retired",925-296-7490,1450 Treat Boulevard Suite 120B,General Practitioner,2019-03-14,12:30
277,5.00,Lafayette,Dr. Ani Tajirian,510-839-2937,20400 Lake Chabot Road #202,Dermatologist,,
278,4.30,Lafayette,"Dr. Kelly T. Hood, MD",925-283-5500,3807 Lone Tree Way,Dermatologist,,
279,5.00,Lafayette,"Lesley Plotke, MD",925-283-4820,970 Dewing Avenue # 301,Dermatologist,,
280,5.00,,Dr. Ani Tajirian,510-839-2937,20400 Lake Chabot Road #202,Dermatologist,2019-03-14,13:00
281,4.00,Hayward,Optima Ophthalmic Med Associates: Mandel Mark R MD,510-886-3937,706 Webster Street,Ophthalmologist,,
282,4.00,,Optima Ophthalmic Med Associates: Mandel Mark R MD,510-886-3937,706 Webster Street,Ophthalmologist,2019-03-01,11:00
283,5.00,San Mateo,"Arthur D. Fu, MD",650-342-7137,1391 Woodside Road #200,Ophthalmologist,,
284,5.00,San Mateo,Filer Eye MD: Filer Robert S MD,650-342-4595,101 South San Mateo Drive #306,Ophthalmologist,,
285,5.00,San Mateo,"Walter H. Stern, MD",650-340-0111,50 South San Mateo Drive,Ophthalmologist,,
286,5.00,Santa Rosa,"Dr. Dan R. Lightfoot, MD",707-575-3800,3536 Mendocino Avenue #380,Ophthalmologist,,
287,5.00,Santa Rosa,"Dr. James E. Hunt, MD",707-838-3232,4501 Rosewood Drive,Ophthalmologist,,
288,5.00,Santa Rosa,"Rona Silkiss, MD, FACS",707-544-3375,1460 North Camino Alto,Ophthalmologist,,
289,4.50,Santa Rosa,"Thomas Schlesinger, M.D., Ph.D.",707-575-5353,3536 Mendocino Avenue #380,Ophthalmologist,,
290,5.00,,"Dr. James E. Hunt, MD",707-838-3232,4501 Rosewood Drive,Ophthalmologist,2019-03-10,10:00
291,5.00,Castro Valley,"Dr. Arthur C. O'brien Jr, MD",510-581-7677,22101 Redwood Road,General Practitioner,,
292,5.00,Castro Valley,"Dr. Maryam Fortani, MD",510-357-3023,13851 East 14th Street #102,General Practitioner,,
293,5.00,Castro Valley,"Dr. Najibulrahman Saifulrahman, MD",510-605-5330,27206 Calaroga Avenue,General Practitioner,,
294,5.00,Castro Valley,"Dr. Paul J. Robinson, D.O.",510-886-5515,27206 Calaroga Avenue,General Practitioner,,
295,3.50,Castro Valley,"Kelly A. Welsh, M.D.",510-886-3400,20700 Lake Chabot Road,General Practitioner,,
296,5.00,Castro Valley,Parviz Talebi MD,510-889-1922,13847 East 14th Street #119,General Practitioner,,
297,5.00,,"Dr. Maryam Fortani, MD",510-357-3023,13851 East 14th Street #102,General Practitioner,2019-03-05,11:00
298,4.70,Pleasanton,Berman Skin Institute,925-416-2291,2700 Grant Street #309,Dermatologist,,
299,4.20,Pleasanton,"Dean Anthony, MD",925-847-3020,4000 Dublin Boulevard #2,Dermatologist,,
300,5.00,Pleasanton,"Juliana R. Cinque, MD",925-416-1122,5575 West Las Positas Boulevard,Dermatologist,,
301,4.40,Pleasanton,Minh Dang MD Dermatology,925-251-9012,5201 Norris Canyon Road,Dermatologist,,
302,5.00,Pleasanton,Pleasanton Dermatology,925-226-7910,11030 Bollinger Canyon Road #240,Dermatologist,,
303,4.70,,Berman Skin Institute,925-416-2291,2700 Grant Street #309,Dermatologist,2019-03-13,15:30
304,4.60,Walnut Creek,"Alphaeus Wise, MD",925-935-3113,1181 Boulevard Way B,General Practitioner,,
305,5.00,Walnut Creek,"Catherine Wang, MD",925-947-0417,2621 Shadelands Drive,General Practitioner,,
306,5.00,Walnut Creek,Chang David C H MD,925-944-9193,"1981 North Broadway, Walnut Creek, CA 94596",General Practitioner,,
307,4.80,Walnut Creek,Chong Mee-Jin MD,925-932-8938,120 La Casa Via,General Practitioner,,
308,3.70,Walnut Creek,"Dr. Mark N. Isaacs, MD",925-945-8656,2621 Shadelands Drive,General Practitioner,,
309,5.00,Walnut Creek,"Dr. Sujay Banerjee, MD",925-295-5100,3466 Mount Diablo Boulevard Suite C-104,General Practitioner,,
310,5.00,Walnut Creek,Family Practice: Dudler Jack E MD,925-943-5757,1812 San Miguel Drive,General Practitioner,,
311,3.70,Walnut Creek,"Jasleen Sohal, MD",925-296-9736,1450 Treat Boulevard Suite 320,General Practitioner,,
312,5.00,Walnut Creek,"Kishore Nath, MD",925-296-9880,1450 Treat Boulevard Suite 320,General Practitioner,,
313,5.00,Walnut Creek,Stuart A Bussey Inc: Bussey Stuart A MD,925-934-7691,1181 Boulevard Way suite b,General Practitioner,,
314,4.60,,"Alphaeus Wise, MD",925-935-3113,1181 Boulevard Way B,General Practitioner,2019-03-08,15:00
315,3.70,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,2019-03-14,16:00
316,5.00,San Lorenzo,Linder Alan M MD,510-276-3150,3100 Telegraph Avenue #2102,General Practitioner,,
317,5.00,,Linder Alan M MD,510-276-3150,3100 Telegraph Avenue #2102,General Practitioner,2019-03-07,10:30
318,5.00,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,2019-03-12,12:00
319,5.00,,Antioch Family Practice: Copeland John W MD,925-778-7233,3440 Hillcrest Avenue Suite 150,General Practitioner,2019-03-07,14:00
320,5.00,,Alchemy John MD,707-576-7000,"Sonoma Ave, # 44, 1820 Doctors Park Drive",General Practitioner,2019-03-01,15:30
321,4.90,Sonoma,"Daisy Manuel-Arguelles, DO",707-202-5034,5900 State Farm Drive,General Practitioner,,
322,4.00,Sonoma,"Dr. James F. Dolan, MD",877-818-6100,7475 Camino Arroyo,General Practitioner,,
323,5.00,Sonoma,"Dr. Subhash Mishra, MD",707-938-3131,15000 Arnold Drive,General Practitioner,,
324,4.60,Sonoma,Sonoma Dermatology,707-938-1423,1104 Adams Street # 201,Dermatologist,,
325,4.60,,Sonoma Dermatology,707-938-1423,1104 Adams Street # 201,Dermatologist,2019-03-01,12:30
326,4.00,Campbell,Borodulin Tatyana MD,408-378-3300,340 Dardanelli Ln # 24,General Practitioner,,
327,5.00,Campbell,"Dr. Christian Fulmer, DO",408-357-1410,50 East Hamilton Avenue #120,General Practitioner,,
328,4.70,Campbell,"Dr. Elham J. Louis, DO",408-364-7600,7225 Rainbow Drive,General Practitioner,,
329,4.00,,Borodulin Tatyana MD,408-378-3300,340 Dardanelli Ln # 24,General Practitioner,2019-03-02,13:30
330,4.60,Walnut Creek,Babak Edraki MD,925-627-3440,1479 Ygnacio Valley Road,Gynecologist,,
331,3.70,Walnut Creek,"Dr. Alan N. Kaplan, MD",925-932-1333,1776 Ygnacio Valley Road,Gynecologist,,
332,4.00,Walnut Creek,"Dr. Elwood Kronick, MD",925-932-2565,240 La Casa Via #100,Gynecologist,,
333,4.30,Walnut Creek,Dr. Stephen Wells MD,925-935-5356,110 Tampico Ste #220,Gynecologist,,
334,5.00,Walnut Creek,Innovative Wellness Inc.,925-954-8209,2255 Ygnacio Valley Road Suite T,Gynecologist,,
335,5.00,Walnut Creek,"Jean Kayser, MD",925-295-4040,1515 Newell Avenue,Gynecologist,,
336,4.00,Walnut Creek,"John Crockett, MD",925-296-7370,1450 Treat Boulevard Suite 220A,Gynecologist,,
337,3.80,Walnut Creek,"Louis Klein, MD",925-937-0995,1776 Ygnacio Valley Road #208,Gynecologist,,
338,5.00,Walnut Creek,Madhavi Vemulapalli MD,925-239-0012,112 La Casa Via #300,Gynecologist,,
339,3.60,Walnut Creek,Muir OB GYN Medical Group Inc. a Division of BASS Medical Group,925-933-4747,112 La Casa Via,Gynecologist,,
340,4.70,Santa Rosa,"Jonathan Kurss, MD",707-303-1719,500 Doyle Park Drive #200,Gynecologist,,
341,5.00,Santa Rosa,Ratcliffe Jennifer V MD,707-575-5831,1111 Sonoma Avenue #214,Gynecologist,,
342,4.40,Santa Rosa,"Shazah Khawaja, MD",707-579-1102,500 Doyle Park Drive Suite 103,Gynecologist,,
343,5.00,Santa Rosa,"Susan C. Logan, MD",707-575-1626,1111 Sonoma Avenue Suite 202,Gynecologist,,
344,5.00,,Ratcliffe Jennifer V MD,707-575-5831,1111 Sonoma Avenue #214,Gynecologist,2019-03-02,13:30
345,5.00,Mountain View,"Dr. Elizabeth A. Abel, MD",650-969-5600,1700 2nd Street #220,Dermatologist,,
346,5.00,Mountain View,"F. Landon Clark, M.D., MPH",650-934-7676,401 Old San Francisco Road,Dermatologist,,
347,3.60,Mountain View,"Jean Gordon, MD (A Woman's Touch)",650-938-6559,86 3rd Street #114,Dermatologist,,
348,5.00,,"F. Landon Clark, M.D., MPH",650-934-7676,401 Old San Francisco Road,Dermatologist,2019-03-04,17:30
349,4.20,,Bay Area Cosmetic Dermatology,415-440-6356,2211 Post Street #404,Dermatologist,2019-03-07,14:00
350,4.00,Fremont,4D Miracles,510-863-3258,42808 Christy Street #208,Gynecologist,,
351,5.00,Fremont,Amy Kane,510-490-1222,"2, 3200 Kearney Street",Gynecologist,,
352,5.00,Fremont,Bay Area Ob-Gyn Medical Group: Mack Scott R MD,510-284-4100,1860 Mowry Ave # 306,Gynecologist,,
353,5.00,Fremont,"Dr. Stacie Macdonald, MD",510-248-1470,2299 Mowry Avenue #3c,Gynecologist,,
354,4.40,Fremont,Fremont OB/GYN: Padmaja Sharma MD,510-796-7104,3885 Beacon Avenue,Gynecologist,,
355,5.00,Fremont,"Jessica Y Ing, M.D.",510-498-2182,3200 Kearney Street Bldg 1,Gynecologist,,
356,5.00,Fremont,Scott Kramer MD,510-796-0510,2333 Mowry Avenue #201,Gynecologist,,
357,5.00,Fremont,Washington Prenatal Diagnostic Center,510-818-5110,1900 Mowry Avenue Suite 101,Gynecologist,,
358,4.00,,4D Miracles,510-863-3258,42808 Christy Street #208,Gynecologist,2019-03-01,15:00
359,3.70,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,2019-03-13,15:30
360,4.00,,"James A. Watson, MD",408-842-6500,8833 Monterey Road,Gynecologist,2019-03-12,10:00
361,5.00,,Claudio A Bet Inc,650-692-1296,211 Quarry Road,General Practitioner,2019-03-09,14:00
362,5.00,Mountain View,"John Nguyen, M.D.",650-934-7900,4906 West El Camino Real # A,ENT Specialist,,
363,5.00,,"John Nguyen, M.D.",650-934-7900,4906 West El Camino Real # A,ENT Specialist,2019-03-14,12:00
364,5.00,Napa,"Alex De Moraes, MD",707-257-1550,935 Trancas Street,General Practitioner,,
365,4.20,Napa,"Andrew Patrinellis, MD",707-266-1875,3569 Round Barn Circle,General Practitioner,,
366,4.30,Napa,"Aurelio Campos, MD",707-253-1566,1141 Pear Tree Lane # 100,General Practitioner,,
367,4.50,Napa,"Clinic Ole: Jennifer Wilson, MD",707-254-1770,1141 Pear Tree Lane #100,General Practitioner,,
368,5.00,Napa,"David D Pratt, MD",707-257-2187,1222 Pine Street,General Practitioner,,
369,3.20,Napa,John F Dermody MD,707-252-0494,1155 Trancas Street,General Practitioner,,
370,5.00,Napa,"Michael Novak, MD",707-251-3604,1001 Professional Drive,General Practitioner,,
371,3.70,Napa,"Robert E. Erwin, MD",707-255-7222,3010 Beard Road,General Practitioner,,
372,4.20,Napa,"Thomas Suard, MD",707-252-4781,1100 Trancas Street,General Practitioner,,
373,5.00,,"Alex De Moraes, MD",707-257-1550,935 Trancas Street,General Practitioner,2019-03-13,12:00
374,4.20,Los Gatos,"Harrup Kaur, MD",408-940-3930,2120 McKee Road,Ophthalmologist,,
375,5.00,Los Gatos,"Martin Fishman, MD",408-354-9510,2577 Samaritan Drive Suite 740,Ophthalmologist,,
376,4.50,Los Gatos,"Polaris Eye & Laser: Jeehee Kim, MD",408-358-3932,2505 Samaritan Drive Suite 408,Ophthalmologist,,
377,4.20,,"Harrup Kaur, MD",408-940-3930,2120 McKee Road,Ophthalmologist,2019-03-01,17:30
378,5.00,,"Alan B. Scott, M.D.",415-923-3120,2100 Webster Street suite 214,Ophthalmologist,2019-03-10,13:30
379,3.30,Dublin,California Skin Institute,925-828-1701,400 El Cerro Boulevard #204,Dermatologist,,
380,5.00,Dublin,"Rajnish Gupta, M.D., Ph.D.",925-875-6100,"1, 4050 Dublin Boulevard",Dermatologist,,
381,3.30,,California Skin Institute,925-828-1701,400 El Cerro Boulevard #204,Dermatologist,2019-03-14,13:30
382,3.40,San Ramon,Advanced Laser & Skin Care Center,925-743-1488,101 Park Place,Dermatologist,,
383,3.70,San Ramon,Dr. Robert Greenberg,925-277-1300,3511 School Street,Dermatologist,,
384,4.90,San Ramon,"Joseph Mardanzai, MD",925-232-0483,2221 Balfour Road Suite A,Dermatologist,,
385,4.70,San Ramon,Diablo Family Physicians,925-866-1005,2305 Camino Ramon Suite 100,General Practitioner,,
386,3.80,San Ramon,"Erik Gracer, MD",925-362-1001,2100 Monument Boulevard #8,General Practitioner,,
387,3.70,San Ramon,Gracer Richard I MD,925-277-1100,1320 El Capitan Drive Suite #400,General Practitioner,,
388,5.00,San Ramon,"Ma. Theresa Egasani-Elises, MD",925-866-8050,4050 Dublin Boulevard #2,General Practitioner,,
389,4.00,San Ramon,"Ralph Fong Jr., MD",925-837-3913,7601 Stoneridge Drive,General Practitioner,,
390,4.00,San Ramon,San Ramon Valley Family Medicine,925-905-8970,5401 Norris Canyon Road #204,General Practitioner,,
391,3.70,San Ramon,Severance Douglas E MD,925-275-0400,5401 Norris Canyon Road #102,General Practitioner,,
392,4.00,Castro Valley,"Dr. Diane C. Albracht, MD",510-538-5252,2999 Regent Street #425,Ophthalmologist,,
393,5.00,Redwood City,"Dr. Madhavi Chenumalla, MD",650-299-2000,1800 Sullivan Avenue # 606,General Practitioner,,
394,4.00,Redwood City,"Gary S. Toig, MD",650-365-9997,4067 Transport Street b,General Practitioner,,
395,5.00,Redwood City,"Steven J. Harris, MD",650-474-2130,745 Distel Drive,General Practitioner,,
396,5.00,Campbell,"Makela Women's Health: Sandra Makela, M.D.",408-335-7774,3425 South Bascom Avenue #235,Gynecologist,,
397,5.00,Sunnyvale,"Carol Winton, M.D.",408-524-5900,1085 West El Camino Real Level 3,Ophthalmologist,,
398,4.00,Fairfield,"Dr. Dina T. Nguyen, MD",707-551-3600,329 Tennessee Street,General Practitioner,,
399,5.00,Fairfield,"Dr. Robert A. Varady, MD",707-428-0778,1525 Webster Street # C,General Practitioner,,
400,5.00,Fairfield,"Ehsan Ghods, DO",707-646-5500,421 Nut Tree Road,General Practitioner,,
401,4.00,Fairfield,Gillespie Craig MD,707-428-3925,1620 Pennsylvania Avenue,General Practitioner,,
402,4.00,Fairfield,Gilliam Medical Group: Gilliam David R MD,707-428-4878,1381 University Avenue,General Practitioner,,
403,5.00,Fairfield,Kaiser Permanente: Fouzia Aftab A MD,707-427-4025,770 Mason Street,General Practitioner,,
404,5.00,Palo Alto,"Dr. Deirdre Lyell, MD",650-736-1191,300 Pasteur Drive,Gynecologist,,
405,5.00,Palo Alto,"Jonathan S. Berek, MD, MMS",650-498-6004,900 Blake Wilbur Drive 1st Floor,Gynecologist,,
406,5.00,Palo Alto,"Zena Kharsa, MD - Stanford Children's Health",650-721-6060,211 Quarry Road #107,Gynecologist,,
407,4.30,San Francisco,"Amita Kachru, MD",415-641-6996,1580 Valencia Street #508,Gynecologist,,
408,5.00,San Francisco,"Audrey Koh, MD (Associates In Obstetrics and Gynecology)",415-923-3128,94109. parking entry on Hyde St 1199 Bush Street Suite 500 Suite 500,Gynecologist,,
409,3.70,San Francisco,"Bayspring Medical Group: Dr. Marilyn Milkman, MD",415-674-2600,1199 Bush Street,Gynecologist,,
410,5.00,San Francisco,"Dana Gossett, M.D.",415-353-2566,1825 4th Street,Gynecologist,,
411,5.00,San Francisco,"Dr. Donna A. Wiggins, MD",415-666-1250,1725 Montgomery Street #200,Gynecologist,,
412,5.00,San Francisco,"Dr. Frederico Rocha, MD",415-885-7788,1825 4th Street,Gynecologist,,
413,5.00,San Francisco,Dr. Fung-Yee Chan,415-379-9600,1375 Sutter Street #105,Gynecologist,,
414,3.50,San Francisco,"Dr. Jennifer Gunter, MD",415-833-2200,2238 Geary Boulevard,Gynecologist,,
415,4.00,San Francisco,Dr. Katherine Hsiao,415-876-8500,3905 Sacramento Street #204,Gynecologist,,
416,5.00,San Francisco,"Dr. Malini Nijagal, MD",415-448-1500,1825 4th Street,Gynecologist,,
417,5.00,Burlingame,"Nikolajs Lapins, M.D.",650-692-0182,730 Welch Road 1st Floor,Dermatologist,,
418,5.00,Burlingame,"Toyin Falola, M.D.",650-652-8310,1501 Trousdale Drive #2,Dermatologist,,
419,5.00,Sunnyvale,Dr. Anne Cole,650-969-2959,23275 Eastbrook Court,General Practitioner,,
420,5.00,Sunnyvale,"Dr. Christine P. Weigen, MD",800-230-7526,2636 Telegraph Avenue,General Practitioner,,
421,3.80,Sunnyvale,"Dr. Yingchih J. Lin, MD",408-481-9800,15195 National Avenue #205,General Practitioner,,
422,4.30,Sunnyvale,Family Medicine Sunnyvale Center Palo Alto Medical Foundation,408-730-4362,301 Old San Francisco Road Level 2,General Practitioner,,
423,4.90,Sunnyvale,Greider Buff R MD,408-329-9604,877 W Fremont Ave # F,General Practitioner,,
424,3.20,Sunnyvale,"Heideh Khalilnejad, MD",408-738-0200,18550 Depaul Drive #208,General Practitioner,,
425,5.00,Sunnyvale,"Kevin Fell, MD",408-520-4510,15400 Los Gatos Boulevard #2,General Practitioner,,
426,5.00,Sunnyvale,Misty S. Steffen,408-245-4048,885 Scott Boulevard #4,General Practitioner,,
427,4.20,Sunnyvale,"Neha Anand, M.D.",408-730-4360,301 Old San Francisco Road,General Practitioner,,
428,5.00,Danville,"Bela Steven Kenessey, MD",925-277-1600,1515 Newell Avenue,General Practitioner,,
429,5.00,Danville,"Bhoomika Kamath, MD",925-314-0260,319 Diablo Road,General Practitioner,,
430,4.80,Danville,"Dr. John W. Roberts, MD",925-736-7070,1130 A Street B,General Practitioner,,
431,5.00,Danville,"Michael Schierman, MD",925-648-7144,401 Gregory Lane Suite 104,General Practitioner,,
432,5.00,Danville,"Sayema Saifullah, M.D.",707-573-5413,2734 East El Camino Real,General Practitioner,,
433,5.00,Fairfield,"Julie A. Chen, M.D.",707-427-4900,380 Tesconi Court,Ophthalmologist,,
434,5.00,Fairfield,Retina Center of Solano,707-759-4942,104 Lynch Creek Way,Ophthalmologist,,
435,3.70,Berkeley,"Attia Kadri, M.D.",510-204-5600,2500 Milvia Street,Gynecologist,,
436,5.00,Berkeley,"Katarina E. Lanner-Cusin, M.D., FACOG",510-204-8190,2500 Milvia Street,Gynecologist,,
437,3.40,Berkeley,Women's Group for Health,510-204-0965,2999 Regent Street #201,Gynecologist,,
438,3.70,Union City,"Tam T. Nguyen, MD",510-248-1500,33077 Alvarado-Niles Road,General Practitioner,,
439,3.80,San Ramon,Dr. Joanne Vogel MD,925-736-0110,11030 Bollinger Canyon Road #250,Gynecologist,,
440,3.40,San Ramon,"Helen Matthews, MD",925-241-4091,1081 Market Place #500,Gynecologist,,
441,5.00,Hayward,Dr. Amita Sharma,510-619-9686,2222 Bancroft Way,General Practitioner,,
442,5.00,Hayward,Dr. Raul A. Gentini,510-887-4711,"add suite #107, 20700 Lake Chabot Road",General Practitioner,,
443,3.70,Hayward,Massen Arkady M MD,510-783-0536,38143 Martha Avenue,General Practitioner,,
444,3.20,Hayward,"Michael D DeLange, MD Inc",510-881-1041,20101 Lake Chabot Road,General Practitioner,,
445,5.00,Menlo Park,"Donna J. Lee, MD",650-498-7949,301 Industrial Road,Ophthalmologist,,
446,5.00,Menlo Park,Dr. Anne F. Henzel,650-325-3937,50 South San Mateo Drive #125,Ophthalmologist,,
447,4.00,Eldridge,Sonoma Developmental Center: Elmer Russell M MD,707-938-6000,919 Harrison Street # A,General Practitioner,,
448,5.00,Concord,"Benjamin Sadoff, MD",925-677-0500,2700 Grant Street Suite 200,General Practitioner,,
449,5.00,Concord,"Brian Honbo, MD",925-677-0519,401 Gregory Lane #206,General Practitioner,,
450,5.00,Concord,Charles J Renner Md,925-689-5608,4165 Blackhawk Plaza Circle #100,General Practitioner,,
451,3.30,Concord,Crockett John A MD,925-682-0136,401 Gregory Lane Suite 104,General Practitioner,,
452,5.00,Concord,"Diane Chandler, DO",925-609-8282,5161 Clayton Road Suite F,General Practitioner,,
453,5.00,Concord,"Dr. Maureen Mbadike-Obiora, MD",925-685-8894,2270 Bacon Street,General Practitioner,,
454,5.00,Concord,"Dr. Ori Tzvieli, MD",925-646-5535,3052 Willow Pass Road,General Practitioner,,
455,5.00,Concord,"John Toth, D.O.",925-687-9483,401 Gregory Ln # 248,General Practitioner,,
456,4.80,Concord,Von Stieff Fred J MD,925-680-8933,2485 High School Avenue # 303,General Practitioner,,
457,4.00,Concord,Contra Costa Eye Medical Center: Kindy Nadine A MD,925-687-8280,2225 Port Chicago Highway A,Ophthalmologist,,
458,5.00,Concord,"Dr. Arun Prasad, MD",925-687-6847,2222 East St #365,Ophthalmologist,,
459,3.90,Concord,Ho Viet H MD,925-798-2020,5801 Norris Canyon Road #200,Ophthalmologist,,
460,4.00,Concord,Tsai Clark S MD,925-689-7744,100 North Wiget Lane,Ophthalmologist,,
461,3.40,Los Gatos,Bruce M. Saal MD,408-374-1320,777 Knowles Drive,Dermatologist,,
462,4.80,Los Gatos,Kalia Dermatology & Laser,408-707-3328,15055 Los Gatos Boulevard,Dermatologist,,
463,5.00,Los Gatos,Kenneth A Miller MD PC,408-356-9111,14527 South Bascom Avenue,Dermatologist,,
464,3.60,Los Gatos,Miller Dermatology,408-356-2345,14911 National Avenue #5,Dermatologist,,
465,4.70,Los Gatos,Refined Dermatology,408-688-2082,800 Pollard Road bldg a,Dermatologist,,
466,4.40,Los Gatos,Schmidt Christopher MD,408-356-2147,15215 National Avenue #204,Dermatologist,,
467,3.80,Los Gatos,"Wennie C. Liao, M.D.",408-730-6130,15720 Winchester Boulevard 2nd Floor,Dermatologist,,
468,4.00,Novato,MarinEyes,415-892-0111,2100 Webster Street #214,Ophthalmologist,,
469,4.60,Novato,Novato Dermatology,415-892-0754,2100 Webster Street Suite 411,Dermatologist,,
470,5.00,,"Dr. Thomas O. Stodgel, MD",650-344-7802,"1820 Ogden Avenue Floor, 2",Gynecologist,2019-03-08,11:00
471,5.00,,"Radhika Varma, M.D.",650-652-8500,1501 Trousdale Drive #4,General Practitioner,2019-03-09,15:00
472,5.00,,"Dr. Andrew L. Sorenson, MD",510-848-7347,"2915, 1237, B Street",Ophthalmologist,2019-03-06,16:30
473,5.00,,Werschky II a G MD,415-388-2657,125 Throckmorton Avenue,General Practitioner,2019-03-14,15:30
474,3.30,,"Edward C Lee, MD",650-967-1770,16130 Juan Hernandez Drive #108,ENT Specialist,2019-03-05,12:30
475,5.00,,"Hoang, Tuan A. MD",415-397-5660,950 Stockton Street,General Practitioner,2019-03-11,14:30
476,4.00,,"Roxanne C. Fiscella, M.D.",510-843-0692,2500 Milvia Street,General Practitioner,2019-03-01,17:30
477,3.80,,Wong Hung-Kwong MD,408-295-1886,696 East Santa Clara Street,General Practitioner,2019-03-13,13:30
478,5.00,,"Dr. Richard J Kerbavaz, MD",510-845-4500,2316 Dwight Way,ENT Specialist,2019-03-04,16:30
479,4.00,,Dr. Randal Pham at Aesthetic & Refractive Surgery Medical Center,408-998-1818,2186 Geary Boulevard STE 312,Ophthalmologist,2019-03-07,16:00
480,4.40,,"Carol Somersille, MD",650-988-3232,2490 Hospital Drive #300,Gynecologist,2019-03-11,17:00
481,4.20,,Dr. Jacob Wardwell,415-606-0309,1286 Sanchez Street,General Practitioner,2019-03-10,17:00
482,5.00,,"Dr. Sabi Ahmed, MD",408-573-9686,2242 Camden Avenue # 200,General Practitioner,2019-03-01,16:30
483,5.00,,Dohn Richard,408-356-8672,221 East Hacienda Avenue b,General Practitioner,2019-03-08,15:30
484,5.00,,"John J. Smucny, M.D.",415-600-1085,2300 California Street #202,General Practitioner,2019-03-12,14:30
