,account_type,balance,amount,recipient_account_name,recipient_account_type
983,savings,2601.88,,,
984,checking,21025.58,,,
985,checking,14540.17,,,
986,savings,18364.34,,,
987,checking,20795.57,,,
988,checking,21086.38,,,
989,savings,15263.70,,,
990,checking,8144.48,,,
991,savings,2515.51,,,
992,checking,13887.77,,,
993,checking,7580.39,,,
994,checking,7942.89,,,
995,checking,8084.33,,,
996,checking,9207.15,,,
997,checking,13307.36,,,
998,savings,23465.30,,,
999,checking,10961.35,,,
1000,savings,14937.50,,,
1001,checking,11928.31,,,
1002,checking,1323.83,,,
1003,savings,23704.57,,,
1004,checking,6779.29,,,
1005,checking,10279.49,,,
1006,checking,20999.56,,,
1007,checking,17066.78,,,
1008,checking,23455.45,,,
1009,savings,23409.52,,,
1010,checking,6820.80,,,
1011,savings,21920.42,,,
1012,checking,13201.18,,,
1013,savings,3284.69,,,
1014,checking,9540.61,,,
1015,checking,23404.15,,,
1016,checking,20863.87,,,
1017,savings,22017.33,,,
1018,checking,1503.33,,,
1019,checking,16750.55,,,
1020,savings,17815.10,,,
1021,checking,21420.47,,,
1022,checking,12598.76,,,
1023,checking,22708.88,,,
1024,checking,24420.21,,,
1025,savings,7980.72,,,
1026,checking,13702.39,,,
1027,savings,13775.51,,,
1028,checking,15706.12,,,
1029,savings,18542.79,,,
1030,checking,24425.78,,,
1031,savings,17771.33,,,
1032,checking,23334.63,,,
1033,savings,21996.16,,,
1034,checking,23597.76,,,
1035,checking,12178.72,,,
1036,savings,6891.26,,,
1037,checking,10433.53,,,
1038,savings,2028.69,,,
1039,checking,3688.13,,,
1040,savings,12824.18,,,
1041,checking,15170.64,,,
1042,savings,802.78,,,
1043,checking,2094.75,,,
1044,checking,21094.36,,,
1045,checking,19076.11,,,
1046,savings,9749.23,,,
1047,checking,12572.82,,,
1048,checking,13932.56,,,
1049,checking,4105.45,,,
1050,savings,4085.25,,,
1051,checking,11325.85,,,
1052,savings,14541.62,,,
1053,checking,12131.77,,,
1054,checking,20209.32,,,
1055,checking,20405.49,,,
1056,savings,15120.22,,,
1057,checking,15225.82,,,
1058,checking,18668.70,,,
1059,savings,7429.42,,,
1060,checking,12449.40,,,
1061,savings,8157.51,,,
1062,checking,22584.25,,,
1063,savings,21696.20,,,
1064,checking,15979.26,,,
1065,savings,10203.56,,,
1066,checking,977.31,,,
1067,checking,23495.38,,,
1068,savings,22771.28,,,
1069,checking,1368.19,,,
1070,checking,19582.27,,,
1071,checking,2229.60,,,
1072,checking,14327.61,,,
1073,checking,16488.51,,,
1074,checking,5705.19,,,
1075,savings,16040.77,,,
1076,checking,13812.19,,,
1077,savings,6093.27,,,
1078,checking,14835.58,,,
1079,checking,23202.85,,,
1080,checking,974.62,,,
1081,savings,18399.69,,,
1082,checking,9985.14,,,
1083,savings,16103.52,,,
1084,checking,13017.75,,,
1085,savings,2933.80,,,
1086,checking,10893.43,,,
1087,savings,1514.30,,,
1088,checking,16413.69,,,
1089,checking,18227.32,,,
1090,checking,4831.65,,,
1091,savings,21942.47,,,
1092,checking,4273.73,,,
1093,savings,16384.67,,,
1094,checking,10508.53,,,
1095,checking,24900.75,,,
1096,checking,14112.40,,,
1097,checking,11234.30,,,
1098,checking,12642.90,,,
1099,savings,7804.50,,,
1100,checking,2432.83,,,
1101,checking,3946.90,,,
1102,savings,8407.48,,,
1103,checking,10606.20,,,
1104,savings,17635.59,,,
1105,checking,12312.73,,,
1106,savings,13062.19,,,
1107,checking,5473.16,,,
1108,savings,19065.30,,,
1109,checking,23798.66,,,
1110,savings,13879.58,,,
1111,checking,5845.81,,,
1112,checking,13410.86,,,
1113,savings,4228.54,,,
1114,checking,3610.88,,,
1115,savings,1074.53,,,
1116,checking,16183.66,,,
1117,savings,7084.90,,,
1118,checking,15022.77,,,
1119,checking,17604.41,,,
1120,savings,14653.69,,,
1121,checking,888.61,,,
1122,savings,8872.35,,,
1123,checking,20163.81,,,
1124,checking,1654.80,,,
1125,savings,10708.13,,,
1126,checking,9192.58,,,
1127,savings,10342.24,,,
1128,checking,19820.55,,,
1129,checking,4642.33,,,
1130,savings,13713.42,,,
1131,checking,16071.63,,,
1132,savings,10500.89,,,
1133,checking,15822.58,,,
1134,checking,7580.37,,,
1135,checking,10386.72,,,
1136,checking,22991.73,,,
1137,checking,23970.38,,,
1138,checking,14662.17,,,
1139,savings,11965.76,,,
1140,checking,19518.10,,,
1141,savings,19062.65,,,
1142,checking,5347.84,,,
1143,checking,3661.67,,,
1144,savings,3766.53,,,
1145,checking,24198.21,,,
1146,savings,7124.65,,,
1147,checking,1097.81,,,
1148,savings,16186.18,,,
1149,checking,820.20,,,
1150,checking,3402.15,,,
1151,savings,5161.76,,,
1152,checking,22617.28,,,
1153,savings,17680.32,,,
1154,checking,23949.15,,,
1155,savings,10869.74,,,
1156,checking,15460.52,,,
1157,savings,9663.70,,,
1158,checking,24607.84,,,
1159,savings,10608.75,,,
1160,checking,19671.40,,,
1161,savings,20046.13,,,
1162,checking,1735.52,,,
1163,savings,3237.82,,,
1164,checking,4574.27,,,
1165,savings,7953.88,,,
1166,checking,17050.32,,,
1167,savings,19423.72,,,
1168,checking,3214.56,,,
1169,checking,20329.37,,,
1170,savings,3977.44,,,
1171,checking,5916.74,,,
1172,savings,6698.87,,,
1173,checking,10865.87,,,
1174,savings,12350.63,,,
1175,checking,387.64,,,
1176,savings,20688.43,,,
1177,checking,7577.62,,,
1178,savings,22797.81,,,
1179,checking,14477.33,,,
1180,savings,788.29,,,
1181,checking,16151.78,,,
1182,checking,17385.57,,,
1183,savings,8435.89,,,
1184,checking,23945.30,,,
1185,savings,12664.14,,,
1186,checking,10375.78,,,
1187,checking,11210.26,,,
1188,checking,17071.60,,,
1189,checking,2677.54,,,
1190,savings,8649.40,,,
1191,checking,23128.26,,,
1192,savings,1256.13,,,
1193,checking,7408.85,,,
1194,savings,6806.71,,,
1195,checking,22025.19,,,
1196,checking,5249.69,,,
1197,checking,4820.15,,,
1198,savings,7757.69,,,
1199,checking,19256.54,,,
1200,checking,24908.15,,,
1201,savings,1240.29,,,
1202,checking,893.69,,,
1203,savings,5062.26,,,
1204,checking,513.27,,,
1205,savings,13832.79,,,
1206,checking,18999.30,,,
1207,savings,16932.52,,,
1208,checking,4986.30,,,
1209,savings,22767.38,,,
1210,checking,4903.43,,,
1211,checking,8158.43,,,
1212,savings,17008.70,,,
1213,checking,23073.51,,,
1214,savings,2548.25,,,
1215,checking,3264.68,,,
1216,savings,9286.28,,,
1217,checking,9986.41,,,
1218,savings,574.31,,,
1219,checking,8511.29,,,
1220,savings,12215.44,,,
1221,checking,13082.46,,,
1222,savings,1617.56,,,
1223,checking,22660.40,,,
1224,savings,22252.14,,,
1225,checking,967.65,,,
1226,savings,14437.72,,,
1227,checking,7750.83,,,
1228,savings,14685.31,,,
1229,checking,6893.45,,,
1230,checking,23949.80,,,
1231,savings,21139.16,,,
1232,checking,12893.20,,,
1233,checking,6499.21,,,
1234,savings,5905.29,,,
1235,checking,7349.51,,,
1236,savings,4617.88,,,
1237,checking,23499.35,,,
1238,savings,6939.76,,,
1239,checking,542.58,,,
1240,savings,16601.36,,,
1241,checking,12923.63,,,
1242,checking,4648.38,,,
1243,savings,22665.29,,,
1244,checking,24742.38,,,
1245,savings,11980.60,,,
1246,checking,10685.24,,,
1247,savings,10121.45,,,
1248,checking,8781.25,,,
1249,savings,19186.38,,,
1250,checking,21140.82,,,
1251,savings,6476.58,,,
1252,checking,24216.74,,,
1253,checking,13367.55,,,
1254,savings,9230.63,,,
1255,checking,3655.57,,,
1256,savings,1110.29,,,
1257,checking,15185.62,,,
1258,savings,1491.72,,,
1259,checking,17400.56,,,
1260,checking,5906.26,,,
1261,savings,7106.13,,,
1262,checking,3159.33,,,
1263,checking,14726.47,,,
1264,savings,5967.76,,,
1265,checking,2851.27,,,
1266,savings,10889.38,,,
1267,checking,16182.10,,,
1268,checking,21878.72,,,
1269,savings,24943.29,,,
1270,checking,8034.34,,,
1271,savings,518.13,,,
1272,checking,17384.90,,,
1273,savings,3605.61,,,
1274,checking,17742.17,,,
1275,savings,16526.24,,,
1276,checking,18373.16,,,
1277,checking,20472.43,,,
1278,checking,4321.68,,,
1279,checking,23702.77,,,
1280,checking,23813.75,,,
1281,savings,15219.81,,,
1282,checking,3527.78,,,
1283,checking,2578.35,,,
1284,savings,7374.47,,,
1285,checking,10874.63,,,
1286,savings,18587.77,,,
1287,checking,9665.23,,,
1288,savings,22979.77,,,
1289,checking,12460.88,,,
1290,savings,11877.64,,,
1291,checking,7226.25,,,
1292,checking,14843.68,,,
1293,savings,3786.53,,,
1294,checking,7488.41,,,
1295,checking,22003.65,,,
1296,savings,22808.22,,,
1297,checking,2443.48,,,
1298,checking,4802.33,,,
1299,savings,19206.38,,,
1300,checking,11148.64,,,
1301,checking,3974.52,,,
1302,savings,2421.46,,,
1303,checking,1297.14,,,
1304,savings,20400.65,,,
1305,checking,7686.30,,,
1306,savings,23788.85,,,
1307,checking,678.52,,,
1308,checking,4050.31,,,
1309,checking,18164.59,,,
1310,checking,1261.87,,,
1311,savings,9812.47,,,
1312,checking,16144.15,,,
1313,checking,15990.80,,,
1314,savings,15485.18,,,
1315,checking,24183.63,,,
1316,savings,6448.62,,,
1317,checking,9741.53,,,
1318,savings,2638.42,,,
1319,checking,15150.75,,,
1320,checking,22053.70,,,
1321,checking,7230.80,,,
1322,checking,14698.22,,,
1323,savings,15299.18,,,
1324,checking,11698.78,,,
1325,checking,14300.29,,,
1326,savings,18220.21,,,
1327,checking,1307.77,,,
1328,checking,10991.31,,,
1329,savings,17683.25,,,
1330,checking,22841.34,,,
1331,savings,23970.65,,,
1332,checking,5458.72,,,
1333,savings,12963.88,,,
1334,checking,19050.50,,,
1335,savings,3896.21,,,
1336,checking,1724.13,,,
1337,savings,18442.57,,,
1338,checking,2627.49,,,
