,city,date,event_name,event_type,price_per_ticket,time,venue,venue_address,number_of_tickets
472,Atlanta,2019-03-11,Adam Ant,,25,17:00,Atlanta Symphony Orchestra,1280 Peachtree Street Northeast,1
473,Sacramento,2019-03-05,Aftershock Festival,Music,20,17:30,Discovery Park,1600 Garden Highway,
474,Sacramento,2019-03-05,Aftershock Music Festival,Music,55,16:00,Discovery Park,1600 Garden Highway,
475,Sacramento,2019-03-03,Popa Chubby,Music,45,18:00,The Sofia Tsakopoulos Center for The Arts,2700 Capitol Avenue,
476,Sacramento,2019-03-03,Rhett And Link,Music,30,19:00,Sacramento Memorial Auditorium,1515 J Street,
477,Sacramento,2019-03-11,The Melvins,Music,60,19:30,Holy Diver,1517 21st Street,
478,Sacramento,2019-03-06,Weird Al Yankovic,Music,30,17:00,Sacramento Memorial Auditorium,1515 J Street,
479,Sacramento,2019-03-01,Aftershock Festival,Music,45,19:30,Discovery Park,1600 Garden Highway,
480,Sacramento,2019-03-01,Popa Chubby,Music,35,19:30,The Sofia Tsakopoulos Center for The Arts,2700 Capitol Avenue,
481,Sacramento,2019-03-01,Rhett And Link,Music,45,17:30,Sacramento Memorial Auditorium,1515 J Street,
482,Sacramento,2019-03-01,The Melvins,Music,35,16:30,Holy Diver,1517 21st Street,
483,Sacramento,2019-03-01,Rhett And Link,,45,17:30,Sacramento Memorial Auditorium,1515 J Street,4
484,London,2019-03-14,A Right Royale Tea,,50,19:00,Amba Hotel Charing Cross,Strand,3
485,Los Angeles,2019-03-09,Ain Gordon,,60,19:00,Ralph Freud Playhouse,245 Charles E Young Drive East,1
486,Chicago,2019-03-11,Ashe,Music,20,19:30,Chop Shop,2033 West North Avenue,
487,Chicago,2019-03-04,Conor Maynard,Music,60,19:00,Chop Shop,2033 West North Avenue,
488,Chicago,2019-03-09,Duster,Music,25,16:30,Sleeping Village,3734 West Belmont Avenue,
489,Chicago,2019-03-10,Lil Tjay,Music,60,16:00,Concord Music Hall,2051 North Milwaukee Avenue,
490,Chicago,2019-03-06,Loud Luxury,Music,60,17:30,Concord Music Hall,2051 North Milwaukee Avenue,
491,Chicago,2019-03-12,Mozzy,Music,25,16:30,Avondale Music Hall,3336 North Milwaukee Avenue,
492,Chicago,2019-03-06,My House Music Festival,Music,35,18:00,Harrison Park,1824 South Wood Street,
493,Chicago,2019-03-13,Sasha Sloan,Music,60,18:00,Chop Shop,2033 West North Avenue,
494,Chicago,2019-03-01,Wale,Music,50,19:00,Concord Music Hall,2051 North Milwaukee Avenue,
495,Chicago,2019-03-11,Ashe,,20,19:30,Chop Shop,2033 West North Avenue,1
496,Philadelphia,2019-03-13,Babymetal,Music,60,19:00,The Fillmore Philadelphia,29 East Allen Street,
497,Philadelphia,2019-03-13,Bars And Melody,Music,60,16:00,The Foundry,29 East Allen Street 2nd Floor,
498,Philadelphia,2019-03-13,Conan Gray,Music,55,19:30,The Fillmore Philadelphia,29 East Allen Street,
499,Philadelphia,2019-03-13,Davido,Music,20,19:00,The Fillmore Philadelphia,29 East Allen Street,
500,Philadelphia,2019-03-13,Drax Project,Music,50,19:00,Voltage Lounge,421 North 7th Street,
501,Philadelphia,2019-03-13,Dwele,Music,60,18:30,City Winery,990 Filbert Street,
502,Philadelphia,2019-03-13,Hozier,Music,45,18:00,The Met Philadelphia,858 North Broad Street,
503,Philadelphia,2019-03-13,Icon For Hire,Music,40,16:00,Voltage Lounge,421 North 7th Street,
504,Philadelphia,2019-03-13,Babymetal,,60,19:00,The Fillmore Philadelphia,29 East Allen Street,1
505,San Francisco,2019-03-06,Above Ground,Theater,35,17:00,Mojo Theatre,2940 16th Street #217,
506,San Francisco,2019-03-02,Above Ground Festival,Theater,55,16:00,Mojo Theatre,2940 16th Street #217,
507,San Francisco,2019-03-04,As You Like It,Theater,25,17:00,Main Post Lawn,Montgomery Street,
508,San Francisco,2019-03-14,Bakersfield Mist,Theater,55,16:00,Phoenix Theatre,414 Mason Street,
509,San Francisco,2019-03-14,Bats Improv Comedy,Theater,30,16:30,BATS Improv Theatre,Landmark Building B,
510,San Francisco,2019-03-13,Caveman Play,Theater,30,19:30,Z Below,470 Florida Street,
511,San Francisco,2019-03-05,Creative Drama Summer Camp,Theater,20,16:30,Young Performers Theatre,"Landmark Building C, 2 Marina Boulevard",
512,San Francisco,2019-03-14,Heathers The Musical,Theater,20,19:00,Cowell Theater,2 Marina Boulevard,
513,San Francisco,2019-03-09,Into The Woods,Theater,20,19:00,The Strand Theater,1127 Market Street,
514,San Francisco,2019-03-11,Other,Theater,45,19:30,The Chapel,777 Valencia Street,
515,San Francisco,2019-03-06,Above Ground,,35,17:00,Mojo Theatre,2940 16th Street #217,4
516,Chicago,2019-03-13,All That He Was,Theater,25,17:00,"The Buena, Pride Arts Center",4147 North Broadway,
517,Chicago,2019-03-13,Casa Valentina,Theater,50,17:30,PRIDE ARTS CENTER,4139 North Broadway,
518,Chicago,2019-03-13,Comedysportz,Theater,50,18:00,CSz Theater Chicago,929 West Belmont Avenue,
519,Chicago,2019-03-13,Create Your Solo Performance,Theater,35,16:00,Green Shirt Studio,4001 North Ravenswood Avenue Unit 303-B,
520,Chicago,2019-03-13,Dinner Detective,Theater,60,19:30,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue,
521,Chicago,2019-03-13,Drunk Shakespeare,Theater,30,16:00,The Lion Theatre,182 North Wabash Avenue,
522,Chicago,2019-03-13,Every Brilliant Thing,Theater,45,16:30,Windy City Playhouse South,2229 South Michigan Avenue,
523,Chicago,2019-03-13,Fine,Theater,55,19:00,The Mission Theater,1501 North Kingsbury Street,
524,Chicago,2019-03-13,Frankenstein,Theater,35,17:00,Lookingglass Theatre Company,821 North Michigan Avenue,
525,San Diego,2019-03-09,About Time,,40,16:00,Talent to aMuse Theatre Co,3919 Normal Street,3
526,Chicago,2019-03-03,All That He Was,Theater,35,18:30,"The Buena, Pride Arts Center",4147 North Broadway,
527,Chicago,2019-03-03,Casa Valentina,Theater,40,16:00,PRIDE ARTS CENTER,4139 North Broadway,
528,Chicago,2019-03-03,Dinner Detective,Theater,55,17:00,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue,
529,Chicago,2019-03-03,Emma,Theater,25,18:00,Lifeline Theatre,6912 North Glenwood Avenue,
530,Chicago,2019-03-03,Every Brilliant Thing,Theater,40,16:00,Windy City Playhouse South,2229 South Michigan Avenue,
531,Chicago,2019-03-03,Fine,Theater,30,17:00,The Mission Theater,1501 North Kingsbury Street,
532,Chicago,2019-03-03,Frankenstein,Theater,60,17:00,Lookingglass Theatre Company,821 North Michigan Avenue,
533,Chicago,2019-03-03,Gilgamesh And Enkidu,Theater,25,17:30,The Edge Off Broadway,1133 West Catalpa Avenue,
534,Chicago,2019-03-03,Improvised Dungeons And Dragons,Theater,30,18:30,Otherworld Theatre Performance Venue and Bar,3914 North Clark Street,
535,Chicago,2019-03-03,Ada And The Engine,,55,17:30,The Artistic Home,1376 West Grand Avenue #7761,2
536,Portland,2019-03-02,Annual School Performance,,45,17:00,Newmark Theatre,1111 Southwest Broadway,4
537,Philadelphia,2019-03-14,Comedysportz,Theater,40,19:30,The Playground At The Adrienne,2030 Sansom Street,
538,Philadelphia,2019-03-07,Constellations,Theater,55,16:30,Mayfair Theater,6243 Frankford Avenue,
539,Philadelphia,2019-03-02,Pursuit Of Happiness,Theater,55,16:00,Mandell Theater Drexel University,3220 Chestnut Street,
540,Philadelphia,2019-03-03,Shadow Fringe Arts Camp,Theater,45,18:30,Yes! And... Collaborative Arts,21 West Washington Lane,
541,Philadelphia,2019-03-08,Summer Sort Of Thing,Theater,45,17:00,Yes! And... Collaborative Arts,21 West Washington Lane,
542,Philadelphia,2019-03-02,Theatre Camp,Theater,25,16:30,Yes! And... Collaborative Arts,21 West Washington Lane,
543,Philadelphia,2019-03-14,Comedysportz,,40,19:30,The Playground At The Adrienne,2030 Sansom Street,3
544,Los Angeles,2019-03-12,Adieu Monsieur Haffmann,Theater,60,19:00,Theatre Raymond Kabbaz,10361 West Pico Boulevard,
545,Los Angeles,2019-03-12,Characters Welcome,Theater,25,16:00,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
546,Los Angeles,2019-03-12,Famous Adjacent,Theater,35,16:30,Rockwell Table & Stage,1714 North Vermont Avenue,
547,Los Angeles,2019-03-12,Funeral Bouquet,Theater,35,16:30,Lyric Hyperion Theatre & Cafe,2106 Hyperion Avenue,
548,Los Angeles,2019-03-12,Good Mourning,Theater,30,18:30,The Hudson Theatres,6539 Santa Monica Boulevard,
549,Los Angeles,2019-03-12,Improv Nerds,Theater,40,16:00,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
550,Los Angeles,2019-03-12,Lavender Men,Theater,35,17:00,Skylight Theatre Company,1816 1/2 North Vermont Avenue,
551,Los Angeles,2019-03-12,Little Women,Theater,40,19:00,studio/stage,520 North Western Avenue,
552,Los Angeles,2019-03-12,Mamma Mia,Theater,60,16:00,East West Players,120 Judge John Aiso Street,
553,Los Angeles,2019-03-12,Mandy Picks A Husband,Theater,40,17:30,The Little Theater,12420 Santa Monica Boulevard,
554,Los Angeles,2019-03-12,Adieu Monsieur Haffmann,,60,19:00,Theatre Raymond Kabbaz,10361 West Pico Boulevard,1
555,Napa,2019-03-14,Matilda The Musical,Theater,30,18:00,Napa Valley College Performing Arts Center,2277 Napa Vallejo Highway,
556,Napa,2019-03-14,Matilda The Musical,,30,18:00,Napa Valley College Performing Arts Center,2277 Napa Vallejo Highway,4
557,Atlanta,2019-03-11,Benjamin Francis Leftwich,Music,50,18:00,Vinyl,1374 West Peachtree Street Northwest,
558,Atlanta,2019-03-11,Buddy Holly,Music,40,19:30,Atlanta Symphony Orchestra,1280 Peachtree Street Northeast,
559,Atlanta,2019-03-11,Charlie Wilson,Music,25,19:00,Cadence Bank Amphitheatre at Chastain Park,4469 Stella Drive Northwest,
560,Atlanta,2019-03-11,Enter Shikari,Music,40,16:30,The Loft,1374 West Peachtree Street Northwest,
561,Atlanta,2019-03-11,Gipsy Kings,Music,35,18:00,Cadence Bank Amphitheatre at Chastain Park,4469 Stella Drive Northwest,
562,Atlanta,2019-03-11,Kaskade,Music,40,18:00,Ravine,1021 Peachtree Street Northeast,
563,Atlanta,2019-03-11,Maxwell,Music,40,19:30,Cadence Bank Amphitheatre at Chastain Park,4469 Stella Drive Northwest,
564,Atlanta,2019-03-11,Sinead Harnett,Music,45,19:30,The Loft,1374 West Peachtree Street Northwest,
565,Atlanta,2019-03-11,Benjamin Francis Leftwich,,50,18:00,Vinyl,1374 West Peachtree Street Northwest,3
566,Los Angeles,2019-03-13,Asssscat,Theater,50,18:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
567,Los Angeles,2019-03-13,Benji Hughes,Theater,45,19:00,The Teragram Ballroom,1234 West 7th Street,
568,Los Angeles,2019-03-13,Characters Welcome,Theater,60,16:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,
569,Los Angeles,2019-03-13,Famous Adjacent,Theater,25,18:00,Rockwell Table & Stage,1714 North Vermont Avenue,
570,Los Angeles,2019-03-13,Good Mourning,Theater,20,16:00,The Hudson Theatres,6539 Santa Monica Boulevard,
571,Los Angeles,2019-03-13,Long Form Improv Practice,Theater,20,19:00,Thymele Arts,5481 Santa Monica Boulevard,
572,Los Angeles,2019-03-13,Mamma Mia,Theater,45,16:00,East West Players,120 Judge John Aiso Street,
573,Los Angeles,2019-03-13,Marianas Trench,Theater,55,17:00,Regent Theater,448 South Main Street,
574,Los Angeles,2019-03-13,Men On Boats,Theater,25,19:00,Son of Semele Theater,3301 Beverly Boulevard,
575,Los Angeles,2019-03-13,Asssscat,,50,18:30,Upright Citizens Brigade Sunset,5419 Sunset Boulevard,2
576,Seattle,2019-03-10,Beatleconcert,,50,17:00,12th Avenue Arts,1620 12th Avenue,1
577,Portland,2019-03-10,Bastille,,20,17:30,Theater Of The Clouds,1016-1098 North Center Court Street,2
578,Los Angeles,2019-03-03,Aldous Harding,Music,60,18:00,Lodge Room,104 North Avenue 56 2nd Floor,
579,Los Angeles,2019-03-03,Altin Gun,Music,45,16:30,The Teragram Ballroom,1234 West 7th Street,
580,Los Angeles,2019-03-03,America,Music,50,18:30,The Theatre at Ace Hotel,929 South Broadway,
581,Los Angeles,2019-03-03,Angel Olsen,Music,45,17:00,Palace Theatre,630 South Broadway,
582,Los Angeles,2019-03-03,Emeli Sande,Music,30,16:30,The Theatre at Ace Hotel,929 South Broadway,
583,Los Angeles,2019-03-03,Finneas,Music,60,16:00,Masonic Lodge at Hollywood Forever,5970 Santa Monica Boulevard,
584,Los Angeles,2019-03-03,Foy Vance,Music,20,16:00,Palace Theatre,630 South Broadway,
585,Los Angeles,2019-03-03,Jpegmafia,Music,20,17:30,The Teragram Ballroom,1234 West 7th Street,
586,Los Angeles,2019-03-03,Kamasi Washington,Music,50,19:00,The Theatre at Ace Hotel,929 South Broadway,
587,Atlanta,2019-03-03,Benjamin Francis Leftwich,,30,19:00,Vinyl,1374 West Peachtree Street Northwest,1
588,Vancouver,2019-03-07,Alice In Glitterland,Theater,60,18:30,The Wise,1882 Adanac Street,
589,Vancouver,2019-03-07,Impro Scene Study,Theater,30,18:00,Dusty Flowerpot Cabaret Society,2050 Scotia Street,
590,Vancouver,2019-03-07,Little Mountain Improv,Theater,45,18:00,Little Mountain Gallery,195 East 26th Avenue,
591,Vancouver,2019-03-07,Matilda The Musical,Theater,55,17:30,"Goldcorp Stage at the BMO Theatre Centre, Arts Club Theatre Company",203 - 162 West 1st Avenue,
592,Vancouver,2019-03-07,Mother Of The Maid,Theater,40,18:30,Pacific Theatre,1440 West 12th Avenue,
593,Vancouver,2019-03-07,Of Mice And Men,Theater,20,19:30,Stage Door,3102 Main Street,
594,Vancouver,2019-03-07,Shakespeare In Love,Theater,55,17:00,Bard on the Beach Shakespeare Festival,1695 Whyte Avenue,
595,Vancouver,2019-03-07,Teatro Intimo Del Flamenco,Theater,60,19:00,Vancouver TheatreSports(tm),1502 Duranleau Street,
596,Vancouver,2019-03-07,Alice In Glitterland,,60,18:30,The Wise,1882 Adanac Street,4
597,San Rafael,2019-03-02,Cabaret Kids,Theater,60,17:30,Marin Center Showcase Theater,10 Avenue of the Flags,
598,San Rafael,2019-03-11,Circular By Laura Shamas,Theater,35,18:00,Altertheater Ensemble,1333 4th Street,
599,San Rafael,2019-03-09,Measure For Measure,Theater,20,19:00,Forest Meadows Amphitheatre,890 Belle Avenue,
600,San Rafael,2019-03-02,Spamalot,Theater,40,19:30,Forest Meadows Amphitheatre,890 Belle Avenue,
601,San Rafael,2019-03-04,Theatre Of Dreams,Theater,40,16:30,Marin Center Showcase Theater,10 Avenue of the Flags,
602,San Rafael,2019-03-11,Abba The Concert,Music,20,18:00,Marin Veterans' Memorial Auditorium,10 Avenue of the Flags,
603,San Rafael,2019-03-06,Steel Pulse,Music,20,17:30,Marin Veterans' Memorial Auditorium,10 Avenue of the Flags,
604,San Rafael,2019-03-11,Abba The Concert,,20,18:00,Marin Veterans' Memorial Auditorium,10 Avenue of the Flags,2
605,Portland,2019-03-10,Bastille,,20,17:30,Theater Of The Clouds,1016-1098 North Center Court Street,4
606,San Francisco,2019-03-01,Above Ground,Theater,40,17:30,Mojo Theatre,2940 16th Street #217,
607,San Francisco,2019-03-01,Above Ground Festival,Theater,20,16:00,Mojo Theatre,2940 16th Street #217,
608,San Francisco,2019-03-01,As You Like It,Theater,40,17:00,Main Post Lawn,Montgomery Street,
609,San Francisco,2019-03-01,Bakersfield Mist,Theater,45,18:30,Phoenix Theatre,414 Mason Street,
610,San Francisco,2019-03-01,Bats Improv Comedy,Theater,35,19:30,BATS Improv Theatre,Landmark Building B,
611,San Francisco,2019-03-01,Caveman Play,Theater,30,17:30,Z Below,470 Florida Street,
612,San Francisco,2019-03-01,Creative Drama Summer Camp,Theater,45,18:30,Young Performers Theatre,"Landmark Building C, 2 Marina Boulevard",
613,San Francisco,2019-03-01,Heathers The Musical,Theater,50,18:30,Cowell Theater,2 Marina Boulevard,
614,San Francisco,2019-03-01,Other,Theater,60,17:30,The Chapel,777 Valencia Street,
615,San Francisco,2019-03-01,Superscene Prime Time,Theater,20,16:30,BATS Improv Theatre,Landmark Building B,
616,San Francisco,2019-03-01,Above Ground,,40,17:30,Mojo Theatre,2940 16th Street #217,3
617,Phoenix,2019-03-02,Bad Suns,,55,16:30,The Van Buren,401 West Van Buren Street,4
618,London,2019-03-14,A Right Royale Tea,,50,19:00,Amba Hotel Charing Cross,Strand,1
619,Phoenix,2019-03-02,Bad Suns,,55,16:30,The Van Buren,401 West Van Buren Street,1
620,Vancouver,2019-03-10,Cavetown,Music,50,16:00,Venue Nightclub,881 Granville Street,
621,Vancouver,2019-03-10,Collective Soul,Music,60,19:00,PNE Amphitheatre,2901 East Hastings Street,
622,Vancouver,2019-03-10,Comethazine,Music,55,17:30,Venue Nightclub,881 Granville Street,
623,Vancouver,2019-03-10,Cuco,Music,35,18:30,Venue Nightclub,881 Granville Street,
624,Vancouver,2019-03-10,Tlc,Music,40,18:30,PNE Amphitheatre,2901 East Hastings Street,
625,Vancouver,2019-03-10,Cavetown,,50,16:00,Venue Nightclub,881 Granville Street,3
626,Napa,2019-03-02,Braxton Cook,Music,25,17:00,Blue Note Napa,1030 Main Street,
627,Napa,2019-03-01,Jon B,Music,20,17:30,Blue Note Napa,1030 Main Street,
628,Napa,2019-03-14,Nellie Mckay,Music,60,18:00,Blue Note Napa,1030 Main Street,
629,Napa,2019-03-05,Roy Ayers,Music,60,16:00,Blue Note Napa,1030 Main Street,
630,Napa,2019-03-05,Stella Heath,Music,40,17:30,Blue Note Napa,1030 Main Street,
631,Napa,2019-03-02,Braxton Cook,,25,17:00,Blue Note Napa,1030 Main Street,1
632,Toronto,2019-03-01,Funtcase,Music,30,19:00,NEST,423 College Street,
633,Toronto,2019-03-03,Mac Demarco,Music,25,18:00,Woodbine Park,1695 Queen Street East,
634,Toronto,2019-03-09,Mavis Staples,Music,25,16:30,Telus Centre for Performance and Learning,273 Bloor Street West,
635,Toronto,2019-03-10,Melanie Martinez,Music,25,16:00,Rebel,11 Polson Street,
636,Toronto,2019-03-11,Mike Epps,Music,45,17:00,Bluma Appel Theatre,"Centre for the Arts, 27 Front Street East",
637,Toronto,2019-03-12,Pup,Music,40,16:00,Echo Beach,909 Lake Shore Boulevard West,
638,Toronto,2019-03-02,Summer Walker,Music,20,18:00,Rebel,11 Polson Street,
639,Toronto,2019-03-01,Funtcase,,30,19:00,NEST,423 College Street,3
640,San Diego,2019-03-04,About Time,Theater,30,18:00,Talent to aMuse Theatre Co,3919 Normal Street,
641,San Diego,2019-03-04,Arsenic And Old Lace,Theater,45,18:30,Northminster Presbyterian Church,4324 Clairemont Mesa Boulevard,
642,San Diego,2019-03-04,Dance Nation,Theater,30,16:00,Moxie Theatre,6663 El Cajon Boulevard Ste N,
643,San Diego,2019-03-04,Foxfire,Theater,30,16:00,Scripps Ranch Theatre,9783 Avenue of Nations,
644,San Diego,2019-03-04,King Lear,Theater,50,17:00,Westminster Presbyterian Church,3598 Talbot Street,
645,San Diego,2019-03-04,Once Upon A Mattress,Theater,25,17:00,Mission Hills United Church of Christ,4070 Jackdaw Street,
646,San Diego,2019-03-04,She Kills Monsters,Theater,45,17:30,Saville Theatre,"14th St &, C Street",
647,San Diego,2019-03-04,About Time,,30,18:00,Talent to aMuse Theatre Co,3919 Normal Street,3
648,London,2019-03-11,A Taste For Murder,Theater,55,18:30,Wanstead Library,Spratt Hall Road,
649,London,2019-03-11,All The Little Lights,Theater,30,19:30,Tristan Bates Theatre,1A Tower Street,
650,London,2019-03-11,Armia,Theater,60,18:30,The Dome,2A Dartmouth Park Hill,
651,London,2019-03-11,As You Like It,Theater,50,17:30,"Swan, Shakespeare's Globe","21 New Globe Walk, Bankside",
652,London,2019-03-11,Becoming The Invisible Woman,Theater,25,18:00,Drayton Arms Theatre,153 Old Brompton Road,
653,London,2019-03-11,Caspa Arts Collaborative Theatre,Theater,50,19:30,Drayton Arms Theatre,153 Old Brompton Road,
654,London,2019-03-11,Christmas Drama Workshop,Theater,55,16:30,Harmony Hall,10 Truro Road,
655,London,2019-03-11,Come To One,Theater,25,19:00,The Chapel Cafe Bar,308 - 312 Grays Inn Road,
656,London,2019-03-11,Creative Movements Class,Theater,35,17:00,Pangbourne House Nursery Montessori School,2 Pangbourne Avenue,
657,London,2019-03-11,A Taste For Murder,,55,18:30,Wanstead Library,Spratt Hall Road,1
658,Philadelphia,2019-03-12,Ayokay,Music,40,19:00,The Foundry,29 East Allen Street 2nd Floor,
659,Philadelphia,2019-03-12,Bars And Melody,Music,25,17:30,The Foundry,29 East Allen Street 2nd Floor,
660,Philadelphia,2019-03-12,Icon For Hire,Music,55,19:00,Voltage Lounge,421 North 7th Street,
661,Philadelphia,2019-03-12,Julia Jacklin,Music,45,16:00,The Foundry,29 East Allen Street 2nd Floor,
662,Philadelphia,2019-03-12,King Princess,Music,60,16:30,The Fillmore Philadelphia,29 East Allen Street,
663,Philadelphia,2019-03-12,Lil Durk,Music,60,17:30,The Fillmore Philadelphia,29 East Allen Street,
664,Philadelphia,2019-03-12,Louis The Child,Music,20,16:00,The Fillmore Philadelphia,29 East Allen Street,
665,Philadelphia,2019-03-12,Mac Ayres,Music,45,18:00,The Foundry,29 East Allen Street 2nd Floor,
666,Philadelphia,2019-03-12,Melanie Martinez,Music,30,17:30,The Fillmore Philadelphia,29 East Allen Street,
667,Philadelphia,2019-03-12,Toto,Music,55,19:30,The Met Philadelphia,858 North Broad Street,
668,Philadelphia,2019-03-12,Bars And Melody,,25,17:30,The Foundry,29 East Allen Street 2nd Floor,2
669,London,2019-03-01,Hansard,Music,20,18:00,Lyttleton Theatre,South Bank,
670,London,2019-03-01,Iq,Music,45,18:30,O2 Academy 2 & Box Office,26 Parkfield Street,
671,London,2019-03-01,Liam Frost,Music,25,17:00,Servant Jazz Quarters,10A Bradbury Street,
672,London,2019-03-01,Onblackheath Festival,Music,35,19:00,Blackheath Common,7-8 Vanbrugh Terrace,
673,London,2019-03-01,Ruel,Music,55,16:00,Electric Brixton,Town Hall Parade,
674,London,2019-03-01,Twin Peaks,Music,55,18:00,The Dome,2A Dartmouth Park Hill,
675,Los Angeles,2019-03-01,Ain Gordon,,40,19:30,Ralph Freud Playhouse,245 Charles E Young Drive East,4
676,Chicago,2019-03-10,Ada And The Engine,Theater,25,17:30,The Artistic Home,1376 West Grand Avenue #7761,
677,Chicago,2019-03-10,Comedysportz,Theater,25,18:30,CSz Theater Chicago,929 West Belmont Avenue,
678,Chicago,2019-03-10,Countess Dracula,Theater,20,16:30,Otherworld Theatre Performance Venue and Bar,3914 North Clark Street,
679,Chicago,2019-03-10,Drunk Shakespeare,Theater,45,19:30,The Lounge At The Lion,182 North Wabash Avenue,
680,Chicago,2019-03-10,Ebonyessencejet At Steppenwolf Theatre,Theater,45,16:00,Front Bar,1700 North Halsted Street,
681,Chicago,2019-03-10,Emma,Theater,20,19:00,Lifeline Theatre,6912 North Glenwood Avenue,
682,Chicago,2019-03-10,Every Brilliant Thing,Theater,40,17:30,Windy City Playhouse South,2229 South Michigan Avenue,
683,Chicago,2019-03-10,Fine,Theater,50,19:30,The Mission Theater,1501 North Kingsbury Street,
684,Chicago,2019-03-10,Ada And The Engine,,25,17:30,The Artistic Home,1376 West Grand Avenue #7761,1
685,New York,2019-03-11,Abbi Jacobson,,60,19:30,Kaufmann Concert Hall,1395 Lexington Avenue,4
686,London,2019-03-07,A Right Royale Tea,Theater,35,19:30,Amba Hotel Charing Cross,Strand,
687,London,2019-03-07,Academy Performing Arts,Theater,45,19:30,Academy Performing Arts,"Academy Performing Arts, 2 Archery Road",
688,London,2019-03-07,All The Little Lights,Theater,25,18:00,Tristan Bates Theatre,1A Tower Street,
689,London,2019-03-07,Beyond The Blue,Theater,50,17:30,Poplar Union,2 Cotall Street,
690,London,2019-03-07,Boat Show Comedy Club,Theater,20,19:00,The Boat Show Comedy Club,"Salsa! Temple, Ps Tattershall Castle, Temple Station, Victoria Embankment",
691,London,2019-03-07,Boris Rex,Theater,50,17:00,Tristan Bates Theatre,1A Tower Street,
692,London,2019-03-07,Caspa Arts Collaborative Theatre,Theater,35,18:00,Drayton Arms Theatre,153 Old Brompton Road,
693,London,2019-03-07,Christmas Drama Workshop,Theater,60,16:30,Harmony Hall,10 Truro Road,
694,London,2019-03-07,Club Briefs,Theater,25,16:30,Wonderground,337-338 Belvedere Road,
695,London,2019-03-07,A Right Royale Tea,,35,19:30,Amba Hotel Charing Cross,Strand,3
696,San Diego,2019-03-07,Alejandro Sanz,Music,50,19:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
697,San Diego,2019-03-04,Angel Olsen,Music,30,17:00,The Observatory North Park,2891 University Avenue,
698,San Diego,2019-03-07,Bastille,Music,55,18:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
699,San Diego,2019-03-01,Benjamin Francis Leftwich,Music,35,17:30,The Irenic,3090 Polk Avenue,
700,San Diego,2019-03-07,Devendra Banhart,Music,30,16:00,The Observatory North Park,2891 University Avenue,
701,San Diego,2019-03-09,Fidlar,Music,25,16:30,The Observatory North Park,2891 University Avenue,
702,San Diego,2019-03-07,Greta Van Fleet,Music,45,17:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
703,San Diego,2019-03-11,Hozier,Music,35,16:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,
704,San Diego,2019-03-11,Ingrid Michaelson,Music,25,18:00,The Observatory North Park,2891 University Avenue,
705,San Diego,2019-03-13,Johnny Mathis,Music,55,16:30,Copley Symphony Hall,Seventh Avenue,
706,San Diego,2019-03-07,Alejandro Sanz,,50,19:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,3
707,Los Angeles,2019-03-01,A Year In Dragonfly,,55,18:30,Studio C Artists,6448 California 2,4
708,Toronto,2019-03-02,Anne Of Green Gables,,60,19:00,Lower Ossington Theatre,100 Ossington Avenue,1
709,New York,2019-03-09,Alpha Blondy,,25,19:30,Sony Hall,235 West 46th Street,1
710,New York,2019-03-09,Alpha Blondy,,25,19:30,Sony Hall,235 West 46th Street,2
711,Oakland,2019-03-11,The Threepenny Opera,Theater,20,16:00,Bridge Yard,210 Burma Road,
712,Oakland,2019-03-11,The Threepenny Opera,,20,16:00,Bridge Yard,210 Burma Road,1
713,Los Angeles,2019-03-09,Ain Gordon,,60,19:00,Ralph Freud Playhouse,245 Charles E Young Drive East,2
714,London,2019-03-14,Armia,Theater,60,16:30,The Dome,2A Dartmouth Park Hill,
715,London,2019-03-14,Becoming The Invisible Woman,Theater,30,19:30,Drayton Arms Theatre,153 Old Brompton Road,
716,London,2019-03-14,Beyond The Blue,Theater,30,16:00,Poplar Union,2 Cotall Street,
717,London,2019-03-14,Boat Show Comedy Club,Theater,30,18:30,The Boat Show Comedy Club,"Salsa! Temple, Ps Tattershall Castle, Temple Station, Victoria Embankment",
718,London,2019-03-14,Bon Ami,Theater,60,17:30,Studio at New Wimbledon Theatre,93 The Broadway,
719,London,2019-03-14,Broken English,Theater,20,18:30,The Honor Oak Pub,1 Saint German's Road,
720,London,2019-03-14,Caspa Arts Collaborative Theatre,Theater,40,18:30,Drayton Arms Theatre,153 Old Brompton Road,
721,London,2019-03-14,Club Briefs,Theater,60,16:00,Wonderground,337-338 Belvedere Road,
722,London,2019-03-14,Craig David,Theater,55,19:30,Rose Bowl Youth Centre,"St. Paul's Open Space, New River Green Estate",
723,Atlanta,2019-03-11,Adam Ant,,25,17:00,Atlanta Symphony Orchestra,1280 Peachtree Street Northeast,4
