,city,date,humidity,precipitation,temperature,wind
612,Hayward,2019-03-09,22,14,70,9
613,Antioch,2019-03-14,24,13,74,1
614,Cloverdale,2019-03-01,16,2,88,3
615,Larkspur,2019-03-01,58,25,86,2
616,Albany,2019-03-03,24,9,92,2
617,Gilroy,2019-03-09,16,4,79,12
618,Oakland,2019-03-05,30,15,92,1
619,Alamo,2019-03-13,18,3,71,3
620,Sebastopol,2019-03-01,34,22,91,6
621,Dixon,2019-03-01,27,9,77,7
622,San Ramon,2019-03-02,38,13,88,5
623,Orinda,2019-03-01,16,3,81,9
624,San Bruno,2019-03-13,43,17,79,8
625,Menlo Park,2019-03-01,15,0,76,3
626,Geyserville,2019-03-01,18,16,90,5
627,Hayward,2019-03-06,20,6,78,12
628,American Canyon,2019-03-12,39,15,75,12
629,Muir Beach,2019-03-07,37,27,82,2
630,Duncans Mills,2019-03-08,16,3,91,11
631,Bolinas,2019-03-11,34,16,94,12
632,Danville,2019-03-11,23,25,87,11
633,Brentwood,2019-03-05,24,10,81,4
634,Muir Beach,2019-03-03,21,4,88,8
635,San Anselmo,2019-03-03,37,22,76,11
636,Pittsburg,2019-03-10,47,21,77,5
637,Eldridge,2019-03-05,35,13,88,4
638,Belmont,2019-03-01,26,22,90,1
639,Morgan Hill,2019-03-11,26,14,82,3
640,El Cerrito,2019-03-04,42,29,93,3
641,Brentwood,2019-03-04,16,3,77,9
642,Cotati,2019-03-10,26,10,70,12
643,Belmont,2019-03-12,15,1,92,3
644,San Pablo,2019-03-12,15,28,81,2
645,Redwood City,2019-03-02,68,29,89,4
646,Castro Valley,2019-03-13,16,1,70,1
647,St. Helena,2019-03-10,17,8,72,2
648,Pleasant Hill,2019-03-12,60,25,77,7
649,Pleasant Hill,2019-03-10,35,19,91,12
650,Novato,2019-03-01,23,12,91,1
651,Gilroy,2019-03-05,22,14,91,12
652,Gilroy,2019-03-03,22,7,86,9
653,Santa Rosa,2019-03-03,30,14,73,10
654,Martinez,2019-03-10,43,20,79,1
655,Mill Valley,2019-03-05,48,23,76,9
656,Pleasant Hill,2019-03-11,15,0,93,6
657,Palo Alto,2019-03-10,17,2,87,10
658,Gilroy,2019-03-07,10,13,93,4
659,Gilroy,2019-03-04,40,21,87,6
660,San Ramon,2019-03-14,33,18,93,8
661,Santa Rosa,2019-03-12,15,0,83,1
662,El Cerrito,2019-03-06,31,26,72,7
663,Redwood City,2019-03-11,29,25,79,5
664,Castro Valley,2019-03-10,25,14,76,10
665,Oakland,2019-03-09,40,19,89,7
666,Martinez,2019-03-02,27,23,73,11
667,Walnut Creek,2019-03-01,22,13,72,1
668,Novato,2019-03-14,35,28,82,1
669,Campbell,2019-03-07,28,28,85,4
670,Santa Rosa,2019-03-09,41,26,92,8
671,Los Gatos,2019-03-03,31,22,70,8
672,Campbell,2019-03-10,41,25,89,9
673,Los Gatos,2019-03-11,19,4,71,7
674,Martinez,2019-03-08,4,25,94,12
675,Redwood City,2019-03-09,25,11,93,3
676,Martinez,2019-03-03,22,21,90,11
677,St. Helena,2019-03-05,34,26,85,11
678,Lafayette,2019-03-08,23,12,71,5
679,Sunnyvale,2019-03-14,16,2,83,8
680,Santa Rosa,2019-03-04,24,7,87,11
681,Concord,2019-03-04,28,18,80,5
682,Cotati,2019-03-07,15,1,89,8
683,Los Altos,2019-03-11,47,28,73,3
684,San Lorenzo,2019-03-03,43,23,78,9
685,Mexico City,2019-03-03,18,7,102,12
686,Vancouver,2019-03-11,26,22,66,8
687,Seattle,2019-03-02,13,23,70,13
688,Duncans Mills,2019-03-11,19,4,91,7
689,Chicago,2019-03-04,34,35,65,11
690,Atherton,2019-03-13,30,11,80,10
691,Millbrae,2019-03-08,15,0,92,11
692,Newark,2019-03-10,24,16,92,4
693,Foster City,2019-03-01,38,22,80,8
694,Novato,2019-03-06,32,20,71,10
695,Tiburon,2019-03-09,17,27,82,8
696,San Rafael,2019-03-09,25,9,90,10
697,East Palo Alto,2019-03-01,41,19,92,5
698,Pescadero,2019-03-01,15,0,86,1
699,Montara,2019-03-05,16,2,87,3
700,Glen Ellen,2019-03-04,26,15,90,11
701,Duncans Mills,2019-03-07,34,13,87,4
702,Calistoga,2019-03-12,15,0,80,9
703,San Leandro,2019-03-01,16,1,83,1
704,San Diego,2019-03-10,15,1,87,4
705,Pinole,2019-03-12,50,17,70,6
706,Mexico City,2019-03-08,15,6,102,11
707,Long Beach,2019-03-10,50,20,75,11
708,San Rafael,2019-03-08,23,8,74,1
709,Anaheim,2019-03-10,27,9,76,8
710,Long Beach,2019-03-08,24,10,80,5
711,Sacramento,2019-03-09,31,23,92,9
712,Washington D.C.,2019-03-07,27,20,81,2
713,Duncans Mills,2019-03-03,37,20,93,7
714,Mexico City,2019-03-05,18,3,87,2
715,Muir Beach,2019-03-10,36,22,92,2
716,Mexico City,2019-03-06,15,4,95,3
717,Morgan Hill,2019-03-12,25,10,87,8
718,Palo Alto,2019-03-02,19,9,83,12
719,Stinson Beach,2019-03-01,31,16,80,9
720,Woodside,2019-03-10,46,24,86,1
721,Bodega Bay,2019-03-03,18,8,77,6
722,Berkeley,2019-03-02,41,26,83,6
723,Danville,2019-03-07,25,15,73,7
724,Calistoga,2019-03-10,28,13,84,10
725,Millbrae,2019-03-11,36,25,91,2
726,Discovery Bay,2019-03-07,56,28,85,9
727,Moraga,2019-03-02,23,4,76,2
728,San Anselmo,2019-03-06,23,15,91,2
729,Marshall,2019-03-05,33,25,76,9
730,San Leandro,2019-03-05,36,18,91,5
731,Duncans Mills,2019-03-06,19,12,70,2
732,Daly City,2019-03-01,21,6,77,6
733,St. Helena,2019-03-02,16,1,76,4
734,San Anselmo,2019-03-10,62,28,87,9
735,Pacifica,2019-03-11,21,16,82,9
736,Martinez,2019-03-12,37,27,85,7
737,Santa Clara,2019-03-03,38,24,84,4
738,Santa Clara,2019-03-12,26,21,85,4
739,Alamo,2019-03-06,20,7,75,2
740,Mountain View,2019-03-09,36,27,77,11
741,Sausalito,2019-03-06,22,15,89,1
742,Oakley,2019-03-10,27,20,83,6
743,Brentwood,2019-03-10,29,21,71,3
744,Phoenix,2019-03-07,36,19,86,11
745,Newark,2019-03-13,25,9,82,2
746,Foster City,2019-03-13,35,23,94,1
747,Campbell,2019-03-04,44,29,72,5
748,Yountville,2019-03-03,31,16,75,7
749,Montara,2019-03-10,22,20,72,6
750,American Canyon,2019-03-06,40,19,83,3
751,Alameda,2019-03-06,27,27,88,12
752,Washington D.C.,2019-03-14,17,2,90,10
753,Stinson Beach,2019-03-05,28,18,90,7
754,Novato,2019-03-03,29,15,82,11
755,Martinez,2019-03-05,29,22,83,2
756,Morgan Hill,2019-03-03,43,23,70,7
757,Rio Vista,2019-03-10,32,26,77,9
758,Healdsburg,2019-03-02,30,21,91,10
759,Healdsburg,2019-03-10,47,22,79,3
760,Clayton,2019-03-12,40,17,92,8
761,Hercules,2019-03-12,18,3,84,3
762,Point Reyes Station,2019-03-03,32,22,71,12
763,Milpitas,2019-03-01,52,28,73,5
764,Rio Vista,2019-03-01,20,6,85,3
765,Corte Madera,2019-03-14,29,13,91,12
766,Tiburon,2019-03-13,28,16,86,4
767,Oakley,2019-03-01,17,3,73,9
768,Pittsburg,2019-03-14,35,20,87,5
769,Berkeley,2019-03-13,35,18,74,12
770,Petaluma,2019-03-01,57,29,82,11
771,Sonoma,2019-03-14,32,25,88,12
772,Dublin,2019-03-04,26,23,87,10
773,Berkeley,2019-03-11,43,28,83,4
774,Sunnyvale,2019-03-03,19,17,72,4
775,Glen Ellen,2019-03-05,19,4,84,3
776,Berkeley,2019-03-07,30,29,88,10
777,Daly City,2019-03-08,17,6,91,5
778,Benicia,2019-03-02,18,5,92,12
779,Pleasanton,2019-03-03,43,16,79,10
780,Petaluma,2019-03-10,39,13,70,12
781,Dublin,2019-03-13,20,19,84,1
782,Campbell,2019-03-08,24,17,88,8
783,Discovery Bay,2019-03-03,34,26,71,12
784,Rohnert Park,2019-03-09,40,20,92,2
785,Los Gatos,2019-03-01,28,17,93,10
786,Moraga,2019-03-14,24,14,82,5
787,Napa,2019-03-04,18,5,85,9
788,Point Reyes Station,2019-03-08,41,14,91,3
789,Pleasanton,2019-03-01,16,4,90,8
790,Atlanta,2019-03-04,25,9,75,5
791,American Canyon,2019-03-14,37,13,81,11
792,Dixon,2019-03-10,21,5,76,10
793,Mountain View,2019-03-06,27,21,75,1
794,St. Helena,2019-03-14,31,24,74,4
795,Cupertino,2019-03-09,19,4,88,2
796,Lafayette,2019-03-03,18,17,85,7
797,Menlo Park,2019-03-14,18,12,79,9
798,Redwood City,2019-03-10,58,25,74,7
799,Sunnyvale,2019-03-04,18,28,71,9
800,Walnut Creek,2019-03-12,37,29,86,10
801,Stanford,2019-03-03,24,7,71,3
802,Concord,2019-03-11,24,18,93,10
803,Gilroy,2019-03-06,15,0,76,12
804,Gilroy,2019-03-12,15,0,79,11
805,Lafayette,2019-03-07,41,26,89,10
806,Vacaville,2019-03-04,55,24,77,6
807,Sausalito,2019-03-01,16,1,77,4
808,San Ramon,2019-03-13,29,15,70,10
809,Sausalito,2019-03-05,36,27,82,4
810,San Rafael,2019-03-11,16,1,79,3
811,Walnut Creek,2019-03-14,27,28,87,12
812,Novato,2019-03-10,18,10,71,5
813,El Cerrito,2019-03-01,45,22,89,10
814,Mexico City,2019-03-14,15,1,92,12
815,Portland,2019-03-13,13,24,58,15
816,Cotati,2019-03-06,41,27,93,9
817,Toronto,2019-03-05,23,55,66,12
818,Mexico City,2019-03-13,21,8,91,6
819,Toronto,2019-03-07,25,15,61,12
820,Los Angeles,2019-03-06,26,19,78,1
821,Cotati,2019-03-05,41,18,86,1
822,Nairobi,2019-03-05,14,9,90,7
823,Portland,2019-03-10,39,25,58,4
824,Philadelphia,2019-03-06,48,26,94,12
825,Gilroy,2019-03-08,40,20,85,9
826,Paris,2019-03-02,33,16,72,1
827,Washington D.C.,2019-03-05,51,28,82,12
828,Los Angeles,2019-03-11,51,23,86,7
829,Moraga,2019-03-13,20,5,73,6
830,Cupertino,2019-03-05,23,15,76,2
831,Richmond,2019-03-13,18,4,83,7
832,Valley Ford,2019-03-03,22,13,91,9
833,Duncans Mills,2019-03-01,21,13,77,10
834,Brentwood,2019-03-01,17,3,77,10
835,Bolinas,2019-03-01,50,28,85,6
836,Graton,2019-03-01,37,25,76,12
837,Sacramento,2019-03-11,61,26,84,7
838,Emeryville,2019-03-01,33,17,86,11
839,American Canyon,2019-03-01,28,10,83,3
840,Tomales,2019-03-02,34,21,75,4
841,Fairfax,2019-03-06,17,12,91,11
842,Delhi,2019-03-14,13,7,96,6
843,"Olema, California",2019-03-02,25,9,88,9
844,Newark,2019-03-05,38,23,90,5
845,Fremont,2019-03-13,28,15,72,3
846,Sebastopol,2019-03-12,19,7,93,1
847,Lagunitas,2019-03-05,23,10,92,11
848,Los Altos,2019-03-02,42,17,94,5
849,Half Moon Bay,2019-03-01,42,18,81,4
850,Pescadero,2019-03-02,24,18,76,8
851,Fresno,2019-03-09,27,25,93,5
852,Cloverdale,2019-03-04,26,24,71,1
853,Fresno,2019-03-10,36,13,90,8
854,Philadelphia,2019-03-13,17,3,86,12
855,Oakley,2019-03-02,18,3,93,11
856,Anaheim,2019-03-08,16,9,86,6
857,Sacramento,2019-03-14,18,16,92,1
858,Anaheim,2019-03-13,27,20,90,12
859,Sacramento,2019-03-03,23,14,87,2
860,Fresno,2019-03-14,16,2,84,3
861,Benicia,2019-03-06,25,24,85,9
862,Benicia,2019-03-12,22,4,73,10
863,Bolinas,2019-03-04,32,12,85,1
864,San Anselmo,2019-03-13,16,2,83,1
865,Alameda,2019-03-05,22,7,79,9
866,San Pablo,2019-03-04,49,18,80,12
867,Larkspur,2019-03-10,42,20,85,12
868,Burlingame,2019-03-01,17,2,81,12
869,San Bruno,2019-03-02,58,21,77,4
870,Castro Valley,2019-03-09,15,7,86,4
871,Dixon,2019-03-12,28,21,93,4
872,Sebastopol,2019-03-11,18,6,75,7
873,Hayward,2019-03-10,30,14,80,8
874,Brentwood,2019-03-08,29,19,86,3
875,Novato,2019-03-04,19,7,87,5
876,Atherton,2019-03-04,24,10,78,6
877,Woodside,2019-03-01,23,6,78,11
878,Moraga,2019-03-09,19,3,86,1
879,Walnut Creek,2019-03-02,55,26,76,6
880,Lagunitas,2019-03-02,24,17,87,5
881,Graton,2019-03-09,38,19,89,4
882,Millbrae,2019-03-03,20,23,73,7
883,Menlo Park,2019-03-11,37,19,71,7
884,Oakland,2019-03-14,27,22,84,5
885,San Ramon,2019-03-07,17,5,74,12
886,San Lorenzo,2019-03-01,19,3,76,1
887,Novato,2019-03-09,16,1,80,5
888,Berkeley,2019-03-14,30,16,81,10
889,Antioch,2019-03-07,15,0,71,4
890,Oakley,2019-03-04,33,11,75,10
891,Fremont,2019-03-12,21,10,73,5
892,San Mateo,2019-03-14,27,18,87,1
893,Saratoga,2019-03-08,22,19,81,2
894,Pleasanton,2019-03-04,29,13,78,1
895,Santa Rosa,2019-03-02,41,27,86,9
896,Foster City,2019-03-10,16,5,72,3
897,Windsor,2019-03-11,64,28,89,12
898,Gilroy,2019-03-14,20,9,72,5
899,Walnut Creek,2019-03-10,45,26,91,11
900,Berkeley,2019-03-09,41,24,74,4
901,Union City,2019-03-08,32,25,86,7
