,airlines,arrives_next_day,departure_date,destination_airport_name,destination_city,flight_class,number_checked_bags,number_stops,origin_airport_name,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,inbound_arrival_time,inbound_departure_time,return_date
293,Delta Airlines,False,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,0,SFO International Airport,San Francisco,22:38,16:55,1,167,,,
294,Southwest Airlines,False,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,1,SFO International Airport,San Francisco,11:15,04:00,1,259,,,
295,American Airlines,True,2019-03-11,Benito Juarez International Airport,Mexico City,Economy,0,0,SFO International Airport,San Francisco,03:53,22:10,3,317,13:23,11:40,2019-03-13
296,Alaska Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,12:06,09:55,1,138,,,
297,American Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,11:41,09:30,1,125,,,
298,Delta Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,16:41,14:30,1,133,,,
299,Southwest Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,18:16,16:05,1,111,,,
300,United Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,07:31,05:20,1,118,,,
301,Alaska Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,12:06,09:55,2,138,,,
302,American Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,11:41,09:30,2,125,,,
303,Delta Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,16:41,14:30,2,133,,,
304,Southwest Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,18:16,16:05,2,111,,,
305,Delta Airlines,False,2019-03-06,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,16:41,14:30,2,239,22:36,20:25,2019-03-08
306,Delta Airlines,False,2019-03-01,Dulles International Airport,Washington,Economy,0,0,O'Hare International Airport,Chicago,17:28,14:30,1,109,,,
307,Delta Airlines,False,2019-03-01,Dulles International Airport,Washington,Economy,0,1,O'Hare International Airport,Chicago,20:50,16:05,3,309,05:18,04:20,2019-03-03
308,American Airlines,False,2019-03-08,Sky Harbor International Airport,Phoenix,Premium Economy,0,1,O'Hare International Airport,Chicago,14:32,08:25,1,442,,,
309,Delta Airlines,False,2019-03-08,Sky Harbor International Airport,Phoenix,Premium Economy,0,1,O'Hare International Airport,Chicago,18:17,12:00,1,478,,,
310,United Airlines,False,2019-03-08,Sky Harbor International Airport,Phoenix,Premium Economy,0,1,O'Hare International Airport,Chicago,13:13,07:45,1,446,,,
311,American Airlines,False,2019-03-08,Sky Harbor International Airport,Phoenix,Premium Economy,0,1,O'Hare International Airport,Chicago,14:32,08:25,1,899,19:22,09:30,2019-03-10
312,American Airlines,False,2019-03-02,Dulles International Airport,Washington,Economy,0,1,O'Hare International Airport,Chicago,14:40,09:40,1,194,,,
313,Delta Airlines,False,2019-03-02,Dulles International Airport,Washington,Economy,0,0,O'Hare International Airport,Chicago,17:28,14:30,1,106,,,
314,Southwest Airlines,False,2019-03-02,Dulles International Airport,Washington,Economy,0,0,O'Hare International Airport,Chicago,15:58,13:00,1,129,,,
315,United Airlines,False,2019-03-02,Dulles International Airport,Washington,Economy,0,0,O'Hare International Airport,Chicago,15:38,12:40,1,127,,,
316,American Airlines,False,2019-03-02,Dulles International Airport,Washington,Economy,0,1,O'Hare International Airport,Chicago,14:40,09:40,1,293,19:38,18:40,2019-03-04
317,Alaska Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,1,Seattle-Tacoma International Airport,Seattle,20:57,11:10,4,322,,,
318,American Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,17:05,10:35,4,183,,,
319,Delta Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,14:35,08:05,4,156,,,
320,Southwest Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,19:30,13:00,4,169,,,
321,United Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,23:05,16:35,4,172,,,
322,Alaska Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,1,Seattle-Tacoma International Airport,Seattle,20:57,11:10,2,322,,,
323,American Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,17:05,10:35,2,183,,,
324,Delta Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,14:35,08:05,2,156,,,
325,Southwest Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,19:30,13:00,2,169,,,
326,United Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,23:05,16:35,2,172,,,
327,Delta Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,1,Seattle-Tacoma International Airport,Seattle,14:35,08:05,2,436,12:16,05:45,2019-03-12
328,American Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,00:21,17:10,1,325,,,
329,Delta Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,01:17,19:10,1,301,,,
330,Southwest Airlines,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,12:06,06:25,1,298,,,
331,United Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,00:33,19:40,1,301,,,
332,Southwest Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,12:06,06:25,1,592,03:11,15:05,2019-03-05
333,American Airlines,False,2019-03-08,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,15:41,07:15,1,174,,,
334,American Airlines,False,2019-03-08,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,15:41,07:15,1,459,18:26,11:00,2019-03-10
335,Alaska Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,23:26,15:00,1,174,,,
336,American Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,15:41,07:15,1,208,,,
337,Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,1,273,,,
338,Southwest Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,03:27,16:05,1,292,,,
339,United Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,06:11,21:45,1,180,,,
340,Alaska Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,23:26,15:00,3,174,,,
341,American Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,15:41,07:15,3,208,,,
342,Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,3,273,,,
343,Southwest Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,03:27,16:05,3,292,,,
344,Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,2,273,,,
345,Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,2,561,02:56,19:55,2019-03-14
346,Delta Airlines,False,2019-03-07,PHL International Airport,Philadelphia,Economy,0,1,YVR International Airport,Vancouver,17:06,02:30,2,314,,,
347,United Airlines,False,2019-03-07,PHL International Airport,Philadelphia,Premium Economy,0,1,YVR International Airport,Vancouver,18:16,08:00,2,482,,,
348,Delta Airlines,False,2019-03-07,PHL International Airport,Philadelphia,Premium Economy,0,1,YVR International Airport,Vancouver,17:06,02:30,2,876,23:06,16:05,2019-03-09
349,Air Canada,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,12:37,04:30,1,217,,,
350,American Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,06:42,02:20,1,223,,,
351,Delta Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,19:41,13:20,1,224,,,
352,United Airlines,True,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,02:06,21:40,1,203,,,
353,American Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,06:42,02:20,1,421,14:55,09:40,2019-03-08
354,American Airlines,False,2019-03-01,SFO International Airport,San Francisco,Economy,0,1,PHL International Airport,Philadelphia,22:07,17:50,1,573,17:06,05:00,2019-03-03
355,Alaska Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,12:00,07:30,1,215,,,
356,American Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:15,13:40,1,253,,,
357,Southwest Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,19:45,15:05,1,199,,,
358,United Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,12:00,06:55,1,233,,,
359,American Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:15,13:40,1,454,18:16,13:55,2019-03-09
360,Alaska Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,14:15,11:45,1,145,,,
361,American Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,09:00,06:30,1,148,,,
362,Delta Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,08:30,06:00,1,117,,,
363,Southwest Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,16:48,12:45,1,194,,,
364,United Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,15:28,11:40,1,222,,,
365,Alaska Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,12:00,10:25,1,93,,,
366,American Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,07:00,05:25,1,106,,,
367,Delta Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,22:50,21:15,1,105,,,
368,Southwest Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,13:55,12:20,1,104,,,
369,Alaska Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,14:15,11:45,1,125,,,
370,American Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,09:00,06:30,1,149,,,
371,Delta Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,23:03,17:45,1,209,,,
372,Southwest Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,16:48,12:45,1,220,,,
373,United Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,17:50,15:20,1,137,,,
374,Alaska Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,23:48,22:20,1,90,,,
375,American Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,07:49,05:05,1,184,,,
376,Delta Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,13:13,11:45,1,106,,,
377,Southwest Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,17:05,14:35,1,168,,,
378,United Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,22:58,21:30,1,104,,,
379,Alaska Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,18:17,16:10,1,122,,,
380,American Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,14:32,12:25,1,101,,,
381,Delta Airlines,True,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,SFO International Airport,San Francisco,00:00,19:10,1,235,,,
382,Southwest Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,16:07,14:00,1,125,,,
383,United Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,06:22,04:15,1,132,,,
384,American Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,22:01,20:50,2,114,,,
385,Delta Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,17:16,16:05,2,112,,,
386,Southwest Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,12:31,11:20,2,130,,,
387,United Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,15:16,14:05,2,125,,,
388,American Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,23:20,18:50,1,287,,,
389,Delta Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,21:00,15:00,1,328,,,
390,Southwest Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,12:00,06:25,1,314,,,
391,United Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,23:20,17:10,1,289,,,
392,Alaska Airlines,True,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,03:29,11:10,3,333,,,
393,American Airlines,True,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,03:29,13:40,3,328,,,
394,Delta Airlines,False,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:33,08:05,3,267,,,
395,Southwest Airlines,False,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:33,04:55,3,269,,,
396,United Airlines,True,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,03:29,10:45,3,336,,,
397,Alaska Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,18:07,09:55,1,237,,,
398,Southwest Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,20:52,11:35,1,303,,,
399,United Airlines,True,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,00:12,14:55,1,239,,,
400,Alaska Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,18:07,09:55,2,237,,,
401,Southwest Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,20:52,11:35,2,303,,,
402,United Airlines,True,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,00:12,14:55,2,239,,,
403,American Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,15:42,13:20,1,191,,,
404,Delta Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,15:47,13:25,1,199,,,
405,Southwest Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,18:07,15:45,1,225,,,
406,United Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,19:07,16:45,1,218,,,
407,Alaska Airlines,False,2019-03-10,LAX International Airport,Los Angeles,Premium Economy,0,0,SAN International Airport,San Diego,10:49,09:55,1,106,,,
408,Alaska Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,14:53,11:35,1,418,,,
409,Delta Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,14:53,13:25,1,423,,,
410,Southwest Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,07:31,04:55,1,425,,,
411,United Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:23,05:35,1,448,,,
412,American Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,14:19,06:30,2,463,,,
413,Delta Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:10,07:50,2,380,,,
414,Southwest Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:10,06:40,2,376,,,
415,United Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:10,04:20,2,371,,,
416,American Airlines,True,2019-03-10,Heathrow International Airport,London,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,08:34,18:30,4,264,,,
417,Delta Airlines,False,2019-03-10,Heathrow International Airport,London,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,21:14,07:10,4,242,,,
418,Southwest Airlines,True,2019-03-10,Heathrow International Airport,London,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:02,13:40,4,390,,,
419,United Airlines,False,2019-03-10,Heathrow International Airport,London,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,21:07,06:05,4,365,,,
420,American Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,16:16,11:40,1,298,,,
421,Delta Airlines,True,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,01:17,18:35,1,315,,,
422,United Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,15:32,10:20,1,294,,,
423,Alaska Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,0,LAX International Airport,Los Angeles,10:57,11:30,1,159,,,
424,American Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,0,LAX International Airport,Los Angeles,11:37,12:10,1,186,,,
425,Delta Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,LAX International Airport,Los Angeles,11:16,04:35,1,290,,,
426,Southwest Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,LAX International Airport,Los Angeles,11:16,07:10,1,296,,,
427,United Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,0,LAX International Airport,Los Angeles,08:17,08:50,1,203,,,
428,Delta Airlines,True,2019-03-14,JFK International Airport,New York,Economy,0,1,PDX International Airport,Portland,08:20,19:30,2,339,,,
429,American Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,08:25,06:50,1,104,,,
430,Delta Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,16:00,14:25,1,98,,,
431,Southwest Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,14:55,13:20,1,102,,,
432,United Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,17:55,16:20,1,125,,,
433,Air Canada,False,2019-03-07,LAX International Airport,Los Angeles,Economy,0,0,YVR International Airport,Vancouver,07:24,04:20,1,151,,,
434,Air Canada,False,2019-03-04,PHL International Airport,Philadelphia,Economy,0,1,Toronto Pearson International Airport,Toronto,08:46,04:30,1,139,,,
435,American Airlines,False,2019-03-04,PHL International Airport,Philadelphia,Economy,0,1,Toronto Pearson International Airport,Toronto,08:46,02:20,1,179,,,
436,American Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Economy,0,1,O'Hare International Airport,Chicago,23:31,19:20,1,368,,,
437,Delta Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Premium Economy,0,1,O'Hare International Airport,Chicago,11:37,07:05,1,613,,,
438,Southwest Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Economy,0,1,O'Hare International Airport,Chicago,16:02,10:05,1,415,,,
439,Air Canada,False,2019-03-13,McCarran International Airport,Las Vegas,Economy,0,1,Toronto Pearson International Airport,Toronto,21:15,17:35,1,260,,,
440,Delta Airlines,False,2019-03-13,McCarran International Airport,Las Vegas,Economy,0,1,Toronto Pearson International Airport,Toronto,23:20,18:45,1,283,,,
441,Alaska Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,12:06,09:55,1,130,,,
442,American Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,11:41,09:30,1,126,,,
443,Delta Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,16:41,14:30,1,122,,,
444,Southwest Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,18:16,16:05,1,122,,,
445,United Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,07:31,05:20,1,125,,,
446,American Airlines,False,2019-03-12,LAX International Airport,Los Angeles,Economy,0,0,Indira Gandhi International Airport,Delhi,08:04,07:00,1,266,,,
447,United Airlines,False,2019-03-12,LAX International Airport,Los Angeles,Economy,0,0,Indira Gandhi International Airport,Delhi,16:59,15:55,1,285,,,
448,American Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,1,O'Hare International Airport,Chicago,19:26,14:40,1,204,,,
449,Delta Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,0,O'Hare International Airport,Chicago,08:31,05:20,1,123,,,
450,Southwest Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,0,O'Hare International Airport,Chicago,07:11,04:00,1,108,,,
451,United Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,0,O'Hare International Airport,Chicago,09:31,06:20,1,132,,,
452,Alaska Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,23:48,22:20,1,88,,,
453,American Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,07:49,05:05,1,153,,,
454,Delta Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,08:58,07:30,1,94,,,
455,Southwest Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,22:59,20:05,1,177,,,
456,United Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,22:58,21:30,1,105,,,
457,American Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,09:51,04:10,1,330,,,
458,Delta Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,18:26,12:35,1,273,,,
459,Southwest Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,13:46,07:55,1,307,,,
460,United Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,09:51,05:05,1,341,,,
461,Delta Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,O'Hare International Airport,Chicago,12:00,05:45,1,266,,,
462,Alaska Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:16,07:30,1,315,,,
463,American Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,23:31,19:50,1,339,,,
464,Southwest Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,23:31,20:40,1,358,,,
465,United Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:16,06:55,1,319,,,
466,American Airlines,False,2019-03-11,Toronto Pearson International Airport,Toronto,Economy,0,1,PHL International Airport,Philadelphia,13:43,08:45,1,145,,,
467,Southwest Airlines,False,2019-03-11,Toronto Pearson International Airport,Toronto,Economy,0,1,PHL International Airport,Philadelphia,13:43,07:40,1,159,,,
468,United Airlines,False,2019-03-11,Toronto Pearson International Airport,Toronto,Economy,0,1,PHL International Airport,Philadelphia,18:28,14:05,1,216,,,
469,American Airlines,False,2019-03-08,YVR International Airport,Vancouver,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,22:46,20:05,1,186,,,
470,Southwest Airlines,False,2019-03-08,YVR International Airport,Vancouver,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,18:51,16:10,1,159,,,
471,American Airlines,False,2019-03-05,LAX International Airport,Los Angeles,Economy,0,0,Heathrow International Airport,London,12:44,06:55,1,260,,,
472,British Airways,False,2019-03-05,LAX International Airport,Los Angeles,Economy,0,1,Heathrow International Airport,London,21:14,11:05,1,414,,,
473,Delta Airlines,False,2019-03-05,LAX International Airport,Los Angeles,Economy,0,0,Heathrow International Airport,London,17:39,11:50,1,277,,,
474,Air France,True,2019-03-04,SFO International Airport,San Francisco,Economy,0,1,Charles de Gaulle International Airport,Paris,02:56,17:15,2,417,,,
475,American Airlines,False,2019-03-04,SFO International Airport,San Francisco,Economy,0,1,Charles de Gaulle International Airport,Paris,13:05,05:05,2,407,,,
476,Delta Airlines,False,2019-03-04,SFO International Airport,San Francisco,Economy,0,0,Charles de Gaulle International Airport,Paris,15:28,11:20,2,267,,,
