,address,area,furnished,number_of_baths,number_of_beds,pets_allowed,phone_number,property_name,rent,visit_date
720,42 Charles Street,Cotati,False,2,3,True,707-795-3722,Charles Street Village,4400,
721,539 West Sierra Avenue # 1,Cotati,False,2,3,True,707-664-0811,Vineyard Meadows Apartments,4150,
722,160 Wilford Lane,Cotati,False,2,3,True,707-793-8454,Wilford Lane Apartments,4700,
723,42 Charles Street,Cotati,False,2,4,True,707-795-3722,Charles Street Village,4800,
724,160 Wilford Lane,,False,2,4,True,707-793-8454,Wilford Lane Apartments,4700,2019-03-12
725,37057 Magnolia Street,Newark,False,1,2,True,510-791-8566,Alderwood Park,2650,
726,35750 Bettencourt Street # 86,Newark,False,3,2,True,510-791-1266,Meadow Apartments,3950,
727,37171 Sycamore Street,Newark,False,3,2,True,800-441-0766,Sycamore Bay,3950,
728,37155 Magnolia Street,Newark,False,2,2,True,855-223-7366,Valencia Townhomes,2950,
729,37057 Magnolia Street,,False,1,2,True,510-791-8566,Alderwood Park,2650,2019-03-01
730,755 East Capitol Avenue,Milpitas,False,1,1,False,408-586-9001,Crossing At Montague Apartments,2900,
731,231 Dixon Landing Road,Milpitas,True,1,1,False,408-262-3223,Spinnaker Pointe Apartments,4450,
732,133 North Temple Drive,Milpitas,True,1,1,False,408-262-2245,Spring Valley Apartments,2300,
733,1724 Sunnyhills Court,Milpitas,False,1,1,True,408-263-2626,Sunnyhills Apartments,2800,
734,186 Beresford Court,Milpitas,True,1,1,True,408-946-9034,Terrace Gardens,5050,
735,755 East Capitol Avenue,,False,1,1,False,408-586-9001,Crossing At Montague Apartments,2900,2019-03-05
736,1290 San Tomas Aquino Road,,True,3,1,False,408-984-8888,Aegena,4900,2019-03-01
737,201 Harrison Street,San Francisco,False,2,1,True,415-543-1135,Baycrest,2850,
738,1227 Hampshire Street,San Francisco,False,3,1,True,415-285-5966,Betel Apartments,3900,
739,1150 Webster Street,San Francisco,True,2,1,True,415-563-1885,Buchanan Park,4000,
740,530 Carter Street,San Francisco,False,1,1,True,415-584-4800,Carter Terrace,2350,
741,900 Chestnut Street # 102,San Francisco,False,2,1,False,415-441-5668,Chestnut Place,3700,
742,420 Berry Street,San Francisco,False,1,1,False,415-371-0012,Crescent Cove,2600,
743,296A Addison Street,San Francisco,False,1,1,False,415-334-2698,Diamond View Apartments,2400,
744,1820 Post Street,San Francisco,False,1,1,False,415-921-3469,Golden Gate Apartments,2450,
745,655 John Muir Drive,San Francisco,False,2,1,True,415-239-4745,Lakewood Access Line,3600,
746,511 John Muir Drive,San Francisco,False,3,1,False,415-859-9384,Lakewood Apartments,5150,
747,835 Turk Street,San Francisco,False,3,1,True,415-922-0111,Vantaggio Suites,4800,
748,49 Gold Mine Drive,San Francisco,False,3,1,True,415-282-1634,Vista Del Monte Apartments,5250,
749,1227 Hampshire Street,,False,1,1,True,415-285-5966,Betel Apartments,2650,2019-03-10
750,1000 Kiely Boulevard,Santa Clara,True,3,2,False,669-206-0300,1000 Kiely,4850,
751,900 Pepper Tree Lane,Santa Clara,True,3,2,False,866-472-2645,Alderwood Apartments,3900,
752,1495 Don Avenue,Santa Clara,True,3,2,True,408-713-6428,Civic Plaza Apartments,4250,
753,3131 Homestead Road,Santa Clara,True,3,2,True,408-244-6715,Laguna Clara Apartments,5050,
754,3600 Benton Street # 5,Santa Clara,True,2,2,False,408-241-4073,Laurelwood Apartments,3600,
755,440 North Winchester Boulevard,Santa Clara,True,3,2,True,408-498-5769,Le Parc Apartments,5150,
756,1600 Nantucket Circle,Santa Clara,True,2,2,False,408-565-9960,Nantucket Apartments,2950,
757,101 Saratoga Avenue,Santa Clara,True,1,2,False,866-913-4881,Orchard Glen Apartments,2600,
758,2150 Tasman Drive,Santa Clara,True,3,2,True,408-492-9944,Riverwood Grove,5100,
759,2147 Newhall Street,Santa Clara,True,2,2,True,866-766-7495,Timberleaf Apartments,3800,
760,1000 Kiely Boulevard,Santa Clara,True,3,1,False,669-206-0300,1000 Kiely,4850,
761,900 Pepper Tree Lane,Santa Clara,True,3,1,False,866-472-2645,Alderwood Apartments,3900,
762,1495 Don Avenue,Santa Clara,True,3,1,True,408-713-6428,Civic Plaza Apartments,4250,
763,3131 Homestead Road,Santa Clara,True,1,1,True,408-244-6715,Laguna Clara Apartments,1900,
764,3600 Benton Street # 5,Santa Clara,True,2,1,False,408-241-4073,Laurelwood Apartments,3600,
765,440 North Winchester Boulevard,Santa Clara,True,3,1,True,408-498-5769,Le Parc Apartments,5150,
766,1600 Nantucket Circle,Santa Clara,True,1,1,False,408-565-9960,Nantucket Apartments,1600,
767,101 Saratoga Avenue,Santa Clara,True,1,1,False,866-913-4881,Orchard Glen Apartments,2600,
768,2150 Tasman Drive,Santa Clara,True,3,1,True,408-492-9944,Riverwood Grove,5100,
769,900 Pepper Tree Lane,,True,3,1,False,866-472-2645,Alderwood Apartments,3900,2019-03-07
770,718 Old San Francisco Road,Sunnyvale,True,3,2,True,408-736-1600,Renaissance Apartment Homes,3950,
771,959 Stewart Drive,Sunnyvale,True,3,2,True,866-492-4478,Stewart Village Apartment Homes,5200,
772,718 Old San Francisco Road,,True,3,2,True,408-736-1600,Renaissance Apartment Homes,3900,2019-03-07
773,1445 Treat Boulevard,Walnut Creek,False,1,2,True,925-943-7977,Archstone Walnut Creek,4700,
774,1195 Saranap Avenue # 14,Walnut Creek,False,1,2,True,925-937-1324,Birchwood Apartments,3000,
775,1357 Creekside Drive,Walnut Creek,False,1,2,True,925-947-0844,Four Seasons Apartments,3500,
776,3055 North Main Street,Walnut Creek,False,1,2,True,855-388-5520,Kingston Place Apartments,2600,
777,1200 Newell Hill Place,Walnut Creek,False,1,2,True,925-934-1117,Newell Vista Apartments,4350,
778,1595 Sunnyvale Avenue #1,Walnut Creek,True,1,2,True,925-937-1595,Walnut Creek Apartments,2400,
779,1755 Trinity Avenue # 1,Walnut Creek,False,1,2,True,925-935-6956,Walnut Hill Apartments,4400,
780,1195 Saranap Avenue # 14,,False,1,2,True,925-937-1324,Birchwood Apartments,3950,2019-03-10
781,2000 Shoreline Loop,San Ramon,False,3,2,False,925-307-7099,Bel Air,5150,
782,4000 Bollinger Crest Common,San Ramon,True,3,2,True,925-820-2828,Bollinger Crest Apartments,4350,
783,1000 Canyon Village Circle,San Ramon,False,3,2,True,925-820-8385,Canyon Creek Apartments,3950,
784,1 Amberstone Lane,San Ramon,False,1,2,False,925-307-7151,Canyon Oaks,2750,
785,1700 Promontory Lane,San Ramon,False,3,2,True,925-307-7143,Crow Canyon,4900,
786,9200 Alcosta Boulevard,San Ramon,False,1,2,False,925-828-3060,Fairway Village Apartments,2700,
787,500 Copperset Road,San Ramon,True,3,2,True,925-968-1175,Falcon Bridge,4000,
788,1110 Harness Drive,San Ramon,False,2,2,True,925-307-7105,Foothill - Twin Creeks,3100,
789,2100 Waterstone Place,San Ramon,False,3,2,True,925-307-7005,Mill Creek,4050,
790,1108 Crestfield Drive,San Ramon,False,3,2,True,925-314-8034,Muirlands At Windemere Apartments,4700,
791,2000 Shoreline Loop,,False,3,2,False,925-307-7099,Bel Air,5150,2019-03-03
792,296A Addison Street,San Francisco,False,3,4,False,415-334-2698,Diamond View Apartments,5000,
793,511 John Muir Drive,San Francisco,False,3,4,False,415-859-9384,Lakewood Apartments,5150,
794,474 Valencia Street # 280,San Francisco,False,3,4,False,415-864-6432,Mission Housing Development Corporation,5200,
795,140 Cashmere Street,San Francisco,True,3,4,False,415-821-7440,Ridgeview Terrace Townhouses,4900,
796,835 Turk Street,San Francisco,False,3,4,True,415-922-0111,Vantaggio Suites,4800,
797,2238 Hyde Street,San Francisco,True,3,4,False,415-341-3098,View Tower Suites,4850,
798,49 Gold Mine Drive,San Francisco,False,3,4,True,415-282-1634,Vista Del Monte Apartments,5250,
799,900 Chestnut Street # 102,San Francisco,False,3,2,False,415-441-5668,Chestnut Place,4000,
800,296A Addison Street,San Francisco,False,3,2,False,415-334-2698,Diamond View Apartments,5000,
801,511 John Muir Drive,San Francisco,False,3,2,False,415-859-9384,Lakewood Apartments,5150,
802,474 Valencia Street # 280,San Francisco,False,3,2,False,415-864-6432,Mission Housing Development Corporation,5200,
803,140 Cashmere Street,San Francisco,True,3,2,False,415-821-7440,Ridgeview Terrace Townhouses,4900,
804,2238 Hyde Street,San Francisco,True,3,2,False,415-341-3098,View Tower Suites,4850,
805,1227 Hampshire Street,San Francisco,False,2,2,True,415-285-5966,Betel Apartments,3900,
806,900 Chestnut Street # 102,San Francisco,False,2,2,False,415-441-5668,Chestnut Place,3700,
807,296A Addison Street,San Francisco,False,2,2,False,415-334-2698,Diamond View Apartments,5000,
808,1820 Post Street,San Francisco,False,2,2,False,415-921-3469,Golden Gate Apartments,3850,
809,511 John Muir Drive,San Francisco,False,2,2,False,415-859-9384,Lakewood Apartments,5150,
810,474 Valencia Street # 280,San Francisco,False,2,2,False,415-864-6432,Mission Housing Development Corporation,5200,
811,440 Valencia Street,San Francisco,True,2,2,False,415-861-6159,Plaza Del Sol Apartments,3100,
812,201 Harrison Street,,False,2,2,True,415-543-1135,Baycrest,2850,2019-03-08
813,100 Chilpancingo Parkway,Pleasant Hill,True,1,2,True,925-686-4000,Bridge Grayson Creek Associates,2650,
814,630 Tempe Court,Pleasant Hill,True,3,2,True,925-825-1220,Camelback North Apartments,4300,
815,91 Santa Barbara Road,Pleasant Hill,True,2,2,False,925-943-1580,Santa Barbara Manor,3100,
816,637 Stonebridge Way,Pleasant Hill,True,3,2,False,925-691-5220,Wood Creek Apartments,5200,
817,100 Chilpancingo Parkway,,True,3,2,True,925-686-4000,Bridge Grayson Creek Associates,4150,2019-03-09
818,1435 163rd Avenue #23,San Leandro,False,2,1,True,510-317-5914,Alderwood Apartments,3700,
819,1300 Kentwood Lane,San Leandro,False,1,1,False,510-481-2565,Ashland Village Apartments,2550,
820,1475 167th Avenue,San Leandro,False,1,1,False,510-962-8120,Bermuda Garden Apartments,1750,
821,13949 Doolittle Drive,San Leandro,True,2,1,True,510-352-8728,Bermuda-Trinidad Apartments,2900,
822,2011 Doolittle Drive # A1,San Leandro,False,3,1,False,510-357-6086,Doolittle Apartments,5200,
823,14665 Washington Avenue,San Leandro,True,1,1,True,510-483-3707,Eden Roc Apartments,2700,
824,888 Davis Street,San Leandro,False,3,1,True,510-562-5121,Gateway Apartments,5000,
825,566 Estudillo Avenue,San Leandro,False,1,1,False,510-352-3224,Hale Apartments,1500,
826,1713 164th Avenue #1,San Leandro,True,1,1,False,510-481-7575,Hilltop Trio Apartments,2500,
827,4170 Springlake Drive,San Leandro,False,3,1,True,510-352-5900,Lakeside,5250,
828,1300 Kentwood Lane,,False,3,1,False,510-481-2565,Ashland Village Apartments,4050,2019-03-11
829,3330 Country Drive,Fremont,True,3,4,True,510-792-7817,Parkview Apartments,4750,
830,39548 Fremont Boulevard,Fremont,False,3,4,True,510-657-4244,Pasatiempo Apartments,4750,
831,37950 Fremont Boulevard,Fremont,False,3,4,True,844-422-5116,Pentagon Apartments,5250,
832,38900 Blacow Road,,False,3,4,True,510-797-5980,Carrington Apartments,5050,2019-03-06
833,3110 Casa De Campo,San Mateo,False,2,2,False,650-572-7180,Sares-Regis Group,5150,
834,1510 Marina Vista,,False,2,2,False,650-341-3367,Edgewater Isle Senior Apartments,5250,2019-03-01
835,240 Hollis Avenue,Campbell,True,3,3,True,866-573-8123,La Mancha Apartments,3950,
836,3685 South Bascom Avenue,Campbell,True,3,3,True,408-377-9360,Pebble Creek,4000,
837,999 West Hamilton Avenue,Campbell,True,3,3,True,408-796-4545,The Greenery Apartments Homes,5250,
838,999 West Hamilton Avenue,,True,3,3,True,408-796-4545,The Greenery Apartments Homes,5250,2019-03-06
839,1580 Clayton Road # 1,Concord,True,3,1,True,925-827-3700,Casa Pino Condos,4800,
840,1688 Clayton Road,Concord,False,3,1,False,925-671-3845,City Walk Apartment Homes,5200,
841,5255 Clayton Road,Concord,False,3,1,False,855-957-1118,Clayton Creek Apartments,4450,
842,1711 Detroit Avenue,Concord,False,2,1,True,925-686-6868,Courtyard Apartments,2900,
843,4902 Clayton Road,Concord,False,2,1,False,925-405-6881,Diablo Terrace Apartments,3550,
844,3620 Clayton Road # 101,Concord,False,3,1,True,925-682-9661,Greentree Terrace Apartments,4300,
845,1032 Mohr Lane,Concord,False,3,1,True,925-687-8460,Hidden Creek Town Homes,4100,
846,3066 Willow Pass Road,Concord,False,2,1,False,925-691-5974,Kona Kai Village Apartments,3250,
847,1500 Ellis Street,Concord,False,1,1,False,925-680-5250,Lakeshore Apartment Homes,2750,
848,1530 Ellis Street,Concord,False,3,1,True,925-521-8333,Lakeshore Apartments,4750,
849,1580 Clayton Road # 1,,True,3,1,True,925-827-3700,Casa Pino Condos,4800,2019-03-01
850,200 Greenbriar Circle,Petaluma,False,1,1,False,855-243-4986,Addison Ranch,4950,
851,1400 Technology Lane,Petaluma,False,1,1,False,707-775-3161,Azure At Lakeville Square Apartments,2400,
852,1900 Sestri Lane,Petaluma,False,1,1,False,707-317-1020,Capri Creek Apartments,4000,
853,1200 D Street #27,Petaluma,False,1,1,False,707-762-6698,Hillview Apartments,3100,
854,210 Douglas Street # 100,Petaluma,False,1,1,True,707-773-0510,Leib Senior Apartments,3150,
855,150 Graylawn Avenue,Petaluma,False,1,1,True,707-762-5126,Oak Creek Apartments,3900,
856,"7011, 109 Magnolia Avenue",Petaluma,False,1,1,False,707-762-6709,Park Lane Apartments,4350,
857,149 Wyndham Way,Petaluma,False,1,1,True,707-763-8434,Petaluma Senior Citizens Apt,3550,
858,745 North McDowell Boulevard,Petaluma,False,1,1,True,707-766-8922,Round Walk Village,5200,
859,909 Martin Circle,Petaluma,False,1,1,False,707-763-9242,Washington Creek Apartments,1750,
860,210 Douglas Street # 100,,False,1,1,True,707-773-0510,Leib Senior Apartments,1500,2019-03-08
861,2760 McKee Road,,False,3,2,True,408-251-7570,Arbor Terraces,4900,2019-03-06
862,600 Marathon Drive,Campbell,False,2,3,True,408-379-6655,Coffeetree Apartments,3650,
863,240 Hollis Avenue,Campbell,False,3,3,True,866-573-8123,La Mancha Apartments,4800,
864,3685 South Bascom Avenue,Campbell,False,3,3,False,408-377-9360,Pebble Creek,4350,
865,150 West Rincon Avenue,Campbell,False,3,3,True,408-871-1333,Rincon Gables Apartments,4050,
866,1510 South Bascom Avenue,Campbell,False,3,3,True,408-377-6900,River Walk Apartments,4850,
867,825 South San Tomas Aquino Road,Campbell,False,2,3,True,408-374-8741,San Tomas Gardens,3750,
868,275 Union Avenue,Campbell,False,2,3,True,408-898-4572,The Commons,3900,
869,999 West Hamilton Avenue,Campbell,True,3,3,True,408-796-4545,The Greenery Apartments Homes,4400,
870,600 Marathon Drive,Campbell,False,1,3,True,408-379-6655,Coffeetree Apartments,3650,
871,240 Hollis Avenue,Campbell,False,1,3,True,866-573-8123,La Mancha Apartments,4800,
872,150 West Rincon Avenue,Campbell,False,1,3,True,408-871-1333,Rincon Gables Apartments,4050,
873,1510 South Bascom Avenue,Campbell,False,1,3,True,408-377-6900,River Walk Apartments,4850,
874,825 South San Tomas Aquino Road,Campbell,False,1,3,True,408-374-8741,San Tomas Gardens,3750,
875,275 Union Avenue,Campbell,False,1,3,True,408-898-4572,The Commons,3900,
876,999 West Hamilton Avenue,Campbell,True,1,3,True,408-796-4545,The Greenery Apartments Homes,4400,
877,150 West Rincon Avenue,,False,1,3,True,408-871-1333,Rincon Gables Apartments,4050,2019-03-04
878,600 Marathon Drive,Campbell,False,1,1,False,408-379-6655,Coffeetree Apartments,4450,
879,825 South San Tomas Aquino Road,Campbell,False,1,1,False,408-374-8741,San Tomas Gardens,4850,
880,240 Hollis Avenue,Campbell,True,3,1,True,866-573-8123,La Mancha Apartments,3950,
881,3685 South Bascom Avenue,Campbell,True,3,1,True,408-377-9360,Pebble Creek,4000,
882,150 West Rincon Avenue,Campbell,False,3,1,True,408-871-1333,Rincon Gables Apartments,5150,
883,999 West Hamilton Avenue,Campbell,True,3,1,True,408-796-4545,The Greenery Apartments Homes,5250,
884,377 Union Avenue,Campbell,False,3,1,True,408-559-7422,Union Manor Apartments,4950,
885,240 Hollis Avenue,,True,3,1,True,866-573-8123,La Mancha Apartments,3950,2019-03-10
886,100 Chilpancingo Parkway,Pleasant Hill,False,1,1,True,925-686-4000,Bridge Grayson Creek Associates,4800,
887,630 Tempe Court,Pleasant Hill,False,1,1,True,925-825-1220,Camelback North Apartments,2850,
888,301 Country View Lane # A,Pleasant Hill,False,1,1,True,925-676-6964,Country View Apartments,3900,
889,100 Devon Avenue,Pleasant Hill,False,1,1,True,925-930-9630,Devon Apartments,4200,
890,150 Cleaveland Road,Pleasant Hill,False,1,1,True,925-937-1222,Spring Meadow Apartments,1500,
891,111 Cleaveland Road,Pleasant Hill,False,1,1,True,925-939-7111,Terrace Apartments,2650,
892,630 Tempe Court,,False,1,1,True,925-825-1220,Camelback North Apartments,2850,2019-03-09
893,1546 Maurice Lane,San Jose,False,3,1,True,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,
894,1290 San Tomas Aquino Road,San Jose,False,2,1,True,408-984-8888,Aegena,3500,
895,73 North Keeble Avenue,San Jose,True,3,1,False,408-998-7266,Alameda Gardens Apartments,4100,
896,978 Almaden Lake Drive,San Jose,False,3,1,True,408-323-8020,Almaden Lake Apartments,4050,
897,1543 Ambergrove Drive,San Jose,False,1,1,True,408-453-8011,Amberwood Apartments,2500,
898,1585 Marburg Way # 4,San Jose,False,2,1,True,408-926-3999,Ann Darling Apartments,3100,
899,5822 Charlotte Drive,San Jose,False,2,1,True,408-226-5822,Anton La Moraga Apartments,3000,
900,1582 Kooser Road,San Jose,False,3,1,True,408-448-1288,Arbor Apartments,5000,
901,947 Branham Lane # C,San Jose,False,3,1,True,408-265-4808,Almaden Garden Apartments,5150,
902,899 North King Road,San Jose,False,3,1,False,408-272-1588,Arbor Park,5250,
903,2760 McKee Road,San Jose,False,3,1,False,408-251-7570,Arbor Terraces,4950,
904,1058 South 5th Street,San Jose,False,3,1,False,877-259-1439,Art Ark Apartments,4100,
905,750 North King Road,San Jose,True,3,1,False,408-844-4803,Avenel Apartments,4100,
906,73 North Keeble Avenue,,True,3,1,False,408-998-7266,Alameda Gardens Apartments,4100,2019-03-11
907,1475 167th Avenue,,False,1,1,False,510-962-8120,Bermuda Garden Apartments,1750,2019-03-04
908,215 Bayview Street,San Rafael,True,3,4,False,415-485-1140,215 Bayview Apartments,5000,
909,1747 Lincoln Avenue,San Rafael,True,3,4,True,415-453-0563,Park Hill Apartments,4950,
910,30 Novato Street,San Rafael,True,3,4,False,415-457-5359,Sommerhill Townhomes,5000,
911,2500 Deer Valley Road,San Rafael,False,3,4,False,415-419-5105,Worldwide Oakwood,5150,
912,215 Bayview Street,,True,3,4,False,415-485-1140,215 Bayview Apartments,5000,2019-03-10
913,275 Hawthorne Avenue,Palo Alto,False,1,1,False,650-966-5319,275 Hawthorne Apartments,3850,
914,3051 Alma Street,Palo Alto,False,1,1,True,650-813-1369,Alma Apartments,3100,
915,574 Arastradero Road,Palo Alto,False,1,1,True,650-493-4376,Arastradero Park Apartments,4250,
916,3820 Park Boulevard,Palo Alto,False,1,1,True,650-493-2424,Casa Carolina Apartments,5000,
917,325 Hawthorne Avenue,Palo Alto,False,1,1,True,650-966-5319,Hawthorne,2500,
918,1600 Sand Hill Road,Palo Alto,False,1,1,True,650-321-1701,Oak Creek Apartments,4300,
919,650 San Antonio Road,Palo Alto,False,1,1,False,650-213-9700,Palo Alto Gardens,3000,
920,630 Los Robles Avenue,Palo Alto,False,1,1,True,650-858-2199,Palo Alto Housing Corporation,2600,
921,1094 Tanland Drive,Palo Alto,False,1,1,True,888-743-1697,Parker Palo Alto Apartments,5100,
922,2850 Middlefield Road,Palo Alto,True,1,1,True,650-322-1112,Southwood Apartments,1900,
923,275 Hawthorne Avenue,,False,1,1,False,650-966-5319,275 Hawthorne Apartments,2350,2019-03-07
924,250 Saint Joseph Street,Rio Vista,False,1,2,True,707-374-6969,Casitas Del Rio,2600,
925,101 South Front Street # 1,Rio Vista,False,1,2,True,707-374-6812,Raintree Condominiums,2850,
926,101 South Front Street # 1,,False,1,2,True,707-374-6812,Raintree Condominiums,2850,2019-03-05
927,2000 Shoreline Loop,San Ramon,False,2,2,True,925-307-7099,Bel Air,3050,
928,4000 Bollinger Crest Common,San Ramon,False,2,2,True,925-820-2828,Bollinger Crest Apartments,3200,
929,1000 Canyon Village Circle,San Ramon,True,3,2,False,925-820-8385,Canyon Creek Apartments,4900,
930,1 Amberstone Lane,San Ramon,False,3,2,True,925-307-7151,Canyon Oaks,3900,
931,1700 Promontory Lane,San Ramon,False,3,2,True,925-307-7143,Crow Canyon,4450,
932,9200 Alcosta Boulevard,San Ramon,True,2,2,True,925-828-3060,Fairway Village Apartments,3950,
933,500 Copperset Road,San Ramon,False,2,2,True,925-968-1175,Falcon Bridge,2800,
934,2100 Waterstone Place,San Ramon,False,3,2,False,925-307-7005,Mill Creek,5250,
935,1108 Crestfield Drive,San Ramon,False,2,2,True,925-314-8034,Muirlands At Windemere Apartments,3850,
936,3300 Promontory Circle,San Ramon,False,2,2,True,925-838-8850,Promontory View,3650,
937,2000 Shoreline Loop,,False,2,2,True,925-307-7099,Bel Air,3050,2019-03-03
938,1411 Monument Boulevard,Concord,False,3,2,True,925-827-1836,Monterrey Club Apartments,3900,
939,3420 Willow Pass Road,Concord,True,3,2,True,925-825-5958,Palm Court Apartment,4200,
940,2925 Monument Boulevard,Concord,False,3,2,True,925-685-4246,Palm Terrace Concord,4050,
941,1650 Pine Street,Concord,True,3,2,True,855-273-4847,Park Haven Apartments,3950,
942,1160 Meadow Lane,Concord,False,3,2,True,855-289-4212,Pine Meadows Apartments,5000,
943,1500 Pine Street # 78,Concord,False,3,2,True,925-827-1700,Pine Terrace Apartments,4400,
944,3718 Willow Pass Rd,Concord,False,3,2,True,925-686-2244,Whispering Oaks,5050,
945,5255 Clayton Road,Concord,False,3,1,True,855-957-1118,Clayton Creek Apartments,3950,
946,3066 Willow Pass Road,Concord,True,3,1,True,925-691-5974,Kona Kai Village Apartments,4350,
947,1530 Ellis Street,Concord,False,3,1,True,925-521-8333,Lakeshore Apartments,4350,
948,1411 Monument Boulevard,Concord,False,3,1,True,925-827-1836,Monterrey Club Apartments,3900,
949,3420 Willow Pass Road,Concord,True,3,1,True,925-825-5958,Palm Court Apartment,4200,
950,2925 Monument Boulevard,Concord,False,3,1,True,925-685-4246,Palm Terrace Concord,4050,
951,1650 Pine Street,Concord,True,3,1,True,855-273-4847,Park Haven Apartments,3950,
952,1160 Meadow Lane,Concord,False,3,1,True,855-289-4212,Pine Meadows Apartments,5000,
953,1500 Pine Street # 78,Concord,False,3,1,True,925-827-1700,Pine Terrace Apartments,4400,
954,3718 Willow Pass Rd,Concord,False,3,1,True,925-686-2244,Whispering Oaks,5050,
955,3066 Willow Pass Road,,True,3,1,True,925-691-5974,Kona Kai Village Apartments,4350,2019-03-06
956,1501 Alamo Drive,Vacaville,False,3,3,True,707-448-3848,Alamo Garden Apartments,5050,
957,1101 Burton Drive,Vacaville,True,3,3,True,707-451-7400,Saratoga Senior Apartments,4400,
958,1300 Burton Drive,Vacaville,False,3,3,True,707-447-2500,The Commons Apartments,4250,
959,555 Elmira Road,Vacaville,False,2,3,True,707-271-0084,The Parc,3950,
960,1510 Alamo Drive,Vacaville,True,3,3,True,707-702-1307,Woodcrest,5100,
961,1101 Burton Drive,,True,3,3,True,707-451-7400,Saratoga Senior Apartments,4400,2019-03-13
962,275 Hawthorne Avenue,Palo Alto,False,1,2,False,650-966-5319,275 Hawthorne Apartments,3850,
963,3051 Alma Street,Palo Alto,False,1,2,True,650-813-1369,Alma Apartments,3100,
964,574 Arastradero Road,Palo Alto,False,1,2,True,650-493-4376,Arastradero Park Apartments,4250,
965,3820 Park Boulevard,Palo Alto,False,1,2,True,650-493-2424,Casa Carolina Apartments,5000,
966,325 Hawthorne Avenue,Palo Alto,False,1,2,True,650-966-5319,Hawthorne,2500,
967,1600 Sand Hill Road,Palo Alto,False,1,2,True,650-321-1701,Oak Creek Apartments,4300,
968,650 San Antonio Road,Palo Alto,False,1,2,False,650-213-9700,Palo Alto Gardens,3000,
969,630 Los Robles Avenue,Palo Alto,False,1,2,True,650-858-2199,Palo Alto Housing Corporation,2600,
970,1094 Tanland Drive,Palo Alto,False,1,2,True,888-743-1697,Parker Palo Alto Apartments,5100,
971,2850 Middlefield Road,Palo Alto,True,1,2,True,650-322-1112,Southwood Apartments,2800,
972,574 Arastradero Road,,False,1,2,True,650-493-4376,Arastradero Park Apartments,4250,2019-03-07
973,1400 Humphrey Drive,Suisun City,False,3,3,True,707-429-3151,Autumn Oaks Apartments,4350,
974,1359 Worley Road,Suisun City,False,3,3,False,707-399-0529,Breezewood Village,4100,
975,766 Sunset Avenue,Suisun City,False,3,3,True,707-702-1238,Village Green,5200,
976,1400 Humphrey Drive,,False,3,3,True,707-429-3151,Autumn Oaks Apartments,4350,2019-03-14
977,1580 Clayton Road # 1,Concord,False,2,3,False,925-827-3700,Casa Pino Condos,3550,
978,1711 Detroit Avenue,Concord,False,2,3,False,925-686-6868,Courtyard Apartments,3900,
979,4902 Clayton Road,Concord,False,2,3,True,925-405-6881,Diablo Terrace Apartments,3950,
980,3620 Clayton Road # 101,Concord,False,2,3,True,925-682-9661,Greentree Terrace Apartments,4050,
981,1500 Ellis Street,Concord,False,2,3,True,925-680-5250,Lakeshore Apartment Homes,4000,
982,3205 Northwood Drive,Concord,False,2,3,False,925-685-5090,Meadowwood Apartments,3500,
983,1688 Clayton Road,Concord,False,1,2,False,925-671-3845,City Walk Apartment Homes,5150,
984,1711 Detroit Avenue,Concord,False,1,2,False,925-686-6868,Courtyard Apartments,3900,
985,5255 Clayton Road,,False,1,2,True,855-957-1118,Clayton Creek Apartments,3950,2019-03-13
986,1546 Maurice Lane,,False,1,1,False,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,2300,2019-03-10
987,707 Continental Circle,Mountain View,False,2,3,True,833-278-0054,Americana,3950,
988,2290 California Street,Mountain View,False,3,3,True,650-965-8290,Arbors At Mountain View,4100,
989,1335 Montecito Avenue # 1,Mountain View,False,3,3,True,650-940-1909,Barkley Square Apartments,4950,
990,1265 Montecito Avenue,Mountain View,False,3,3,False,650-940-9349,Brookside Gardens,3900,
991,302 Easy Street,Mountain View,False,2,3,True,650-968-3830,Chateau Apartments,4000,
992,200 East Dana Street,Mountain View,False,2,3,False,650-967-3870,Dana Garden Apartments,3500,
993,1240 Dale Avenue #6,Mountain View,False,3,3,False,650-961-6811,Delmonico Apartments,4900,
994,210 Easy Street,Mountain View,False,3,3,True,650-961-2975,Fernmar Apartments,4950,
995,439 Del Medio Avenue,Mountain View,False,2,3,False,650-948-6826,Franciscan Apartments,4050,
996,1571 West El Camino Real,Mountain View,False,3,3,True,650-969-9800,Hidden Garden Apartments,4700,
997,2290 California Street,,False,3,3,True,650-965-8290,Arbors At Mountain View,4100,2019-03-10
998,1300 South Livermore Avenue,Livermore,False,1,2,True,800-545-1833,Arbor Vista Senior Apartments,3000,
999,3819 East Avenue,Livermore,False,1,2,True,844-412-5121,Briarwood Apartments,3900,
1000,1163 Concannon Boulevard # 99,Livermore,False,1,2,True,925-443-1271,Sunset Gardens Apartments,3100,
1001,403 Junction Avenue,Livermore,False,1,2,True,925-454-0425,Tradewinds Apartments,2700,
1002,1300 South Livermore Avenue,,False,1,2,True,800-545-1833,Arbor Vista Senior Apartments,3000,2019-03-06
1003,37171 Sycamore Street,Newark,False,3,4,True,800-441-0766,Sycamore Bay,4700,
