,approximate_ride_duration,destination,number_of_riders,ride_fare,shared_ride
603,16,Cables Wake Park,2,14.24,True
604,28,Kuleto's Restaurant,2,22.64,True
605,21,Le Petit Bistro,2,24.41,True
606,15,5988 Newpark Mall Road,1,8.97,True
607,28,899 Sir Francis Drake Boulevard,2,8.63,True
608,12,1027 Airport Boulevard,4,30.48,True
609,30,1671 Willow Pass Road,2,13.86,True
610,19,Silvercrest Housing For Snrs,2,11.33,True
611,21,The Clover Theater,3,24.39,True
612,20,1850 El Camino Real,2,9.21,True
613,17,1621 Travis Boulevard #300,1,17.39,True
614,19,1460 Halford Avenue,3,16.90,True
615,20,Chengdu Style Restaurant,1,10.97,True
616,11,100 Van Ness Avenue,2,18.89,True
617,17,140 New Montgomery Street #1,1,15.13,True
618,31,185 Estancia Drive,1,11.28,True
619,20,SS United States,3,28.04,True
620,15,San Francisco,1,10.09,True
621,8,Vineyard Meadows Apartments,1,9.92,True
622,26,2100 Avy Avenue,3,11.05,True
623,29,770 9th Avenue,1,9.61,True
624,12,453 Fleming Avenue East,1,9.40,True
625,20,National Gallery of Modern Art,1,14.92,True
626,8,California State Capitol Museum,1,15.07,True
627,19,Mathilda Garden Apartments,2,14.76,True
628,8,1700 Laguna Street,2,15.90,True
629,24,2050 Broadway,3,13.30,True
630,16,1100 Foster Square Lane #150,1,14.78,True
631,18,2516 Samaritan Drive,1,15.62,True
632,27,250 Bel Marin Keys Boulevard,2,10.96,True
633,24,7200 Bancroft Ave # 125C,2,20.24,True
634,20,160 Saratoga Ave # 280,1,12.73,True
635,14,800 Pollard Road # B201,2,19.33,True
636,31,1300 University Drive # 6,1,15.12,True
637,23,2500 Grant Road,3,26.17,True
638,30,2455 Bennett Valley Road # B208,3,26.55,True
639,29,2672 Bayshore Parkway # 611,4,25.40,True
640,8,5755 Cottle Road # 4,1,12.24,True
641,26,3468 Mount Diablo Boulevard,1,16.83,True
642,20,160 Saratoga Ave # 280,4,21.34,True
643,10,8339 Church Street # 212,1,9.91,True
644,24,7200 Bancroft Ave # 125C,3,11.88,True
645,8,2301 Rumrill Boulevard # 28,2,20.15,True
646,22,150 Muir Rd,1,12.64,True
647,13,"4, Tower Support Bldg, 1150 Veterans Boulevard",4,18.80,True
648,24,1150 Veterans Boulevard,1,14.19,True
649,28,1400 North Dutton Avenue #6,1,14.86,True
650,22,2455 Bennett Valley Road,1,12.92,True
651,19,1030 Main Street #205,4,28.76,True
652,8,5755 Cottle Road # 4,2,18.67,True
653,31,150 Muir Road,1,11.11,True
654,20,45 San Clemente Drive b200,1,13.64,True
655,24,7200 Bancroft Ave # 125C,1,9.17,True
656,19,1030 Main Street #205,2,20.35,True
657,7,3468 Mount Diablo Boulevard B301,2,8.75,True
658,12,Italian Affair,1,7.17,True
659,31,795 El Camino Real,1,11.79,True
660,22,2455 Bennett Valley Road,4,12.60,True
661,13,"4, Tower Support Bldg, 1150 Veterans Boulevard",2,17.55,True
662,10,45 Quail Court # 200,1,10.24,True
663,23,401 Alberto Way #1,1,15.81,True
664,22,39650 Liberty Street #310,4,34.20,True
665,9,140 Mayhew Way # 702,3,15.55,True
666,12,8339 Church Street,2,9.14,True
667,28,327 North San Mateo Drive Suite 7,3,15.80,True
668,23,425 Main Street,2,13.32,True
669,8,Egg Roll King,2,16.81,True
670,15,4288 Dublin Boulevard #110,2,25.10,True
671,27,1919 Davis Street,1,15.97,True
672,14,101 Parrott Street,2,15.30,True
673,20,351 West Washington Avenue,2,22.68,True
674,11,127 North McDowell Boulevard,1,6.43,True
675,27,244 Jackson Street,2,20.05,True
676,10,140 North Civic Drive,3,10.65,True
677,21,Hatcho Japanese Cuisine,4,18.62,True
678,12,1041 Middlefield Road,2,15.12,True
679,15,35192 Newark Boulevard,2,14.91,True
680,19,2053 Broadway,2,16.65,True
681,30,462 Santa Clara Avenue,2,24.76,True
682,20,1971 San Pablo Avenue,2,19.11,True
683,28,4115 El Camino Real,4,23.30,True
684,30,5813 Cottle Road,1,10.67,True
685,11,175 Sutter Street,2,10.73,True
686,15,15099-A Hesperian Boulevard,1,16.41,True
687,24,300 El Camino Real,2,16.24,True
688,24,1027 Oliver Road,2,25.05,True
689,22,754 The Alameda #10,2,19.08,True
690,19,4580 Dublin Boulevard,3,30.50,True
691,23,16 Mint Plaza,3,30.43,True
692,13,Georgetown Waterfront Park,2,18.09,True
693,13,"1480 First St Napa, Ca 94559",2,23.53,True
694,27,1420 Market Street,3,21.65,True
695,19,12108 Saratoga Sunnyvale Road,2,24.61,True
696,30,500 Precita Avenue,2,24.45,True
697,28,39145 Farwell Drive,1,9.22,True
698,8,71 North San Pedro Street,2,12.32,True
699,14,298 Gough Street,3,14.13,True
700,22,383 1st Street,2,19.22,True
701,28,39145 Farwell Drive,2,21.71,True
702,22,13670 Arnold Drive,2,21.28,True
703,19,629 Union Street,2,24.17,True
704,16,2317 South El Camino Real,2,14.95,True
705,15,601 Van Ness Avenue,4,25.44,True
706,14,2135 Franklin Street,2,21.54,True
707,29,2121 San Pablo Avenue,2,16.93,True
708,31,1367 North McDowell Boulevard #110,4,15.52,True
709,12,8000 El Cerrito Plaza,1,14.36,True
710,21,3120 16th Street,1,16.72,True
711,24,1501 Tara Hills Drive,1,12.65,True
712,31,4058 18th Street A,1,14.96,True
713,14,2362 Market Street,2,13.11,True
714,19,6935 Camino Arroyo,2,17.48,True
715,11,14583 Big Basin Way # 2A,2,9.29,True
716,19,1662 Lombard Street,4,35.56,True
717,23,16 Mint Plaza,1,16.23,True
718,31,388 Grand Avenue,2,21.26,True
719,24,3740 El Camino Real,2,16.50,True
720,16,Branham House Apartments,1,8.60,True
721,30,782 Haight Street,2,18.98,True
722,28,899 Sir Francis Drake Boulevard,1,9.56,True
723,30,Arbors At Mountain View,1,9.52,True
724,28,The Cartoon Museum,1,16.19,True
725,9,Aria Dining & Banquets Fine Indian Cuisine,2,19.43,True
726,8,Museum of the African Diaspora,1,14.14,True
727,29,Maggie Daley Park ice skating ribbon,1,8.19,True
728,26,1065 Holly Street D,2,15.84,True
729,18,310 Sutter Street 4th floor,1,6.49,True
730,10,3205 Northwood Drive,1,15.81,True
731,30,111 South Murphy Avenue,1,10.34,True
732,21,Galeto Brazilian Steakhouse,1,14.48,True
733,12,139 Petaluma Boulevard North B,2,16.14,True
734,14,Ohgane Korean Bbq & Cuisine,2,21.93,True
735,23,1200 Callowhill Street,1,9.22,True
736,30,Karura Forest,1,6.21,True
737,16,Giraffe Centre,1,11.77,True
738,28,Belmont Park,2,15.95,True
739,11,Bloedel Conservatory,3,14.71,True
740,15,Children's Creativity Museum,2,20.97,True
741,30,Balboa Park,2,23.32,True
742,25,Aquarium of the Pacific,1,10.93,True
743,31,Alcatraz Island,1,10.81,True
744,16,Pixar Pier,1,10.85,True
745,31,Columbia Center,1,11.00,True
746,18,Barnes Foundation,1,13.39,True
747,15,56 Signers of the Declaration of Independence Memorial,3,20.37,True
748,30,Disney California Adventure Park,2,14.93,True
749,22,Japanese Tea Garden,3,21.62,True
750,24,The Queen Mary,1,15.07,True
751,8,California Museum,3,19.23,True
752,28,National Academy of Sciences,2,23.74,True
753,30,Christmas Tree Lane,1,13.79,True
754,11,Mission Escape Atlanta,2,8.65,True
755,8,360 CHICAGO,4,35.44,True
756,8,Golden Gate Park,1,11.78,True
757,13,Brooklyn Children's Museum,1,6.74,True
758,26,Harry Bridges Memorial Park,1,7.46,True
759,24,Forestiere Underground Gardens,1,10.26,True
760,8,360 CHICAGO,1,15.45,True
761,30,Balboa Park,3,27.26,True
762,15,Acuario Inbursa,2,14.28,True
763,18,Barnes Foundation,4,32.46,True
764,23,Aquarium of the Bay,1,10.81,True
765,28,DISCOVERY Children's Museum,1,11.24,True
766,15,St. Lawrence Market,1,11.10,True
767,30,Christmas Tree Lane,4,33.92,True
768,31,Art Gallery of New South Wales,1,8.11,True
769,24,Warsaw,3,13.28,True
770,10,Sony Hall,3,15.88,True
771,13,Cal Coast Credit Union Amphitheater,1,8.02,True
772,14,LA Memorial Coliseum,3,12.80,True
773,11,Oracle Park,3,22.52,True
774,17,SOMO Village Event Center,2,22.64,True
775,14,LA Memorial Coliseum,2,22.75,True
776,11,The Old Church Concert Hall,2,21.64,True
777,24,Gallagher Way,3,25.06,True
778,28,The Van Buren,4,28.56,True
779,20,Dodger Stadium,4,20.02,True
780,17,SOMO Village Event Center,1,7.75,True
781,17,Rogers Centre,4,30.84,True
782,18,Imperial Vancouver,4,26.50,True
783,24,The Fillmore Philadelphia,2,17.62,True
784,28,The Van Buren,1,9.86,True
785,13,Cal Coast Credit Union Amphitheater,2,10.38,True
786,28,The Van Buren,3,19.68,True
787,10,Boston Music Room,1,15.09,True
788,17,Rogers Centre,1,11.86,True
789,18,Chase Center Experience,1,10.52,True
790,14,Theater Of The Clouds,1,12.51,True
791,21,PNE Amphitheatre,2,13.52,True
792,28,The Van Buren,2,23.50,True
793,10,Lodge Room,3,30.69,True
794,14,Angel Stadium of Anaheim,2,11.51,True
795,8,Pier 17,4,15.48,True
796,14,Forest Hills Stadium,3,11.81,True
797,11,Oracle Park,2,23.07,True
798,17,Crossroads at House of Blues Anaheim,4,29.80,True
799,24,The Fillmore Philadelphia,1,6.05,True
800,24,Warsaw,4,13.18,True
801,29,Peachtree Road United Methodist Church,1,17.02,True
802,17,Rogers Centre,3,14.15,True
803,29,Peachtree Road United Methodist Church,2,24.81,True
804,18,Wrigley Field,1,7.74,True
805,8,Pier 17,2,25.12,True
806,24,Blue Note Napa,3,21.89,True
807,20,Dodger Stadium,2,16.87,True
808,18,Wrigley Field,4,19.86,True
809,24,Blue Note Napa,1,7.38,True
810,21,2500 Durant Ave,1,10.08,True
811,24,Warsaw,2,11.38,True
812,14,Theater Of The Clouds,2,12.26,True
813,20,Dodger Stadium,3,24.99,True
814,30,Flamingo Lot,1,6.88,True
