,album,artist,genre,song_name,year,playback_device
430,California Sunrise,Jon Pardi,Country,Night Shift,2016,
431,Awake,Illenium,Dubstep,Free Fall,2017,
432,Current Mood,Dustin Lynch,Country,Small Town Boy,2017,
433,Lazy Genius,Ayo Jay,Reggae,Let Him Go,2018,TV
434,Higher,Albert Posis,Pop,Serendipity,2012,
435,Jade Eagleson,Jade Eagleson,Country,Got Your Name On It,2018,
436,V,Adam Levine,Pop,Lost Stars,2014,TV
437,Where We Come From,Popcaan,Reggae,Addicted,2014,
438,Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,2014,
439,Blues Of Desperation,Joe Bonamassa,Blues,Drive,2016,
440,Your Name,Radwimps,Soundtracks,Sparkle,2016,
441,Beautiful World,Connie Talbot,Pop,Count On Me,2012,Kitchen speaker
442,Expectations,Hayley Kiyoko,Pop,What I Need,2018,
443,Cry Pretty,Carrie Underwood,Pop,The Champion,2018,
444,Thank You,Meghan Trainor,Pop,Kindly Calm Me Down,2016,TV
445,Bloom,Troye Sivan,Pop,Lucky Strike,2018,
446,Sunset Season,Conan Gray,Pop,Generation Why,2018,
447,Good Company,The Dead South,Folk,Banjo Odyssey,2013,
448,Avril Lavigne,Avril Lavigne,Pop,Let Me Go,2013,
449,The Black,Asking Alexandria,Metalcore,The Black,2016,
450,Home State,Jordan Davis,Country,Singles You Up,2017,
451,Desperate Man,Eric Church,Country,Some Of It,2018,Bedroom speaker
452,Sing To Me Instead,Ben Platt,Pop,Bad Habit,2019,
453,Spectrum,Westlife,Pop,Better Man,2019,
454,Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,2019,
455,Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,
456,Sing To Me Instead,Ben Platt,Pop,Bad Habit,2019,Bedroom speaker
457,Frozen,Josh Gad,Soundtracks,In Summer,2013,
458,Love Crimes,Super Sako,Pop,Mi Gna,2016,Kitchen speaker
459,Outsider,Three Days Grace,Rock,Right Left Wrong,2018,
460,Pobrecita,Mo Temsamani,Pop,Mana Zina,2018,
461,Pobrecita,Mo Temsamani,Pop,Mana Zina,2018,TV
462,Khayali,Tamer Ashor,Pop,Mahzouz,2017,
463,Joytime,Marshmello,House,Find Me,2016,
464,Count Me In,Rebelution,Reggae,Roots Reggae Music,2014,
465,Cuz I Love You,Lizzo,Pop,Tempo,2019,
466,Khayali,Tamer Ashor,Pop,Mahzouz,2017,Bedroom speaker
467,Badlands,Halsey,Electropop,Control,2015,Bedroom speaker
468,If I Know Me,Morgan Wallen,Country,Up Down,2018,TV
469,Experiment,Kane Brown,Country,Lose It,2018,
470,Expectations,Hayley Kiyoko,Pop,Curious,2018,
471,Voicenotes,Charlie Puth,Pop,The Way I Am,2018,
472,Vandenynai,Linas Adomaitis,Pop,Vandenynai,2019,
473,Expectations,Hayley Kiyoko,Pop,Let It Be,2018,
474,Built On Glass,Nick Murphy,Electronica,Gold,2014,
475,Experiment,Kane Brown,Country,Lose It,2018,Bedroom speaker
476,The First Time,Kelsea Ballerini,Pop,Yeah Boy,2014,TV
477,Lindsey Stirling,Lindsey Stirling,Pop,Elements,2012,
478,Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,TV
479,Redemption,Joe Bonamassa,Blues,Redemption,2018,
480,Always In Between,Jess Glynne,Pop,No One,2018,
481,Always In Between,Jess Glynne,Pop,All I Am,2018,TV
482,Radh,Mohammed Al Salem,Pop,Qalb Qalb Party,2016,TV
483,Only Love,Jordan Smith,Pop,Only Love,2018,TV
484,Sucker Punch,Sigrid,Pop,Business Dinners,2019,TV
485,We Need To Talk,Taylor Parks,Pop,I Want You,2019,TV
486,Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,TV
487,Pop Evil,Pop Evil,Metalcore,Be Legendary,2018,Kitchen speaker
488,Title,Meghan Trainor,Pop,All About That Bass,2012,TV
489,For You,Selena Gomez,Pop,The Heart Wants What It Wants,2014,TV
490,Prequelle,Ghost,Metal,Rats,2018,TV
491,The Princess,Parov Stelar,Pop,All Night,2012,Bedroom speaker
492,Assume Form,James Blake,Pop,Mile High,2019,TV
493,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,2017,Kitchen speaker
494,Nine Track Mind,Charlie Puth,Pop,Dangerously,2016,TV
495,Cloud Nine,Kygo,Downtempo,Carry Me,2016,TV
496,Hold You,Gyptian,Reggae,Hold You,2010,Kitchen speaker
497,Kuntry,Jawga Boyz,Country,Ridin High,2011,Bedroom speaker
498,Origins,Shallow Side,Rock,Try To Fight It,2012,Bedroom speaker
499,Avril Lavigne,Avril Lavigne,Pop,Give You What You Like,2013,Kitchen speaker
500,Dangerous Woman,Ariana Grande,Pop,Touch It,2016,TV
501,If I Know Me,Morgan Wallen,Country,The Way I Talk,2016,TV
502,Camila,Camila Cabello,Pop,Consequences,2018,Bedroom speaker
503,Heart Miles,Jai Waetford,Pop,Shy,2015,TV
504,Salam,Harris J,Pop,Salam Alaikum,2015,Kitchen speaker
505,Your Name,Radwimps,Rock,Zenzenzense,2016,TV
506,Overthinking,Shy Martin,Pop,Lose You Too,2018,TV
507,Sen Menga Kerak,Shahzoda,Pop,Qaynona,2014,Bedroom speaker
508,One More Light,Linkin Park,Electropop,Nobody Can Save Me,2017,TV
509,Pure Heroine,Lorde,Electropop,Team,2013,TV
510,Nirvana,The Motans,Pop,Nota De Plata,2017,TV
511,The Getaway,Red Hot Chili Peppers,Pop,Goodbye Angels,2016,TV
512,Talk That Talk,Rihanna,Pop,Where Have You Been,2011,TV
513,Joanne,Lady Gaga,Pop,John Wayne,2016,TV
514,Blues Of Desperation,Joe Bonamassa,Blues,Drive,2016,TV
515,Raees,Pavni Pandey,South Asia,Laila Main Laila,2017,TV
516,Born Free,Kid Rock,Rock,Born Free,2010,TV
517,Night Train,Jason Aldean,Country,When She Says Baby,2012,TV
518,Raise Vibration,Lenny Kravitz,Rock,Low,2018,TV
519,Only Love,Jordan Smith,Pop,Only Love,2018,Kitchen speaker
520,The Good Parts,Andy Grammer,Pop,Fresh Eyes,2016,TV
521,So Good,Zara Larsson,Pop,I Would Like,2016,TV
522,Narrated For You,Alec Benjamin,Pop,If We Have Each Other,2018,TV
523,Battleground,The Wanted,Pop,Glad You Came,2010,Kitchen speaker
524,The King Of Limbs,Radiohead,Electronica,Lotus Flower,2011,Kitchen speaker
525,Blonde,Frank Ocean,Pop,Self Control,2016,TV
526,Transmissions,Starset,Rock,Carnivore,2013,TV
527,Illuminate,Shawn Mendes,Pop,Treat You Better,2016,TV
528,Rearview Town,Jason Aldean,Country,Girl Like You,2018,TV
529,Seventh Heaven,Ryutaro Nakahara,Anime,Din Don Dan,2015,Kitchen speaker
530,This Is Acting,Sia,Pop,Unstoppable,2016,TV
531,Handwritten,Shawn Mendes,Pop,Never Be Alone,2015,TV
532,Bigger,Sugarland,Country,Babe,2017,TV
533,Cryptic,Billy Watman,Pop,Bohemian Rhapsody,2018,TV
534,Best Kind Of Mess,Get Scared,Rock,Sarcasm,2010,Bedroom speaker
535,Ana Keteer,Sherine,Pop,Ya Layali,2014,TV
536,Sick Boy,The Chainsmokers,Pop,Side Effects,2018,TV
537,Happy Endings,Old Dominion,Country,Written In Sand,2017,TV
538,Flicker,Niall Horan,Pop,On The Loose,2017,TV
539,Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,2018,Bedroom speaker
540,It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,2016,Bedroom speaker
541,Blood,In This Moment,Metalcore,Whore,2012,TV
542,Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,TV
543,Narrated For You,Alec Benjamin,Pop,Outrunning Karma,2018,TV
544,Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,2014,TV
545,Happiness Begins,Jonas Brothers,Pop,Sucker,2019,TV
546,So Mi Like It,Spice,Reggae,So Mi Like It,2014,TV
547,Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,2011,TV
548,Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,2019,TV
549,My Everything,Ariana Grande,Pop,One Last Time,2014,TV
550,To Whom It May Concern,Blacklite District,Rock,The Struggle,2016,TV
551,Dance Again,Jennifer Lopez,Pop,Dance Again,2012,TV
552,Adobe Sessions,Cody Jinks,Country,Cast No Stones,2015,TV
553,Unapologetic,Rihanna,Pop,What Now,2012,TV
554,Unleashed Beyond,Skillet,Rock,The Resistance,2016,TV
555,Meliora,Ghost,Rock,He Is,2015,TV
556,The Greatest,Sia,Pop,The Greatest,2012,TV
557,Sex Rock,Alex Angel,Rock,My Donna,2018,TV
558,Sick Boy,The Chainsmokers,Pop,Somebody,2018,Bedroom speaker
559,The Mountain,Dierks Bentley,Country,Burning Man,2018,TV
560,Badlands,Halsey,Electropop,Gasoline,2015,Kitchen speaker
561,Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,Kitchen speaker
562,Love Always,Shane Filan,Pop,Beautiful In White,2017,TV
563,Nirvana,The Motans,Pop,Nota De Plata,2017,Bedroom speaker
564,Joanne,Lady Gaga,Pop,John Wayne,2016,Kitchen speaker
565,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,TV
566,Yomonsan,Janob Rasul,Pop,Yomonsan,2017,Kitchen speaker
567,Love Songs From A Lolita,Maty Noyes,Pop,New Friends,2018,Bedroom speaker
568,Origins,Shallow Side,Rock,Try To Fight It,2012,TV
569,The New Classic,Iggy Azalea,Pop,Bounce,2013,Kitchen speaker
570,Voicenotes,Charlie Puth,Pop,Attention,2017,TV
571,Your Name,Radwimps,Soundtracks,Nandemonaiya,2016,Kitchen speaker
572,Thinking In Textures,Nick Murphy,Electronica,No Diggity,2012,Kitchen speaker
573,Gravity,Jason Chen,Pop,Music Never Sleeps,2011,TV
574,Dangerous Woman,Ariana Grande,Pop,Let Me Love You,2016,Kitchen speaker
575,Climate Change,Pitbull,Pop,Options,2017,
576,Forbidden,Todrick Hall,Pop,Dem Beats,2018,
577,Nine Track Mind,Charlie Puth,Pop,One Call Away,2015,
578,Madness,All That Remains,Rock,The Thunder Rolls,2017,
579,Climate Change,Pitbull,Pop,Options,2017,Bedroom speaker
580,Hallelujah Nights,Lanco,Country,Greatest Love Story,2017,
581,K,Kozoria,Rock,Worst Ends,2016,
582,Joytime,Marshmello,House,Take It Back,2015,
583,Camila,Camila Cabello,Pop,Real Friends,2017,
584,Sucker Punch,Sigrid,Pop,Strangers,2017,
585,Sing To Me Instead,Ben Platt,Pop,Temporary Love,2019,Kitchen speaker
586,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Show Me How You Burlesque,2010,
587,Your Name,Radwimps,Rock,Zenzenzense,2016,
588,Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,TV
589,Sen Menga Kerak,Shahzoda,Pop,Qaynona,2014,
590,Ultraviolence,Lana Del Rey,Rock,Pretty When You Cry,2014,
591,Just Gonna Send It,Katie Noel,Country,Diesel Gang,2018,
592,Salam,Harris J,Pop,Salam Alaikum,2015,
593,Strange Pleasures,Still Corners,Electropop,The Trip,2013,
594,Sen Menga Kerak,Shahzoda,Pop,Qaynona,2014,Kitchen speaker
595,Ultraviolence,Lana Del Rey,Rock,Ultraviolence,2014,
596,Ancient Future,Protoje,Reggae,Who Knows,2014,
597,Crash My Party,Luke Bryan,Country,Roller Coaster,2013,
598,Loud,Rihanna,Reggae,Man Down,2010,Bedroom speaker
599,The New Classic,Iggy Azalea,Pop,Bounce,2013,TV
600,Kane Brown,Kane Brown,Country,What Ifs,2016,
601,Historical Misappropriation,Postmodern Jukebox,Jazz,All About That Bass,2014,
602,Historical Misappropriation,Postmodern Jukebox,Jazz,All About That Bass,2014,TV
603,Ana Keteer,Sherine,Pop,Ya Layali,2014,Kitchen speaker
604,Vessel,Twenty One Pilots,Pop,Fake You Out,2012,Bedroom speaker
605,Sex Rock,Alex Angel,Rock,Easy World,2018,Bedroom speaker
606,Flicker,Niall Horan,Pop,On The Loose,2017,Kitchen speaker
607,Nirvana,The Motans,Pop,Nota De Plata,2017,
608,Pitch Perfect,Anna Kendrick,Soundtracks,Cups,2012,
609,Reminiscence,Mattia Cupelli,Soundtracks,Love Lost,2014,
610,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,2017,Bedroom speaker
611,Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,2014,
612,Holy Fire,Foals,Indie,Late Night,2013,
613,Expectations,Bebe Rexha,Pop,I Got You,2010,Kitchen speaker
614,How Long,Charlie Puth,Pop,How Long,2017,
615,Voicenotes,Charlie Puth,Pop,Attention,2017,Kitchen speaker
616,Got Your Six,Five Finger Death Punch,Metal,Wash It All Away,2015,
617,Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,TV
618,Get Weird,Little Mix,Pop,Love Me Like You,2014,TV
619,Double Vision,Prince Royce,Pop,Back It Up,2015,TV
620,Fly,Karolina Protsenko,Pop,Let Me Love You,2018,
621,Current Mood,Dustin Lynch,Country,Small Town Boy,2017,Kitchen speaker
622,Rearview Town,Jason Aldean,Country,Rearview Town,2018,
623,Rearview Town,Jason Aldean,Country,You Make It Easy,2018,
624,Rearview Town,Jason Aldean,Country,Girl Like You,2018,Bedroom speaker
625,Dangerous Woman,Ariana Grande,Pop,Dangerous Woman,2016,
626,The Beautiful Game,Vulfpeck,Pop,Dean Town,2016,
627,The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,2016,TV
628,Blown Away,Carrie Underwood,Country,Blown Away,2012,
629,Untamed,Cam,Country,Burning House,2015,
630,Blastoff Blues,Ricky T And The Rockets,Blues,Memory Pain,2016,
631,Blues Of Desperation,Joe Bonamassa,Blues,Drive,2016,Kitchen speaker
632,Fight Song,Rachel Platten,Pop,Fight Song,2015,
633,Avril Lavigne,Avril Lavigne,Pop,Rock N Roll,2013,
634,Blonde,Frank Ocean,Pop,Ivy,2016,Bedroom speaker
635,Forever,Popcaan,Reggae,Wine For Me,2018,
636,Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,2011,
637,Narrated For You,Alec Benjamin,Pop,The Water Fountain,2018,
638,Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,2011,Kitchen speaker
639,Cloud Nine,Kygo,Downtempo,Carry Me,2016,Bedroom speaker
640,Blood,In This Moment,Metalcore,Adrenalize,2012,Bedroom speaker
641,Assume Form,James Blake,Pop,Mile High,2019,Kitchen speaker
642,Pain Killer,Little Big Town,Country,Girl Crush,2014,
643,Wonders,The Piano Guys,Classical,Let It Go,2014,
644,Happiness,Hurts,Pop,Wonderful Life,2010,TV
645,No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,2019,
646,Glory Days,Little Mix,Pop,Touch,2016,
647,Piano Songs,Froggy Fresh,Pop,Boyfriend,2018,TV
648,Illuminate,Shawn Mendes,Pop,Bad Reputation,2016,Bedroom speaker
649,Raees,Pavni Pandey,South Asia,Laila Main Laila,2017,
650,Purple Reign,Future,Soundtracks,Wicked,2016,
651,Enjoy Yourself,Billy Currington,Country,Let Me Down Easy,2010,
652,Expectations,Hayley Kiyoko,Pop,Sleepover,2017,
653,Expectations,Hayley Kiyoko,Pop,Curious,2018,TV
654,Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,Bedroom speaker
655,Dangerous Woman,Ariana Grande,Pop,Let Me Love You,2016,
656,Dangerous Woman,Ariana Grande,Pop,Touch It,2016,
657,My Everything,Ariana Grande,Pop,Best Mistake,2014,TV
658,Genesis,Mark Petrie,Classical,Kara Kul,2012,
659,Me And My Broken Heart,Push Baby,Pop,Me And My Broken Heart,2014,
660,Welcome Reality,Nero,Dubstep,Promises,2010,TV
661,Texoma Shore,Blake Shelton,Country,I Lived It,2017,
662,Lady Wood,Tove Lo,Electropop,Cool Girl,2016,
663,Handwritten,Shawn Mendes,Pop,Stitches,2015,Bedroom speaker
664,Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,TV
665,Where We Come From,Popcaan,Reggae,Everything Nice,2013,
666,Voicenotes,Charlie Puth,Pop,The Way I Am,2018,Bedroom speaker
667,The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,
668,The Martin Garrix Experience,Martin Garrix,Pop,High On Life,2018,
669,The Martin Garrix Experience,Martin Garrix,House,Yottabyte,2018,
670,The Martin Garrix Experience,Martin Garrix,Pop,High On Life,2018,TV
671,Born This Way,Lady Gaga,Pop,Bloody Mary,2011,TV
672,Handwritten,Shawn Mendes,Pop,Something Big,2014,TV
673,One More Light,Linkin Park,Electropop,Nobody Can Save Me,2017,
674,One More Light,Linkin Park,Electropop,One More Light,2017,
675,One More Light,Linkin Park,Electropop,Battle Symphony,2017,Bedroom speaker
676,Thank You,Meghan Trainor,Pop,Me Too,2016,
677,The Pains Of Growing,Alessia Cara,Pop,Out Of Love,2018,TV
678,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Show Me How You Burlesque,2010,TV
679,Elevate,Big Time Rush,Pop,Windows Down,2011,Bedroom speaker
680,The Seven Deadly Sins Original Soundtrack,Hiroyuki Sawano,Soundtracks,Perfect Time,2014,
681,Beauty Marks,Ciara,Pop,Thinkin Bout You,2019,Bedroom speaker
682,Loud,Rihanna,Pop,California King Bed,2011,TV
683,Sing To Me Instead,Ben Platt,Pop,Bad Habit,2019,TV
684,Illuminate,Shawn Mendes,Pop,Bad Reputation,2016,TV
685,Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,2019,
686,Unleashed Beyond,Skillet,Rock,The Resistance,2016,
687,Reminiscence,Mattia Cupelli,Soundtracks,Love Lost,2014,Kitchen speaker
688,Honky Tonk Time Machine,George Strait,Country,The Weight Of The Badge,2019,
689,Do It Again,Pia Mia,Pop,Do It Again,2015,
690,The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,Bedroom speaker
691,Caught Up In The Country,Rodney Atkins,Country,Caught Up In The Country,2018,
692,Brave Enough,Lindsey Stirling,Pop,The Arena,2016,
693,Good Company,The Dead South,Folk,Banjo Odyssey,2013,TV
694,Nine Track Mind,Charlie Puth,Pop,Dangerously,2016,Bedroom speaker
695,Golden Hour,Kacey Musgraves,Country,High Horse,2018,
696,Pentatonix,Pentatonix,Pop,Cheerleader,2015,
697,Heart Miles,Jai Waetford,Pop,Shy,2015,
698,Visions,Grimes,Electropop,Oblivion,2012,Kitchen speaker
699,Every Little Thing,Carly Pearce,Country,Every Little Thing,2017,
700,Brett Eldredge,Brett Eldredge,Country,Love Someone,2017,
701,Brett Young,Brett Young,Country,Mercy,2017,
702,Genesis,Mark Petrie,Classical,Kara Kul,2012,Bedroom speaker
703,Sinner,Aaron Lewis,Country,Lost And Lonely,2016,
704,Winter Collection,Sivik,Pop,High,2015,TV
705,Experiment,Kane Brown,Country,Homesick,2018,
706,Experiment,Kane Brown,Country,Weekend,2018,
707,Experiment,Kane Brown,Country,Homesick,2018,TV
708,Hold You,Gyptian,Reggae,Hold You,2010,
709,Mahandini,Dewa Budjana,Pop,Hyang Giri,2018,TV
710,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,2010,Kitchen speaker
711,Kuntry,Jawga Boyz,Country,Ridin High,2011,
712,The Beginning,Sammielz,Reggae,Let Us Be,2014,Bedroom speaker
713,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,2011,
714,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,2011,TV
715,Random Access Memories,Daft Punk,Punk,Get Lucky,2013,
716,The African Gentleman,Ric Hassani,Pop,Only You,2017,
717,Ember,Breaking Benjamin,Rock,Tourniquet,2018,
718,Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,2019,Kitchen speaker
719,Fagun Ke Rang,Awadesh Premi Yadav,Folk,Suna Bhaiya Ke Sali,2019,
720,Kontraband,Kabaka Pyramid,Reggae,Reggae Music,2018,
721,Halcyon Days,Ellie Goulding,Pop,How Long Will I Love You,2010,TV
722,Men Halati,Farfashah,Pop,Ouf Menuh Qalbi,2018,Kitchen speaker
723,Party Never Ends,Inna,Pop,In Your Eyes,2013,
724,Party Never Ends,Inna,Pop,In Your Eyes,2013,Kitchen speaker
725,Try Again,Cindy Santos,Latin,Baby Sexy,2018,Bedroom speaker
726,Traveller,Chris Stapleton,Country,Tennessee Whiskey,2015,
727,The Beginning,Sammielz,Reggae,Let Us Be,2014,TV
728,Awake,Illenium,Dubstep,Free Fall,2017,TV
729,Sing To Me Instead,Ben Platt,Pop,Bad Habit,2019,Kitchen speaker
730,Random Access Memories,Daft Punk,Punk,Get Lucky,2013,TV
731,A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,2012,
732,A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,2012,TV
733,If I Know Me,Morgan Wallen,Country,Up Down,2018,Kitchen speaker
734,Pitch Perfect,Anna Kendrick,Soundtracks,Cups,2012,TV
735,Melodrama,Lorde,Electropop,Supercut,2017,
736,Camila,Camila Cabello,Pop,Consequences,2018,TV
737,Honky Tonk Time Machine,George Strait,Country,Codigo,2018,TV
738,Creeker,Upchurch,Rock,Pond Creek Road,2018,
739,Fly,Karolina Protsenko,Pop,Girls Like You,2018,TV
740,If I Know Me,Morgan Wallen,Country,The Way I Talk,2016,Kitchen speaker
741,No More Hollywood Endings,Battle Beast,Metal,Eden,2019,Kitchen speaker
742,In A Truck Right Now,Riley Green,Country,There Was This Girl,2018,
743,Laps Around The Sun,Chris Lane,Country,Take Back Home Girl,2017,
744,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,2018,Bedroom speaker
745,Glory Days,Little Mix,Pop,No More Sad Songs,2017,
746,Glory Days,Little Mix,Pop,Power,2017,
747,Glory Days,Little Mix,Pop,No More Sad Songs,2017,Bedroom speaker
748,Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,Bedroom speaker
749,Crooked Teeth,Papa Roach,Metal,Born For Greatness,2017,TV
750,Inna,Inna,Pop,Bad Boys,2015,
751,Talk That Talk,Rihanna,Pop,Where Have You Been,2011,
752,Teenage Dream,Katy Perry,Pop,Teenage Dream,2010,
753,The Princess,Parov Stelar,Pop,All Night,2012,TV
754,Stony Hill,Damian Marley,Reggae,Speak Life,2017,
755,The Hunting Party,Linkin Park,Metal,Final Masquerade,2014,Kitchen speaker
756,Witness,Katy Perry,Electropop,Swish Swish,2010,
757,Rearview Town,Jason Aldean,Country,Girl Like You,2018,Kitchen speaker
758,Lush Life,Zara Larsson,Pop,Lush Life,2015,
759,The Greatest,Sia,Pop,The Greatest,2012,
760,One More Light,Linkin Park,Electropop,Good Goodbye,2017,TV
761,Singular Act I,Sabrina Carpenter,Pop,Paris,2018,Kitchen speaker
762,Tomboy,Destiny Rogers,Pop,Tomboy,2019,
763,Transmissions,Starset,Rock,It Has Begun,2014,
764,Ardhito Pramono,Ardhito Pramono,Jazz,The Bitterlove,2017,
765,Rockefeller Street,Getter Jaani,Pop,Rockefeller Street,2011,
766,Old Diary,La Min Phyu,Pop,Stage Show,2018,TV
767,Mirrorwriting,Jamie Woon,Electronica,Lady Luck,2011,Bedroom speaker
768,Who You Are,Jessie J,Pop,Mamma Knows Best,2011,
769,After Laughter,Paramore,Rock,Hard Times,2017,TV
770,Dark Horse,Devin Dawson,Country,All On Me,2017,TV
771,Vessel,Twenty One Pilots,Pop,Fake You Out,2012,TV
772,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,TV
773,Voicenotes,Charlie Puth,Pop,The Way I Am,2018,TV
774,Harry Styles,Harry Styles,Rock,Kiwi,2017,
775,Singular Act I,Sabrina Carpenter,Pop,Almost Love,2018,Bedroom speaker
776,The Princess,Parov Stelar,Pop,All Night,2012,Kitchen speaker
777,Muse Box,Madilyn Bailey,Pop,Titanium,2012,
778,Summer House,Concorde,Pop,Just Kiss Her,2012,TV
779,Caroline,Citizen Soldier,Rock,Let It Burn,2017,TV
780,Black Widow,In This Moment,Metalcore,Sex Metal Barbie,2014,TV
781,My Dream,Karolina Protsenko,Pop,Despacito,2018,TV
782,Enjoy Yourself,Billy Currington,Country,Let Me Down Easy,2010,TV
783,Bu Muhabbat,Shahzoda,Pop,Chicco,2013,Bedroom speaker
784,Speak Now,Taylor Swift,Pop,The Story Of Us,2010,TV
785,Handwritten,Shawn Mendes,Pop,Aftertaste,2015,TV
786,Old Diary,La Min Phyu,Pop,Stage Show,2018,Kitchen speaker
787,The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,TV
788,Purple Reign,Future,Soundtracks,Wicked,2016,Bedroom speaker
789,Swim,Dan Snaith,Electropop,Sun,2010,TV
790,The Martin Garrix Experience,Martin Garrix,House,Yottabyte,2018,TV
791,Last Year Was Complicated,Nick Jonas,Pop,Under You,2016,TV
792,Creeker,Upchurch,Rock,Pond Creek Road,2018,TV
793,Dzieciom,Lao Che,Rock,Wojenka,2015,TV
794,Badlands,Halsey,Electropop,Ghost,2014,TV
795,Philharmonics,Agnes Obel,Folk,Riverside,2010,TV
796,Purpose,Justin Bieber,Pop,Sorry,2010,TV
797,Purpose,Justin Bieber,Pop,Sorry,2010,Kitchen speaker
798,Summer Anthems,Common Kings,Reggae,No Other Love,2013,Bedroom speaker
799,Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,2014,Bedroom speaker
800,Camila,Camila Cabello,Pop,Consequences,2018,Kitchen speaker
801,Expectations,Bebe Rexha,Pop,Knees,2018,TV
802,Badlands,Halsey,Electropop,Ghost,2014,Kitchen speaker
803,It Feel Good,Konshens,Reggae,Turn Me On,2017,Bedroom speaker
804,Black Widow,In This Moment,Metalcore,Sex Metal Barbie,2014,Kitchen speaker
805,Trench,Twenty One Pilots,Indietronica,Neon Gravestones,2018,TV
806,Spectrum,Westlife,Pop,Better Man,2019,Kitchen speaker
807,Gotta Be Me,Cody Johnson,Country,With You I Am,2016,TV
808,Safe Haven,Ruth B,Pop,Superficial Love,2015,TV
809,Brett Eldredge,Brett Eldredge,Country,Love Someone,2017,Kitchen speaker
810,El Hombre,El Alfa,Latin,Suave,2017,TV
811,Enjoy Yourself,Billy Currington,Country,Let Me Down Easy,2010,Bedroom speaker
812,Love Town,Kolohe Kai,Reggae,First True Love,2011,TV
813,Thank You,Meghan Trainor,Pop,Me Too,2016,TV
814,Witness,Katy Perry,Pop,Hey Hey Hey,2017,TV
815,Night Visions,Imagine Dragons,Rock,Radioactive,2012,Bedroom speaker
816,Outsider,Three Days Grace,Rock,The Mountain,2018,TV
817,Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,2019,TV
818,Born This Way,Lady Gaga,Pop,Bloody Mary,2011,Kitchen speaker
819,Blonde,Frank Ocean,Pop,Ivy,2016,TV
820,How Long,Charlie Puth,Pop,How Long,2017,Kitchen speaker
821,The Getaway,Red Hot Chili Peppers,Pop,Go Robot,2016,Kitchen speaker
822,The Last Stand,Sabaton,Metal,The Lost Battalion,2016,Kitchen speaker
823,Avril Lavigne,Avril Lavigne,Pop,Rock N Roll,2013,TV
824,The Night We Met,Lord Huron,Rock,The Night We Met,2015,TV
825,You Know I Know,Olly Murs,Pop,Moves,2018,TV
826,Anesthetic,Mark Morton,Metal,Cross Off,2019,Bedroom speaker
827,Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,Bedroom speaker
828,The Martin Garrix Experience,Martin Garrix,House,Latency,2018,TV
829,Pop Food,Jack Stauber,Pop,Buttercup,2017,TV
830,Built On Glass,Nick Murphy,Electronica,Gold,2014,Bedroom speaker
831,Chapters,Yuna,Pop,Crush,2016,Kitchen speaker
832,Fight Song,Rachel Platten,Pop,Fight Song,2015,Bedroom speaker
