,album,artist,genre,track,year,device
443,This Is Acting,Sia,Pop,Alive,2013,Kitchen
444,Globalization,Pitbull,Pop,Fireball,2014,
445,All The Little Lights,Passenger,Pop,Let Her Go,2012,Living room
446,Lover,Taylor Swift,Pop,You Need To Calm Down,2019,
447,Harry Styles,Harry Styles,Rock,Kiwi,2017,
448,Center Point Road,Thomas Rhett,Country,Look What God Gave Her,2019,
449,Bitter Love,Pia Mia,Pop,Bitter Love,2019,
450,Lover,Taylor Swift,Pop,You Need To Calm Down,2019,Kitchen
451,Chief,Eric Church,Country,Springsteen,2011,
452,Chief,Eric Church,Country,Springsteen,2011,Living room
453,Ecstacy,Insideeus,Reggae,Ecstasy,2018,Patio
454,All Out Life,Slipknot,Metal,All Out Life,2018,
455,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Always Remember Us This Way,2018,
456,Be Somebody,Phil Good,Pop,Be Somebody,2018,
457,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,Living room
458,Party Rock Mansion,Redfoo,Pop,New Thang,2014,
459,Party Rock Mansion,Redfoo,Pop,New Thang,2014,Living room
460,Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,
461,Dangerous Woman,Ariana Grande,Pop,Into You,2015,
462,Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,Living room
463,Little Bit More,Whitney Woerz,Pop,Little Bit More,2019,
464,What Makes You Country,Luke Bryan,Country,What Makes You Country,2017,
465,Prequelle,Ghost,Metal,Rats,2018,
466,Prequelle,Ghost,Metal,Dance Macabre,2018,Living room
467,Ancient Future,Protoje,Reggae,Who Knows,2014,
468,Blood,In This Moment,Metalcore,Whore,2012,
469,These Are The Times,Martin Garrix,House,These Are The Times,2019,
470,Fi Ha,Burak Balkan,Pop,Fi Ha,2017,
471,Safe Haven,Ruth B,Pop,Superficial Love,2015,
472,Black Widow,In This Moment,Metalcore,Sick Like Me,2014,Kitchen
473,Madame X,Madonna,Pop,God Control,2019,Kitchen
474,Journals,Justin Bieber,Pop,All That Matters,2013,Kitchen
475,Cloud Nine,Kygo,Downtempo,Carry Me,2016,
476,Rim Elghezlen,Cheb Bachir,Pop,Rim Elghezlen,2018,
477,Must Have Been The Wind,Alec Benjamin,Pop,Must Have Been The Wind,2019,
478,When Was The Last Time,Darius Rucker,Country,If I Told You,2017,
479,Peter Pan,Groove Delight,Brazil,Peter Pan,2019,
480,Cloud Nine,Kygo,Downtempo,Carry Me,2016,Kitchen
481,Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,2011,
482,Sexability,Vybz Kartel,Reggae,Fuckability,2019,
483,Victorious,Skillet,Rock,Legendary,2019,
484,Old Dominion,Old Dominion,Country,One Man Band,2019,
485,Pure Heroine,Lorde,Electropop,Tennis Court,2013,
486,The Awakening,Onlap,Rock,The Awakening,2011,
487,Meliora,Ghost,Metal,Cirice,2015,
488,Wintersaga,Wind Rose,Metal,Diggy Diggy Hole,2019,
489,Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,
490,Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,Patio
491,Strange Pleasures,Still Corners,Electropop,The Trip,2013,
492,Icona Pop,Icona Pop,Electropop,I Love It,2012,
493,Best Kind Of Mess,Get Scared,Rock,Sarcasm,2010,
494,Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,
495,Strange Pleasures,Still Corners,Electropop,The Trip,2013,Kitchen
496,Globalization,Pitbull,Pop,Celebrate,2014,Living room
497,Ores Aixmis,Malou Kyriakopoulou,Pop,Nixta Ginontai Ta Thavmata,2019,Patio
498,Rainbow,Kesha,Pop,Praying,2017,
499,Rainbow,Kesha,Pop,Praying,2017,Living room
500,Naked,James Arthur,Pop,Naked,2017,
501,California Sunrise,Jon Pardi,Country,Night Shift,2016,
502,Sunday,Dawin,Pop,Jumpshot,2016,
503,Yours Truly,Ariana Grande,Pop,Honeymoon Avenue,2013,Patio
504,Joanne,Lady Gaga,Pop,Million Reasons,2016,Kitchen
505,The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,Living room
506,Symbiotic,The Green Children,Pop,Symbiotic,2019,
507,Wilmer,Patoranking,Reggae,Wilmer,2019,
508,Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,
509,Speak Now,Taylor Swift,Country,Never Grow Up,2010,
510,Muse Box,Madilyn Bailey,Pop,Titanium,2012,
511,The Great War,Sabaton,Metal,A Ghost In The Trenches,2019,Living room
512,When Legends Rise,Godsmack,Rock,Under Your Scars,2018,
513,When Legends Rise,Godsmack,Rock,Under Your Scars,2018,Living room
514,Sexability,Vybz Kartel,Reggae,Fuckability,2019,Living room
515,King Of Everything,Jinjer,Metal,Pisces,2016,Patio
516,Halcyon,Ellie Goulding,Pop,Burn,2012,
517,Halcyon,Ellie Goulding,Pop,Burn,2012,Patio
518,Free Spirit,Khalid,Pop,Better,2018,
519,Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,2011,
520,Salam,Harris J,Pop,Salam Alaikum,2015,
521,Cloud Nine,Kygo,Downtempo,Carry Me,2016,Living room
522,Jim,Ziyoda Qobilova,Pop,Jim,2016,
523,Built On Glass,Nick Murphy,Electronica,Gold,2014,
524,Demi,Demi Lovato,Pop,Neon Lights,2013,Living room
525,Night Visions,Imagine Dragons,Rock,Radioactive,2012,Living room
526,The Getaway,Red Hot Chili Peppers,Rock,Sick Love,2016,
527,Instant Regrets,Instant Regrets,Rock,Instant Regret,2018,
528,Forbidden Voices,Martin Garrix,Pop,Forbidden Voices,2015,
529,Lindsey Stirling,Lindsey Stirling,Pop,Elements,2012,
530,The Getaway,Red Hot Chili Peppers,Rock,Sick Love,2016,Kitchen
531,Isolation,Kali Uchis,Funk,Tyrant,2016,
532,Stars Dance,Selena Gomez,Pop,Love Will Remember,2013,
533,My Type,Popcaan,Reggae,My Type,2018,
534,Isolation,Kali Uchis,Funk,Tyrant,2016,Living room
535,Cry Pretty,Carrie Underwood,Pop,The Champion,2018,
536,Cry Pretty,Carrie Underwood,Pop,Southbound,2018,Living room
537,Speak Now,Taylor Swift,Pop,Long Live,2010,
538,Speak Now,Taylor Swift,Pop,Long Live,2010,Living room
539,Fly,Eric Rylee,Pop,Fly,2019,
540,Crazy Glue Riddim,Shenseea,Reggae,Nothing Dem Kno Have Ova Me,2017,
541,Atonement,Killswitch Engage,Metal,I Am Broken Too,2019,
542,You Should Be Here,Cole Swindell,Country,You Should Be Here,2015,
543,Brave Enough,Lindsey Stirling,Pop,The Arena,2016,
544,Hey Matty,Matthew David Morris,Pop,Hey Matty,2017,
545,Salam,Harris J,Pop,Salam Alaikum,2015,Living room
546,Only Love,Jordan Smith,Pop,Only Love,2018,
547,Parts Of The Puzzle,Busy Signal,Reggae,Stay So,2017,
548,Hotel,Rasta,Pop,Hotel,2016,
549,Sabrina,Sabrina,Pop,My Chico,2011,
550,Victorious,Skillet,Rock,Legendary,2019,Kitchen
551,Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,Living room
552,Lover,Taylor Swift,Pop,The Archer,2019,
553,Lover,Taylor Swift,Pop,The Archer,2019,Kitchen
554,Whip My Hair,Willow Smith,Pop,Whip My Hair,2010,
555,Femme Fatale,Britney Spears,Pop,Criminal,2011,
556,We Are Not Your Kind,Slipknot,Rock,Birth Of The Cruel,2019,Kitchen
557,I Feel The Muzik,Luis Alvarado,House,The Muzik,2011,
558,Rockefeller Street,Getter Jaani,Pop,Rockefeller Street,2011,
559,Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,
560,No Roots,Alice Merton,Pop,No Roots,2016,
561,I Feel The Muzik,Luis Alvarado,House,The Muzik,2011,Kitchen
562,Happiness Begins,Jonas Brothers,Pop,Cool,2019,
563,Happiness Begins,Jonas Brothers,Pop,Only Human,2019,
564,Happiness Begins,Jonas Brothers,Pop,Sucker,2019,
565,Happiness Begins,Jonas Brothers,Pop,Cool,2019,Patio
566,Winter Collection,Sivik,Pop,High,2015,Living room
567,Late Night Feelings,Mark Ronson,Pop,Find U Again,2019,
568,Get Weird,Little Mix,Pop,Love Me Like You,2015,
569,Surfers Paradise,Cody Simpson,Pop,La Da Dee,2013,
570,Who You Are,Jessie J,Electropop,Price Tag,2011,
571,Crash My Party,Luke Bryan,Country,Crash My Party,2013,
572,Narrated For You,Alec Benjamin,Pop,Outrunning Karma,2018,
573,Late Night Feelings,Mark Ronson,Pop,Find U Again,2019,Kitchen
574,Different World,Alan Walker,Pop,Darkside,2018,
575,The Getaway,Red Hot Chili Peppers,Rock,Dark Necessities,2016,Living room
576,Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,
577,Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,Patio
578,Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,Patio
579,Presence,Petit Biscuit,Electronica,Sunset Lover,2015,
580,Presence,Petit Biscuit,Electronica,Sunset Lover,2015,Kitchen
581,Left Me Yet,Daya,Pop,Left Me Yet,2019,
582,Together Through Time,Tupper Ware Remix Party,Rock,Starlight Brigade,2018,Kitchen
583,Tradition,Runtown,Pop,Emotions,2019,
584,Times We Had,Taylor Ray Holbrook,Country,Times We Had,2017,
585,Avril Lavigne,Avril Lavigne,Pop,Let Me Go,2013,
586,Laps Around The Sun,Chris Lane,Country,Take Back Home Girl,2017,Living room
587,We Are Not Your Kind,Slipknot,Metal,Solway Firth,2019,
588,Without Me,Halsey,Pop,Without Me,2018,
589,We Are Not Your Kind,Slipknot,Metal,Solway Firth,2019,Kitchen
590,Teenage Dream,Katy Perry,Pop,Teenage Dream,2010,
591,Blonde,Frank Ocean,Pop,Nights,2016,
592,The Gereg,The Hu,Rock,Wolf Totem,2018,Living room
593,Freaking Me Out,Ava Max,Pop,Freaking Me Out,2019,
594,Loud,Rihanna,Pop,California King Bed,2011,
595,Happiness,Hurts,Electropop,Wonderful Life,2010,
596,Unapologetic,Rihanna,Pop,Pour It Up,2012,Living room
597,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,2011,
598,Chill Bill,Rob Stone,Pop,Chill Bill,2016,
599,Shallow,Pentatonix,Pop,Shallow,2019,
600,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,2011,Living room
601,Lush Life,Zara Larsson,Pop,Lush Life,2015,
602,Skin,Flume,Electronica,Never Be Like You,2016,
603,Summer House,Concorde,Pop,Just Kiss Her,2012,
604,Hold You,Basto,Pop,Hold You,2015,
605,Icarus Falls,Zayn Malik,Pop,Still Got Time,2017,Living room
606,Blonde,Frank Ocean,Pop,Ivy,2016,
607,Blonde,Frank Ocean,Pop,Ivy,2016,Living room
608,Spectrum,Westlife,Pop,Hello My Love,2019,
609,Family,Popcaan,Reggae,Family,2017,
610,I Hope,Gabby Barrett,Country,I Hope,2019,
611,Rainbow,Kesha,Pop,Praying,2017,Patio
612,Free Wired,Far East Movement,Electropop,Rocketeer,2010,
613,Free Wired,Far East Movement,Electropop,Rocketeer,2010,Living room
614,The Martin Garrix Experience,Martin Garrix,House,Ocean,2018,Kitchen
615,Your Name,Radwimps,Rock,Zenzenzense,2016,
616,Yours Truly,Ariana Grande,Pop,The Way,2013,Living room
617,Cry Pretty,Carrie Underwood,Pop,The Champion,2018,Living room
618,Run,Matthew Mole,Pop,Running After You,2016,
619,Singular Act I,Sabrina Carpenter,Pop,Sue Me,2018,
620,Gold Cobra,Limp Bizkit,Metal,Gold Cobra,2011,
621,Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,Kitchen
622,Sucker Punch,Sigrid,Pop,Strangers,2017,Kitchen
623,Captured,Spice,Reggae,Cool It,2018,Kitchen
624,Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,2011,Kitchen
625,It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,2016,Living room
626,Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,2016,
627,Victorious,Skillet,Rock,Save Me,2019,
628,Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,2016,Living room
629,Philosophical Sessions,Jacob Lee,Pop,Demons,2017,
630,Gotta Be Me,Cody Johnson,Country,With You I Am,2016,Patio
631,The Great War,Sabaton,Metal,A Ghost In The Trenches,2019,Kitchen
632,Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,2016,
633,Fitness,Lizzo,Pop,Fitness,2018,
634,Phobia,Savannah Sgro,Pop,Phobia,2018,
635,Everyday Is Christmas,Sia,Holiday,Snowman,2017,Living room
636,Borbena,Teodora,Folk,Tom Ford,2019,
637,Borbena,Teodora,Folk,Tom Ford,2019,Kitchen
638,Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,Living room
639,July,Noah Cyrus,Pop,July,2019,
640,Raise Vibration,Lenny Kravitz,Rock,Low,2018,
641,Blood,In This Moment,Metalcore,Adrenalize,2012,Living room
642,Speak Now,Taylor Swift,Pop,Long Live,2010,Kitchen
643,Born This Way,Lady Gaga,Pop,Born This Way,2011,
644,Ardhito Pramono,Ardhito Pramono,Jazz,The Bitterlove,2017,
645,The Older I Get,Alan Jackson,Country,The Older I Get,2017,
646,Phobia,Savannah Sgro,Pop,Happy Anymore,2019,
647,Isolation,Kali Uchis,Funk,After The Storm,2018,Patio
648,Best Kind Of Mess,Get Scared,Rock,Sarcasm,2010,Living room
649,Your Name,Radwimps,Rock,Nandemonaiya,2016,
650,Your Name,Radwimps,Rock,Sparkle,2016,
651,Your Name,Radwimps,Rock,Dream Lantern,2016,Living room
652,Confident,Demi Lovato,Pop,Confident,2015,
653,Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,2019,
654,Nine Track Mind,Charlie Puth,Pop,Dangerously,2015,Living room
655,Rearview Town,Jason Aldean,Country,Girl Like You,2018,
656,Rearview Town,Jason Aldean,Country,Rearview Town,2018,
657,Rearview Town,Jason Aldean,Country,You Make It Easy,2018,
658,Rearview Town,Jason Aldean,Country,Girl Like You,2018,Living room
659,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,
660,Pobrecita,Mo Temsamani,Pop,Mana Zina,2018,
661,Sucker Punch,Sigrid,Pop,Mine Right Now,2019,
662,Breadwinner,Prince Swanny,Reggae,Bread Winner,2019,Living room
663,Still Standing,Monica,Pop,Love All Over Me,2010,
664,Never Give Up,Harmonize,Pop,Never Give Up,2019,
665,Blood,In This Moment,Metalcore,Blood,2012,
666,All The Little Lights,Passenger,Pop,Let Her Go,2012,Kitchen
667,Soul Rasta,Fantan Mojah,Reggae,Rasta Got Soul,2011,
668,True Colors,Zedd,House,Beautiful Now,2015,Kitchen
669,Reincarnation,Tommy Lee Sparta,Reggae,Top Shotta,2019,Living room
670,Dream Girl,Ir Sais,Latin Pop,Dream Girl,2019,
671,Jara Sa Muskura Dena,Rakesh Sutradhar,Folk,Jara Sa Muskura Dena,2018,
672,Happiness Begins,Jonas Brothers,Pop,Sucker,2019,Kitchen
673,Built On Glass,Nick Murphy,Electronica,Gold,2014,Kitchen
674,Run,Matthew Mole,Pop,Running After You,2016,Living room
675,Hozier,Hozier,Blues,Work Song,2014,
676,Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,Kitchen
677,Outsider,Three Days Grace,Rock,The Mountain,2018,
678,You Get What You Give,Zac Brown Band,Country,Knee Deep,2010,
679,Outsider,Three Days Grace,Rock,The Mountain,2018,Living room
680,Speak Now,Taylor Swift,Pop,Mine,2010,Patio
681,Narrated For You,Alec Benjamin,Pop,Let Me Down Slowly,2018,
682,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,Patio
683,Stronger,Sara Evans,Country,A Little Bit Stronger,2010,Living room
684,Victorious,Skillet,Rock,Victorious,2019,
685,The Unforgiving,Within Temptation,Metal,Faster,2010,Patio
686,Where We Come From,Popcaan,Reggae,Everything Nice,2013,Living room
687,So Mi Like It,Spice,Reggae,So Mi Like It,2014,
688,Unapologetically,Kelsea Ballerini,Country,Miss Me More,2017,
689,Yours,Russell Dickerson,Country,Yours,2015,
690,Camila,Camila Cabello,Pop,Consequences,2018,
691,Last Daze Of Summer,Maleek Berry,Africa,Kontrol,2016,
692,Camila,Camila Cabello,Pop,Consequences,2018,Living room
693,Sinner,Aaron Lewis,Country,Lost And Lonely,2016,Living room
694,Loud,Rihanna,Reggae,Man Down,2010,
695,Unapologetic,Rihanna,Pop,Stay,2012,
696,Loud,Rihanna,Reggae,Man Down,2010,Living room
697,Strange Pleasures,Still Corners,Electropop,The Trip,2013,Living room
698,Intuition,Tyler Shaw,Pop,With You,2018,
699,Home State,Jordan Davis,Country,Singles You Up,2017,
700,Intuition,Tyler Shaw,Pop,With You,2018,Living room
701,Lover,Taylor Swift,Pop,You Need To Calm Down,2019,Living room
702,Crust Fm,Engelwood,Future Funk,Crystal Dolphin,2017,Living room
703,Amos,Michael Ray,Country,Her World Or Mine,2018,Living room
704,My World Untouched,Emma Bale,Pop,All I Want,2014,Kitchen
705,Gone,Matthew David Morris,Pop,Gone,2017,
706,Sanam,Janob Rasul,Pop,Sanam,2018,
707,Run,Matthew Mole,Pop,Running After You,2016,Kitchen
708,True Believers,Darius Rucker,Country,Wagon Wheel,2013,
709,True Believers,Darius Rucker,Country,Wagon Wheel,2013,Kitchen
710,The Unforgiving,Within Temptation,Metal,Faster,2010,Living room
711,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,
712,Middle Finger,Bohnes,Pop,Middle Finger,2015,
713,Heartache Medication,Jon Pardi,Country,Heartache Medication,2019,
714,Goddess,Cepheid,Metal,Goddess,2018,
715,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,Patio
716,New Light,John Mayer,Pop,New Light,2018,
717,Anthropology,Baby Genius,Pop,Arty Hearty,2014,Living room
718,The Mountain,Dierks Bentley,Country,Burning Man,2018,Living room
719,Loud,Rihanna,Pop,California King Bed,2011,Living room
720,The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,Kitchen
721,Golden Hour,Kacey Musgraves,Country,Rainbow,2018,
722,Borbena,Teodora,Folk,Tom Ford,2019,Living room
723,Lifelines,I Prevail,Metalcore,Scars,2016,
724,The Colossus,Cairo Knife Fight,Rock,Rezlord,2014,Kitchen
725,Ancient Future,Protoje,Reggae,Who Knows,2014,Kitchen
726,True Colors,Zedd,House,Beautiful Now,2015,Patio
727,Wicked Game,Frederick Lloyd,Classical,Wicked Game,2016,
728,The Purple Heart Riddim,Nadia Batson,Reggae,So Long,2018,Living room
729,Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,Living room
730,Creeker,Upchurch,Rock,Pond Creek Road,2018,
731,Money Fever,Squash,Reggae,Money Fever,2018,
732,Creeker,Upchurch,Rock,Pond Creek Road,2018,Living room
733,Ancient Future,Protoje,Reggae,Who Knows,2014,Living room
734,Love Town,Kolohe Kai,Reggae,First True Love,2011,Patio
735,Lifelines,I Prevail,Metalcore,Scars,2016,Living room
736,Speak Now,Taylor Swift,Pop,Mine,2010,Kitchen
737,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,Living room
738,Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,2014,Living room
739,New Eyes,Clean Bandit,Electropop,Rather Be,2014,
740,California Sunrise,Jon Pardi,Country,Head Over Boots,2015,Kitchen
741,Beautiful Life,Seantonio,Downtempo,Beautiful Life,2018,
742,Cold Water,Major Lazer,Electropop,Cold Water,2016,
743,Who You Are,Jessie J,Electropop,Domino,2011,
744,One More Light,Linkin Park,Electropop,Battle Symphony,2017,Living room
745,Chronologic,Caravan Palace,Pop,Plume,2019,Living room
746,Madame X,Madonna,Pop,God Control,2019,Living room
747,Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,Living room
748,Holo,Limbo,Pop,Airplane Mode,2017,Kitchen
749,Love Always,Shane Filan,Pop,Beautiful In White,2017,Patio
750,Boo Thang,Verse Simmonds,Pop,Boo Thang,2011,
751,Surfers Paradise,Cody Simpson,Pop,La Da Dee,2013,Living room
752,Current Mood,Dustin Lynch,Country,Small Town Boy,2017,
753,Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,Living room
754,Bangarang,Skrillex,Soundtracks,Bangarang,2011,
755,Title,Meghan Trainor,Pop,All About That Bass,2014,Kitchen
756,G I R L,Pharrell Williams,Pop,Come Get It Bae,2014,
757,Royalty,Chris Brown,Funk,Liquor,2015,
758,G I R L,Pharrell Williams,Pop,Come Get It Bae,2014,Living room
759,Moon Landing,James Blunt,Pop,Always Hate Me,2013,Living room
760,Unorthodox Jukebox,Bruno Mars,Disco,Treasure,2012,
761,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Express,2010,
762,Believe,Justin Bieber,Pop,Boyfriend,2012,Living room
763,Shub Out,Tee Jay,Reggae,Shub Out,2019,
764,If I Know Me,Morgan Wallen,Country,Whiskey Glasses,2018,
765,Yomonsan,Janob Rasul,Pop,Yomonsan,2017,
766,My Everything,Ariana Grande,Pop,One Last Time,2014,Living room
767,The New Classic,Iggy Azalea,Pop,Black Widow,2014,Kitchen
768,Your Name,Radwimps,Rock,Dream Lantern,2016,Kitchen
769,Old Dominion,Old Dominion,Country,Some People Do,2019,
770,El Anillo,Jennifer Lopez,Pop,El Anillo,2018,
771,Lahure,Chhewang Lama,Folk,Lahure,2019,
772,Melodrama,Lorde,Electropop,Supercut,2017,
773,Assume Form,James Blake,Pop,Barefoot In The Park,2019,Living room
774,A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,2012,Patio
775,Nick Jonas,Nick Jonas,Pop,Jealous,2014,
776,Originals,Prince,Pop,Holly Rock,2019,
777,Your Name,Radwimps,Rock,Nandemonaiya,2016,Living room
778,Expectations,Hayley Kiyoko,Pop,Curious,2018,Living room
779,Mantra,Rasta,Pop,Mantra,2019,
780,Lee Brice,Lee Brice,Country,Rumor,2017,
781,Good Company,The Dead South,Folk,Banjo Odyssey,2013,Living room
782,Loser,Sasha Sloan,Pop,Older,2018,
783,Joanne,Lady Gaga,Pop,Perfect Illusion,2016,Patio
784,Who You Are,Jessie J,Electropop,Mamma Knows Best,2011,Living room
785,Glory Days,Little Mix,Pop,No More Sad Songs,2016,
786,More Than That,Lauren Jauregui,Pop,More Than That,2019,
787,Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,Living room
788,Yours,Russell Dickerson,Country,Blue Tacoma,2016,Living room
789,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,Kitchen
790,One More Light,Linkin Park,Electropop,Battle Symphony,2017,Patio
791,My Darkest Days,My Darkest Days,Rock,Porn Star Dancing,2010,
792,Rage Valley,Knife Party,Dubstep,Centipede,2012,Living room
793,Starboy,The Weeknd,Disco,I Feel It Coming,2016,
794,Victorious,Skillet,Rock,Legendary,2019,Patio
795,Honey,Johnny Balik,Pop,Honey,2018,
796,Undefined,Simply Three,Rock,Rain,2017,Living room
797,The Great War,Sabaton,Metal,The Red Baron,2019,Living room
798,Hate How Much I Love You,Conor Maynard,Pop,Hate How Much I Love You,2019,
799,Cry Pretty,Carrie Underwood,Pop,The Champion,2018,Kitchen
800,Illinois,Brett Eldredge,Country,Lose My Mind,2015,
801,Illinois,Brett Eldredge,Country,Lose My Mind,2015,Kitchen
802,Camila,Camila Cabello,Pop,She Loves Control,2018,
803,Camila,Camila Cabello,Pop,Real Friends,2017,
804,The New Classic,Iggy Azalea,Pop,Bounce,2013,Living room
805,Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,
806,Summer House,Concorde,Pop,Just Kiss Her,2012,Living room
807,Euphoria,Enrique Iglesias,Pop,I Like It,2010,Kitchen
808,The First Time,Kelsea Ballerini,Country,Peter Pan,2015,
809,The First Time,Kelsea Ballerini,Country,Peter Pan,2015,Living room
810,Welcome To The Fishbowl,Kenny Chesney,Country,Come Over,2012,Living room
811,Madame X,Madonna,Pop,Batuka,2019,Patio
812,My Dream,Karolina Protsenko,Pop,Despacito,2018,
813,Kill The Lights,Luke Bryan,Country,Strip It Down,2015,
814,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,2018,
815,Climate Change,Pitbull,Pop,Options,2017,Living room
816,Halcyon,Ellie Goulding,Pop,Burn,2012,Living room
817,Gotta Be Me,Cody Johnson,Country,With You I Am,2016,Kitchen
818,The Nothing,Korn,Metal,Cold,2019,Living room
819,The Getaway,Red Hot Chili Peppers,Rock,Dark Necessities,2016,Kitchen
820,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,2010,Kitchen
821,Slow Air,Still Corners,Pop,Black Lagoon,2018,Patio
822,Believe,Justin Bieber,Pop,Boyfriend,2012,Kitchen
823,When Was The Last Time,Darius Rucker,Country,If I Told You,2017,Patio
824,Pain Killer,Little Big Town,Country,Girl Crush,2014,Living room
825,My Everything,Ariana Grande,Pop,Best Mistake,2014,Living room
826,Outsider,Three Days Grace,Rock,The Mountain,2018,Patio
827,Single,Maggie Lindemann,Pop,Pretty Girl,2016,
828,Do It Again,Pia Mia,Pop,Do It Again,2015,
829,Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,Living room
830,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,Living room
831,Hold On,Chord Overstreet,Pop,Hold On,2017,
832,I Have Questions,Camila Cabello,Pop,I Have Questions,2017,
833,California Sunrise,Jon Pardi,Country,Night Shift,2016,Living room
834,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,Living room
835,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,Kitchen
836,Black Widow,In This Moment,Metalcore,Sick Like Me,2014,Patio
837,Never Know,Discrete,Pop,Never Know,2018,
838,Witness,Katy Perry,Pop,Hey Hey Hey,2017,Living room
839,Get Weird,Little Mix,Pop,Love Me Like You,2015,Living room
840,Camila,Camila Cabello,Pop,Real Friends,2017,Living room
841,Get Weird,Little Mix,Pop,Love Me Like You,2015,Patio
842,The Story,Fivefold,Rock,Lost Within,2012,
843,The Black,Asking Alexandria,Metalcore,The Black,2016,
844,Wintersaga,Wind Rose,Metal,Diggy Diggy Hole,2019,Patio
845,Brett Young,Brett Young,Country,Mercy,2017,
846,The Story,Fivefold,Rock,Lost Within,2012,Living room
847,Charice,Jake Zyrus,Pop,Pyramid,2010,Patio
848,Money,Michael Kiwanuka,Disco,Money,2019,
849,Starting Over,Niykee Heaton,Pop,Mascara,2018,Patio
850,Intuition,Tyler Shaw,Pop,With You,2018,Kitchen
851,Starboy,The Weeknd,Disco,I Feel It Coming,2016,Patio
852,Current Mood,Dustin Lynch,Country,Small Town Boy,2017,Patio
853,Lady Wood,Tove Lo,Electropop,Cool Girl,2016,Kitchen
854,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Patio
855,Me Kemaste,El Taiger,Latin,Me Kemaste,2018,
856,The New Classic,Iggy Azalea,Pop,Work,2013,Living room
857,Love I Got For U,Shenseea,Reggae,Love I Got For U,2018,
858,Unapologetic,Rihanna,Pop,Stay,2012,Living room
859,Always In Between,Jess Glynne,Pop,Thursday,2018,Living room
860,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Kitchen
861,Raees,Pavni Pandey,South Asia,Laila Main Laila,2017,Kitchen
