,address,area,has_garage,in_unit_laundry,intent,number_of_baths,number_of_beds,phone_number,price,property_name,visit_date
266,99 Professional Center Parkway,San Rafael,True,True,buy,2,3,415-472-6644,3100000,Deer Park Apartments,
267,124 Merrydale Road,San Rafael,True,True,buy,2,3,415-492-2180,3650000,Marin Garden Apartments,
268,2500 Deer Valley Road,San Rafael,False,False,buy,2,3,415-419-5105,3650000,Worldwide Oakwood,
269,400 Canal Street # 131,,True,False,,2,3,415-454-6223,3100000,400 Canal Street Apartments,2019-03-08
270,3500 Pennsylvania Avenue # 101,Fremont,False,True,buy,1,2,510-943-8264,2300000,Birchwood Apartments,
271,4200 Bay Street,Fremont,False,True,buy,1,2,510-455-8813,2750000,Briarwood At Central Park,
272,36163 Fremont Boulevard,Fremont,True,True,buy,1,2,510-793-1621,2650000,Brookvale Chateau,
273,4101 Eggers Drive # 16,Fremont,False,True,buy,1,2,510-796-4064,2650000,Case Verde Apartment,
274,41299 Paseo Padre Parkway,Fremont,False,False,buy,1,2,510-651-1040,2500000,Century Village Apartments,
275,46703 Crawford Street # 2,Fremont,False,False,buy,1,2,510-651-5292,2700000,Crawford Apartments,
276,4261 Stevenson Boulevard,Fremont,True,True,buy,1,2,510-656-8201,2550000,Fremont Manor,
277,4444 Central Avenue,Fremont,True,True,buy,1,2,510-792-1161,2200000,Glenmills Apartments,
278,36000 Fremont Boulevard,Fremont,False,False,buy,1,2,510-793-4070,2750000,Hacienda Gardens,
279,3355 Pennsylvania Avenue #13,Fremont,False,True,buy,1,2,510-792-4983,2250000,Hastings East Apartments,
280,3500 Pennsylvania Avenue # 101,,False,True,,1,2,510-943-8264,2800,Birchwood Apartments,2019-03-13
281,2355 Fairfield Avenue,Fairfield,False,True,rent,1,2,707-429-1271,2400,Aspen Village Apartments,
282,2780 North Texas Street,Fairfield,True,True,rent,1,2,707-896-4168,2400,Bennington Apartments,
283,2751 Peppertree Drive,Fairfield,True,True,rent,1,2,707-366-0839,2300,Berkshire Laurel Creek,
284,1890 Dover Avenue,Fairfield,False,True,rent,1,2,707-422-9630,2850,Birchwood Apartments,
285,1917 Grande Circle,Fairfield,True,False,rent,1,2,707-434-8983,2800,Fairfield Heights,
286,201 East Alaska Avenue,Fairfield,False,False,rent,1,2,707-425-7037,2750,Laurel Gardens Apartments,
287,651 East Travis Boulevard,Fairfield,False,True,rent,1,2,707-429-1778,2400,Orchard Crossing Apartments,
288,2800 Dover Avenue,Fairfield,False,False,rent,1,2,707-426-0265,2450,Paradise Valley Apartments,
289,2215 Peach Tree Drive,Fairfield,True,True,rent,1,2,707-427-3396,2300,Peachwood Apartments,
290,2376 Fairfield Avenue,Fairfield,True,False,rent,1,2,707-425-1199,2500,Willow Brook Apartments,
291,2355 Fairfield Avenue,,False,True,,1,2,707-429-1271,2400,Aspen Village Apartments,2019-03-09
292,1100 Market Street,Oakland,False,False,buy,1,1,510-832-2249,2000000,Beth Eden Apartments,
293,520 Van Buren Avenue,Oakland,True,False,buy,1,1,510-763-2338,1700000,Grand Lake Terrace Apartments,
294,5321 Telegraph Avenue,Oakland,True,True,buy,1,1,510-652-4043,1650000,Keller Plaza Apartments,
295,1100 Market Street,,False,False,,1,1,510-832-2249,2000000,Beth Eden Apartments,2019-03-06
296,4445 Stevenson Boulevard,Fremont,True,True,rent,3,4,510-657-1133,4750,Americana Apartments,
297,4401 Central Avenue,Fremont,False,True,rent,3,4,510-792-5182,4800,Ladera Woods Apartments,
298,3330 Country Drive,Fremont,False,True,rent,3,4,510-792-7817,4950,Parkview Apartments,
299,37767 Fremont Boulevard,Fremont,True,True,rent,3,4,510-797-5099,5200,Pepper Tree Apartments,
300,3750 Tamayo Street,Fremont,False,True,rent,3,4,510-793-1322,4950,Suburbian Emerald Property,
301,39150 Sundale Drive,Fremont,True,True,rent,3,4,510-651-0722,4950,Sundale Arms,
302,39600 Fremont Boulevard,Fremont,True,True,rent,3,4,510-342-3360,4800,Waterstone Fremont,
303,4445 Stevenson Boulevard,,True,True,,3,4,510-657-1133,4100000,Americana Apartments,2019-03-14
304,3883 Vista Oaks Drive,Martinez,False,True,rent,1,2,833-755-3332,2300,Vista Oaks Apartments,
305,3883 Vista Oaks Drive,,False,True,,1,2,833-755-3332,2600000,Vista Oaks Apartments,2019-03-13
306,4200 Bay Street,,False,True,,2,2,510-455-8813,2750000,Briarwood At Central Park,2019-03-14
307,1546 Maurice Lane,San Jose,False,False,buy,2,3,408-818-0710,3400000,888 Golden Saratoga-Cupertino Apartment Homes,
308,947 Branham Lane # C,San Jose,True,False,buy,2,3,408-265-4808,3200000,Almaden Garden Apartments,
309,1543 Ambergrove Drive,San Jose,True,False,buy,2,3,408-453-8011,3650000,Amberwood Apartments,
310,1582 Kooser Road,San Jose,False,False,buy,2,3,408-448-1288,3550000,Arbor Apartments,
311,899 North King Road,San Jose,True,False,buy,2,3,408-272-1588,3350000,Arbor Park,
312,2760 McKee Road,San Jose,True,False,buy,2,3,408-251-7570,3250000,Arbor Terraces,
313,5480 Lean Avenue,San Jose,True,False,buy,2,3,408-840-2195,3600000,Blossom Hill Apartments,
314,416 Boynton Avenue,San Jose,False,True,buy,2,3,408-246-5509,3100000,Boynton Brooks Apartments,
315,2580 Fontaine Road,San Jose,False,True,buy,2,3,408-238-0841,3350000,Casa Real Apartments,
316,2036 Evans Lane,San Jose,False,True,buy,2,3,408-264-0784,3650000,Catalonia Apartments,
317,1546 Maurice Lane,San Jose,False,False,rent,2,3,408-818-0710,3950,888 Golden Saratoga-Cupertino Apartment Homes,
318,947 Branham Lane # C,San Jose,True,False,rent,2,3,408-265-4808,3550,Almaden Garden Apartments,
319,1543 Ambergrove Drive,San Jose,True,False,rent,2,3,408-453-8011,3750,Amberwood Apartments,
320,1582 Kooser Road,San Jose,False,False,rent,2,3,408-448-1288,3700,Arbor Apartments,
321,899 North King Road,San Jose,True,False,rent,2,3,408-272-1588,3950,Arbor Park,
322,2760 McKee Road,San Jose,True,False,rent,2,3,408-251-7570,3500,Arbor Terraces,
323,5480 Lean Avenue,San Jose,True,False,rent,2,3,408-840-2195,3850,Blossom Hill Apartments,
324,416 Boynton Avenue,San Jose,False,True,rent,2,3,408-246-5509,3800,Boynton Brooks Apartments,
325,2580 Fontaine Road,San Jose,False,True,rent,2,3,408-238-0841,3950,Casa Real Apartments,
326,2036 Evans Lane,San Jose,False,True,rent,2,3,408-264-0784,3700,Catalonia Apartments,
327,1290 San Tomas Aquino Road,,False,True,,3,3,408-984-8888,3450000,Aegena,2019-03-07
328,978 Almaden Lake Drive,San Jose,False,False,rent,1,2,408-323-8020,2750,Almaden Lake Apartments,
329,5822 Charlotte Drive,San Jose,True,True,rent,1,2,408-226-5822,2600,Anton La Moraga Apartments,
330,3801 Blackford Avenue #16,San Jose,True,False,rent,1,2,408-876-3565,2500,Blackford Apartments,
331,416 Boynton Avenue,San Jose,False,True,rent,1,2,408-246-5509,2650,Boynton Brooks Apartments,
332,1405 Phelps Avenue,San Jose,True,True,rent,1,2,408-866-6111,2400,Campbell House Apartments,
333,2020 Southwest Expressway,San Jose,False,False,rent,1,2,408-287-6274,2800,Cherry Creek Apartments,
334,2600 Corde Terra Circle,San Jose,False,False,rent,1,2,408-298-9988,2350,Corde Terra Apartments,
335,320 Crescent Village Circle,San Jose,True,True,rent,1,2,866-794-5531,2500,Crescent Village Apartment Homes,
336,5255 Camden Avenue,San Jose,True,False,rent,1,2,408-265-5605,2550,Del Coronado Apartments,
337,1 Vista Montana,San Jose,False,True,rent,1,2,844-244-9251,2850,Domain Apartments,
338,978 Almaden Lake Drive,,False,False,,1,2,408-323-8020,2350000,Almaden Lake Apartments,2019-03-10
339,3718 Willow Pass Rd,,False,False,,3,3,925-686-2244,4450,Whispering Oaks,2019-03-02
340,185 Estancia Drive,,True,True,,3,3,408-570-5020,3400000,The Laurels,2019-03-04
341,40001 Fremont Boulevard,,True,False,,3,3,510-455-8815,3500000,Boulevard,2019-03-11
342,2807 Yulupa Avenue,,False,True,,2,3,707-527-0128,3900,Country Club Apartments,2019-03-05
343,1495 Don Avenue,,True,True,,2,3,408-713-6428,4000,Civic Plaza Apartments,2019-03-08
344,1359 Worley Road,,False,True,,1,2,707-399-0529,2550000,Breezewood Village,2019-03-09
345,2376 Fairfield Avenue,,True,False,,1,2,707-425-1199,2500,Willow Brook Apartments,2019-03-08
346,355 North Wolfe Road,,False,False,,1,1,408-736-4963,1800,Parkside Apartments,2019-03-06
347,2898 Villa Monterey,,False,False,,1,1,408-365-9200,2050,Villa Monterey,2019-03-01
348,1919 Fruitdale Avenue,,True,False,,3,3,408-295-1155,4050,The Grove Apartments,2019-03-03
349,1300 Rumrill Boulevard,,True,False,,2,2,510-232-6651,3050,Rumrill Garden Apartments,2019-03-12
350,1651 Belleville Way,,True,True,,3,3,669-257-9990,4450,Brookside Oaks,2019-03-02
351,235 Camelback Road,,True,True,,1,2,925-671-2460,2850,Northridge Apartments,2019-03-14
352,1101 Burton Drive,,False,True,,1,1,707-451-7400,1600,Saratoga Senior Apartments,2019-03-11
353,"6 Lyford Drive, Belvedere",,False,False,,1,1,855-553-0652,1750,"Tiburon 6 Lyford, Llc",2019-03-03
354,1227 Hampshire Street,,True,False,,3,4,415-285-5966,4800,Betel Apartments,2019-03-04
355,7015 Fellers Lane,,False,True,,1,1,707-823-0730,1950,Redwood Grove Apartments,2019-03-12
356,4141 Stevenson Boulevard,,True,False,,2,2,510-455-8844,2950000,Stevenson Place Apartments,2019-03-09
357,1999 Beach Park Boulevard,,False,False,,2,2,844-899-9230,3000,Beach Park Apartments,2019-03-12
358,235 South Bernardo Avenue,,True,False,,2,2,866-684-3427,2550000,Shadowbrook Apartments,2019-03-05
359,457 Sierra Vista Avenue,,True,False,,3,3,650-968-2310,3900,Sierra Vista,2019-03-01
360,1160 Portola Meadows Road,,True,True,,3,4,925-449-6167,4550000,Portola Meadows Apartments,2019-03-13
361,330 Canal Street,,False,False,,3,3,415-456-6619,4000,Canal Apartments,2019-03-05
362,575 East Remington Drive # 1G,,True,True,,1,2,408-738-1553,2600,Stephen J Pavlina Investments,2019-03-01
363,455 Brahms Way,,False,True,,1,2,408-732-1200,2600000,Cezanne Apartments,2019-03-11
364,825 East Evelyn Avenue,,True,True,,3,4,408-680-5105,4900,Windsor Ridge,2019-03-14
365,7015 Fellers Lane,,False,True,,1,1,707-823-0730,1950,Redwood Grove Apartments,2019-03-06
366,35750 Bettencourt Street # 86,,False,True,,2,3,510-791-1266,3700,Meadow Apartments,2019-03-10
367,1459 Creekside Drive,,False,True,,1,2,855-250-5961,2850,The Retreat,2019-03-04
368,1275 Central Boulevard,,False,True,,2,3,925-513-1110,3550000,Avery At Towncentre,2019-03-08
369,2777 Marina Boulevard,,False,True,,3,4,510-352-4659,4450000,Marina Plaza Apartments,2019-03-13
370,13949 Doolittle Drive,,False,True,,2,3,510-352-8728,3750,Bermuda-Trinidad Apartments,2019-03-01
371,16201 Hesperian Boulevard,,False,True,,1,1,510-344-6316,1500,Lorenzo Commons Apartments,2019-03-03
372,2811 McKee Road,,True,False,,1,1,408-272-5205,2100000,Peppertree Apartments,2019-03-09
373,1375 Lick Avenue,,False,True,,2,3,408-564-7347,3350000,Skyline At Tamien Station,2019-03-03
374,801 Marine Parkway,,False,True,,2,3,650-593-4300,3500000,Indian Creek,2019-03-02
375,1713 164th Avenue #1,,False,False,,1,1,510-481-7575,1800,Hilltop Trio Apartments,2019-03-12
376,1229 Vicente Drive,,True,True,,1,2,650-961-0141,2350000,Olive West Apartments,2019-03-13
377,2999 North Texas Street #22,,True,True,,2,3,707-426-3135,3450000,Woodsong Village Apartments,2019-03-13
378,660 Gail Avenue,,True,False,,1,1,888-854-9884,1750,Bonnie Terrace Apartments,2019-03-14
379,50 Reardon Road # 111,,False,True,,3,3,415-648-1910,4350,Reardon Heights,2019-03-07
380,1221 Blossom Hill Road,,False,True,,1,1,408-978-9618,1900,Driftwood Arms Apartments,2019-03-07
381,1900 Sestri Lane,,True,True,,1,2,707-317-1020,2600,Capri Creek Apartments,2019-03-02
382,2000 Clay Bank Road,,True,True,,2,2,707-881-7063,2500000,Avery Park Apartments,2019-03-01
383,1546 Maurice Lane,San Jose,False,False,buy,2,2,408-818-0710,2600000,888 Golden Saratoga-Cupertino Apartment Homes,
384,73 North Keeble Avenue,San Jose,True,True,buy,2,2,408-998-7266,2650000,Alameda Gardens Apartments,
385,2415 Rinconada Drive,San Jose,True,True,buy,2,2,408-516-4212,2700000,Almaden House,
386,1585 Marburg Way # 4,San Jose,True,True,buy,2,2,408-926-3999,2500000,Ann Darling Apartments,
387,5822 Charlotte Drive,San Jose,True,True,buy,2,2,408-226-5822,3000000,Anton La Moraga Apartments,
388,44 North Jackson Avenue # A5,San Jose,True,False,buy,2,2,408-251-4540,2650000,Boxer'S Mayfair Village Senior Apartments,
389,260 North Capitol Avenue # 109,San Jose,False,False,buy,2,2,408-259-1662,3050000,Capitol Avenue Apartments,
390,1200 Ranchero Way,San Jose,False,True,buy,2,2,408-241-1146,2800000,Charter Court Apartments,
391,3051 Colonial Way,San Jose,True,False,buy,2,2,408-866-8444,2500000,Colonial Way Apartments,
392,3555 Judro Way,San Jose,False,False,buy,2,2,408-248-1442,2900000,Cypress Gardens,
393,1546 Maurice Lane,,False,False,,2,2,408-818-0710,2600000,888 Golden Saratoga-Cupertino Apartment Homes,2019-03-01
394,2500 Deer Valley Road,San Rafael,False,True,buy,1,1,415-479-4500,1700000,Deer Valley,
395,201 D Street,San Rafael,True,True,buy,1,1,415-720-6977,1850000,Franciscan Manor,
396,124 Merrydale Road,San Rafael,True,True,buy,1,1,415-492-2180,1900000,Marin Garden Apartments,
397,10-90 North Avenue,San Rafael,True,True,buy,1,1,415-491-1125,1700000,Mcinnis Park,
398,201 D Street,,True,True,,1,1,415-720-6977,1850,Franciscan Manor,2019-03-07
399,1288 East Hillsdale Boulevard,Foster City,False,False,rent,1,1,844-334-0618,2000,Miramar Apartments,
400,300 Timberhead Lane,Foster City,False,False,rent,1,1,650-572-0540,2050,Schooner Bay Apartment Homes,
401,1288 East Hillsdale Boulevard,,False,False,,1,1,844-334-0618,2000,Miramar Apartments,2019-03-13
402,1200 Ranchero Way,San Jose,False,True,buy,2,3,408-241-1146,3200000,Charter Court Apartments,
403,632 North Jackson Avenue # 4,San Jose,True,True,buy,2,3,408-251-6850,3650000,Las Casitas Associates,
404,3200 Zanker Road,San Jose,False,True,buy,2,3,408-953-7440,3550000,Mirada,
405,458 Boynton Avenue Apt A4,San Jose,True,True,buy,2,3,844-578-7568,3100000,Pacific Terrace West,
406,810 Hillsdale Avenue,San Jose,True,True,buy,2,3,408-264-8291,3200000,Parkside Glen Apartment Homes,
407,463 Wooster Avenue # K1,San Jose,True,True,buy,2,3,408-998-0500,3450000,Parkside Terrace,
408,760 North 7th Street,San Jose,False,True,buy,2,3,844-343-9547,3400000,Pavona Apartments,
409,416 Boynton Avenue,,False,True,,2,3,408-246-5509,3100000,Boynton Brooks Apartments,2019-03-06
410,2000 Shoreline Loop,San Ramon,True,True,buy,3,3,925-307-7099,3600000,Bel Air,
411,1 Amberstone Lane,San Ramon,True,False,buy,3,3,925-307-7151,3550000,Canyon Oaks,
412,9200 Alcosta Boulevard,San Ramon,True,False,buy,3,3,925-828-3060,3800000,Fairway Village Apartments,
413,1110 Harness Drive,San Ramon,True,False,buy,3,3,925-307-7105,3700000,Foothill - Twin Creeks,
414,125 Cedar Pointe Loop,San Ramon,False,False,buy,3,3,925-833-1813,3400000,The Seasons,
415,1 Amberstone Lane,,True,False,,3,3,925-307-7151,4100,Canyon Oaks,2019-03-05
416,8670 Camino Colegio,Rohnert Park,True,True,buy,2,3,707-795-9200,3250000,Emerald Pointe Apartments,
417,5121 Dowdell Avenue,Rohnert Park,True,False,buy,2,3,707-820-2962,3350000,The Reserve At Rohnert Park,
418,8670 Camino Colegio,,True,True,,2,3,707-795-9200,3500,Emerald Pointe Apartments,2019-03-14
419,1001 Beethoven Common,Fremont,False,True,buy,3,3,510-797-1800,3850000,Alborada Apartments,
420,34050 Westchester Terrace,Fremont,False,True,buy,3,3,510-794-9981,3550000,Amber Court,
421,40001 Fremont Boulevard,Fremont,True,False,buy,3,3,510-455-8815,3500000,Boulevard,
422,46703 Crawford Street # 2,Fremont,False,False,buy,3,3,510-651-5292,3900000,Crawford Apartments,
423,41277 Roberts Ave # 32,Fremont,False,False,buy,3,3,510-656-2303,3500000,Felson Management Corporation,
424,37811 Fremont Boulevard,Fremont,False,False,buy,3,3,510-797-4520,3800000,Fremont Arms,
425,4261 Stevenson Boulevard,Fremont,True,True,buy,3,3,510-656-8201,3800000,Fremont Manor,
426,42010 Blacow Road,Fremont,False,False,buy,3,3,510-657-2020,3700000,Minutetogo,
427,1301 Stevenson Boulevard,Fremont,True,False,buy,3,3,510-794-7718,3550000,Mission Wells Apartments,
428,39548 Fremont Boulevard,Fremont,True,True,buy,3,3,510-657-4244,3750000,Pasatiempo Apartments,
429,1001 Beethoven Common,,False,True,,3,3,510-797-1800,4100,Alborada Apartments,2019-03-09
430,1445 Treat Boulevard,Walnut Creek,False,True,rent,2,2,925-943-7977,2700,Archstone Walnut Creek,
431,2971 North Main Street,Walnut Creek,False,False,rent,2,2,925-939-6667,2950,North Main Apartments,
432,260 Park Lake Circle B,Walnut Creek,True,False,rent,2,2,925-930-0559,2800,Park Lake At Walnut Creek,
433,1459 Creekside Drive,Walnut Creek,False,True,rent,2,2,855-250-5961,3150,The Retreat,
434,1851 Trinity Avenue,Walnut Creek,False,True,rent,2,2,925-256-4086,2800,Trinity Terrace Apartments,
435,1445 Treat Boulevard,,False,True,,2,2,925-943-7977,2700,Archstone Walnut Creek,2019-03-02
436,699 Gravenstein Highway North,Sebastopol,False,False,buy,1,1,707-829-0556,1600000,Burbank Business Management,
437,7777 Bodega Avenue,Sebastopol,True,True,buy,1,1,707-823-1361,1700000,Burbank Heights & Orchard Seni,
438,7015 Fellers Lane,Sebastopol,False,True,buy,1,1,707-823-0730,2150000,Redwood Grove Apartments,
439,699 Gravenstein Highway North,,False,False,,1,1,707-829-0556,1600000,Burbank Business Management,2019-03-13
440,900 Pepper Tree Lane,,True,False,,2,3,866-472-2645,3500000,Alderwood Apartments,2019-03-04
441,5 Hutchins Way,Novato,False,True,buy,3,3,415-382-0801,3550000,Bay Vista,
442,1725 Novato Boulevard,Novato,True,True,buy,3,3,415-898-8380,3500000,Novato Park Apartments,
443,5 Hutchins Way,,False,True,,3,3,415-382-0801,4100,Bay Vista,2019-03-03
444,1290 San Tomas Aquino Road,,False,True,,3,3,408-984-8888,3450000,Aegena,2019-03-12
445,1100 Market Street,Oakland,False,False,rent,1,2,510-832-2249,2550,Beth Eden Apartments,
446,344 13th Street,Oakland,True,False,rent,1,2,510-663-2001,2750,Empyrean Towers,
447,6475 Foothill Boulevard,Oakland,True,False,rent,1,2,510-638-4383,2700,Kenneth Henry Court,
448,1100 Market Street,,False,False,,1,2,510-832-2249,2300000,Beth Eden Apartments,2019-03-09
449,1441 Casa Buena Drive,Corte Madera,True,True,rent,2,2,415-945-9636,3100,Parc Marin Apartments,
450,1441 Casa Buena Drive,,True,True,,2,2,415-945-9636,3100,Parc Marin Apartments,2019-03-14
451,750 North King Road,San Jose,True,False,rent,1,1,408-844-4803,1600,Avenel Apartments,
452,3801 Blackford Avenue #16,San Jose,True,False,rent,1,1,408-876-3565,1950,Blackford Apartments,
453,1000 Blossom River Way,San Jose,True,True,rent,1,1,408-979-9442,1800,Blossom River Apartments,
454,220 North White Road,San Jose,True,False,rent,1,1,408-259-0427,2050,Casa Las Palmas,
455,1250 Foxdale Loop,San Jose,True,False,rent,1,1,408-251-1142,1900,Foxdale Village Apartments,
456,380 Northlake Drive #37,San Jose,True,False,rent,1,1,408-246-6936,1950,Northlake Ambassador Apartments,
457,360 Meridian Avenue,San Jose,True,True,rent,1,1,408-995-0637,1950,Parkview Family Apartments,
458,2811 McKee Road,San Jose,True,False,rent,1,1,408-272-5205,1850,Peppertree Apartments,
459,4668 Albany Drive,San Jose,True,True,rent,1,1,408-248-0800,1700,San Jose Gardens,
460,39 Rio Robles East,San Jose,True,False,rent,1,1,408-570-5000,2050,The Oaks,
461,750 North King Road,,True,False,,1,1,408-844-4803,1700000,Avenel Apartments,2019-03-01
462,201 Harrison Street,San Francisco,False,True,rent,2,3,415-543-1135,3550,Baycrest,
463,1150 Webster Street,San Francisco,False,False,rent,2,3,415-563-1885,3950,Buchanan Park,
464,900 Chestnut Street # 102,San Francisco,False,True,rent,2,3,415-441-5668,4050,Chestnut Place,
465,511 John Muir Drive,San Francisco,False,True,rent,2,3,415-859-9384,3900,Lakewood Apartments,
466,201 Harrison Street,San Francisco,False,True,buy,2,3,415-543-1135,3200000,Baycrest,
467,900 Chestnut Street # 102,San Francisco,False,True,buy,2,3,415-441-5668,3350000,Chestnut Place,
468,511 John Muir Drive,San Francisco,False,True,buy,2,3,415-859-9384,3350000,Lakewood Apartments,
469,900 Chestnut Street # 102,,False,True,,2,3,415-441-5668,3350000,Chestnut Place,2019-03-14
470,4656 Quigg Drive,Santa Rosa,True,True,rent,1,2,707-537-9866,2450,Behringer Harvard,
471,850 Russell Avenue,Santa Rosa,True,False,rent,1,2,707-542-2883,2550,Del Nido Apartments,
472,6401 Montecito Boulevard # 29,Santa Rosa,True,True,rent,1,2,707-539-6148,2500,Garden Court Apartments,
473,1163 Hopper Avenue,Santa Rosa,False,True,rent,1,2,707-526-9675,2850,Hopper Lane Apartments,
474,3076 Marlow Road,Santa Rosa,True,True,rent,1,2,707-579-5081,2750,Marlow Apartments,
475,"Leasing Office, 6600 Montecito Boulevard",Santa Rosa,True,True,rent,1,2,707-538-1516,2450,Montecito Pines Apartments,
476,638 Cordelia Drive # 1,Santa Rosa,True,False,rent,1,2,707-528-7971,2600,Park Manor Apartments,
477,2389 McBride Lane,Santa Rosa,False,False,rent,1,2,707-579-5605,2800,Park Villa Apartments,
478,6899 Montecito Boulevard,Santa Rosa,False,False,rent,1,2,707-537-0731,2450,Parkwood Apartments,
479,193 Airport Boulevard East,Santa Rosa,True,True,rent,1,2,707-579-9560,2400,Spring Club,
480,4656 Quigg Drive,,True,True,,1,2,707-537-9866,2250000,Behringer Harvard,2019-03-11
481,859 University Avenue,Los Gatos,False,True,rent,3,3,408-395-1222,3900,Casa Vasona Garden Apartments,
482,107 Oak Rim Court,Los Gatos,True,True,rent,3,3,408-358-1541,4400,Twelve Oaks Apartments,
483,14225 Lora Drive,Los Gatos,True,False,rent,3,3,408-378-9472,4000,Wedgewood Manor,
484,859 University Avenue,,False,True,,3,3,408-395-1222,3900,Casa Vasona Garden Apartments,2019-03-04
485,400 East Remington Drive,Sunnyvale,False,True,buy,3,4,408-738-4862,4400000,Apricot Pit Apartments,
486,151 South Bernardo Avenue,Sunnyvale,False,False,buy,3,4,650-961-3333,4550000,Balboa Apartments,
487,815 East Fremont Avenue,Sunnyvale,True,False,buy,3,4,408-736-5183,4450000,Cambria Apartments,
488,135 Acalanes Drive,Sunnyvale,True,False,buy,3,4,650-965-1671,4550000,Casa Del Sol Apartments,
489,455 Crescent Avenue,Sunnyvale,False,False,buy,3,4,408-737-1130,4300000,Crescent Manor,
490,130 Crescent Avenue,Sunnyvale,False,False,buy,3,4,408-749-1060,4300000,Crescent Terrace Senior Apartments,
491,1055 East Evelyn Avenue,Sunnyvale,True,False,buy,3,4,408-296-8006,4000000,Evelyn Gardens,
492,1063 Morse Avenue,Sunnyvale,True,False,buy,3,4,844-482-6009,4050000,Mission Pointe By Windsor,
493,825 Morse Avenue,Sunnyvale,False,False,buy,3,4,408-734-9442,4500000,Morse Court Apartments,
494,1229 Vicente Drive,Sunnyvale,True,True,buy,3,4,650-961-0141,4100000,Olive West Apartments,
495,151 South Bernardo Avenue,,False,False,,3,4,650-961-3333,4550000,Balboa Apartments,2019-03-09
496,320 East Tabor Avenue,Fairfield,True,False,buy,1,1,707-422-2850,1850000,Blue Sky Apartments,
497,855 East Tabor Avenue,Fairfield,True,True,buy,1,1,707-439-8195,1750000,Groves At East Tabor,
498,2376 Fairfield Avenue,Fairfield,True,False,buy,1,1,707-425-1199,1600000,Willow Brook Apartments,
499,2999 North Texas Street #22,Fairfield,True,True,buy,1,1,707-426-3135,1750000,Woodsong Village Apartments,
500,320 East Tabor Avenue,,True,False,,1,1,707-422-2850,1900,Blue Sky Apartments,2019-03-06
501,1000 Canyon Village Circle,San Ramon,True,False,rent,2,3,925-820-8385,3600,Canyon Creek Apartments,
502,9200 Alcosta Boulevard,San Ramon,True,False,rent,2,3,925-828-3060,3500,Fairway Village Apartments,
503,1110 Harness Drive,San Ramon,True,False,rent,2,3,925-307-7105,3700,Foothill - Twin Creeks,
504,2100 Waterstone Place,San Ramon,True,True,rent,2,3,925-307-7005,3850,Mill Creek,
505,3300 Promontory Circle,San Ramon,True,False,rent,2,3,925-838-8850,3650,Promontory View,
506,2000 Bellas Artes Circle,San Ramon,False,False,rent,2,3,925-736-9120,3550,Seville Apartments,
507,1000 Canyon Village Circle,,True,False,,2,3,925-820-8385,3600,Canyon Creek Apartments,2019-03-07
508,3263 Mount Diablo Court,Lafayette,False,False,rent,3,3,925-287-1188,4150,Lafayette Commons Apartments,
509,1076 Carol Lane,Lafayette,True,False,rent,3,3,925-284-2586,3950,Lafayette Highlands Apartments,
510,1076 Carol Lane,,True,False,,3,3,925-284-2586,3950,Lafayette Highlands Apartments,2019-03-04
511,150 Sierra Drive,Walnut Creek,True,False,buy,1,2,925-945-1701,2300000,Affordable Housing Associates,
512,1756 Carmel Drive,Walnut Creek,False,True,buy,1,2,925-301-9510,2600000,Carmel House,
513,245 Masters Court,Walnut Creek,False,True,buy,1,2,925-906-9000,2300000,Club Villas,
514,1200 Newell Hill Place,Walnut Creek,True,True,buy,1,2,925-934-1117,2250000,Newell Vista Apartments,
515,2971 North Main Street,Walnut Creek,False,False,buy,1,2,925-939-6667,2450000,North Main Apartments,
516,1459 Creekside Drive,Walnut Creek,False,True,buy,1,2,855-250-5961,2700000,The Retreat,
517,2150 Tice Valley Boulevard,Walnut Creek,False,True,buy,1,2,925-943-1670,2450000,Tice Oaks Apartments,
518,1755 Trinity Avenue # 1,Walnut Creek,True,True,buy,1,2,925-935-6956,2350000,Walnut Hill Apartments,
519,240 Hollis Avenue,Campbell,False,False,buy,1,2,866-573-8123,2550000,La Mancha Apartments,
520,3685 South Bascom Avenue,Campbell,False,False,buy,1,2,408-377-9360,2550000,Pebble Creek,
521,1510 South Bascom Avenue,Campbell,False,True,buy,1,2,408-377-6900,2750000,River Walk Apartments,
522,275 Union Avenue,Campbell,True,True,buy,1,2,408-898-4572,2300000,The Commons,
523,240 Hollis Avenue,,False,False,,1,2,866-573-8123,2550000,La Mancha Apartments,2019-03-07
524,1001 Beethoven Common,Fremont,False,True,rent,3,3,510-797-1800,4100,Alborada Apartments,
525,34050 Westchester Terrace,Fremont,False,True,rent,3,3,510-794-9981,4350,Amber Court,
526,40001 Fremont Boulevard,Fremont,True,False,rent,3,3,510-455-8815,3950,Boulevard,
527,46703 Crawford Street # 2,Fremont,False,False,rent,3,3,510-651-5292,4400,Crawford Apartments,
528,41277 Roberts Ave # 32,Fremont,False,False,rent,3,3,510-656-2303,4100,Felson Management Corporation,
529,37811 Fremont Boulevard,Fremont,False,False,rent,3,3,510-797-4520,4300,Fremont Arms,
530,4261 Stevenson Boulevard,Fremont,True,True,rent,3,3,510-656-8201,4200,Fremont Manor,
531,42010 Blacow Road,Fremont,False,False,rent,3,3,510-657-2020,4350,Minutetogo,
532,1301 Stevenson Boulevard,Fremont,True,False,rent,3,3,510-794-7718,4300,Mission Wells Apartments,
