,album,artist,genre,song_name,playback_device
466,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,
467,Witness,Katy Perry,Pop,Hey Hey Hey,
468,Witness,Katy Perry,Pop,Hey Hey Hey,TV
469,Current Mood,Dustin Lynch,Country,Small Town Boy,
470,Lindsey Stirling,Lindsey Stirling,Pop,Elements,
471,Sing To Me Instead,Ben Platt,Pop,Ease My Mind,
472,So Good,Zara Larsson,Pop,I Would Like,
473,So Good,Zara Larsson,Pop,I Would Like,bedroom speaker
474,Always In Between,Jess Glynne,Pop,Thursday,
475,Kris Jones,Kris Jones,Country,Tennessee Whiskey,
476,Me And My Broken Heart,Push Baby,Pop,Me And My Broken Heart,
477,Expectations,Hayley Kiyoko,Pop,Curious,TV
478,Cloud Nine,Kygo,Downtempo,Carry Me,
479,Cloud Nine,Kygo,Downtempo,Raging,kitchen speaker
480,Superman,Arash,Pop,One Day,TV
481,Heart Miles,Jai Waetford,Pop,Shy,
482,Heart Miles,Jai Waetford,Pop,Shy,kitchen speaker
483,Evolution,Disturbed,Rock,Are You Ready,kitchen speaker
484,Bu Muhabbat,Shahzoda,Pop,Chicco,
485,Bu Muhabbat,Shahzoda,Pop,Chicco,bedroom speaker
486,Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,
487,Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,TV
488,Philharmonics,Agnes Obel,Folk,Riverside,
489,Philharmonics,Agnes Obel,Folk,Riverside,bedroom speaker
490,Glory Sound Prep,Jon Bellion,Pop,Stupid Deep,kitchen speaker
491,This Is Acting,Sia,Pop,Bird Set Free,
492,The Greatest,Sia,Pop,The Greatest,
493,This Is Acting,Sia,Pop,Bird Set Free,bedroom speaker
494,Party Never Ends,Inna,Pop,In Your Eyes,
495,Party Never Ends,Inna,Pop,In Your Eyes,kitchen speaker
496,Stronger,Sara Evans,Country,A Little Bit Stronger,kitchen speaker
497,Sing To Me Instead,Ben Platt,Pop,Bad Habit,
498,One More Light,Linkin Park,Electropop,Battle Symphony,bedroom speaker
499,Expectations,Bebe Rexha,Pop,Knees,bedroom speaker
500,Undefined,Simply Three,Rock,Rain,
501,Last Year Was Complicated,Nick Jonas,Pop,Under You,
502,Icarus Falls,Zayn Malik,Pop,Let Me,
503,Icarus Falls,Zayn Malik,Pop,Still Got Time,bedroom speaker
504,After The Landslide,Matt Simons,Pop,Open Up,
505,After The Landslide,Matt Simons,Pop,Open Up,kitchen speaker
506,My Everything,Ariana Grande,Pop,Be My Baby,
507,My Everything,Ariana Grande,Pop,Best Mistake,
508,My Everything,Ariana Grande,Pop,One Last Time,
509,Mirrorwriting,Jamie Woon,Electronica,Lady Luck,bedroom speaker
510,Blastoff Blues,Ricky T And The Rockets,Blues,Memory Pain,
511,Yomonsan,Janob Rasul,Pop,Yomonsan,
512,Every Little Thing,Carly Pearce,Country,Every Little Thing,
513,Loud,Rihanna,Reggae,Man Down,kitchen speaker
514,Demi,Demi Lovato,Pop,Neon Lights,
515,Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,
516,Honky Tonk Time Machine,George Strait,Country,Codigo,
517,Yours,Russell Dickerson,Country,Blue Tacoma,TV
518,Ember,Breaking Benjamin,Rock,Tourniquet,bedroom speaker
519,Nine Track Mind,Charlie Puth,Pop,Dangerously,
520,The Martin Garrix Experience,Martin Garrix,House,Ocean,
521,In A Truck Right Now,Riley Green,Country,There Was This Girl,
522,Got Your Six,Five Finger Death Punch,Metal,I Apologize,bedroom speaker
523,The Martin Garrix Experience,Martin Garrix,Pop,High On Life,
524,The Martin Garrix Experience,Martin Garrix,House,Latency,
525,The Martin Garrix Experience,Martin Garrix,Pop,High On Life,kitchen speaker
526,The First Time,Kelsea Ballerini,Country,Peter Pan,kitchen speaker
527,Foundation,Shatta Wale,Reggae,Shatta Movement,kitchen speaker
528,My Everything,Ariana Grande,Pop,Break Free,TV
529,One More Light,Linkin Park,Electropop,Battle Symphony,kitchen speaker
530,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,bedroom speaker
531,Redemption,Joe Bonamassa,Blues,Redemption,
532,Blues Of Desperation,Joe Bonamassa,Blues,Drive,TV
533,Your Name,Radwimps,Soundtracks,Sparkle,
534,Your Name,Radwimps,Rock,Zenzenzense,
535,Your Name,Radwimps,Soundtracks,Sparkle,kitchen speaker
536,My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,bedroom speaker
537,Nine Track Mind,Charlie Puth,Pop,One Call Away,
538,Nine Track Mind,Charlie Puth,Pop,One Call Away,kitchen speaker
539,This Is Acting,Sia,Pop,Alive,kitchen speaker
540,Always In Between,Jess Glynne,Pop,No One,
541,Always In Between,Jess Glynne,Pop,All I Am,bedroom speaker
542,Outsider,Three Days Grace,Rock,The Mountain,bedroom speaker
543,Sex Rock,Alex Angel,Rock,My Donna,
544,Sex Rock,Alex Angel,Rock,My Donna,bedroom speaker
545,Climate Change,Pitbull,Pop,Options,kitchen speaker
546,Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,bedroom speaker
547,La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,
548,La La Land,La La Land Cast,Soundtracks,Another Day Of Sun,bedroom speaker
549,Cryptic,Billy Watman,Pop,Bohemian Rhapsody,
550,Cryptic,Billy Watman,Pop,Bohemian Rhapsody,TV
551,Crooked Teeth,Papa Roach,Metal,Born For Greatness,kitchen speaker
552,What Makes You Country,Luke Bryan,Country,What Makes You Country,
553,Southeastern,Jason Isbell,Alternative Country,Cover Me Up,
554,Love Crimes,Super Sako,Pop,Mi Gna,
555,Glory Days,Little Mix,Pop,Touch,
556,This Is Acting,Sia,Pop,Move Your Body,bedroom speaker
557,This Is Acting,Sia,Pop,Move Your Body,kitchen speaker
558,Sucker Punch,Sigrid,Pop,Business Dinners,
559,Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,bedroom speaker
560,The Bright Side,Lenka,Pop,Blue Skies,bedroom speaker
561,Lindsey Stirling,Lindsey Stirling,Pop,Electric Daisy Violin,
562,Instant Regrets,Instant Regrets,Rock,Instant Regret,
563,Swim,Dan Snaith,Electropop,Sun,
564,Gotta Be Me,Cody Johnson,Country,With You I Am,
565,Sunset Season,Conan Gray,Pop,Lookalike,
566,The Beautiful Game,Vulfpeck,Pop,Dean Town,
567,Hallelujah Nights,Lanco,Country,Greatest Love Story,
568,The Shocking Miss Emerald,Caro Emerald,Pop,Tangled Up,
569,Outlaw Soul,Tyler Wood,Country,Still Ridin Shotgun,
570,Glory,Britney Spears,Pop,Slumber Party,
571,Meliora,Ghost,Rock,He Is,kitchen speaker
572,Gravity,Jason Chen,Pop,Best Friend,
573,Gravity,Jason Chen,Pop,Music Never Sleeps,
574,Gravity,Jason Chen,Pop,Music Never Sleeps,bedroom speaker
575,Superman,Arash,Pop,One Day,kitchen speaker
576,If I Know Me,Morgan Wallen,Country,Up Down,
577,The Awakening,Onlap,Rock,The Awakening,
578,The Getaway,Red Hot Chili Peppers,Pop,Goodbye Angels,
579,Sex Pop,Alex Angel,Pop,Sex Pop,
580,Amos,Michael Ray,Country,One That Got Away,bedroom speaker
581,Happiness,Hurts,Pop,Wonderful Life,
582,My Darkest Days,My Darkest Days,Rock,Porn Star Dancing,
583,Holy Hell,Architects,Metal,Royal Beggars,
584,Kill The Lights,Luke Bryan,Country,Strip It Down,
585,Kuntry,Jawga Boyz,Country,Ridin High,
586,Happiness,Hurts,Pop,Wonderful Life,TV
587,Flicker,Niall Horan,Pop,On The Loose,
588,What Are Words,Chris Medina,Pop,What Are Words,
589,Desperate Man,Eric Church,Country,Some Of It,
590,Cryptic,Billy Watman,Pop,Bohemian Rhapsody,kitchen speaker
591,Voicenotes,Charlie Puth,Pop,The Way I Am,
592,Brave Enough,Lindsey Stirling,House,Lost Girls,
593,Slow Air,Still Corners,Pop,The Message,
594,Voicenotes,Charlie Puth,Pop,The Way I Am,kitchen speaker
595,Dance Again,Jennifer Lopez,Pop,Dance Again,
596,Madness,All That Remains,Rock,The Thunder Rolls,
597,Peace Of Mind,Rebelution,Reggae,So High,
598,Caroline,Citizen Soldier,Rock,Let It Burn,
599,Born This Way,Lady Gaga,Pop,Bloody Mary,kitchen speaker
600,The Last Stand,Sabaton,Metal,Winged Hussars,
601,Heroes,Sabaton,Metal,No Bullets Fly,kitchen speaker
602,Different World,Alan Walker,Pop,Darkside,TV
603,Melting,Nico Cartosio,Classical,Cocaine March,bedroom speaker
604,Blonde,Frank Ocean,Pop,Self Control,TV
605,Happiness,Hurts,Pop,Wonderful Life,bedroom speaker
606,My Everything,Ariana Grande,Pop,Be My Baby,bedroom speaker
607,Kuntry,Jawga Boyz,Country,Ridin High,bedroom speaker
608,Voicenotes,Charlie Puth,Pop,Attention,
609,The Story,Fivefold,Rock,Lost Within,
610,Voicenotes,Charlie Puth,Pop,Attention,kitchen speaker
611,Lazy Genius,Ayo Jay,Reggae,Let Him Go,
612,Lazy Genius,Ayo Jay,Reggae,Let Him Go,kitchen speaker
613,True Believers,Darius Rucker,Country,Wagon Wheel,
614,Elly Gai Ahla,Tamer Hosny,Pop,Elli Gai Ahla,
615,Journals,Justin Bieber,Pop,All That Matters,kitchen speaker
616,No More Hollywood Endings,Battle Beast,Metal,Eden,bedroom speaker
617,Radh,Mohammed Al Salem,Pop,Qalb Qalb Party,
618,Holy Fire,Foals,Indie,Late Night,
619,Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,bedroom speaker
620,Tell Me You Love Me,Cheat Codes,Pop,No Promises,
621,Adobe Sessions,Cody Jinks,Country,Cast No Stones,
622,You Get What You Give,Zac Brown Band,Country,Knee Deep,
623,My Everything,Ariana Grande,Pop,Be My Baby,kitchen speaker
624,Brett Young,Brett Young,Country,Like I Loved You,
625,Coming Home,Kristin Chenoweth,Pop,Maybe This Time,
626,The Getaway,Red Hot Chili Peppers,Pop,Goodbye Angels,bedroom speaker
627,Tell Me You Love Me,Demi Lovato,Pop,Tell Me You Love Me,
628,Kaleidoscope Dream,Miguel,Pop,Adorn,TV
629,Nirvana,The Motans,Pop,Nota De Plata,
630,Coming Home,Kristin Chenoweth,Pop,Maybe This Time,bedroom speaker
631,Honky Tonk Time Machine,George Strait,Country,The Weight Of The Badge,
632,Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,TV
633,Higher,Albert Posis,Pop,Serendipity,
634,Hero,Maren Morris,Country,Rich,
635,Glory Days,Little Mix,Pop,No More Sad Songs,
636,Higher,Albert Posis,Pop,Serendipity,kitchen speaker
637,Badlands,Halsey,Electropop,Gasoline,TV
638,Bloom,Troye Sivan,Pop,Lucky Strike,
639,Lindsey Stirling,Lindsey Stirling,Pop,Crystallize,
640,Fight Song,Rachel Platten,Pop,Fight Song,
641,Thank You,Meghan Trainor,Pop,Kindly Calm Me Down,
642,You Should Be Here,Cole Swindell,Country,You Should Be Here,
643,Expectations,Hayley Kiyoko,Pop,Sleepover,TV
644,Oxford,Connar Moon,Folk,Annie,
645,Fagun Ke Rang,Awadesh Premi Yadav,Folk,Suna Bhaiya Ke Sali,
646,Borbena,Teodora,Folk,Tom Ford,
647,Redneck Crazy,Tyler Farr,Country,Redneck Crazy,
648,Camila,Camila Cabello,Pop,Consequences,TV
649,Happy Endings,Old Dominion,Country,Hotel Key,kitchen speaker
650,Ana Keteer,Sherine,Pop,Ya Layali,
651,Tomboy,Destiny Rogers,Pop,Tomboy,
652,A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Black Eyes,kitchen speaker
653,Ores Aixmis,Malou Kyriakopoulou,Pop,Tous Eipes Pos,
654,Odisea,Ozuna,Latin,El Farsante,
655,Unleashed Beyond,Skillet,Rock,The Resistance,bedroom speaker
656,Lush Life,Zara Larsson,Pop,Lush Life,
657,Lifers,Cody Jinks,Country,Must Be The Whiskey,
658,Gotta Be Me,Cody Johnson,Country,With You I Am,TV
659,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,bedroom speaker
660,Narsha,Narsha,Pop,Bbi Ri Bba Bba,
661,The Dragonborn Comes,Malukah,Soundtracks,The Dragonborn Comes,
662,So Good,Zara Larsson,Pop,I Would Like,kitchen speaker
663,Firestone,Kygo,Downtempo,Firestone,
664,Safe Haven,Ruth B,Pop,Superficial Love,
665,Amma Kanakku,Srinisha,South Asia,Maths Tough,
666,Vessel,Twenty One Pilots,Pop,Truce,kitchen speaker
667,If I Know Me,Morgan Wallen,Country,Whiskey Glasses,
668,Khayali,Tamer Ashor,Pop,Mahzouz,kitchen speaker
669,Pobrecita,Mo Temsamani,Pop,Mana Zina,
670,The Pains Of Growing,Alessia Cara,Pop,Out Of Love,
671,Evolution,Disturbed,Rock,No More,bedroom speaker
672,Lady Wood,Tove Lo,Electropop,Cool Girl,TV
673,Crazy,Ornette,Pop,Crazy,
674,Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,
675,Essentials,Major Lazer,Moombahton,Light It Up,
676,Avril Lavigne,Avril Lavigne,Pop,Let Me Go,
677,Expectations,Hayley Kiyoko,Pop,Sleepover,bedroom speaker
678,Beautiful World,Connie Talbot,Pop,Count On Me,
679,Pain Killer,Little Big Town,Country,Girl Crush,kitchen speaker
680,My Everything,Ariana Grande,Pop,Best Mistake,kitchen speaker
681,Chapters,Yuna,Pop,Crush,
682,Pink Elephant,Russell Vitale,Pop,Goodbye,
683,Prequelle,Ghost,Metal,Rats,
684,You Get What You Give,Zac Brown Band,Country,Knee Deep,kitchen speaker
685,Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,bedroom speaker
686,Summer House,Concorde,Pop,Just Kiss Her,
687,Play Me Again,Kid Francescoli,Pop,Moon,
688,Summer House,Concorde,Pop,Just Kiss Her,TV
689,Sinner,Aaron Lewis,Country,Lost And Lonely,
690,No Roots,Alice Merton,Pop,No Roots,
691,Center Point Road,Thomas Rhett,Country,Look What God Gave Her,TV
692,Built On Glass,Nick Murphy,Electronica,Gold,kitchen speaker
693,Experiment,Kane Brown,Country,Weekend,bedroom speaker
694,King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,bedroom speaker
695,For You,Selena Gomez,Pop,The Heart Wants What It Wants,
696,It Goes Like This,Thomas Rhett,Country,It Goes Like This,
697,Texoma Shore,Blake Shelton,Country,I Lived It,bedroom speaker
698,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,bedroom speaker
699,Where We Come From,Popcaan,Reggae,Addicted,bedroom speaker
700,The New Classic,Iggy Azalea,Pop,Change Your Life,kitchen speaker
701,To Whom It May Concern,Blacklite District,Rock,The Struggle,
702,To Whom It May Concern,Blacklite District,Rock,Them Days,
703,To Whom It May Concern,Blacklite District,Rock,The Struggle,bedroom speaker
704,Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,
705,Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,
706,Ready,Ruel,Pop,Younger,bedroom speaker
707,Seventh Heaven,Ryutaro Nakahara,Anime,Din Don Dan,
708,Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,kitchen speaker
709,Welcome Reality,Nero,Dubstep,Promises,bedroom speaker
710,Jade Eagleson,Jade Eagleson,Country,Got Your Name On It,
711,Just Gonna Send It,Katie Noel,Country,Diesel Gang,
712,Kane Brown,Kane Brown,Country,What Ifs,
713,Love Yourself,Justin Bieber,Pop,Love Yourself,
714,Journals,Justin Bieber,Pop,All That Matters,TV
715,Bigger,Sugarland,Country,Babe,bedroom speaker
716,Meliora,Ghost,Rock,He Is,bedroom speaker
717,Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,
718,Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,TV
719,Contraband,Madcon,Pop,Glow,
720,The Good Parts,Andy Grammer,Pop,Fresh Eyes,
721,Genesis,Mark Petrie,Classical,Kara Kul,bedroom speaker
722,Forever,Popcaan,Reggae,Wine For Me,bedroom speaker
723,Nick Jonas,Nick Jonas,Pop,Chains,
724,Reminiscence,Mattia Cupelli,Soundtracks,Love Lost,bedroom speaker
725,Meliora,Ghost,Metal,Cirice,TV
726,The Tattva Trip,Suraj Mani,Rock,The Tattva Trip,
727,My Everything,Ariana Grande,Pop,One Last Time,kitchen speaker
728,The First Time,Kelsea Ballerini,Pop,Yeah Boy,
729,Brett Eldredge,Brett Eldredge,Country,Love Someone,
730,Anchor,Mindy Gledhill,Pop,I Do Adore,
731,Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,kitchen speaker
732,Undefined,Simply Three,Rock,Rain,TV
733,Night Visions,Imagine Dragons,Rock,Radioactive,TV
734,Visions,Grimes,Electropop,Oblivion,kitchen speaker
735,Illuminate,Shawn Mendes,Pop,Mercy,kitchen speaker
736,Voicenotes,Charlie Puth,Pop,The Way I Am,bedroom speaker
737,If I Know Me,Morgan Wallen,Country,The Way I Talk,
738,Loud,Rihanna,Pop,California King Bed,bedroom speaker
739,California Sunrise,Jon Pardi,Country,Head Over Boots,bedroom speaker
740,The New Classic,Iggy Azalea,Pop,Black Widow,TV
741,Pentatonix,Pentatonix,Pop,Cheerleader,
742,Cloud Nine,Kygo,Downtempo,Raging,bedroom speaker
743,Random Access Memories,Daft Punk,Punk,Get Lucky,TV
744,Euphoria,Enrique Iglesias,Pop,I Like It,
745,Adobe Sessions,Cody Jinks,Country,Cast No Stones,bedroom speaker
746,The Gaza Don,Vybz Kartel,Dancehall,Summer Time,TV
747,Ultraviolence,Lana Del Rey,Rock,Ultraviolence,
748,Stories,Avicii,Pop,Broken Arrows,
749,Ultraviolence,Lana Del Rey,Rock,Pretty When You Cry,
750,Strange Pleasures,Still Corners,Electropop,The Trip,
751,Sunset Season,Conan Gray,Pop,Lookalike,kitchen speaker
752,My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,kitchen speaker
753,Rockefeller Street,Getter Jaani,Pop,Rockefeller Street,
754,Men Halati,Farfashah,Pop,Ouf Menuh Qalbi,
755,Blood,In This Moment,Metalcore,Whore,kitchen speaker
756,Love Town,Kolohe Kai,Reggae,First True Love,bedroom speaker
757,Thank You,Meghan Trainor,Pop,Me Too,
758,Title,Meghan Trainor,Pop,All About That Bass,TV
759,You Know I Know,Olly Murs,Pop,Moves,kitchen speaker
760,Cryptic,Billy Watman,Pop,Bohemian Rhapsody,bedroom speaker
761,The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,kitchen speaker
762,If I Know Me,Morgan Wallen,Country,The Way I Talk,TV
763,Voicenotes,Charlie Puth,Pop,Attention,bedroom speaker
764,Madness,All That Remains,Rock,The Thunder Rolls,TV
765,Party Rock Mansion,Redfoo,Pop,New Thang,
766,Singular Act I,Sabrina Carpenter,Pop,Paris,TV
767,Ayo,Wizkid,Africa,Ojuelegba,
768,Mud,Whiskey Myers,Country,Stone,
769,Ardhito Pramono,Ardhito Pramono,Jazz,The Bitterlove,
770,The Night We Met,Lord Huron,Rock,The Night We Met,
771,Sing To Me Instead,Ben Platt,Pop,Ease My Mind,bedroom speaker
772,Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,bedroom speaker
773,The African Gentleman,Ric Hassani,Pop,Only You,
774,Teenage Dream,Katy Perry,Pop,Teenage Dream,
775,Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,kitchen speaker
776,Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,kitchen speaker
777,Lee Brice,Lee Brice,Country,Rumor,
778,Handwritten,Shawn Mendes,Pop,Stitches,TV
779,Ancient Future,Protoje,Reggae,Who Knows,
780,Pure Heroine,Lorde,Electropop,Buzzcut Season,TV
781,Get Weird,Little Mix,Pop,Love Me Like You,
782,Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,bedroom speaker
783,Old Diary,La Min Phyu,Pop,Stage Show,
784,Confident,Demi Lovato,Pop,Stone Cold,TV
785,Euphoria,Enrique Iglesias,Pop,Heartbeat,
786,Always In Between,Jess Glynne,Pop,Thursday,TV
787,Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,TV
788,After The Landslide,Matt Simons,Pop,Open Up,TV
789,Bangarang,Skrillex,Soundtracks,Bangarang,
790,The Last Stand,Sabaton,Metal,Shiroyama,TV
791,Peace Of Mind,Rebelution,Reggae,So High,TV
792,Honky Tonk Time Machine,George Strait,Country,Codigo,bedroom speaker
793,No More Hollywood Endings,Battle Beast,Metal,Eden,TV
794,Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,TV
795,Double Vision,Prince Royce,Pop,Back It Up,TV
796,Experiment,Kane Brown,Country,Homesick,bedroom speaker
797,Pass The Jar,Zac Brown Band,Country,Colder Weather,TV
798,Meliora,Ghost,Metal,Cirice,kitchen speaker
799,Love Town,Kolohe Kai,Reggae,First True Love,TV
800,Ancient Future,Protoje,Reggae,Who Knows,TV
801,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,TV
802,Play Me Again,Kid Francescoli,Pop,Moon,TV
803,The Martin Garrix Experience,Martin Garrix,Pop,High On Life,bedroom speaker
804,Raees,Pavni Pandey,South Asia,Laila Main Laila,
805,Narrated For You,Alec Benjamin,Pop,Let Me Down Slowly,TV
806,Heroes,Sabaton,Metal,Night Witches,bedroom speaker
807,Golden Hour,Kacey Musgraves,Country,Butterflies,TV
808,Last Year Was Complicated,Nick Jonas,Pop,Under You,kitchen speaker
809,Prequelle,Ghost,Metal,Rats,kitchen speaker
810,Try Again,Cindy Santos,Latin,Baby Sexy,
811,The Pains Of Growing,Alessia Cara,Pop,Trust My Lonely,
812,Rearview Town,Jason Aldean,Country,Girl Like You,bedroom speaker
813,Experiment,Kane Brown,Country,Homesick,kitchen speaker
814,Sinner,Aaron Lewis,Country,Lost And Lonely,TV
815,Night Train,Jason Aldean,Country,When She Says Baby,TV
816,Glory Days,Little Mix,Pop,No More Sad Songs,TV
817,Mint,Alice Merton,Pop,Why So Serious,bedroom speaker
818,Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,kitchen speaker
819,Elevate,Big Time Rush,Pop,Windows Down,bedroom speaker
820,Transmissions,Starset,Rock,It Has Begun,TV
821,This Is Acting,Sia,Pop,Alive,TV
822,Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,kitchen speaker
823,Laps Around The Sun,Chris Lane,Country,Take Back Home Girl,
824,My Everything,Ariana Grande,Pop,Best Mistake,TV
825,Happy Endings,Old Dominion,Country,Hotel Key,TV
826,Got Your Six,Five Finger Death Punch,Metal,I Apologize,TV
827,Avril Lavigne,Avril Lavigne,Pop,Hello Kitty,
828,Cannibal,Kesha,Pop,Cannibal,
829,Yours,Isak Danielson,Pop,Broken,TV
830,Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,TV
831,Euphoria,Enrique Iglesias,Pop,Heartbeat,TV
832,Unapologetically,Kelsea Ballerini,Country,Miss Me More,TV
833,Love Always,Shane Filan,Pop,Beautiful In White,
834,The African Gentleman,Ric Hassani,Pop,Only You,TV
835,A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,bedroom speaker
836,Safe Haven,Ruth B,Pop,Superficial Love,TV
837,Your Name,Radwimps,Rock,Dream Lantern,TV
838,The Beginning,Sammielz,Reggae,Let Us Be,TV
839,One More Light,Linkin Park,Electropop,Battle Symphony,TV
840,Sunset Season,Conan Gray,Pop,Generation Why,bedroom speaker
841,California Sunrise,Jon Pardi,Country,Night Shift,kitchen speaker
842,The Bright Side,Lenka,Pop,Blue Skies,TV
843,Different World,Alan Walker,Pop,Alone,TV
844,Crash My Party,Luke Bryan,Country,Roller Coaster,
845,Always In Between,Jess Glynne,Pop,All I Am,TV
846,A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,TV
847,Adobe Sessions,Cody Jinks,Country,Cast No Stones,kitchen speaker
848,Rearview Town,Jason Aldean,Country,Girl Like You,TV
849,Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,TV
850,Forever,Popcaan,Reggae,Wine For Me,TV
851,Best Kind Of Mess,Get Scared,Rock,Sarcasm,
852,Best Kind Of Mess,Get Scared,Rock,Sarcasm,TV
853,Globalization,Pitbull,Pop,Fireball,
854,Globalization,Pitbull,Pop,Fireball,TV
855,Arcadia,Eurielle,Pop,Hate Me,
856,Cuz I Love You,Lizzo,Pop,Tempo,kitchen speaker
857,The Princess,Parov Stelar,Pop,All Night,kitchen speaker
858,Party Never Ends,Inna,Pop,In Your Eyes,TV
859,Redemption,Joe Bonamassa,Blues,Redemption,bedroom speaker
860,Pitch Perfect,Anna Kendrick,Soundtracks,Cups,kitchen speaker
861,Elements,Ludovico Einaudi,Classical,Night,kitchen speaker
862,Gravity,Jason Chen,Pop,Best Friend,TV
863,Pure Heroine,Lorde,Electropop,Buzzcut Season,kitchen speaker
864,Dance Again,Jennifer Lopez,Pop,Dance Again,bedroom speaker
865,After Laughter,Paramore,Rock,Hard Times,TV
866,Sucker Punch,Sigrid,Pop,Business Dinners,bedroom speaker
867,Expectations,Hayley Kiyoko,Pop,What I Need,TV
868,Redemption,Joe Bonamassa,Blues,Redemption,kitchen speaker
869,Get Weird,Little Mix,Pop,Love Me Like You,bedroom speaker
870,One More Light,Linkin Park,Electropop,One More Light,TV
871,Sucker Punch,Sigrid,Pop,Business Dinners,kitchen speaker
872,Odisea,Ozuna,Latin,El Farsante,bedroom speaker
873,Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,bedroom speaker
874,Sing To Me Instead,Ben Platt,Pop,Bad Habit,TV
875,The Pains Of Growing,Alessia Cara,Pop,Out Of Love,TV
876,The Story,Fivefold,Rock,Lost Within,kitchen speaker
877,Fly,Karolina Protsenko,Pop,Girls Like You,TV
878,Cuz I Love You,Lizzo,Pop,Tempo,TV
879,The New Classic,Iggy Azalea,Pop,Bounce,kitchen speaker
880,The Satanist,Behemoth,Metal,O Father O Satan O Sun,TV
881,Narrated For You,Alec Benjamin,Pop,If We Have Each Other,TV
882,Yomonsan,Janob Rasul,Pop,Yomonsan,TV
883,Sing To Me Instead,Ben Platt,Pop,Grow As We Go,TV
884,Winter Collection,Sivik,Pop,High,TV
885,The Shocking Miss Emerald,Caro Emerald,Pop,Tangled Up,TV
886,Joytime,Marshmello,House,Keep It Mello,TV
887,Eric Ethridge,Eric Ethridge,Country,If You Met Me First,TV
888,No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,kitchen speaker
889,Handwritten,Shawn Mendes,Pop,Stitches,bedroom speaker
890,Love Yourself,Justin Bieber,Pop,Love Yourself,TV
891,Joytime,Marshmello,House,Take It Back,kitchen speaker
892,Every Little Thing,Carly Pearce,Country,Every Little Thing,TV
893,Stars Dance,Selena Gomez,Pop,Love Will Remember,TV
894,Bringing Back The Sunshine,Blake Shelton,Country,Sangria,TV
895,Speak Now,Taylor Swift,Pop,The Story Of Us,TV
896,Old Diary,La Min Phyu,Pop,Stage Show,kitchen speaker
897,True Believers,Darius Rucker,Country,Wagon Wheel,TV
898,Ores Aixmis,Malou Kyriakopoulou,Pop,Tous Eipes Pos,TV
899,Badlands,Halsey,Electropop,Hurricane,TV
900,My Dream,Karolina Protsenko,Pop,Despacito,TV
901,Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,TV
902,This Is Acting,Sia,Pop,Move Your Body,TV
903,Unapologetic,Rihanna,Pop,What Now,TV
904,Instant Regrets,Instant Regrets,Rock,Instant Regret,TV
905,Holy Hell,Architects,Metal,Royal Beggars,bedroom speaker
906,Golden Hour,Kacey Musgraves,Country,Slow Burn,TV
907,Redneck Crazy,Tyler Farr,Country,Redneck Crazy,TV
908,The Mountain,Dierks Bentley,Country,Burning Man,TV
909,Brave Enough,Lindsey Stirling,House,Lost Girls,TV
