,car_name,car_type,city,end_date,pickup_location,pickup_time,price_per_day,start_date,add_insurance
1110,SEAT Cordoba,Sedan,San Francisco,2019-03-12,Salesforce Transit Center,17:30,34.00,2019-03-11,
1111,Vauxhaull Astra,Hatchback,San Francisco,2019-03-12,Salesforce Transit Center,17:30,23.00,2019-03-11,
1112,Audi A8,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,17:00,29.00,2019-03-07,
1113,Buick Regal Sportback,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,17:00,29.00,2019-03-07,
1114,Fiat Panda,Hatchback,San Francisco,2019-03-08,SFO International Airport,17:00,28.00,2019-03-07,
1115,GMC Terrain,SUV,San Francisco,2019-03-08,SFO International Airport,17:00,43.00,2019-03-07,
1116,Hyundai Ioniq,Sedan,San Francisco,2019-03-08,SFO International Airport,17:00,29.00,2019-03-07,
1117,Jaguar F-Pace,SUV,San Francisco,2019-03-08,Salesforce Transit Center,17:00,43.00,2019-03-07,
1118,Kia Ceed,Hatchback,San Francisco,2019-03-08,SFO International Airport,17:00,25.00,2019-03-07,
1119,Lexus GS,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,17:00,28.00,2019-03-07,
1120,Mazda 3,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,17:00,24.00,2019-03-07,
1121,Mitsubishi Outlander,SUV,San Francisco,2019-03-08,SFO International Airport,17:00,39.00,2019-03-07,
1122,Audi A8,Sedan,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,39.00,2019-03-11,
1123,Fiat Panda,Hatchback,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,30.00,2019-03-11,
1124,Ford Focus,Hatchback,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,34.00,2019-03-11,
1125,Renault Clio,Hatchback,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,25.00,2019-03-11,
1126,SEAT Cordoba,Sedan,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,31.00,2019-03-11,
1127,SEAT Leon,Hatchback,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,26.00,2019-03-11,
1128,Suzuki Grand Vitara,SUV,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,43.00,2019-03-11,
1129,Volvo S90,Sedan,Delhi,2019-03-13,Indira Gandhi International Airport,18:30,30.00,2019-03-11,
1130,Dacia Duster,SUV,Toronto,2019-03-11,Toronto Pearson International Airport,20:00,44.00,2019-03-04,
1131,SEAT Cordoba,Sedan,Toronto,2019-03-11,Toronto Pearson International Airport,20:00,40.00,2019-03-04,
1132,Vauxhaull Astra,Hatchback,Toronto,2019-03-11,Toronto Pearson International Airport,20:00,28.00,2019-03-04,
1133,Audi A8,Sedan,Vancouver,2019-03-11,Pacific Central Station,15:00,29.00,2019-03-08,
1134,Dacia Duster,SUV,Vancouver,2019-03-11,YVR International Airport,15:00,51.00,2019-03-08,
1135,Dodge Charger,Sedan,Vancouver,2019-03-11,Pacific Central Station,15:00,34.00,2019-03-08,
1136,Ford Focus,Hatchback,Vancouver,2019-03-11,YVR International Airport,15:00,27.00,2019-03-08,
1137,Jaguar F-Pace,SUV,Vancouver,2019-03-11,YVR International Airport,15:00,49.00,2019-03-08,
1138,Kia Ceed,Hatchback,Vancouver,2019-03-11,Pacific Central Station,15:00,29.00,2019-03-08,
1139,Mazda 3,Hatchback,Vancouver,2019-03-11,YVR International Airport,15:00,27.00,2019-03-08,
1140,Nissan Qashqai,Hatchback,Vancouver,2019-03-11,Pacific Central Station,15:00,23.00,2019-03-08,
1141,Peugeot 208,Hatchback,Vancouver,2019-03-11,YVR International Airport,15:00,30.00,2019-03-08,
1142,SEAT Cordoba,Sedan,Vancouver,2019-03-11,Pacific Central Station,15:00,26.00,2019-03-08,
1143,Dacia Duster,SUV,Los Angeles,2019-03-04,LAX International Airport,13:30,42.00,2019-03-03,
1144,GMC Terrain,SUV,Los Angeles,2019-03-04,Union Station,13:30,45.00,2019-03-03,
1145,Mitsubishi Outlander,SUV,Los Angeles,2019-03-04,Union Station,13:30,37.00,2019-03-03,
1146,Skoda Kodiaq,SUV,Los Angeles,2019-03-04,LAX International Airport,13:30,46.00,2019-03-03,
1147,Suzuki Grand Vitara,SUV,Los Angeles,2019-03-04,LAX International Airport,13:30,48.00,2019-03-03,
1148,Audi A8,Sedan,Las Vegas,2019-03-07,Union Plaza,16:00,27.00,2019-03-03,
1149,Buick Regal Sportback,Sedan,Las Vegas,2019-03-07,McCarran International Airport,16:00,33.00,2019-03-03,
1150,Dodge Charger,Sedan,Las Vegas,2019-03-07,McCarran International Airport,16:00,27.00,2019-03-03,
1151,Fiat Panda,Hatchback,Las Vegas,2019-03-07,McCarran International Airport,16:00,29.00,2019-03-03,
1152,GMC Terrain,SUV,Las Vegas,2019-03-07,Union Plaza,16:00,36.00,2019-03-03,
1153,Lexus GS,Sedan,Las Vegas,2019-03-07,Union Plaza,16:00,30.00,2019-03-03,
1154,Mazda CX-5,SUV,Las Vegas,2019-03-07,McCarran International Airport,16:00,33.00,2019-03-03,
1155,Nissan Qashqai,Hatchback,Las Vegas,2019-03-07,Union Plaza,16:00,27.00,2019-03-03,
1156,Peugeot 208,Hatchback,Las Vegas,2019-03-07,McCarran International Airport,16:00,28.00,2019-03-03,
1157,Renault Clio,Hatchback,Las Vegas,2019-03-07,McCarran International Airport,16:00,27.00,2019-03-03,
1158,Dacia Duster,SUV,Chicago,2019-03-09,Chicago Union Station,15:30,43.00,2019-03-05,
1159,Dodge Charger,Sedan,Chicago,2019-03-09,O'Hare International Airport,15:30,37.00,2019-03-05,
1160,Fiat Panda,Hatchback,Chicago,2019-03-09,O'Hare International Airport,15:30,25.00,2019-03-05,
1161,GMC Terrain,SUV,Chicago,2019-03-09,O'Hare International Airport,15:30,36.00,2019-03-05,
1162,Nissan Qashqai,Hatchback,Chicago,2019-03-09,Chicago Union Station,15:30,25.00,2019-03-05,
1163,Peugeot 208,Hatchback,Chicago,2019-03-09,Chicago Union Station,15:30,21.00,2019-03-05,
1164,SEAT Leon,Hatchback,Chicago,2019-03-09,O'Hare International Airport,15:30,31.00,2019-03-05,
1165,Skoda Kodiaq,SUV,Chicago,2019-03-09,O'Hare International Airport,15:30,49.00,2019-03-05,
1166,Subaru Impreza,Sedan,Chicago,2019-03-09,O'Hare International Airport,15:30,27.00,2019-03-05,
1167,Vauxhaull Astra,Hatchback,Chicago,2019-03-09,Chicago Union Station,15:30,25.00,2019-03-05,
1168,Buick Regal Sportback,Sedan,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,38.00,2019-03-12,
1169,Dacia Duster,SUV,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,33.00,2019-03-12,
1170,GMC Terrain,SUV,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,39.00,2019-03-12,
1171,Hyundai Ioniq,Sedan,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,33.00,2019-03-12,
1172,Jaguar F-Pace,SUV,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,43.00,2019-03-12,
1173,Kia Ceed,Hatchback,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,29.00,2019-03-12,
1174,Mazda 3,Hatchback,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,29.00,2019-03-12,
1175,Peugeot 208,Hatchback,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,26.00,2019-03-12,
1176,SEAT Cordoba,Sedan,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,33.00,2019-03-12,
1177,Skoda Octavia,Sedan,Toronto,2019-03-14,Toronto Pearson International Airport,20:00,31.00,2019-03-12,
1178,Audi A8,Sedan,San Francisco,2019-03-09,Salesforce Transit Center,10:00,32.00,2019-03-07,
1179,Buick Regal Sportback,Sedan,San Francisco,2019-03-09,Salesforce Transit Center,10:00,26.00,2019-03-07,
1180,Jaguar F-Pace,SUV,San Francisco,2019-03-09,Salesforce Transit Center,10:00,40.00,2019-03-07,
1181,Lexus GS,Sedan,San Francisco,2019-03-09,Salesforce Transit Center,10:00,32.00,2019-03-07,
1182,Mazda 3,Hatchback,San Francisco,2019-03-09,Salesforce Transit Center,10:00,27.00,2019-03-07,
1183,SEAT Cordoba,Sedan,San Francisco,2019-03-09,Salesforce Transit Center,10:00,33.00,2019-03-07,
1184,Vauxhaull Astra,Hatchback,San Francisco,2019-03-09,Salesforce Transit Center,10:00,23.00,2019-03-07,
1185,Hyundai Ioniq,Sedan,San Diego,2019-03-12,Santa Fe Depot,18:30,30.00,2019-03-10,
1186,SEAT Cordoba,Sedan,San Diego,2019-03-12,Santa Fe Depot,18:30,32.00,2019-03-10,
1187,Skoda Octavia,Sedan,San Diego,2019-03-12,Santa Fe Depot,18:30,34.00,2019-03-10,
1188,Dacia Duster,SUV,Los Angeles,2019-03-11,LAX International Airport,17:30,42.00,2019-03-09,
1189,Fiat Panda,Hatchback,Los Angeles,2019-03-11,LAX International Airport,17:30,26.00,2019-03-09,
1190,Ford Focus,Hatchback,Los Angeles,2019-03-11,Union Station,17:30,26.00,2019-03-09,
1191,GMC Terrain,SUV,Los Angeles,2019-03-11,Union Station,17:30,45.00,2019-03-09,
1192,Hyundai Ioniq,Sedan,Los Angeles,2019-03-11,LAX International Airport,17:30,31.00,2019-03-09,
1193,Lexus GS,Sedan,Los Angeles,2019-03-11,Union Station,17:30,33.00,2019-03-09,
1194,Mitsubishi Outlander,SUV,Los Angeles,2019-03-11,Union Station,17:30,41.00,2019-03-09,
1195,Nissan Qashqai,Hatchback,Los Angeles,2019-03-11,LAX International Airport,17:30,25.00,2019-03-09,
1196,Renault Clio,Hatchback,Los Angeles,2019-03-11,LAX International Airport,17:30,21.00,2019-03-09,
1197,SEAT Cordoba,Sedan,Los Angeles,2019-03-11,Union Station,17:30,33.00,2019-03-09,
1198,Audi A8,Sedan,Nairobi,2019-03-13,Jomo Kenyatta International Airport,12:30,22.00,2019-03-12,
1199,Buick Regal Sportback,Sedan,Nairobi,2019-03-13,Jomo Kenyatta International Airport,12:30,22.00,2019-03-12,
1200,Ford Focus,Hatchback,Nairobi,2019-03-13,Jomo Kenyatta International Airport,12:30,21.00,2019-03-12,
1201,Nissan Qashqai,Hatchback,Nairobi,2019-03-13,Jomo Kenyatta International Airport,12:30,16.00,2019-03-12,
1202,Suzuki Grand Vitara,SUV,Nairobi,2019-03-13,Jomo Kenyatta International Airport,12:30,36.00,2019-03-12,
1203,Buick Regal Sportback,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,35.00,2019-03-03,
1204,Dacia Duster,SUV,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,43.00,2019-03-03,
1205,GMC Terrain,SUV,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,45.00,2019-03-03,
1206,Hyundai Ioniq,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,38.00,2019-03-03,
1207,Jaguar F-Pace,SUV,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,41.00,2019-03-03,
1208,Kia Ceed,Hatchback,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,33.00,2019-03-03,
1209,Mazda 3,Hatchback,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,31.00,2019-03-03,
1210,Peugeot 208,Hatchback,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,30.00,2019-03-03,
1211,SEAT Cordoba,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,31.00,2019-03-03,
1212,Skoda Octavia,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,16:00,39.00,2019-03-03,
1213,Ford Focus,Hatchback,Los Angeles,2019-03-13,Union Station,16:30,25.00,2019-03-08,
1214,GMC Terrain,SUV,Los Angeles,2019-03-13,Union Station,16:30,43.00,2019-03-08,
1215,Hyundai Ioniq,Sedan,Los Angeles,2019-03-13,LAX International Airport,16:30,37.00,2019-03-08,
1216,Lexus GS,Sedan,Los Angeles,2019-03-13,Union Station,16:30,30.00,2019-03-08,
1217,Mitsubishi Outlander,SUV,Los Angeles,2019-03-13,Union Station,16:30,39.00,2019-03-08,
1218,Nissan Qashqai,Hatchback,Los Angeles,2019-03-13,LAX International Airport,16:30,27.00,2019-03-08,
1219,SEAT Cordoba,Sedan,Los Angeles,2019-03-13,Union Station,16:30,30.00,2019-03-08,
1220,Skoda Kodiaq,SUV,Los Angeles,2019-03-13,LAX International Airport,16:30,49.00,2019-03-08,
1221,Suzuki Grand Vitara,SUV,Los Angeles,2019-03-13,LAX International Airport,16:30,30.00,2019-03-08,
1222,Volvo S90,Sedan,Los Angeles,2019-03-13,LAX International Airport,16:30,33.00,2019-03-08,
1223,Alfa Romeo Stelvio,SUV,Portland,2019-03-13,Portland Bus Station,12:00,36.00,2019-03-11,
1224,Buick Regal Sportback,Sedan,Portland,2019-03-13,PDX International Airport,12:00,32.00,2019-03-11,
1225,Citroen C5,SUV,Portland,2019-03-13,Union Station,12:00,35.00,2019-03-11,
1226,Dacia Duster,SUV,Portland,2019-03-13,Portland Bus Station,12:00,38.00,2019-03-11,
1227,Ford Focus,Hatchback,Portland,2019-03-13,PDX International Airport,12:00,30.00,2019-03-11,
1228,Hyundai Ioniq,Sedan,Portland,2019-03-13,Portland Bus Station,12:00,28.00,2019-03-11,
1229,Jaguar F-Pace,SUV,Portland,2019-03-13,PDX International Airport,12:00,43.00,2019-03-11,
1230,Kia Ceed,Hatchback,Portland,2019-03-13,Union Station,12:00,23.00,2019-03-11,
1231,Lexus GS,Sedan,Portland,2019-03-13,Portland Bus Station,12:00,31.00,2019-03-11,
1232,Mazda 3,Hatchback,Portland,2019-03-13,PDX International Airport,12:00,33.00,2019-03-11,
1233,Citroen C5,SUV,San Diego,2019-03-13,SAN International Airport,17:00,42.00,2019-03-08,
1234,Hyundai Ioniq,Sedan,San Diego,2019-03-13,Santa Fe Depot,17:00,30.00,2019-03-08,
1235,Jaguar F-Pace,SUV,San Diego,2019-03-13,Santa Fe Depot,17:00,41.00,2019-03-08,
1236,Lexus GS,Sedan,San Diego,2019-03-13,SAN International Airport,17:00,40.00,2019-03-08,
1237,Mitsubishi Outlander,SUV,San Diego,2019-03-13,SAN International Airport,17:00,46.00,2019-03-08,
1238,SEAT Leon,Hatchback,San Diego,2019-03-13,Santa Fe Depot,17:00,24.00,2019-03-08,
1239,Skoda Octavia,Sedan,San Diego,2019-03-13,SAN International Airport,17:00,36.00,2019-03-08,
1240,Vauxhaull Astra,Hatchback,San Diego,2019-03-13,Santa Fe Depot,17:00,25.00,2019-03-08,
1241,Buick Regal Sportback,Sedan,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,29.00,2019-03-11,
1242,Fiat Panda,Hatchback,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,33.00,2019-03-11,
1243,GMC Terrain,SUV,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,41.00,2019-03-11,
1244,Hyundai Ioniq,Sedan,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,34.00,2019-03-11,
1245,Mazda CX-5,SUV,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,46.00,2019-03-11,
1246,Mitsubishi Outlander,SUV,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,47.00,2019-03-11,
1247,Peugeot 208,Hatchback,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,21.00,2019-03-11,
1248,Subaru Impreza,Sedan,Phoenix,2019-03-12,Sky Harbor International Airport,11:00,35.00,2019-03-11,
1249,Audi A8,Sedan,London,2019-03-14,Heathrow International Airport,10:00,33.00,2019-03-13,
1250,Buick Regal Sportback,Sedan,London,2019-03-14,Gatwick International Airport,10:00,33.00,2019-03-13,
1251,Citroen C5,SUV,London,2019-03-14,Heathrow International Airport,10:00,48.00,2019-03-13,
1252,Dacia Duster,SUV,London,2019-03-14,Heathrow International Airport,10:00,39.00,2019-03-13,
1253,Fiat Panda,Hatchback,London,2019-03-14,Heathrow International Airport,10:00,24.00,2019-03-13,
1254,Ford Focus,Hatchback,London,2019-03-14,Gatwick International Airport,10:00,23.00,2019-03-13,
1255,GMC Terrain,SUV,London,2019-03-14,Heathrow International Airport,10:00,38.00,2019-03-13,
1256,Hyundai Ioniq,Sedan,London,2019-03-14,Gatwick International Airport,10:00,29.00,2019-03-13,
1257,Lexus GS,Sedan,London,2019-03-14,Heathrow International Airport,10:00,27.00,2019-03-13,
1258,Mazda 3,Hatchback,London,2019-03-14,Gatwick International Airport,10:00,25.00,2019-03-13,
1259,Hyundai Ioniq,Sedan,San Diego,2019-03-14,Santa Fe Depot,15:30,29.00,2019-03-09,
1260,Skoda Octavia,Sedan,San Diego,2019-03-14,SAN International Airport,15:30,28.00,2019-03-09,
1261,Citroen C5,SUV,Mexico City,2019-03-14,Benito Juarez International Airport,12:00,35.00,2019-03-10,
1262,Dodge Charger,Sedan,Mexico City,2019-03-14,Benito Juarez International Airport,12:00,21.00,2019-03-10,
1263,Fiat Panda,Hatchback,Mexico City,2019-03-14,Benito Juarez International Airport,12:00,18.00,2019-03-10,
1264,GMC Terrain,SUV,Mexico City,2019-03-14,Benito Juarez International Airport,12:00,27.00,2019-03-10,
1265,Hyundai Ioniq,Sedan,Mexico City,2019-03-14,Benito Juarez International Airport,12:00,23.00,2019-03-10,
1266,Jaguar F-Pace,SUV,Mexico City,2019-03-14,Estacion Buenavista,12:00,31.00,2019-03-10,
1267,Lexus GS,Sedan,Mexico City,2019-03-14,Estacion Buenavista,12:00,19.00,2019-03-10,
1268,Mazda 3,Hatchback,Mexico City,2019-03-14,Estacion Buenavista,12:00,16.00,2019-03-10,
1269,Mazda CX-5,SUV,Mexico City,2019-03-14,Benito Juarez International Airport,12:00,29.00,2019-03-10,
1270,Mitsubishi Outlander,SUV,Mexico City,2019-03-14,Estacion Buenavista,12:00,29.00,2019-03-10,
1271,Dodge Charger,Sedan,Mexico City,2019-03-14,Benito Juarez International Airport,11:00,21.00,2019-03-10,
1272,Hyundai Ioniq,Sedan,Mexico City,2019-03-14,Benito Juarez International Airport,11:00,23.00,2019-03-10,
1273,Lexus GS,Sedan,Mexico City,2019-03-14,Estacion Buenavista,11:00,19.00,2019-03-10,
1274,Skoda Octavia,Sedan,Mexico City,2019-03-14,Benito Juarez International Airport,11:00,21.00,2019-03-10,
1275,Subaru Impreza,Sedan,Mexico City,2019-03-14,Benito Juarez International Airport,11:00,22.00,2019-03-10,
1276,Volvo S90,Sedan,Mexico City,2019-03-14,Estacion Buenavista,11:00,24.00,2019-03-10,
1277,Audi A8,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,19:30,28.00,2019-03-05,
1278,Buick Regal Sportback,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,19:30,32.00,2019-03-05,
1279,Jaguar F-Pace,SUV,San Francisco,2019-03-08,Salesforce Transit Center,19:30,41.00,2019-03-05,
1280,Lexus GS,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,19:30,29.00,2019-03-05,
1281,Mazda 3,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,19:30,26.00,2019-03-05,
1282,SEAT Cordoba,Sedan,San Francisco,2019-03-08,Salesforce Transit Center,19:30,27.00,2019-03-05,
1283,Vauxhaull Astra,Hatchback,San Francisco,2019-03-08,Salesforce Transit Center,19:30,29.00,2019-03-05,
1284,Buick Regal Sportback,Sedan,Toronto,2019-03-08,Toronto Pearson International Airport,17:00,36.00,2019-03-05,
1285,Hyundai Ioniq,Sedan,Toronto,2019-03-08,Toronto Pearson International Airport,17:00,33.00,2019-03-05,
1286,SEAT Cordoba,Sedan,Toronto,2019-03-08,Toronto Pearson International Airport,17:00,45.00,2019-03-05,
1287,Skoda Octavia,Sedan,Toronto,2019-03-08,Toronto Pearson International Airport,17:00,32.00,2019-03-05,
1288,Audi A8,Sedan,London,2019-03-14,Heathrow International Airport,09:30,30.00,2019-03-12,
1289,Buick Regal Sportback,Sedan,London,2019-03-14,Gatwick International Airport,09:30,31.00,2019-03-12,
1290,Citroen C5,SUV,London,2019-03-14,Heathrow International Airport,09:30,42.00,2019-03-12,
1291,Dacia Duster,SUV,London,2019-03-14,Heathrow International Airport,09:30,38.00,2019-03-12,
1292,Fiat Panda,Hatchback,London,2019-03-14,Heathrow International Airport,09:30,23.00,2019-03-12,
1293,Ford Focus,Hatchback,London,2019-03-14,Gatwick International Airport,09:30,21.00,2019-03-12,
1294,GMC Terrain,SUV,London,2019-03-14,Heathrow International Airport,09:30,45.00,2019-03-12,
1295,Hyundai Ioniq,Sedan,London,2019-03-14,Gatwick International Airport,09:30,37.00,2019-03-12,
1296,Lexus GS,Sedan,London,2019-03-14,Heathrow International Airport,09:30,34.00,2019-03-12,
1297,Mazda 3,Hatchback,London,2019-03-14,Gatwick International Airport,09:30,30.00,2019-03-12,
1298,Audi A8,Sedan,London,2019-03-06,Heathrow International Airport,15:30,32.00,2019-03-03,
1299,Buick Regal Sportback,Sedan,London,2019-03-06,Gatwick International Airport,15:30,36.00,2019-03-03,
1300,Hyundai Ioniq,Sedan,London,2019-03-06,Gatwick International Airport,15:30,26.00,2019-03-03,
1301,Lexus GS,Sedan,London,2019-03-06,Heathrow International Airport,15:30,29.00,2019-03-03,
1302,SEAT Cordoba,Sedan,London,2019-03-06,Heathrow International Airport,15:30,35.00,2019-03-03,
1303,Volvo S90,Sedan,London,2019-03-06,Heathrow International Airport,15:30,32.00,2019-03-03,
1304,Buick Regal Sportback,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,35.00,2019-03-03,
1305,Dacia Duster,SUV,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,43.00,2019-03-03,
1306,GMC Terrain,SUV,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,45.00,2019-03-03,
1307,Hyundai Ioniq,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,38.00,2019-03-03,
1308,Jaguar F-Pace,SUV,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,41.00,2019-03-03,
1309,Kia Ceed,Hatchback,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,33.00,2019-03-03,
1310,Mazda 3,Hatchback,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,31.00,2019-03-03,
1311,Peugeot 208,Hatchback,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,30.00,2019-03-03,
1312,SEAT Cordoba,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,31.00,2019-03-03,
1313,Skoda Octavia,Sedan,Toronto,2019-03-06,Toronto Pearson International Airport,20:00,39.00,2019-03-03,
1314,Dodge Charger,Sedan,Chicago,2019-03-07,O'Hare International Airport,19:30,42.00,2019-03-04,
1315,Fiat Panda,Hatchback,Chicago,2019-03-07,O'Hare International Airport,19:30,29.00,2019-03-04,
1316,GMC Terrain,SUV,Chicago,2019-03-07,O'Hare International Airport,19:30,41.00,2019-03-04,
1317,SEAT Leon,Hatchback,Chicago,2019-03-07,O'Hare International Airport,19:30,30.00,2019-03-04,
1318,Skoda Kodiaq,SUV,Chicago,2019-03-07,O'Hare International Airport,19:30,42.00,2019-03-04,
1319,Subaru Impreza,Sedan,Chicago,2019-03-07,O'Hare International Airport,19:30,30.00,2019-03-04,
1320,Hyundai Ioniq,Sedan,Los Angeles,2019-03-10,LAX International Airport,16:30,32.00,2019-03-07,
1321,Lexus GS,Sedan,Los Angeles,2019-03-10,Union Station,16:30,28.00,2019-03-07,
1322,SEAT Cordoba,Sedan,Los Angeles,2019-03-10,Union Station,16:30,31.00,2019-03-07,
1323,Volvo S90,Sedan,Los Angeles,2019-03-10,LAX International Airport,16:30,34.00,2019-03-07,
1324,Buick Regal Sportback,Sedan,Atlanta,2019-03-10,Hartsfield-Jackson International Airport,15:30,34.00,2019-03-07,
1325,Citroen C5,SUV,Atlanta,2019-03-10,Hartsfield-Jackson International Airport,15:30,44.00,2019-03-07,
1326,Dodge Charger,Sedan,Atlanta,2019-03-10,Hartsfield-Jackson International Airport,15:30,33.00,2019-03-07,
1327,Fiat Panda,Hatchback,Atlanta,2019-03-10,Hartsfield-Jackson International Airport,15:30,29.00,2019-03-07,
1328,GMC Terrain,SUV,Atlanta,2019-03-10,Peachtree Station,15:30,39.00,2019-03-07,
1329,Jaguar F-Pace,SUV,Atlanta,2019-03-10,Peachtree Station,15:30,37.00,2019-03-07,
1330,Kia Ceed,Hatchback,Atlanta,2019-03-10,Peachtree Station,15:30,25.00,2019-03-07,
1331,Mazda 3,Hatchback,Atlanta,2019-03-10,Peachtree Station,15:30,26.00,2019-03-07,
1332,Mitsubishi Outlander,SUV,Atlanta,2019-03-10,Peachtree Station,15:30,33.00,2019-03-07,
1333,Peugeot 208,Hatchback,Atlanta,2019-03-10,Hartsfield-Jackson International Airport,15:30,23.00,2019-03-07,
1334,Audi A8,Sedan,London,2019-03-12,Heathrow International Airport,13:30,36.00,2019-03-07,
1335,Buick Regal Sportback,Sedan,London,2019-03-12,Gatwick International Airport,13:30,39.00,2019-03-07,
1336,Fiat Panda,Hatchback,London,2019-03-12,Heathrow International Airport,13:30,32.00,2019-03-07,
1337,Ford Focus,Hatchback,London,2019-03-12,Gatwick International Airport,13:30,32.00,2019-03-07,
1338,Lexus GS,Sedan,London,2019-03-12,Heathrow International Airport,13:30,31.00,2019-03-07,
1339,Mazda 3,Hatchback,London,2019-03-12,Gatwick International Airport,13:30,28.00,2019-03-07,
1340,Nissan Qashqai,Hatchback,London,2019-03-12,Heathrow International Airport,13:30,31.00,2019-03-07,
1341,Renault Clio,Hatchback,London,2019-03-12,Gatwick International Airport,13:30,30.00,2019-03-07,
1342,SEAT Cordoba,Sedan,London,2019-03-12,Heathrow International Airport,13:30,35.00,2019-03-07,
1343,SEAT Leon,Hatchback,London,2019-03-12,Gatwick International Airport,13:30,31.00,2019-03-07,
1344,Hyundai Ioniq,Sedan,San Diego,2019-03-11,Santa Fe Depot,19:00,30.00,2019-03-07,
1345,Jaguar F-Pace,SUV,San Diego,2019-03-11,Santa Fe Depot,19:00,39.00,2019-03-07,
1346,SEAT Cordoba,Sedan,San Diego,2019-03-11,Santa Fe Depot,19:00,33.00,2019-03-07,
1347,SEAT Leon,Hatchback,San Diego,2019-03-11,Santa Fe Depot,19:00,26.00,2019-03-07,
1348,Skoda Octavia,Sedan,San Diego,2019-03-11,Santa Fe Depot,19:00,31.00,2019-03-07,
1349,Vauxhaull Astra,Hatchback,San Diego,2019-03-11,Santa Fe Depot,19:00,26.00,2019-03-07,
1350,Dacia Duster,SUV,Chicago,2019-03-14,Chicago Union Station,15:30,41.00,2019-03-13,
1351,Dodge Charger,Sedan,Chicago,2019-03-14,O'Hare International Airport,15:30,29.00,2019-03-13,
1352,Fiat Panda,Hatchback,Chicago,2019-03-14,O'Hare International Airport,15:30,34.00,2019-03-13,
1353,GMC Terrain,SUV,Chicago,2019-03-14,O'Hare International Airport,15:30,43.00,2019-03-13,
1354,Nissan Qashqai,Hatchback,Chicago,2019-03-14,Chicago Union Station,15:30,24.00,2019-03-13,
1355,Peugeot 208,Hatchback,Chicago,2019-03-14,Chicago Union Station,15:30,23.00,2019-03-13,
1356,SEAT Leon,Hatchback,Chicago,2019-03-14,O'Hare International Airport,15:30,30.00,2019-03-13,
1357,Skoda Kodiaq,SUV,Chicago,2019-03-14,O'Hare International Airport,15:30,54.00,2019-03-13,
1358,Subaru Impreza,Sedan,Chicago,2019-03-14,O'Hare International Airport,15:30,37.00,2019-03-13,
1359,Vauxhaull Astra,Hatchback,Chicago,2019-03-14,Chicago Union Station,15:30,22.00,2019-03-13,
1360,Audi A8,Sedan,Nairobi,2019-03-11,Jomo Kenyatta International Airport,16:30,21.00,2019-03-09,
1361,Buick Regal Sportback,Sedan,Nairobi,2019-03-11,Jomo Kenyatta International Airport,16:30,22.00,2019-03-09,
