,fare,from_location,from_station,leaving_date,leaving_time,to_location,to_station,transfers,travelers
572,65,Sacramento,Sacramento Valley Station,2019-03-03,08:30,Anaheim,Anaheim Intermodal Center,1,1
573,69,Sacramento,Sacramento Valley Station,2019-03-03,11:00,Anaheim,Anaheim Intermodal Center,1,1
574,69,Sacramento,Sacramento Valley Station,2019-03-03,12:50,Anaheim,Anaheim Intermodal Center,1,1
575,69,Sacramento,Sacramento Valley Station,2019-03-03,13:00,Anaheim,Anaheim Intermodal Center,1,1
576,63,Sacramento,Sacramento Valley Station,2019-03-03,13:30,Anaheim,Anaheim Intermodal Center,1,1
577,54,Sacramento,Sacramento Valley Station,2019-03-03,18:50,Anaheim,Anaheim Intermodal Center,1,1
578,63,Sacramento,Sacramento Valley Station,2019-03-03,19:50,Anaheim,Anaheim Intermodal Center,1,1
579,65,Sacramento,Sacramento Valley Station,2019-03-03,07:40,Anaheim,Anaheim Intermodal Center,1,4
580,65,Sacramento,Sacramento Valley Station,2019-03-03,08:30,Anaheim,Anaheim Intermodal Center,1,4
581,69,Sacramento,Sacramento Valley Station,2019-03-03,11:00,Anaheim,Anaheim Intermodal Center,1,4
582,69,Sacramento,Sacramento Valley Station,2019-03-03,12:50,Anaheim,Anaheim Intermodal Center,1,4
583,69,Sacramento,Sacramento Valley Station,2019-03-03,13:00,Anaheim,Anaheim Intermodal Center,1,4
584,63,Sacramento,Sacramento Valley Station,2019-03-03,13:30,Anaheim,Anaheim Intermodal Center,1,4
585,54,Sacramento,Sacramento Valley Station,2019-03-03,18:50,Anaheim,Anaheim Intermodal Center,1,4
586,63,Sacramento,Sacramento Valley Station,2019-03-03,19:50,Anaheim,Anaheim Intermodal Center,1,4
587,12,Anaheim,Anaheim Intermodal Center,2019-03-13,06:10,Los Angeles,Union Station,0,1
588,12,Anaheim,Anaheim Intermodal Center,2019-03-13,08:40,Los Angeles,Union Station,0,1
589,13,Anaheim,Anaheim Intermodal Center,2019-03-13,09:10,Los Angeles,Union Station,0,1
590,14,Anaheim,Anaheim Intermodal Center,2019-03-13,11:20,Los Angeles,Union Station,0,1
591,12,Anaheim,Anaheim Intermodal Center,2019-03-13,12:10,Los Angeles,Union Station,0,1
592,14,Anaheim,Anaheim Intermodal Center,2019-03-13,13:30,Los Angeles,Union Station,0,1
593,14,Anaheim,Anaheim Intermodal Center,2019-03-13,13:50,Los Angeles,Union Station,0,1
594,13,Anaheim,Anaheim Intermodal Center,2019-03-13,16:10,Los Angeles,Union Station,0,1
595,13,Anaheim,Anaheim Intermodal Center,2019-03-13,17:00,Los Angeles,Union Station,0,1
596,12,Anaheim,Anaheim Intermodal Center,2019-03-13,17:20,Los Angeles,Union Station,0,1
597,35,Washington,Union Station,2019-03-08,08:10,New York,Port Authority Station,0,1
598,35,Washington,Union Station,2019-03-08,08:20,New York,Port Authority Station,0,1
599,38,Washington,Union Station,2019-03-08,11:10,New York,Port Authority Station,0,1
600,35,Washington,Union Station,2019-03-08,12:00,New York,Port Authority Station,0,1
601,37,Washington,Union Station,2019-03-08,12:30,New York,Port Authority Station,0,1
602,38,Washington,Union Station,2019-03-08,13:40,New York,Port Authority Station,0,1
603,37,Washington,Union Station,2019-03-08,14:00,New York,Port Authority Station,0,1
604,39,Washington,Union Station,2019-03-08,19:30,New York,Port Authority Station,0,1
605,35,Washington,Union Station,2019-03-08,08:10,New York,Port Authority Station,0,4
606,69,Sacramento,Sacramento Valley Station,2019-03-01,07:40,Long Beach,Downtown Station,1,4
607,70,Sacramento,Sacramento Valley Station,2019-03-01,08:30,Long Beach,Downtown Station,1,4
608,68,Sacramento,Sacramento Valley Station,2019-03-01,11:00,Long Beach,Downtown Station,1,4
609,66,Sacramento,Sacramento Valley Station,2019-03-01,13:00,Long Beach,Downtown Station,1,4
610,65,Sacramento,Sacramento Valley Station,2019-03-01,13:20,Long Beach,Downtown Station,1,4
611,65,Sacramento,Sacramento Valley Station,2019-03-01,13:30,Long Beach,Downtown Station,1,4
612,66,Sacramento,Sacramento Valley Station,2019-03-01,19:50,Long Beach,Downtown Station,1,4
613,47,Sacramento,Sacramento Valley Station,2019-03-01,14:40,Los Angeles,Union Station,0,4
614,51,Sacramento,Sacramento Valley Station,2019-03-01,17:00,Los Angeles,Union Station,0,4
615,47,Sacramento,Sacramento Valley Station,2019-03-01,18:50,Los Angeles,Union Station,0,4
616,76,Sacramento,Sacramento Valley Station,2019-03-05,07:40,Anaheim,Anaheim Intermodal Center,1,1
617,72,Sacramento,Sacramento Valley Station,2019-03-05,08:30,Anaheim,Anaheim Intermodal Center,1,1
618,59,Sacramento,Sacramento Valley Station,2019-03-05,11:00,Anaheim,Anaheim Intermodal Center,1,1
619,69,Sacramento,Sacramento Valley Station,2019-03-05,12:50,Anaheim,Anaheim Intermodal Center,1,1
620,71,Sacramento,Sacramento Valley Station,2019-03-05,13:00,Anaheim,Anaheim Intermodal Center,1,1
621,64,Sacramento,Sacramento Valley Station,2019-03-05,13:30,Anaheim,Anaheim Intermodal Center,1,1
622,59,Sacramento,Sacramento Valley Station,2019-03-05,18:50,Anaheim,Anaheim Intermodal Center,1,1
623,68,Sacramento,Sacramento Valley Station,2019-03-05,19:50,Anaheim,Anaheim Intermodal Center,1,1
624,76,Sacramento,Sacramento Valley Station,2019-03-05,07:40,Anaheim,Anaheim Intermodal Center,1,4
625,37,Fresno,Fresno Station,2019-03-02,09:00,Los Angeles,Union Station,0,1
626,37,Fresno,Fresno Station,2019-03-02,09:50,Los Angeles,Union Station,0,1
627,36,Fresno,Fresno Station,2019-03-02,13:00,Los Angeles,Union Station,0,1
628,33,Fresno,Fresno Station,2019-03-02,13:10,Los Angeles,Union Station,0,1
629,38,Fresno,Fresno Station,2019-03-02,13:30,Los Angeles,Union Station,0,1
630,36,Fresno,Fresno Station,2019-03-02,14:00,Los Angeles,Union Station,0,1
631,38,Fresno,Fresno Station,2019-03-02,15:40,Los Angeles,Union Station,0,1
632,33,Fresno,Fresno Station,2019-03-02,16:00,Los Angeles,Union Station,0,1
633,36,Fresno,Fresno Station,2019-03-02,19:20,Los Angeles,Union Station,0,1
634,37,Fresno,Fresno Station,2019-03-02,09:00,Los Angeles,Union Station,0,3
635,58,Las Vegas,Union Plaza,2019-03-02,10:50,San Francisco,Salesforce Transit Center,0,1
636,57,Las Vegas,Union Plaza,2019-03-02,12:50,San Francisco,Salesforce Transit Center,0,1
637,54,Las Vegas,Union Plaza,2019-03-02,14:40,San Francisco,Salesforce Transit Center,0,1
638,54,Las Vegas,Union Plaza,2019-03-02,14:50,San Francisco,Salesforce Transit Center,0,1
639,56,Las Vegas,Union Plaza,2019-03-02,15:50,San Francisco,Salesforce Transit Center,0,1
640,54,Las Vegas,Union Plaza,2019-03-02,19:40,San Francisco,Salesforce Transit Center,0,1
641,58,Las Vegas,Union Plaza,2019-03-02,10:50,San Francisco,Salesforce Transit Center,0,2
642,35,Anaheim,Anaheim Intermodal Center,2019-03-12,06:40,Fresno,Fresno Station,0,1
643,43,Anaheim,Anaheim Intermodal Center,2019-03-12,08:20,Fresno,Fresno Station,0,1
644,40,Anaheim,Anaheim Intermodal Center,2019-03-12,14:20,Fresno,Fresno Station,0,1
645,38,Anaheim,Anaheim Intermodal Center,2019-03-12,15:10,Fresno,Fresno Station,0,1
646,40,Anaheim,Anaheim Intermodal Center,2019-03-12,14:20,Fresno,Fresno Station,0,3
647,55,Las Vegas,Union Plaza,2019-03-04,10:50,San Francisco,Salesforce Transit Center,0,2
648,49,Las Vegas,Union Plaza,2019-03-04,12:50,San Francisco,Salesforce Transit Center,0,2
649,51,Las Vegas,Union Plaza,2019-03-04,14:40,San Francisco,Salesforce Transit Center,0,2
650,46,Las Vegas,Union Plaza,2019-03-04,14:50,San Francisco,Salesforce Transit Center,0,2
651,55,Las Vegas,Union Plaza,2019-03-04,15:50,San Francisco,Salesforce Transit Center,0,2
652,55,Las Vegas,Union Plaza,2019-03-04,19:40,San Francisco,Salesforce Transit Center,0,2
653,22,Anaheim,Anaheim Intermodal Center,2019-03-01,06:00,San Diego,Santa Fe Depot,0,1
654,23,Anaheim,Anaheim Intermodal Center,2019-03-01,07:30,San Diego,Santa Fe Depot,0,1
655,22,Anaheim,Anaheim Intermodal Center,2019-03-01,09:20,San Diego,Santa Fe Depot,0,1
656,22,Anaheim,Anaheim Intermodal Center,2019-03-01,09:40,San Diego,Santa Fe Depot,0,1
657,22,Anaheim,Anaheim Intermodal Center,2019-03-01,14:20,San Diego,Santa Fe Depot,0,1
658,24,Anaheim,Anaheim Intermodal Center,2019-03-01,14:50,San Diego,Santa Fe Depot,0,1
659,23,Anaheim,Anaheim Intermodal Center,2019-03-01,17:50,San Diego,Santa Fe Depot,0,1
660,25,Anaheim,Anaheim Intermodal Center,2019-03-01,19:10,San Diego,Santa Fe Depot,0,1
661,22,Anaheim,Anaheim Intermodal Center,2019-03-01,19:40,San Diego,Santa Fe Depot,0,1
662,22,Anaheim,Anaheim Intermodal Center,2019-03-01,09:20,San Diego,Santa Fe Depot,0,2
663,26,San Francisco,Salesforce Transit Center,2019-03-03,07:20,Sacramento,Sacramento Valley Station,0,1
664,27,San Francisco,Salesforce Transit Center,2019-03-03,09:40,Sacramento,Sacramento Valley Station,0,1
665,22,San Francisco,Salesforce Transit Center,2019-03-03,10:00,Sacramento,Sacramento Valley Station,0,1
666,23,San Francisco,Salesforce Transit Center,2019-03-03,11:40,Sacramento,Sacramento Valley Station,0,1
667,24,San Francisco,Salesforce Transit Center,2019-03-03,12:30,Sacramento,Sacramento Valley Station,0,1
668,21,San Francisco,Salesforce Transit Center,2019-03-03,13:20,Sacramento,Sacramento Valley Station,0,1
669,23,San Francisco,Salesforce Transit Center,2019-03-03,14:10,Sacramento,Sacramento Valley Station,0,1
670,24,San Francisco,Salesforce Transit Center,2019-03-03,16:40,Sacramento,Sacramento Valley Station,0,1
671,22,San Francisco,Salesforce Transit Center,2019-03-03,17:30,Sacramento,Sacramento Valley Station,0,1
672,22,San Francisco,Salesforce Transit Center,2019-03-03,18:10,Sacramento,Sacramento Valley Station,0,1
673,80,Sacramento,Sacramento Valley Station,2019-03-13,10:20,San Diego,Santa Fe Depot,1,1
674,83,Sacramento,Sacramento Valley Station,2019-03-13,10:50,San Diego,Santa Fe Depot,1,1
675,75,Sacramento,Sacramento Valley Station,2019-03-13,11:00,San Diego,Santa Fe Depot,1,1
676,78,Sacramento,Sacramento Valley Station,2019-03-13,12:50,San Diego,Santa Fe Depot,1,1
677,75,Sacramento,Sacramento Valley Station,2019-03-13,13:00,San Diego,Santa Fe Depot,1,1
678,74,Sacramento,Sacramento Valley Station,2019-03-13,13:20,San Diego,Santa Fe Depot,1,1
679,68,Sacramento,Sacramento Valley Station,2019-03-13,13:30,San Diego,Santa Fe Depot,1,1
680,67,Sacramento,Sacramento Valley Station,2019-03-13,19:50,San Diego,Santa Fe Depot,1,1
681,77,Sacramento,Sacramento Valley Station,2019-03-06,10:20,San Diego,Santa Fe Depot,1,3
682,76,Sacramento,Sacramento Valley Station,2019-03-06,10:50,San Diego,Santa Fe Depot,1,3
683,75,Sacramento,Sacramento Valley Station,2019-03-06,11:00,San Diego,Santa Fe Depot,1,3
684,79,Sacramento,Sacramento Valley Station,2019-03-06,12:50,San Diego,Santa Fe Depot,1,3
685,69,Sacramento,Sacramento Valley Station,2019-03-06,13:00,San Diego,Santa Fe Depot,1,3
686,68,Sacramento,Sacramento Valley Station,2019-03-06,13:20,San Diego,Santa Fe Depot,1,3
687,72,Sacramento,Sacramento Valley Station,2019-03-06,13:30,San Diego,Santa Fe Depot,1,3
688,32,Fresno,Fresno Station,2019-03-14,07:00,San Francisco,Salesforce Transit Center,0,1
689,33,Fresno,Fresno Station,2019-03-14,07:50,San Francisco,Salesforce Transit Center,0,1
690,32,Fresno,Fresno Station,2019-03-14,09:00,San Francisco,Salesforce Transit Center,0,1
691,36,Fresno,Fresno Station,2019-03-14,10:20,San Francisco,Salesforce Transit Center,0,1
692,33,Fresno,Fresno Station,2019-03-14,11:20,San Francisco,Salesforce Transit Center,0,1
693,30,Fresno,Fresno Station,2019-03-14,12:20,San Francisco,Salesforce Transit Center,0,1
694,30,Fresno,Fresno Station,2019-03-14,13:10,San Francisco,Salesforce Transit Center,0,1
695,33,Fresno,Fresno Station,2019-03-14,13:30,San Francisco,Salesforce Transit Center,0,1
696,31,Fresno,Fresno Station,2019-03-14,16:50,San Francisco,Salesforce Transit Center,0,1
697,32,Portland,Portland Bus Station,2019-03-02,08:40,Seattle,King Street Station,0,1
698,29,Portland,Portland Bus Station,2019-03-02,09:30,Seattle,King Street Station,0,1
699,33,Portland,Portland Bus Station,2019-03-02,10:10,Seattle,King Street Station,0,1
700,31,Portland,Portland Bus Station,2019-03-02,11:00,Seattle,King Street Station,0,1
701,28,Portland,Portland Bus Station,2019-03-02,12:40,Seattle,King Street Station,0,1
702,32,Portland,Portland Bus Station,2019-03-02,13:30,Seattle,King Street Station,0,1
703,27,Portland,Portland Bus Station,2019-03-02,17:40,Seattle,King Street Station,0,1
704,34,Portland,Portland Bus Station,2019-03-02,17:50,Seattle,King Street Station,0,1
705,20,San Francisco,Salesforce Transit Center,2019-03-07,07:20,Sacramento,Sacramento Valley Station,0,2
706,22,San Francisco,Salesforce Transit Center,2019-03-07,09:40,Sacramento,Sacramento Valley Station,0,2
707,23,San Francisco,Salesforce Transit Center,2019-03-07,10:00,Sacramento,Sacramento Valley Station,0,2
708,19,San Francisco,Salesforce Transit Center,2019-03-07,11:40,Sacramento,Sacramento Valley Station,0,2
709,24,San Francisco,Salesforce Transit Center,2019-03-07,12:30,Sacramento,Sacramento Valley Station,0,2
710,22,San Francisco,Salesforce Transit Center,2019-03-07,13:20,Sacramento,Sacramento Valley Station,0,2
711,22,San Francisco,Salesforce Transit Center,2019-03-07,14:10,Sacramento,Sacramento Valley Station,0,2
712,23,San Francisco,Salesforce Transit Center,2019-03-07,16:40,Sacramento,Sacramento Valley Station,0,2
713,25,San Francisco,Salesforce Transit Center,2019-03-07,17:30,Sacramento,Sacramento Valley Station,0,2
714,21,San Francisco,Salesforce Transit Center,2019-03-07,18:10,Sacramento,Sacramento Valley Station,0,2
715,41,Fresno,Fresno Station,2019-03-14,07:20,Las Vegas,Union Plaza,0,1
716,45,Fresno,Fresno Station,2019-03-14,08:50,Las Vegas,Union Plaza,0,1
717,41,Fresno,Fresno Station,2019-03-14,09:10,Las Vegas,Union Plaza,0,1
718,38,Fresno,Fresno Station,2019-03-14,11:50,Las Vegas,Union Plaza,0,1
719,43,Fresno,Fresno Station,2019-03-14,12:00,Las Vegas,Union Plaza,0,1
720,35,Fresno,Fresno Station,2019-03-14,12:40,Las Vegas,Union Plaza,0,1
721,35,Fresno,Fresno Station,2019-03-14,14:30,Las Vegas,Union Plaza,0,1
722,41,Fresno,Fresno Station,2019-03-14,15:00,Las Vegas,Union Plaza,0,1
723,41,Fresno,Fresno Station,2019-03-14,17:30,Las Vegas,Union Plaza,0,1
724,39,Fresno,Fresno Station,2019-03-14,18:50,Las Vegas,Union Plaza,0,1
725,41,Fresno,Fresno Station,2019-03-14,07:20,Las Vegas,Union Plaza,0,4
726,61,Sacramento,Sacramento Valley Station,2019-03-11,10:20,San Diego,Santa Fe Depot,1,2
727,64,Sacramento,Sacramento Valley Station,2019-03-11,10:50,San Diego,Santa Fe Depot,1,2
728,76,Sacramento,Sacramento Valley Station,2019-03-11,11:00,San Diego,Santa Fe Depot,1,2
729,72,Sacramento,Sacramento Valley Station,2019-03-11,12:50,San Diego,Santa Fe Depot,1,2
730,75,Sacramento,Sacramento Valley Station,2019-03-11,13:00,San Diego,Santa Fe Depot,1,2
731,78,Sacramento,Sacramento Valley Station,2019-03-11,13:20,San Diego,Santa Fe Depot,1,2
732,79,Sacramento,Sacramento Valley Station,2019-03-11,13:30,San Diego,Santa Fe Depot,1,2
733,74,Sacramento,Sacramento Valley Station,2019-03-11,19:50,San Diego,Santa Fe Depot,1,2
734,32,San Francisco,Salesforce Transit Center,2019-03-01,09:20,Fresno,Fresno Station,0,1
735,32,San Francisco,Salesforce Transit Center,2019-03-01,10:20,Fresno,Fresno Station,0,1
736,34,San Francisco,Salesforce Transit Center,2019-03-01,12:20,Fresno,Fresno Station,0,1
737,29,San Francisco,Salesforce Transit Center,2019-03-01,14:30,Fresno,Fresno Station,0,1
738,34,San Francisco,Salesforce Transit Center,2019-03-01,16:30,Fresno,Fresno Station,0,1
739,31,San Francisco,Salesforce Transit Center,2019-03-01,17:30,Fresno,Fresno Station,0,1
740,25,San Francisco,Salesforce Transit Center,2019-03-01,18:20,Fresno,Fresno Station,0,1
741,32,San Francisco,Salesforce Transit Center,2019-03-01,09:20,Fresno,Fresno Station,0,3
742,32,San Francisco,Salesforce Transit Center,2019-03-01,10:20,Fresno,Fresno Station,0,3
743,34,San Francisco,Salesforce Transit Center,2019-03-01,12:20,Fresno,Fresno Station,0,3
744,29,San Francisco,Salesforce Transit Center,2019-03-01,14:30,Fresno,Fresno Station,0,3
745,34,San Francisco,Salesforce Transit Center,2019-03-01,16:30,Fresno,Fresno Station,0,3
746,31,San Francisco,Salesforce Transit Center,2019-03-01,17:30,Fresno,Fresno Station,0,3
747,25,San Francisco,Salesforce Transit Center,2019-03-01,18:20,Fresno,Fresno Station,0,3
748,33,Fresno,Fresno Station,2019-03-14,07:50,San Francisco,Salesforce Transit Center,0,3
749,36,Fresno,Fresno Station,2019-03-05,09:50,Long Beach,Downtown Station,0,1
750,36,Fresno,Fresno Station,2019-03-05,12:30,Long Beach,Downtown Station,0,1
751,43,Fresno,Fresno Station,2019-03-05,13:40,Long Beach,Downtown Station,0,1
752,35,Fresno,Fresno Station,2019-03-05,17:10,Long Beach,Downtown Station,0,1
753,37,Fresno,Fresno Station,2019-03-05,18:40,Long Beach,Downtown Station,0,1
754,42,Fresno,Fresno Station,2019-03-05,19:00,Long Beach,Downtown Station,0,1
755,36,Fresno,Fresno Station,2019-03-05,09:50,Long Beach,Downtown Station,0,2
756,42,Long Beach,Downtown Station,2019-03-09,11:10,Fresno,Fresno Station,0,1
757,37,Long Beach,Downtown Station,2019-03-09,13:50,Fresno,Fresno Station,0,1
758,36,Long Beach,Downtown Station,2019-03-09,14:50,Fresno,Fresno Station,0,1
759,41,Long Beach,Downtown Station,2019-03-09,15:20,Fresno,Fresno Station,0,1
760,37,Long Beach,Downtown Station,2019-03-09,16:10,Fresno,Fresno Station,0,1
761,39,Long Beach,Downtown Station,2019-03-09,19:50,Fresno,Fresno Station,0,1
762,37,Long Beach,Downtown Station,2019-03-09,13:50,Fresno,Fresno Station,0,2
763,52,Las Vegas,Union Plaza,2019-03-14,10:50,San Francisco,Salesforce Transit Center,0,1
764,57,Las Vegas,Union Plaza,2019-03-14,12:50,San Francisco,Salesforce Transit Center,0,1
765,51,Las Vegas,Union Plaza,2019-03-14,14:40,San Francisco,Salesforce Transit Center,0,1
766,57,Las Vegas,Union Plaza,2019-03-14,14:50,San Francisco,Salesforce Transit Center,0,1
767,49,Las Vegas,Union Plaza,2019-03-14,15:50,San Francisco,Salesforce Transit Center,0,1
768,50,Las Vegas,Union Plaza,2019-03-14,19:40,San Francisco,Salesforce Transit Center,0,1
769,69,Sacramento,Sacramento Valley Station,2019-03-14,08:30,Long Beach,Downtown Station,1,4
770,12,Los Angeles,Union Station,2019-03-04,06:30,Long Beach,Downtown Station,0,4
771,9,Los Angeles,Union Station,2019-03-04,06:40,Long Beach,Downtown Station,0,4
772,13,Los Angeles,Union Station,2019-03-04,07:00,Long Beach,Downtown Station,0,4
773,11,Los Angeles,Union Station,2019-03-04,07:40,Long Beach,Downtown Station,0,4
774,12,Los Angeles,Union Station,2019-03-04,09:00,Long Beach,Downtown Station,0,4
775,12,Los Angeles,Union Station,2019-03-04,10:40,Long Beach,Downtown Station,0,4
776,12,Los Angeles,Union Station,2019-03-04,10:50,Long Beach,Downtown Station,0,4
777,12,Los Angeles,Union Station,2019-03-04,11:00,Long Beach,Downtown Station,0,4
778,13,Los Angeles,Union Station,2019-03-04,11:50,Long Beach,Downtown Station,0,4
779,11,Los Angeles,Union Station,2019-03-04,12:50,Long Beach,Downtown Station,0,4
780,25,Anaheim,Anaheim Intermodal Center,2019-03-08,06:00,San Diego,Santa Fe Depot,0,1
781,23,Anaheim,Anaheim Intermodal Center,2019-03-08,07:30,San Diego,Santa Fe Depot,0,1
782,23,Anaheim,Anaheim Intermodal Center,2019-03-08,09:20,San Diego,Santa Fe Depot,0,1
783,28,Anaheim,Anaheim Intermodal Center,2019-03-08,09:40,San Diego,Santa Fe Depot,0,1
784,19,Anaheim,Anaheim Intermodal Center,2019-03-08,14:20,San Diego,Santa Fe Depot,0,1
785,20,Anaheim,Anaheim Intermodal Center,2019-03-08,14:50,San Diego,Santa Fe Depot,0,1
786,22,Anaheim,Anaheim Intermodal Center,2019-03-08,17:50,San Diego,Santa Fe Depot,0,1
787,22,Anaheim,Anaheim Intermodal Center,2019-03-08,19:10,San Diego,Santa Fe Depot,0,1
788,22,Anaheim,Anaheim Intermodal Center,2019-03-08,19:40,San Diego,Santa Fe Depot,0,1
789,25,Anaheim,Anaheim Intermodal Center,2019-03-08,06:00,San Diego,Santa Fe Depot,0,3
790,23,Anaheim,Anaheim Intermodal Center,2019-03-08,07:30,San Diego,Santa Fe Depot,0,3
791,23,Anaheim,Anaheim Intermodal Center,2019-03-08,09:20,San Diego,Santa Fe Depot,0,3
792,28,Anaheim,Anaheim Intermodal Center,2019-03-08,09:40,San Diego,Santa Fe Depot,0,3
793,19,Anaheim,Anaheim Intermodal Center,2019-03-08,14:20,San Diego,Santa Fe Depot,0,3
794,20,Anaheim,Anaheim Intermodal Center,2019-03-08,14:50,San Diego,Santa Fe Depot,0,3
795,22,Anaheim,Anaheim Intermodal Center,2019-03-08,17:50,San Diego,Santa Fe Depot,0,3
796,22,Anaheim,Anaheim Intermodal Center,2019-03-08,19:10,San Diego,Santa Fe Depot,0,3
797,22,Anaheim,Anaheim Intermodal Center,2019-03-08,19:40,San Diego,Santa Fe Depot,0,3
798,24,Anaheim,Anaheim Intermodal Center,2019-03-10,06:00,San Diego,Santa Fe Depot,0,1
799,24,Anaheim,Anaheim Intermodal Center,2019-03-10,07:30,San Diego,Santa Fe Depot,0,1
800,22,Anaheim,Anaheim Intermodal Center,2019-03-10,09:20,San Diego,Santa Fe Depot,0,1
801,24,Anaheim,Anaheim Intermodal Center,2019-03-10,09:40,San Diego,Santa Fe Depot,0,1
802,24,Anaheim,Anaheim Intermodal Center,2019-03-10,14:20,San Diego,Santa Fe Depot,0,1
803,21,Anaheim,Anaheim Intermodal Center,2019-03-10,14:50,San Diego,Santa Fe Depot,0,1
804,24,Anaheim,Anaheim Intermodal Center,2019-03-10,17:50,San Diego,Santa Fe Depot,0,1
805,23,Anaheim,Anaheim Intermodal Center,2019-03-10,19:10,San Diego,Santa Fe Depot,0,1
806,20,Anaheim,Anaheim Intermodal Center,2019-03-10,19:40,San Diego,Santa Fe Depot,0,1
807,43,San Diego,Santa Fe Depot,2019-03-04,08:50,Fresno,Fresno Station,0,1
808,48,San Diego,Santa Fe Depot,2019-03-04,10:30,Fresno,Fresno Station,0,1
809,49,San Diego,Santa Fe Depot,2019-03-04,13:30,Fresno,Fresno Station,0,1
810,41,San Diego,Santa Fe Depot,2019-03-04,13:40,Fresno,Fresno Station,0,1
811,42,San Diego,Santa Fe Depot,2019-03-04,17:20,Fresno,Fresno Station,0,1
812,50,San Diego,Santa Fe Depot,2019-03-04,19:50,Fresno,Fresno Station,0,1
813,43,San Diego,Santa Fe Depot,2019-03-04,08:50,Fresno,Fresno Station,0,2
814,34,New York,Port Authority Station,2019-03-14,06:00,Washington,Union Station,0,2
815,37,New York,Port Authority Station,2019-03-14,09:40,Washington,Union Station,0,2
816,32,New York,Port Authority Station,2019-03-14,11:10,Washington,Union Station,0,2
817,36,New York,Port Authority Station,2019-03-14,12:40,Washington,Union Station,0,2
818,34,New York,Port Authority Station,2019-03-14,12:50,Washington,Union Station,0,2
819,39,New York,Port Authority Station,2019-03-14,13:10,Washington,Union Station,0,2
820,37,New York,Port Authority Station,2019-03-14,14:30,Washington,Union Station,0,2
821,33,New York,Port Authority Station,2019-03-14,17:10,Washington,Union Station,0,2
822,11,Long Beach,Downtown Station,2019-03-13,06:40,Los Angeles,Union Station,0,1
823,12,Long Beach,Downtown Station,2019-03-13,07:40,Los Angeles,Union Station,0,1
824,12,Long Beach,Downtown Station,2019-03-13,10:40,Los Angeles,Union Station,0,1
825,12,Long Beach,Downtown Station,2019-03-13,11:30,Los Angeles,Union Station,0,1
826,13,Long Beach,Downtown Station,2019-03-13,12:50,Los Angeles,Union Station,0,1
827,12,Long Beach,Downtown Station,2019-03-13,13:40,Los Angeles,Union Station,0,1
828,14,Long Beach,Downtown Station,2019-03-13,13:50,Los Angeles,Union Station,0,1
829,12,Long Beach,Downtown Station,2019-03-13,15:20,Los Angeles,Union Station,0,1
830,10,Long Beach,Downtown Station,2019-03-13,16:00,Los Angeles,Union Station,0,1
831,12,Long Beach,Downtown Station,2019-03-13,16:30,Los Angeles,Union Station,0,1
832,11,Long Beach,Downtown Station,2019-03-13,06:40,Los Angeles,Union Station,0,3
833,34,Portland,Portland Bus Station,2019-03-09,06:50,Vancouver,Pacific Central Station,0,1
834,40,Portland,Portland Bus Station,2019-03-09,08:10,Vancouver,Pacific Central Station,0,1
835,40,Portland,Portland Bus Station,2019-03-09,10:20,Vancouver,Pacific Central Station,0,1
836,41,Portland,Portland Bus Station,2019-03-09,10:50,Vancouver,Pacific Central Station,0,1
837,41,Portland,Portland Bus Station,2019-03-09,16:30,Vancouver,Pacific Central Station,0,1
838,41,Portland,Portland Bus Station,2019-03-09,18:00,Vancouver,Pacific Central Station,0,1
839,44,Portland,Portland Bus Station,2019-03-09,18:20,Vancouver,Pacific Central Station,0,1
840,37,Portland,Portland Bus Station,2019-03-09,19:20,Vancouver,Pacific Central Station,0,1
841,40,Portland,Portland Bus Station,2019-03-09,08:10,Vancouver,Pacific Central Station,0,4
842,45,Las Vegas,Union Plaza,2019-03-11,07:10,Fresno,Fresno Station,0,1
843,41,Las Vegas,Union Plaza,2019-03-11,07:50,Fresno,Fresno Station,0,1
844,43,Las Vegas,Union Plaza,2019-03-11,11:20,Fresno,Fresno Station,0,1
845,46,Las Vegas,Union Plaza,2019-03-11,12:20,Fresno,Fresno Station,0,1
846,46,Las Vegas,Union Plaza,2019-03-11,14:00,Fresno,Fresno Station,0,1
847,41,Las Vegas,Union Plaza,2019-03-11,14:10,Fresno,Fresno Station,0,1
848,40,Las Vegas,Union Plaza,2019-03-11,14:50,Fresno,Fresno Station,0,1
849,37,Las Vegas,Union Plaza,2019-03-11,15:40,Fresno,Fresno Station,0,1
850,38,Las Vegas,Union Plaza,2019-03-11,16:00,Fresno,Fresno Station,0,1
851,40,Las Vegas,Union Plaza,2019-03-11,16:20,Fresno,Fresno Station,0,1
852,28,Sacramento,Sacramento Valley Station,2019-03-01,07:30,Fresno,Fresno Station,0,1
853,33,Sacramento,Sacramento Valley Station,2019-03-01,10:40,Fresno,Fresno Station,0,1
854,33,Sacramento,Sacramento Valley Station,2019-03-01,11:00,Fresno,Fresno Station,0,1
855,32,Sacramento,Sacramento Valley Station,2019-03-01,13:30,Fresno,Fresno Station,0,1
856,33,Sacramento,Sacramento Valley Station,2019-03-01,18:40,Fresno,Fresno Station,0,1
857,33,Sacramento,Sacramento Valley Station,2019-03-01,19:50,Fresno,Fresno Station,0,1
858,29,Sacramento,Sacramento Valley Station,2019-03-05,07:30,Fresno,Fresno Station,0,1
859,31,Sacramento,Sacramento Valley Station,2019-03-05,10:40,Fresno,Fresno Station,0,1
