,airlines,departure_date,destination,destination_airport,fare,is_redeye,number_stops,origin,origin_airport,outbound_arrival_time,outbound_departure_time,passengers,seating_class,inbound_arrival_time,inbound_departure_time,return_date
361,United Airlines,2019-03-07,San Francisco,SFO International Airport,292,False,1,Washington,Dulles International Airport,14:11,08:00,1,Economy,,,
362,United Airlines,2019-03-07,San Francisco,SFO International Airport,298,False,1,Washington,Dulles International Airport,14:11,08:00,1,Economy,18:25,05:50,2019-03-09
363,Alaska Airlines,2019-03-08,New York,JFK International Airport,245,True,1,San Diego,SAN International Airport,03:15,15:20,1,Economy,,,
364,Alaska Airlines,2019-03-08,San Francisco,SFO International Airport,115,False,0,San Diego,SAN International Airport,12:50,11:10,2,Economy,,,
365,American Airlines,2019-03-08,San Francisco,SFO International Airport,107,False,0,San Diego,SAN International Airport,23:00,21:20,2,Economy,,,
366,Delta Airlines,2019-03-08,San Francisco,SFO International Airport,102,False,0,San Diego,SAN International Airport,21:35,19:55,2,Economy,,,
367,Southwest Airlines,2019-03-08,San Francisco,SFO International Airport,102,False,0,San Diego,SAN International Airport,08:40,07:00,2,Economy,,,
368,American Airlines,2019-03-08,San Francisco,SFO International Airport,132,False,1,San Diego,SAN International Airport,23:00,21:20,2,Economy,16:19,12:15,2019-03-10
369,Southwest Airlines,2019-03-12,Atlanta,Hartsfield-Jackson International Airport,262,False,1,San Diego,SAN International Airport,23:07,13:20,1,Economy,,,
370,Southwest Airlines,2019-03-12,Atlanta,Hartsfield-Jackson International Airport,275,False,1,San Diego,SAN International Airport,23:07,13:20,1,Economy,15:45,12:05,2019-03-14
371,American Airlines,2019-03-11,Chicago,O'Hare International Airport,122,False,0,Philadelphia,PHL International Airport,11:21,10:10,1,Economy,,,
372,Delta Airlines,2019-03-11,Chicago,O'Hare International Airport,135,False,0,Philadelphia,PHL International Airport,13:31,12:20,1,Economy,,,
373,Southwest Airlines,2019-03-11,Chicago,O'Hare International Airport,134,False,0,Philadelphia,PHL International Airport,21:46,20:35,1,Economy,,,
374,United Airlines,2019-03-11,Chicago,O'Hare International Airport,122,False,0,Philadelphia,PHL International Airport,12:41,11:30,1,Economy,,,
375,American Airlines,2019-03-11,Chicago,O'Hare International Airport,121,False,0,Philadelphia,PHL International Airport,11:21,10:10,4,Economy,21:51,18:40,2019-03-13
376,Air Canada,2019-03-07,Chicago,O'Hare International Airport,103,False,0,Toronto,Toronto Pearson International Airport,17:18,16:40,1,Economy,,,
377,American Airlines,2019-03-07,Chicago,O'Hare International Airport,113,False,0,Toronto,Toronto Pearson International Airport,10:43,10:05,1,Economy,,,
378,Delta Airlines,2019-03-07,Chicago,O'Hare International Airport,95,False,0,Toronto,Toronto Pearson International Airport,07:53,07:15,1,Economy,,,
379,American Airlines,2019-03-07,Chicago,O'Hare International Airport,115,False,0,Toronto,Toronto Pearson International Airport,10:43,10:05,1,Economy,18:58,16:20,2019-03-09
380,Delta Airlines,2019-03-12,San Diego,SAN International Airport,431,False,1,Atlanta,Hartsfield-Jackson International Airport,09:45,06:50,1,Premium Economy,,,
381,Southwest Airlines,2019-03-12,San Diego,SAN International Airport,452,False,1,Atlanta,Hartsfield-Jackson International Airport,23:15,17:55,1,Premium Economy,,,
382,United Airlines,2019-03-12,San Diego,SAN International Airport,379,False,1,Atlanta,Hartsfield-Jackson International Airport,21:05,18:15,1,Premium Economy,,,
383,Southwest Airlines,2019-03-12,San Diego,SAN International Airport,475,False,1,Atlanta,Hartsfield-Jackson International Airport,12:00,06:30,4,Premium Economy,18:31,07:00,2019-03-14
384,American Airlines,2019-03-11,Vancouver,YVR International Airport,199,False,1,Las Vegas,McCarran International Airport,13:59,09:30,1,Economy,,,
385,Delta Airlines,2019-03-11,Vancouver,YVR International Airport,211,False,1,Las Vegas,McCarran International Airport,19:49,12:20,1,Economy,,,
386,Southwest Airlines,2019-03-11,Vancouver,YVR International Airport,204,False,1,Las Vegas,McCarran International Airport,19:49,14:35,1,Economy,,,
387,United Airlines,2019-03-11,Vancouver,YVR International Airport,210,False,1,Las Vegas,McCarran International Airport,19:49,12:05,1,Economy,,,
388,Delta Airlines,2019-03-11,Vancouver,YVR International Airport,225,False,1,Las Vegas,McCarran International Airport,19:49,12:20,1,Economy,09:15,03:20,2019-03-13
389,Alaska Airlines,2019-03-02,Los Angeles,LAX International Airport,147,False,0,Seattle,Seattle-Tacoma International Airport,18:32,15:45,1,Economy,,,
390,American Airlines,2019-03-02,Los Angeles,LAX International Airport,137,False,0,Seattle,Seattle-Tacoma International Airport,11:02,08:15,1,Economy,,,
391,Delta Airlines,2019-03-02,Los Angeles,LAX International Airport,137,False,0,Seattle,Seattle-Tacoma International Airport,11:32,08:45,1,Economy,,,
392,Southwest Airlines,2019-03-02,Los Angeles,LAX International Airport,141,False,0,Seattle,Seattle-Tacoma International Airport,08:12,05:25,1,Economy,,,
393,United Airlines,2019-03-02,Los Angeles,LAX International Airport,109,False,0,Seattle,Seattle-Tacoma International Airport,15:17,12:30,1,Economy,,,
394,Alaska Airlines,2019-03-02,Los Angeles,LAX International Airport,155,False,0,Seattle,Seattle-Tacoma International Airport,18:32,15:45,1,Economy,21:57,19:10,2019-03-04
395,Alaska Airlines,2019-03-01,London,Heathrow International Airport,423,True,1,Los Angeles,LAX International Airport,10:47,09:30,1,Economy,,,
396,American Airlines,2019-03-01,London,Heathrow International Airport,394,True,1,Los Angeles,LAX International Airport,07:34,09:05,1,Economy,,,
397,Delta Airlines,2019-03-01,London,Heathrow International Airport,289,True,0,Los Angeles,LAX International Airport,06:04,10:15,1,Economy,,,
398,Southwest Airlines,2019-03-01,London,Heathrow International Airport,234,True,0,Los Angeles,LAX International Airport,18:14,22:25,1,Economy,,,
399,United Airlines,2019-03-01,London,Heathrow International Airport,266,True,0,Los Angeles,LAX International Airport,16:04,20:15,1,Economy,,,
400,American Airlines,2019-03-01,London,Heathrow International Airport,357,True,1,Los Angeles,LAX International Airport,07:34,09:05,2,Economy,20:54,15:05,2019-03-03
401,Alaska Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,208,False,0,San Francisco,SFO International Airport,08:31,06:20,1,Premium Economy,,,
402,Delta Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,213,False,0,San Francisco,SFO International Airport,10:11,08:00,1,Premium Economy,,,
403,Southwest Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,177,False,0,San Francisco,SFO International Airport,10:36,08:25,1,Premium Economy,,,
404,United Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,186,False,0,San Francisco,SFO International Airport,17:16,15:05,1,Premium Economy,,,
405,Alaska Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,207,False,0,San Francisco,SFO International Airport,08:31,06:20,1,Premium Economy,14:11,12:00,2019-03-10
406,American Airlines,2019-03-11,Los Angeles,LAX International Airport,215,False,0,Mexico City,Benito Juarez International Airport,09:25,08:05,2,Premium Economy,,,
407,American Airlines,2019-03-11,Los Angeles,LAX International Airport,235,False,0,Mexico City,Benito Juarez International Airport,09:25,08:05,2,Premium Economy,20:05,14:45,2019-03-13
408,Alaska Airlines,2019-03-11,Portland,PDX International Airport,148,False,0,San Diego,SAN International Airport,16:04,13:20,1,Economy,,,
409,American Airlines,2019-03-11,Portland,PDX International Airport,152,False,0,San Diego,SAN International Airport,11:54,09:10,1,Economy,,,
410,Delta Airlines,2019-03-11,Portland,PDX International Airport,132,True,0,San Diego,SAN International Airport,00:04,21:20,1,Economy,,,
411,United Airlines,2019-03-11,Portland,PDX International Airport,147,False,0,San Diego,SAN International Airport,23:14,20:30,1,Economy,,,
412,Alaska Airlines,2019-03-11,Portland,PDX International Airport,154,False,0,San Diego,SAN International Airport,16:04,13:20,1,Economy,20:24,17:40,2019-03-13
413,Alaska Airlines,2019-03-12,Portland,PDX International Airport,129,False,0,Los Angeles,LAX International Airport,09:55,07:25,1,Economy,,,
414,American Airlines,2019-03-12,Portland,PDX International Airport,113,True,0,Los Angeles,LAX International Airport,01:45,23:15,1,Economy,,,
415,Delta Airlines,2019-03-12,Portland,PDX International Airport,115,True,0,Los Angeles,LAX International Airport,00:20,21:50,1,Economy,,,
416,Southwest Airlines,2019-03-12,Portland,PDX International Airport,131,False,0,Los Angeles,LAX International Airport,19:00,16:30,1,Economy,,,
417,Alaska Airlines,2019-03-12,Portland,PDX International Airport,141,False,0,Los Angeles,LAX International Airport,07:45,05:15,1,Economy,12:40,10:10,2019-03-14
418,American Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,376,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,11:40,1,Economy,,,
419,Delta Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,413,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,12:50,1,Economy,,,
420,Southwest Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,327,True,1,Atlanta,Hartsfield-Jackson International Airport,13:06,06:30,1,Economy,,,
421,Delta Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,611,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,12:50,1,Premium Economy,,,
422,Delta Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,627,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,12:50,3,Premium Economy,17:04,17:50,2019-03-08
423,Alaska Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,266,True,0,Los Angeles,LAX International Airport,20:39,17:35,1,Economy,,,
424,American Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,347,True,1,Los Angeles,LAX International Airport,16:07,06:30,1,Economy,,,
425,Delta Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,351,True,1,Los Angeles,LAX International Airport,16:07,09:15,1,Economy,,,
426,Southwest Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,260,True,0,Los Angeles,LAX International Airport,19:09,16:05,1,Economy,,,
427,American Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,131,False,0,Los Angeles,LAX International Airport,20:05,14:45,4,Economy,,,
428,Delta Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,224,False,1,Los Angeles,LAX International Airport,18:53,09:15,4,Economy,,,
429,United Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,149,False,0,Los Angeles,LAX International Airport,09:45,04:25,4,Economy,,,
430,American Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,159,False,0,Los Angeles,LAX International Airport,20:05,14:45,4,Economy,09:25,08:05,2019-03-08
431,American Airlines,2019-03-01,Las Vegas,McCarran International Airport,76,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Economy,,,
432,Delta Airlines,2019-03-01,Las Vegas,McCarran International Airport,83,False,0,Los Angeles,LAX International Airport,23:25,22:15,1,Economy,,,
433,Southwest Airlines,2019-03-01,Las Vegas,McCarran International Airport,145,False,1,Los Angeles,LAX International Airport,15:34,13:00,1,Economy,,,
434,United Airlines,2019-03-01,Las Vegas,McCarran International Airport,83,False,0,Los Angeles,LAX International Airport,09:15,08:05,1,Economy,,,
435,American Airlines,2019-03-01,Las Vegas,McCarran International Airport,88,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Economy,10:40,09:30,2019-03-03
436,American Airlines,2019-03-06,Los Angeles,LAX International Airport,157,False,0,Chicago,O'Hare International Airport,07:02,04:30,1,Economy,,,
437,Delta Airlines,2019-03-06,Los Angeles,LAX International Airport,185,True,0,Chicago,O'Hare International Airport,01:47,23:15,1,Economy,,,
438,Southwest Airlines,2019-03-06,Los Angeles,LAX International Airport,302,False,1,Chicago,O'Hare International Airport,15:17,09:45,1,Economy,,,
439,United Airlines,2019-03-06,Los Angeles,LAX International Airport,153,False,0,Chicago,O'Hare International Airport,15:17,12:45,1,Economy,,,
440,American Airlines,2019-03-06,Los Angeles,LAX International Airport,167,False,0,Chicago,O'Hare International Airport,07:02,04:30,1,Economy,15:02,08:30,2019-03-08
441,Delta Airlines,2019-03-04,Vancouver,YVR International Airport,299,False,1,New York,JFK International Airport,11:11,06:00,3,Economy,,,
442,Delta Airlines,2019-03-04,Vancouver,YVR International Airport,318,False,1,New York,JFK International Airport,11:11,06:00,3,Economy,14:24,02:50,2019-03-06
443,American Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,288,False,1,Atlanta,Hartsfield-Jackson International Airport,21:57,15:30,1,Economy,,,
444,Delta Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,179,False,0,Atlanta,Hartsfield-Jackson International Airport,18:52,16:20,1,Economy,,,
445,Southwest Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,198,False,0,Atlanta,Hartsfield-Jackson International Airport,21:52,19:20,1,Economy,,,
446,United Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,191,False,0,Atlanta,Hartsfield-Jackson International Airport,19:52,17:20,1,Economy,,,
447,American Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,251,True,1,Atlanta,Hartsfield-Jackson International Airport,17:06,11:40,2,Economy,06:17,21:45,2019-03-07
448,American Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,223,False,0,New York,JFK International Airport,22:22,07:35,1,Economy,,,
449,Delta Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,221,True,0,New York,JFK International Airport,06:17,15:30,1,Economy,,,
450,United Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,363,True,1,New York,JFK International Airport,14:46,14:40,1,Economy,,,
451,United Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,325,True,1,New York,JFK International Airport,14:46,14:40,1,Economy,01:57,23:10,2019-03-12
452,Alaska Airlines,2019-03-06,San Diego,SAN International Airport,116,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
453,American Airlines,2019-03-06,San Diego,SAN International Airport,139,False,1,San Francisco,SFO International Airport,16:19,12:15,1,Economy,,,
454,Delta Airlines,2019-03-06,San Diego,SAN International Airport,107,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
455,Southwest Airlines,2019-03-06,San Diego,SAN International Airport,107,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
456,United Airlines,2019-03-06,San Diego,SAN International Airport,105,False,0,San Francisco,SFO International Airport,08:20,06:40,1,Economy,,,
457,Alaska Airlines,2019-03-06,San Diego,SAN International Airport,123,False,0,San Francisco,SFO International Airport,07:50,06:10,4,Economy,12:50,11:10,2019-03-08
458,Air France,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,338,False,1,Paris,Charles de Gaulle International Airport,11:31,02:25,1,Economy,,,
459,American Airlines,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,348,False,1,Paris,Charles de Gaulle International Airport,14:07,04:05,1,Economy,,,
460,Delta Airlines,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,360,False,1,Paris,Charles de Gaulle International Airport,23:41,17:35,1,Economy,,,
461,American Airlines,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,367,True,1,Paris,Charles de Gaulle International Airport,14:07,04:05,1,Economy,13:37,15:25,2019-03-05
462,Alaska Airlines,2019-03-11,San Francisco,SFO International Airport,118,False,0,San Diego,SAN International Airport,12:50,11:10,1,Economy,,,
463,American Airlines,2019-03-11,San Francisco,SFO International Airport,103,False,0,San Diego,SAN International Airport,23:00,21:20,1,Economy,,,
464,Delta Airlines,2019-03-11,San Francisco,SFO International Airport,106,False,0,San Diego,SAN International Airport,21:35,19:55,1,Economy,,,
465,Southwest Airlines,2019-03-11,San Francisco,SFO International Airport,89,False,0,San Diego,SAN International Airport,08:40,07:00,1,Economy,,,
466,United Airlines,2019-03-11,San Francisco,SFO International Airport,106,False,0,San Diego,SAN International Airport,09:00,07:20,1,Economy,,,
467,Delta Airlines,2019-03-11,San Francisco,SFO International Airport,110,False,0,San Diego,SAN International Airport,21:35,19:55,2,Economy,23:25,21:45,2019-03-13
468,Air Canada,2019-03-07,San Diego,SAN International Airport,204,False,1,Vancouver,YVR International Airport,23:04,16:45,1,Economy,,,
469,Delta Airlines,2019-03-07,San Diego,SAN International Airport,207,False,1,Vancouver,YVR International Airport,08:34,03:20,1,Economy,,,
470,Air Canada,2019-03-07,San Diego,SAN International Airport,204,False,1,Vancouver,YVR International Airport,23:04,16:45,2,Economy,,,
471,Delta Airlines,2019-03-07,San Diego,SAN International Airport,207,False,1,Vancouver,YVR International Airport,08:34,03:20,2,Economy,,,
472,Delta Airlines,2019-03-07,San Diego,SAN International Airport,221,False,1,Vancouver,YVR International Airport,08:34,03:20,2,Economy,20:12,11:05,2019-03-09
473,United Airlines,2019-03-07,San Francisco,SFO International Airport,114,True,0,Phoenix,Sky Harbor International Airport,01:57,23:50,1,Economy,,,
474,United Airlines,2019-03-07,San Francisco,SFO International Airport,125,True,0,Phoenix,Sky Harbor International Airport,01:57,23:50,1,Economy,16:22,14:15,2019-03-09
475,American Airlines,2019-03-09,Philadelphia,PHL International Airport,169,False,1,Atlanta,Hartsfield-Jackson International Airport,19:46,15:25,1,Economy,,,
476,Delta Airlines,2019-03-09,Philadelphia,PHL International Airport,183,False,1,Atlanta,Hartsfield-Jackson International Airport,19:46,15:40,1,Economy,,,
477,United Airlines,2019-03-09,Philadelphia,PHL International Airport,200,False,1,Atlanta,Hartsfield-Jackson International Airport,16:36,12:50,1,Economy,,,
478,United Airlines,2019-03-09,Philadelphia,PHL International Airport,193,False,1,Atlanta,Hartsfield-Jackson International Airport,16:36,12:50,1,Economy,09:42,04:45,2019-03-11
479,American Airlines,2019-03-05,Los Angeles,LAX International Airport,226,False,1,Atlanta,Hartsfield-Jackson International Airport,17:15,11:40,1,Economy,17:04,09:05,2019-03-12
480,Delta Airlines,2019-03-05,Los Angeles,LAX International Airport,183,True,0,Atlanta,Hartsfield-Jackson International Airport,19:39,17:40,1,Economy,04:39,20:40,2019-03-12
481,Southwest Airlines,2019-03-05,Los Angeles,LAX International Airport,249,False,1,Atlanta,Hartsfield-Jackson International Airport,15:29,13:30,1,Economy,23:41,13:40,2019-03-12
482,United Airlines,2019-03-05,Los Angeles,LAX International Airport,266,True,1,Atlanta,Hartsfield-Jackson International Airport,19:49,12:15,1,Economy,04:39,20:40,2019-03-12
483,American Airlines,2019-03-05,Chicago,O'Hare International Airport,181,True,1,Atlanta,Hartsfield-Jackson International Airport,22:16,21:15,1,Economy,01:41,20:50,2019-03-12
484,Delta Airlines,2019-03-05,Chicago,O'Hare International Airport,125,False,0,Atlanta,Hartsfield-Jackson International Airport,08:51,07:50,1,Economy,11:31,08:30,2019-03-12
485,Delta Airlines,2019-03-05,Chicago,O'Hare International Airport,120,False,0,Atlanta,Hartsfield-Jackson International Airport,08:51,07:50,3,Economy,11:31,08:30,2019-03-14
486,United Airlines,2019-03-05,Chicago,O'Hare International Airport,119,True,0,Atlanta,Hartsfield-Jackson International Airport,07:51,06:50,3,Economy,00:51,21:50,2019-03-14
487,United Airlines,2019-03-05,Chicago,O'Hare International Airport,105,False,0,Atlanta,Hartsfield-Jackson International Airport,07:51,06:50,3,Economy,,,
488,American Airlines,2019-03-06,Los Angeles,LAX International Airport,388,True,1,Paris,Charles de Gaulle International Airport,10:40,04:05,1,Economy,07:58,09:40,2019-03-13
489,Delta Airlines,2019-03-06,Los Angeles,LAX International Airport,345,True,1,Paris,Charles de Gaulle International Airport,00:32,17:35,1,Economy,06:43,08:25,2019-03-13
490,Alaska Airlines,2019-03-06,San Diego,SAN International Airport,153,False,0,Portland,PDX International Airport,20:24,17:40,1,Economy,16:04,13:20,2019-03-13
491,Delta Airlines,2019-03-06,San Diego,SAN International Airport,147,True,0,Portland,PDX International Airport,19:24,16:40,1,Economy,00:04,21:20,2019-03-13
492,Alaska Airlines,2019-03-06,San Diego,SAN International Airport,144,False,0,Portland,PDX International Airport,20:24,17:40,1,Economy,,,
493,American Airlines,2019-03-03,Chicago,O'Hare International Airport,368,False,1,Paris,Charles de Gaulle International Airport,20:22,04:05,1,Economy,22:06,05:10,2019-03-13
494,Delta Airlines,2019-03-03,Chicago,O'Hare International Airport,272,True,0,Paris,Charles de Gaulle International Airport,20:31,17:35,1,Economy,11:36,18:40,2019-03-13
495,American Airlines,2019-03-03,Chicago,O'Hare International Airport,450,False,1,Paris,Charles de Gaulle International Airport,20:22,04:05,2,Economy,,,
496,American Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,72,False,0,Portland,PDX International Airport,06:58,06:00,1,Economy,09:33,08:35,2019-03-13
497,Delta Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,73,False,0,Portland,PDX International Airport,10:33,09:35,1,Economy,08:53,07:55,2019-03-13
498,United Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,76,False,0,Portland,PDX International Airport,23:43,22:45,1,Economy,05:13,04:15,2019-03-13
499,United Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,69,False,0,Portland,PDX International Airport,23:43,22:45,1,Economy,,,
500,American Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,231,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:15,1,Economy,14:47,08:40,2019-03-14
501,Delta Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,244,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:45,1,Economy,17:06,11:55,2019-03-14
502,Southwest Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,368,False,1,Seattle,Seattle-Tacoma International Airport,10:13,05:25,1,Premium Economy,10:36,06:00,2019-03-14
503,United Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,228,True,1,Seattle,Seattle-Tacoma International Airport,01:17,20:30,1,Economy,23:43,18:10,2019-03-14
504,American Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,222,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:15,1,Economy,,,
505,American Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,238,False,1,Toronto,Toronto Pearson International Airport,14:56,10:05,1,Economy,20:28,15:25,2019-03-13
506,Delta Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,218,False,1,Toronto,Toronto Pearson International Airport,11:31,07:15,1,Economy,17:08,07:50,2019-03-13
507,United Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,227,False,1,Toronto,Toronto Pearson International Airport,23:41,17:35,1,Economy,12:33,06:15,2019-03-13
508,American Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,223,False,1,Toronto,Toronto Pearson International Airport,14:56,10:05,1,Economy,,,
509,United Airlines,2019-03-02,San Francisco,SFO International Airport,191,False,0,Atlanta,Hartsfield-Jackson International Airport,12:06,09:40,2,Economy,18:41,10:15,2019-03-10
510,United Airlines,2019-03-02,San Francisco,SFO International Airport,186,False,0,Atlanta,Hartsfield-Jackson International Airport,12:06,09:40,2,Economy,,,
511,American Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,231,True,1,Phoenix,Sky Harbor International Airport,06:37,23:25,1,Economy,16:22,11:40,2019-03-13
512,Southwest Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,189,True,0,Phoenix,Sky Harbor International Airport,06:07,22:55,1,Economy,13:17,12:05,2019-03-13
513,United Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,262,True,1,Phoenix,Sky Harbor International Airport,03:52,20:40,1,Economy,20:22,15:00,2019-03-13
514,United Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,180,True,0,Phoenix,Sky Harbor International Airport,03:52,20:40,1,Economy,,,
515,United Airlines,2019-03-04,San Francisco,SFO International Airport,188,False,0,Chicago,O'Hare International Airport,06:47,04:00,1,Economy,12:22,05:35,2019-03-12
516,United Airlines,2019-03-04,San Francisco,SFO International Airport,176,False,0,Chicago,O'Hare International Airport,06:47,04:00,4,Economy,,,
517,American Airlines,2019-03-02,Atlanta,Hartsfield-Jackson International Airport,140,False,0,New York,JFK International Airport,13:42,11:20,1,Economy,08:47,06:25,2019-03-05
518,American Airlines,2019-03-02,Atlanta,Hartsfield-Jackson International Airport,128,False,0,New York,JFK International Airport,13:42,11:20,2,Economy,,,
519,Delta Airlines,2019-03-09,New York,JFK International Airport,130,False,0,Chicago,O'Hare International Airport,14:24,11:05,1,Economy,07:19,06:00,2019-03-13
520,Delta Airlines,2019-03-09,New York,JFK International Airport,104,False,0,Chicago,O'Hare International Airport,14:24,11:05,2,Economy,,,
521,Alaska Airlines,2019-03-01,San Diego,SAN International Airport,111,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,12:50,11:10,2019-03-11
522,Alaska Airlines,2019-03-01,San Diego,SAN International Airport,91,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
523,United Airlines,2019-03-10,Chicago,O'Hare International Airport,433,True,1,Delhi,Indira Gandhi International Airport,13:37,01:10,1,Economy,20:39,12:45,2019-03-12
524,United Airlines,2019-03-10,Chicago,O'Hare International Airport,406,False,1,Delhi,Indira Gandhi International Airport,13:37,01:10,1,Economy,,,
525,American Airlines,2019-03-09,London,Heathrow International Airport,324,True,1,Atlanta,Hartsfield-Jackson International Airport,10:44,20:40,1,Economy,23:41,14:05,2019-03-13
526,Delta Airlines,2019-03-09,London,Heathrow International Airport,296,True,1,Atlanta,Hartsfield-Jackson International Airport,07:34,17:30,1,Economy,20:21,08:00,2019-03-13
527,United Airlines,2019-03-09,London,Heathrow International Airport,260,True,0,Atlanta,Hartsfield-Jackson International Airport,00:34,10:30,1,Economy,04:29,22:25,2019-03-13
528,American Airlines,2019-03-09,London,Heathrow International Airport,270,True,0,Atlanta,Hartsfield-Jackson International Airport,10:44,20:40,1,Economy,,,
529,American Airlines,2019-03-02,Philadelphia,PHL International Airport,64,False,0,New York,JFK International Airport,08:46,07:55,1,Economy,18:26,17:35,2019-03-09
530,Delta Airlines,2019-03-02,Philadelphia,PHL International Airport,65,False,0,New York,JFK International Airport,19:46,18:55,1,Economy,17:31,16:40,2019-03-09
531,Southwest Airlines,2019-03-02,Philadelphia,PHL International Airport,67,False,0,New York,JFK International Airport,05:46,04:55,1,Economy,08:36,07:45,2019-03-09
532,United Airlines,2019-03-02,Philadelphia,PHL International Airport,62,False,0,New York,JFK International Airport,11:36,10:45,1,Economy,21:51,21:00,2019-03-09
533,American Airlines,2019-03-02,Philadelphia,PHL International Airport,58,False,0,New York,JFK International Airport,08:46,07:55,3,Economy,,,
534,American Airlines,2019-03-02,Chicago,O'Hare International Airport,164,False,0,Los Angeles,LAX International Airport,15:02,08:30,1,Economy,07:02,04:30,2019-03-09
535,Delta Airlines,2019-03-02,Chicago,O'Hare International Airport,167,True,0,Los Angeles,LAX International Airport,01:47,19:15,1,Economy,19:57,17:25,2019-03-09
536,Southwest Airlines,2019-03-02,Chicago,O'Hare International Airport,227,False,1,Los Angeles,LAX International Airport,13:52,07:20,1,Economy,15:17,09:45,2019-03-09
537,Alaska Airlines,2019-03-02,Portland,PDX International Airport,178,False,1,Los Angeles,LAX International Airport,09:55,07:25,1,Economy,17:54,13:55,2019-03-09
538,American Airlines,2019-03-02,Portland,PDX International Airport,175,True,1,Los Angeles,LAX International Airport,01:45,23:15,1,Economy,11:02,06:00,2019-03-09
539,Delta Airlines,2019-03-02,Portland,PDX International Airport,173,True,1,Los Angeles,LAX International Airport,00:20,21:50,1,Economy,20:24,15:20,2019-03-09
540,Alaska Airlines,2019-03-02,Portland,PDX International Airport,133,False,0,Los Angeles,LAX International Airport,09:55,07:25,1,Economy,,,
541,American Airlines,2019-03-08,Los Angeles,LAX International Airport,368,True,1,Delhi,Indira Gandhi International Airport,20:04,19:00,1,Economy,16:07,06:30,2019-03-11
542,American Airlines,2019-03-08,Los Angeles,LAX International Airport,297,False,0,Delhi,Indira Gandhi International Airport,20:04,19:00,1,Economy,,,
