,check_in_date,destination,has_wifi,hotel_name,number_of_days,number_of_rooms,phone_number,price_per_night,star_rating,street_address
677,,Philadelphia,True,Doubletree By Hilton Hotel Philadelphia Airport,,3,+1 215-365-4150,252,3,4509 Island Avenue
678,,Philadelphia,True,Embassy Suites By Hilton Philadelphia Airport,,1,+1 215-365-4500,111,3,9000 Bartram Avenue
679,,Philadelphia,True,Fairfield Inn & Suites By Marriott Philadelphia Downtown/Center City,,1,+1 800-228-2800,52,2,261 South 13th Street
680,2019-03-06,Philadelphia,True,Aka University City,4,2,+1 215-372-9000,144,3,"Cira Centre South, 2929 Walnut Street"
681,,Toronto,False,Best Western Plus Toronto North York Hotel & Suites,,2,+1 416-663-9500,216,3,50 Norfinch Drive
682,,Toronto,False,Best Western Premier Toronto Airport Carlingview Hotel,,2,+1 416-637-7000,150,3,"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada"
683,,Toronto,False,Best Western Primrose Hotel Downtown-Toronto,,1,+1 800-780-7234,78,3,111 Carlton Street
684,,Toronto,False,Bisha Hotel Toronto,,2,+1 416-551-2800,232,3,80 Blue Jays Way
685,,Toronto,False,Bond Place Hotel Toronto,,2,+1 800-268-9390,156,3,65 Dundas Street East
686,,Toronto,False,Cambridge Suites Toronto,,1,+1 800-463-1990,136,3,15 Richmond Street East
687,,Toronto,False,Courtyard By Marriott Toronto Airport,,1,+1 416-675-0411,96,3,"231 Carlingview Drive, Etobicoke, Ontario M9W 5E8, Canada"
688,,Toronto,False,Courtyard By Marriott Toronto Downtown,,3,+1 416-924-0611,180,3,475 Yonge Street
689,,Toronto,False,Crowne Plaza Toronto Airport,,1,+1 416-675-1234,90,3,"33 Carlson Court, Etobicoke, Ontario M9W 6H5, Canada"
690,,Toronto,False,Delta Hotels By Marriott Toronto Airport & Conference Centre,,1,+1 416-244-1711,105,3,"655 Dixon Road, Etobicoke, Ontario M9W 1J3, Canada"
691,,Toronto,False,Best Western Primrose Hotel Downtown-Toronto,,2,+1 800-780-7234,270,3,111 Carlton Street
692,,Toronto,False,Cambridge Suites Toronto,,2,+1 800-463-1990,288,3,15 Richmond Street East
693,,Toronto,False,Courtyard By Marriott Toronto Airport,,2,+1 416-675-0411,222,3,"231 Carlingview Drive, Etobicoke, Ontario M9W 5E8, Canada"
694,,Toronto,False,Courtyard By Marriott Toronto Downtown,,2,+1 416-924-0611,180,3,475 Yonge Street
695,,Toronto,False,Crowne Plaza Toronto Airport,,2,+1 416-675-1234,234,3,"33 Carlson Court, Etobicoke, Ontario M9W 6H5, Canada"
696,2019-03-01,Toronto,False,Best Western Premier Toronto Airport Carlingview Hotel,1,2,+1 416-637-7000,234,3,"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada"
697,,Seattle,True,Belltown Inn,,3,+1 866-525-4704,180,2,2301 3rd Avenue
698,,Seattle,True,Best Western Plus Pioneer Square Hotel Downtown,,3,+1 206-340-1234,234,3,77 Yesler Way
699,,Seattle,True,Courtyard By Marriott Seattle Downtown/Lake Union,,3,+1 206-213-0100,324,3,925 Westlake Avenue North
700,,Seattle,True,Crowne Plaza Seattle Downtown,,2,+1 206-464-1980,192,4,1113 6th Avenue
701,,Seattle,True,Embassy Suites By Hilton Seattle Downtown Pioneer Square,,2,+1 206-859-4400,150,3,255 South King Street
702,,Seattle,True,Extended Stay America - Seattle - Northgate,,2,+1 206-365-8100,120,2,13300 Stone Avenue North
703,,Seattle,True,Four Points By Sheraton Downtown Seattle Center,,3,+1 206-282-2600,351,3,601 Roy Street
704,2019-03-09,Seattle,True,Ace Hotel Seattle,4,1,+1 206-448-4721,56,2,2423 1st Avenue
705,,Delhi,False,Aloft New Delhi Aerocity,,2,+91 11 4565 0000,176,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
706,,Delhi,False,Andaz Delhi - A Concept By Hyatt,,2,+91 11 4903 1234,320,5,"Asset, Street Number 1, New Delhi"
707,,Delhi,False,Bloomrooms @ New Delhi Railway Station,,1,+91 11 4122 5666,99,3,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
708,,Delhi,False,Calista Resort,,2,+91 11 4103 4591,228,3,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
709,,Delhi,False,Crowne Plaza New Delhi Mayur Vihar Noida,,2,+91 11 4110 2222,216,4,"13 B, District Centre, Mayur Vihar, New Delhi"
710,,Delhi,False,Crowne Plaza New Delhi Okhla,,1,+91 11 4646 2000,170,5,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
711,,Delhi,False,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,3,+91 11 2506 0721,252,3,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
712,,Delhi,False,Fortune Select Global - Hotel In Gurgaon,,1,+91 124 419 6666,92,4,"Global Arcade, Mehrauli-Gurgaon Road, Gurugram, Haryana 122002, India"
713,,Delhi,False,"Four Points By Sheraton New Delhi, Airport Highway",,3,+91 11 6604 0000,348,4,"Plot no 9, National Highway - 8, Samalka, New Delhi"
714,,Delhi,False,Haveli Dharampura,,2,+91 11 2326 1000,232,4,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
715,2019-03-03,Delhi,False,Aloft New Delhi Aerocity,2,1,+91 11 4565 0000,296,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
716,,Sydney,False,28 Hotel Sydney,,2,+61 2 9102 2828,312,4,"28 Regent Street, Chippendale New South Wales 2008, Australia"
717,,Sydney,False,57 Hotel,,2,+61 2 9011 5756,296,4,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
718,,Sydney,False,Adina Apartment Hotel Bondi Beach Sydney,,2,+61 2 9300 4800,288,4,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
719,,Sydney,False,Adina Apartment Hotel Coogee Sydney,,2,+61 2 9578 6000,256,4,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia"
720,,Sydney,False,Adina Apartment Hotel Sydney Airport,,2,+61 2 9381 2000,288,4,"17 Bourke Road, Mascot New South Wales 2020, Australia"
721,,Sydney,False,Adina Apartment Hotel Sydney Central,,2,+61 2 8396 9800,336,4,"2 Lee Street, Haymarket New South Wales 2000, Australia"
722,,Sydney,False,Adina Apartment Hotel Sydney Darling Harbour,,2,+61 2 9249 7000,240,4,55 Shelley Street
723,,Sydney,False,Adina Apartment Hotel Sydney Surry Hills,,2,+61 2 8302 1000,408,4,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
724,,Sydney,False,Adina Apartment Hotel Sydney Town Hall,,2,+61 2 9274 0000,456,4,511 Kent Street
725,,Sydney,False,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),,2,+61 1300 633 462,276,4,1 Hosking Place
726,2019-03-01,Sydney,False,28 Hotel Sydney,1,2,+61 2 9102 2828,256,4,"28 Regent Street, Chippendale New South Wales 2008, Australia"
727,,Washington D.C.,True,Arc The.Hotel,,2,+1 202-337-6620,210,3,"824 New Hampshire Avenue Northwest, Washington, District of Columbia 20037, United States"
728,,Washington D.C.,True,"Cambria Hotel Washington, D.C. Convention Center",,3,+1 202-299-1188,261,3,"899 O Street Northwest, Washington, District of Columbia 20001, United States"
729,,Washington D.C.,True,Capitol Hill Hotel,,2,+1 202-543-6000,222,3,"200 C Street Southeast, Washington, DC 20003, USA"
730,,Washington D.C.,True,"Club Quarters Hotel In Washington, D.C.",,1,+1 202-463-6400,78,3,"839 17th Street Northwest, Washington, District of Columbia 20006, United States"
731,,Washington D.C.,True,Comfort Inn Downtown Dc/Convention Center,,3,+1 202-682-5300,204,2,"1201 13th Street Northwest, Washington, District of Columbia 20005, United States"
732,,Washington D.C.,True,Courtyard By Marriott Washington Capitol Hill/Navy Yard,,2,+1 202-479-0027,180,3,"140 L Street Southeast, Washington, DC 20003, USA"
733,,Washington D.C.,True,Courtyard By Marriott Washington Downtown/Convention Center,,2,+1 202-589-1800,216,3,"901 L Street Northwest, Washington, DC 20001, USA"
734,,Washington D.C.,True,"Courtyard By Marriott Washington, Dc/Dupont Circle",,2,+1 202-332-9300,234,3,"1900 Connecticut Avenue Northwest, Washington, DC 20009, USA"
735,,Washington D.C.,True,"Courtyard By Marriott Washington, Dc/Foggy Bottom",,1,+1 202-296-5700,111,3,"515 20th Street Northwest, Washington, DC 20006, USA"
736,,Washington D.C.,True,Days Inn By Wyndham Washington Dc/Connecticut Avenue,,1,+1 800-615-3107,78,2,"4400 Connecticut Avenue Northwest, Washington, District of Columbia 20008, United States"
737,2019-03-01,Washington D.C.,True,"Cambria Hotel Washington, D.C. Convention Center",1,2,+1 202-299-1188,168,3,"899 O Street Northwest, Washington, District of Columbia 20001, United States"
738,,Nairobi,False,Azure Hotel Nairobi Westlands,,1,+254 709 716000,135,5,Lantana Road
739,,Nairobi,False,Crowne Plaza Nairobi,,1,+254 719 096000,116,4,"Kenya Road, Upper Hill"
740,,Nairobi,False,Crowne Plaza Nairobi Airport,,3,+254 709 222444,396,4,First Freight Lane Jomo Kenyatta International Airport
741,,Nairobi,False,Doubletree By Hilton Nairobi Hurlingham,,3,+254 709 090000,300,4,Ngong Lane Ngong Road
742,,Nairobi,False,Dusitd2 Nairobi,,3,+254 787 657000,300,5,14 Riverside Westlands
743,,Nairobi,False,Eka Hotel Nairobi,,2,+254 719 045000,240,4,"Eka Hotel, Along Mombasa Road"
744,,Nairobi,False,Four Points By Sheraton Nairobi Airport,,1,+254 709 760000,112,4,9042/1044 Tower Avenue Jomo Kenyatta Intl Airport
745,,Nairobi,False,Hemingways Nairobi,,2,+254 711 032000,200,5,Mbagathi Ridge
746,,Nairobi,False,Hilton Garden Inn Nairobi Airport,,1,+254 20 4075000,124,4,Jomo Kenyatta International Airport Mombasa Road
747,,Nairobi,False,Ibis Styles Hotel Westlands Nairobi,,3,+254 20 7757000,189,3,"Ibis Styles Hotel Westlands, Kenya"
748,2019-03-03,Nairobi,False,Azure Hotel Nairobi Westlands,1,1,+254 709 716000,160,5,Lantana Road
749,,Paris,False,Ac Hotel By Marriott Paris Porte Maillot,,1,+33 1 84 82 49 09,80,4,"6 Rue Gustave Charpentier, 75017"
750,,Paris,False,Amastan Paris,,1,+33 1 49 52 99 70,96,4,"34 Rue Jean Mermoz, 75008"
751,,Paris,False,Aparthotel Adagio Access Paris La Villette,,3,+33 1 44 72 42 00,315,3,"28bis Avenue Corentin Cariou, 75019"
752,,Paris,False,Aparthotel Adagio Paris Montmartre,,1,+33 1 42 57 14 55,69,3,"10 Place Charles Dullin, 75018"
753,,Paris,False,Austin'S Saint Lazare HoTel,,3,+33 1 48 74 48 71,297,3,"26 Rue d'Amsterdam, 75009"
754,,Paris,False,Avalon Hotel Paris Gare Du Nord,,2,+33 1 42 85 50 00,216,3,"131 Boulevard de Magenta, 75010"
755,,Paris,False,Best Western Bretagne Montparnasse,,3,+33 1 45 38 52 59,360,4,"33 Rue Raymond Losserand, 75014"
756,,Paris,False,Bob Hotel By Elegancia,,3,+33 1 40 43 02 33,264,4,"30 Rue Pernety, 75014"
757,,Paris,False,Brach Paris,,3,+33 1 44 30 10 00,465,5,"1-7 Rue Jean Richepin, 75016"
758,2019-03-04,Paris,False,Amastan Paris,2,3,+33 1 49 52 99 70,336,4,"34 Rue Jean Mermoz, 75008"
759,,Sacramento,True,Best Western Plus Sutter House,,2,+1 916-441-1314,64,1,1100 H Street
760,,Sacramento,True,Courtyard By Marriott Sacramento Midtown,,2,+1 916-455-6800,156,3,4422 Y Street
761,,Sacramento,True,Doubletree By Hilton Hotel Sacramento,,1,+1 916-929-8855,114,3,2001 Point West Way
762,,Sacramento,True,Embassy Suites By Hilton Sacramento Riverfront Promenade,,3,+1 916-326-5000,306,3,100 Capitol Mall
763,,Sacramento,True,Fairfield Inn By Marriott Sacramento Cal Expo,,3,+1 916-920-5300,192,2,1780 Tribute Road
764,,Sacramento,True,Four Points By Sheraton Sacramento International Airport,,1,+1 916-263-9000,102,3,4900 Duckhorn Drive
765,,Sacramento,True,Hilton Garden Inn Sacramento/South Natomas,,2,+1 916-568-5400,180,3,2540 Venture Oaks Way
766,,Sacramento,True,Hilton Sacramento Arden West,,1,+1 916-922-4700,60,3,2200 Harvard Street
767,,Sacramento,True,Holiday Inn Express Sacramento Convention Center,,3,+1 916-444-4436,279,3,728 16th Street
768,,Sacramento,True,Holiday Inn Sacramento Downtown - Arena,,3,+1 916-446-0100,180,3,300 J Street
769,2019-03-02,Sacramento,True,Best Western Plus Sutter House,4,1,+1 916-441-1314,72,1,1100 H Street
770,,Toronto,False,Best Western Plus Toronto North York Hotel & Suites,,1,+1 416-663-9500,216,3,50 Norfinch Drive
771,,Toronto,False,Best Western Premier Toronto Airport Carlingview Hotel,,1,+1 416-637-7000,150,3,"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada"
772,,Toronto,False,Bisha Hotel Toronto,,1,+1 416-551-2800,232,4,80 Blue Jays Way
773,,Toronto,False,Bond Place Hotel Toronto,,1,+1 800-268-9390,156,3,65 Dundas Street East
774,,Toronto,False,Cambridge Suites Toronto,,1,+1 800-463-1990,136,4,15 Richmond Street East
775,,Toronto,False,Comfort Inn Toronto North,,1,+1 416-736-4700,136,2,"66 Norfinch Drive, North York, Ontario M3N 1X1, Canada"
776,,Toronto,False,Courtyard By Marriott Toronto Downtown,,1,+1 416-924-0611,180,3,475 Yonge Street
777,2019-03-01,Toronto,False,Best Western Plus Toronto North York Hotel & Suites,1,1,+1 416-663-9500,180,3,50 Norfinch Drive
778,,Nairobi,False,Azure Hotel Nairobi Westlands,,2,+254 709 716000,200,3,Lantana Road
779,,Nairobi,False,Crowne Plaza Nairobi,,2,+254 719 096000,408,3,"Kenya Road, Upper Hill"
780,,Nairobi,False,Crowne Plaza Nairobi Airport,,2,+254 709 222444,396,3,First Freight Lane Jomo Kenyatta International Airport
781,,Nairobi,False,Doubletree By Hilton Nairobi Hurlingham,,2,+254 709 090000,300,3,Ngong Lane Ngong Road
782,,Nairobi,False,Dusitd2 Nairobi,,2,+254 787 657000,300,3,14 Riverside Westlands
783,,Nairobi,False,Eka Hotel Nairobi,,2,+254 719 045000,240,3,"Eka Hotel, Along Mombasa Road"
784,,Nairobi,False,Four Points By Sheraton Nairobi Airport,,2,+254 709 760000,324,3,9042/1044 Tower Avenue Jomo Kenyatta Intl Airport
785,,Nairobi,False,Hemingways Nairobi,,2,+254 711 032000,200,3,Mbagathi Ridge
786,,Nairobi,False,Hilton Garden Inn Nairobi Airport,,2,+254 20 4075000,224,3,Jomo Kenyatta International Airport Mombasa Road
787,,Nairobi,False,Ibis Styles Hotel Westlands Nairobi,,2,+254 20 7757000,189,3,"Ibis Styles Hotel Westlands, Kenya"
788,2019-03-07,Nairobi,False,Crowne Plaza Nairobi Airport,4,2,+254 709 222444,396,3,First Freight Lane Jomo Kenyatta International Airport
789,2019-03-04,Philadelphia,True,Aka University City,4,1,+1 215-372-9000,342,3,"Cira Centre South, 2929 Walnut Street"
790,,Portland,True,Aloft Portland Airport At Cascade Station,,1,+1 503-200-5678,114,3,9920 Northeast Cascades Parkway
791,,Portland,True,Best Western Plus Portland Airport Hotel & Suites,,2,+1 503-251-9991,88,2,11938 Northeast Airport Way
792,,Portland,True,Canopy By Hilton Portland Pearl District,,1,+1 971-351-0230,84,4,425 Northwest 9th Avenue
793,,Portland,True,Comfort Inn & Suites Portland Airport,,3,+1 503-252-6397,216,2,5019 Northeast 102nd Avenue
794,,Portland,True,"Country Inn & Suites By Radisson, Portland International Airport, Or",,1,+1 503-255-2700,78,3,7025 Northeast Alderwood Road
795,,Portland,True,Courtyard By Marriott Portland Airport,,3,+1 503-252-3200,243,3,11550 Northeast Airport Way
796,,Portland,True,Courtyard By Marriott Portland City Center,,3,+1 503-505-5000,216,3,550 Southwest Oak Street
797,,Portland,True,Courtyard By Marriott Portland Downtown/Convention Center,,2,+1 503-234-3200,126,3,435 Northeast Wasco Street
798,,Portland,True,Crowne Plaza Portland-Downtown Conv Ctr,,3,+1 503-233-2401,342,3,1441 Northeast 2nd Avenue
799,,Portland,True,Dossier,,3,+1 877-628-4408,276,4,750 Southwest Alder Street
800,,Portland,True,Canopy By Hilton Portland Pearl District,,1,+1 971-351-0230,84,3,425 Northwest 9th Avenue
801,,Portland,True,Courtyard By Marriott Portland Airport,,1,+1 503-252-3200,243,3,11550 Northeast Airport Way
802,,Portland,True,Courtyard By Marriott Portland City Center,,1,+1 503-505-5000,216,3,550 Southwest Oak Street
803,,Portland,True,Courtyard By Marriott Portland Downtown/Convention Center,,1,+1 503-234-3200,126,3,435 Northeast Wasco Street
804,,Portland,True,Crowne Plaza Portland-Downtown Conv Ctr,,1,+1 503-233-2401,342,3,1441 Northeast 2nd Avenue
805,,Portland,True,Dossier,,1,+1 877-628-4408,276,3,750 Southwest Alder Street
806,,Portland,True,Doubletree By Hilton Hotel Portland,,1,+1 503-281-6111,120,3,1000 Northeast Multnomah Street
807,,Portland,True,Embassy Suites By Hilton Portland Downtown,,1,+1 503-279-9000,104,3,319 Southwest Pine Street
808,2019-03-01,Portland,True,Canopy By Hilton Portland Pearl District,1,1,+1 971-351-0230,84,3,425 Northwest 9th Avenue
809,2019-03-07,Seattle,True,Ace Hotel Seattle,4,1,+1 206-448-4721,180,2,2423 1st Avenue
810,,Sydney,False,28 Hotel Sydney,,3,+61 2 9102 2828,312,4,"28 Regent Street, Chippendale New South Wales 2008, Australia"
811,,Sydney,False,57 Hotel,,1,+61 2 9011 5756,140,4,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
812,,Sydney,False,Adina Apartment Hotel Sydney Airport,,3,+61 2 9381 2000,288,4,"17 Bourke Road, Mascot New South Wales 2020, Australia"
813,,Sydney,False,Adina Apartment Hotel Sydney Central,,1,+61 2 8396 9800,92,4,"2 Lee Street, Haymarket New South Wales 2000, Australia"
814,,Sydney,False,Adina Apartment Hotel Sydney Surry Hills,,3,+61 2 8302 1000,408,4,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
815,,Sydney,False,Adina Apartment Hotel Sydney Town Hall,,3,+61 2 9274 0000,456,4,511 Kent Street
816,,Sydney,False,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),,3,+61 1300 633 462,276,4,1 Hosking Place
817,,Sydney,False,28 Hotel Sydney,,1,+61 2 9102 2828,312,4,"28 Regent Street, Chippendale New South Wales 2008, Australia"
818,,Sydney,False,Adina Apartment Hotel Bondi Beach Sydney,,1,+61 2 9300 4800,288,4,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
819,,Sydney,False,Adina Apartment Hotel Coogee Sydney,,1,+61 2 9578 6000,256,4,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia"
820,,Sydney,False,Adina Apartment Hotel Sydney Airport,,1,+61 2 9381 2000,288,4,"17 Bourke Road, Mascot New South Wales 2020, Australia"
821,,Sydney,False,Adina Apartment Hotel Sydney Darling Harbour,,1,+61 2 9249 7000,240,4,55 Shelley Street
822,,Sydney,False,Adina Apartment Hotel Sydney Surry Hills,,1,+61 2 8302 1000,408,4,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
823,,Sydney,False,Adina Apartment Hotel Sydney Town Hall,,1,+61 2 9274 0000,456,4,511 Kent Street
824,,Sydney,False,28 Hotel Sydney,,1,+61 2 9102 2828,312,1,"28 Regent Street, Chippendale New South Wales 2008, Australia"
825,,Sydney,False,57 Hotel,,1,+61 2 9011 5756,140,1,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
826,,Sydney,False,Adina Apartment Hotel Bondi Beach Sydney,,1,+61 2 9300 4800,288,1,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
827,,Sydney,False,Adina Apartment Hotel Coogee Sydney,,1,+61 2 9578 6000,256,1,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia"
828,,Sydney,False,Adina Apartment Hotel Sydney Airport,,1,+61 2 9381 2000,288,1,"17 Bourke Road, Mascot New South Wales 2020, Australia"
829,,Sydney,False,Adina Apartment Hotel Sydney Central,,1,+61 2 8396 9800,92,1,"2 Lee Street, Haymarket New South Wales 2000, Australia"
830,,Sydney,False,Adina Apartment Hotel Sydney Darling Harbour,,1,+61 2 9249 7000,240,1,55 Shelley Street
831,,Sydney,False,Adina Apartment Hotel Sydney Surry Hills,,1,+61 2 8302 1000,408,1,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
832,,Sydney,False,Adina Apartment Hotel Sydney Town Hall,,1,+61 2 9274 0000,456,1,511 Kent Street
833,,Sydney,False,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),,1,+61 1300 633 462,276,1,1 Hosking Place
834,2019-03-08,Sydney,False,Adina Apartment Hotel Bondi Beach Sydney,2,1,+61 2 9300 4800,456,1,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
835,2019-03-01,Anaheim,True,Anaheim Desert Inn And Suites,2,1,+1 714-772-5050,54,2,1600 South Harbor Boulevard
836,,San Diego,True,Bahia Resort Hotel,,1,+1 858-539-8666,96,3,998 West Mission Bay Drive
837,,San Diego,True,Best Western Mission Bay,,2,+1 619-275-5700,100,2,2575 Clairemont Drive
838,,San Diego,True,Best Western Plus Bayside Inn,,3,+1 619-233-7500,270,3,555 West Ash Street
839,,San Diego,True,Best Western Plus Hacienda Hotel Old Town,,2,+1 619-298-4707,162,3,4041 Harney Street
840,,San Diego,True,Best Western Plus Island Palms Hotel & Marina,,2,+1 619-222-0561,174,3,2051 Shelter Island Drive
841,,San Diego,True,Best Western San Diego/Miramar Hotel,,1,+1 858-578-6600,66,2,9310 Kearny Mesa Road
842,,San Diego,True,Best Western Seven Seas,,2,+1 619-291-1300,168,3,411 Hotel Circle South
843,,San Diego,True,Best Western Yacht Harbor Hotel,,3,+1 619-224-3254,180,2,5005 North Harbor Drive
844,,San Diego,True,Blue Sea Beach Hotel,,3,+1 858-488-4700,180,3,707 Pacific Beach Drive
845,,San Diego,True,Capri By The Sea By All Seasons Resort Lodging,,3,+1 858-483-6110,315,3,4767 Ocean Boulevard
846,2019-03-06,San Diego,True,Bahia Resort Hotel,3,1,+1 858-539-8666,252,3,998 West Mission Bay Drive
847,2019-03-01,Sacramento,True,Best Western Plus Sutter House,1,2,+1 916-441-1314,54,1,1100 H Street
848,,Las Vegas,True,Best Western Plus Las Vegas West,,3,+1 702-256-3766,261,1,8669 West Sahara Avenue
849,,Las Vegas,True,Budget Suites Of America,,3,+1 702-638-1800,105,1,2219 North Rancho Drive
850,,Las Vegas,True,Hampton Inn Las Vegas/Summerlin,,3,+1 702-360-5700,351,1,7100 Cascade Valley Court
851,,Las Vegas,True,La Quinta Inn & Suites By Wyndham Las Vegas Summerlin Tech,,3,+1 702-360-1200,138,1,7101 Cascade Valley Court
852,,Las Vegas,True,Oasis At Gold Spike,,3,+1 702-768-9823,297,1,217 Las Vegas Boulevard North
853,,Las Vegas,True,Thunderbird Boutique Hotel,,3,+1 702-489-7500,168,1,1215 South Las Vegas Boulevard
854,2019-03-01,Las Vegas,True,Budget Suites Of America,4,3,+1 702-638-1800,69,1,2219 North Rancho Drive
855,2019-03-07,Delhi,False,Aloft New Delhi Aerocity,1,1,+91 11 4565 0000,432,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
856,,Delhi,False,Aloft New Delhi Aerocity,,2,+91 11 4565 0000,176,1,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
857,,Delhi,False,Andaz Delhi - A Concept By Hyatt,,2,+91 11 4903 1234,320,1,"Asset, Street Number 1, New Delhi"
858,,Delhi,False,Bloomrooms @ New Delhi Railway Station,,1,+91 11 4122 5666,99,1,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
859,,Delhi,False,Calista Resort,,2,+91 11 4103 4591,228,1,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
860,,Delhi,False,Crowne Plaza New Delhi Mayur Vihar Noida,,2,+91 11 4110 2222,216,1,"13 B, District Centre, Mayur Vihar, New Delhi"
861,,Delhi,False,Crowne Plaza New Delhi Okhla,,1,+91 11 4646 2000,170,1,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
862,,Delhi,False,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,3,+91 11 2506 0721,252,1,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
863,,Delhi,False,Fortune Select Global - Hotel In Gurgaon,,1,+91 124 419 6666,92,1,"Global Arcade, Mehrauli-Gurgaon Road, Gurugram, Haryana 122002, India"
864,,Delhi,False,"Four Points By Sheraton New Delhi, Airport Highway",,3,+91 11 6604 0000,348,1,"Plot no 9, National Highway - 8, Samalka, New Delhi"
865,,Delhi,False,Haveli Dharampura,,2,+91 11 2326 1000,232,1,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
866,2019-03-01,Delhi,False,Bloomrooms @ New Delhi Railway Station,3,3,+91 11 4122 5666,252,1,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
867,2019-03-03,Atlanta,True,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,2,1,+1 470-231-3030,176,4,3600 Wieuca Road Northeast
868,,Nairobi,False,Crowne Plaza Nairobi Airport,,1,+254 709 222444,396,4,First Freight Lane Jomo Kenyatta International Airport
869,,Nairobi,False,Doubletree By Hilton Nairobi Hurlingham,,1,+254 709 090000,300,4,Ngong Lane Ngong Road
870,,Nairobi,False,Dusitd2 Nairobi,,1,+254 787 657000,300,5,14 Riverside Westlands
871,,Nairobi,False,Eka Hotel Nairobi,,1,+254 719 045000,240,4,"Eka Hotel, Along Mombasa Road"
872,,Nairobi,False,Hemingways Nairobi,,1,+254 711 032000,200,5,Mbagathi Ridge
873,,Nairobi,False,Ibis Styles Hotel Westlands Nairobi,,1,+254 20 7757000,189,3,"Ibis Styles Hotel Westlands, Kenya"
874,2019-03-04,Nairobi,False,Crowne Plaza Nairobi Airport,1,1,+254 709 222444,396,4,First Freight Lane Jomo Kenyatta International Airport
875,2019-03-01,Seattle,True,Best Western Plus Pioneer Square Hotel Downtown,4,2,+1 206-340-1234,216,3,77 Yesler Way
876,,Chicago,True,Ac Hotel By Marriott Chicago Downtown,,2,+1 312-981-6600,192,3,630 North Rush Street
877,,Chicago,True,Ace Hotel Chicago,,2,+1 312-764-1919,216,4,311 North Morgan Street
878,,Chicago,True,Aloft Chicago Downtown River North,,1,+1 312-661-1000,87,3,515 North Clark Street
879,,Chicago,True,Aloft Chicago Mag Mile,,1,+1 312-429-6600,102,3,243 East Ontario Street
880,,Chicago,True,Ambassador Chicago,,3,+1 888-506-3471,372,4,1301 North State Parkway
881,,Chicago,True,Best Western Grant Park Hotel,,2,+1 312-922-2900,156,2,1100 South Michigan Avenue
882,,Chicago,True,Best Western Plus Hawthorne Terrace Hotel,,3,+1 773-244-3434,162,2,3434 N Broadway Ave
883,,Chicago,True,Best Western River North Hotel,,2,+1 312-467-0800,210,3,125 West Ohio Street
884,,Chicago,True,Cambria Hotel Chicago Magnificent Mile,,2,+1 312-787-6000,160,4,166 East Superior Street
885,,Chicago,True,Ac Hotel By Marriott Chicago Downtown,,2,+1 312-981-6600,192,1,630 North Rush Street
886,,Chicago,True,Ace Hotel Chicago,,2,+1 312-764-1919,216,1,311 North Morgan Street
887,,Chicago,True,Aloft Chicago Downtown River North,,1,+1 312-661-1000,87,1,515 North Clark Street
888,,Chicago,True,Aloft Chicago Mag Mile,,1,+1 312-429-6600,102,1,243 East Ontario Street
889,,Chicago,True,Ambassador Chicago,,3,+1 888-506-3471,372,1,1301 North State Parkway
