,destination,number_of_seats,ride_fare,ride_type,wait_time
540,2485 De La Cruz Boulevard,2,24.48,Regular,6
541,1216 South Abel Street,1,21.01,Regular,6
542,4646 El Camino Real,2,33.57,Regular,3
543,1532 20th Street,2,14.89,Regular,3
544,4275 First Street,1,18.47,Luxury,13
545,1483 Solano Avenue,1,16.14,Luxury,9
546,1047 Lincoln Highway suite 101,2,16.62,Regular,5
547,4330 Clayton Road suite j,2,22.43,Pool,9
548,2492 Channing Way,1,32.42,Luxury,10
549,10095 Saich Way #2,2,9.39,Pool,4
550,1532 20th Street,1,22.61,Regular,2
551,1047 Lincoln Highway suite 101,2,42.98,Luxury,13
552,1532 20th Street,3,34.83,Luxury,11
553,1775 Park Avenue,1,16.53,Regular,6
554,765 MAIN STREET HALF,1,29.65,Luxury,9
555,Sino,2,21.38,Pool,9
556,Farmhouse Kitchen Thai Cuisine,1,14.32,Regular,5
557,1639 North California Boulevard,2,42.88,Luxury,12
558,475 Entrada Drive,1,17.33,Regular,2
559,3136 Contra Loma Boulevard,3,44.84,Luxury,12
560,1532 20th Street,1,17.08,Pool,7
561,2737 20th Street,3,50.80,Luxury,7
562,2425 California Street # C,2,29.05,Luxury,13
563,1776 First Street,1,17.74,Pool,9
564,3136 Contra Loma Boulevard,1,22.34,Luxury,11
565,6469 Redwood Drive,2,33.14,Luxury,11
566,2260 Palm Avenue,1,12.75,Regular,6
567,1532 20th Street,2,19.70,Pool,8
568,4275 First Street,2,11.96,Pool,8
569,930 Admiral Callaghan Lane,1,14.49,Pool,7
570,1737 Santa Rita Road #200,3,22.10,Pool,6
571,1734 El Camino Real,2,20.90,Pool,8
572,18478 Prospect Road,1,7.79,Pool,5
573,1532 20th Street,1,32.99,Luxury,13
574,20686 Homestead Road,1,15.46,Pool,9
575,1880 Solano Avenue,1,13.24,Pool,3
576,2485 De La Cruz Boulevard,1,10.61,Regular,4
577,1637 Lincoln Avenue,1,17.48,Pool,7
578,"4175, 42151 Blacow Road",1,14.13,Pool,8
579,18615 California 12,1,18.16,Luxury,10
580,1047 Lincoln Highway suite 101,1,20.22,Luxury,8
581,"4175, 42151 Blacow Road",1,22.41,Regular,3
582,44 Montgomery Street #30,1,18.53,Luxury,8
583,1639 North California Boulevard,1,22.71,Luxury,7
584,19217 Sonoma Highway,1,9.31,Pool,5
585,40 Millwood Street,4,44.04,Luxury,12
586,877 West Fremont Avenue unit n1,1,18.19,Regular,3
587,Sycamore Square Housing Corporation,1,20.06,Regular,2
588,2074 Forest Avenue # 1,1,12.56,Pool,5
589,3100 San Pablo Avenue Suite 310,1,23.77,Regular,3
590,632 Mowry Avenue,2,22.36,Regular,4
591,3850 Grand Avenue,3,58.23,Luxury,12
592,Country Club Villa Apartments,2,21.02,Pool,9
593,6155 Stoneridge Drive #150,2,22.58,Pool,7
594,701 E El Camino Real 2nd Floor,1,18.41,Regular,5
595,1525 Webster Street # C,1,15.12,Pool,6
596,355 Lennon Lane Suite 255,1,7.07,Pool,3
597,2490 Hospital Drive #111,4,19.88,Pool,7
598,5855 Doyle Street #110,1,17.27,Pool,7
599,45 Castro Street,1,12.34,Regular,6
600,1618 Sullivan Avenue Suite 105,3,24.89,Pool,6
601,4287 Piedmont Avenue,2,41.14,Luxury,14
602,2380 Sutter Street,2,35.95,Luxury,10
603,301 Old San Francisco Road Level 2,2,12.86,Pool,5
604,211 Quarry Road,1,10.11,Regular,6
605,1580 Valencia Street #508,1,11.46,Pool,9
606,175 North Jackson Avenue #200,4,27.56,Regular,4
607,2725 Mendocino Avenue,1,21.66,Luxury,7
608,1479 Ygnacio Valley Road,1,8.60,Pool,3
609,491 30th Street #201,1,16.87,Luxury,14
610,196 Wikiup Drive,1,31.34,Luxury,12
611,2700 Grant Street #104,1,18.42,Regular,5
612,2400 Samaritan Drive #105,3,20.73,Pool,9
613,2111 Whitehall Place,3,27.28,Pool,8
614,"2, 3200 Kearney Street",1,14.07,Regular,3
615,"F3, 900 Blake Wilbur Drive",1,13.89,Regular,7
616,3100 San Pablo Avenue Suite 310,2,10.15,Pool,9
617,975 Sereno Drive,3,15.28,Pool,9
618,1100 Trancas Street #350,1,18.79,Regular,7
619,1440 Military West # 101,3,53.49,Luxury,12
620,795 El Camino Real,2,28.45,Regular,4
621,3511 School Street,2,14.84,Pool,9
622,2184 Union Street,1,16.40,Pool,9
623,1200 Central Boulevard suite d,3,21.86,Regular,5
624,45 Castro Street,1,7.33,Pool,4
625,2380 Sutter Street,1,15.69,Pool,8
626,801 Brewster Avenue #240,2,29.05,Regular,2
627,2500 Milvia Street,1,6.65,Pool,5
628,2219 Buchanan Road #6,1,14.84,Regular,3
629,5050 West El Camino Real # 110,4,18.42,Pool,6
630,1850 Sullivan Avenue Suite 550,1,15.16,Regular,3
631,550 Hamilton Avenue # 329,1,10.64,Regular,4
632,5601 Deer Valley Road,4,23.42,Regular,4
633,1010 Laurel Street,1,19.24,Regular,3
634,5860 Owens Drive Suite 210,2,12.59,Pool,7
635,491 30th Street #201,3,18.76,Regular,6
636,6100 Telegraph Avenue,1,31.06,Luxury,8
637,261 North 2nd Street,2,18.24,Regular,5
638,6004 Stevenson Boulevard,2,46.12,Luxury,12
639,2025 Gellert Boulevard #200,3,53.75,Luxury,7
640,2608 Ocean Avenue,4,32.82,Pool,3
641,3113 Stevenson Boulevard,2,16.25,Pool,5
642,542 A Mason Street,2,12.28,Pool,8
643,30 South B Street,2,17.00,Pool,9
644,ExCeL London,2,29.94,Regular,2
645,2185 Eastridge Loop,2,19.52,Pool,8
646,29615 Mission Boulevard,2,30.24,Luxury,14
647,565 University Avenue,2,17.08,Pool,7
648,43635 Boscell Road,2,24.20,Regular,5
649,2355 Chestnut Street,2,22.95,Luxury,7
650,36456 Fremont Boulevard,2,32.34,Luxury,9
651,920 El Camino Real,1,13.48,Pool,6
652,4776 Sonoma Highway,2,23.56,Regular,3
653,115 Hartz Avenue,2,11.00,Pool,3
654,1150 Solano Avenue,2,29.77,Regular,2
655,1201 San Carlos Avenue,2,12.63,Pool,9
656,4776 Sonoma Highway,2,14.61,Pool,4
657,711 Geary Street,2,10.35,Pool,9
658,600 Ralston Avenue,1,15.92,Pool,8
659,1975 Diamond Boulevard Ste. C 160,3,58.72,Luxury,7
660,6247 College Avenue,2,28.74,Luxury,14
661,333 Enfrente Road,2,20.68,Pool,9
662,140 2nd Street #100,2,20.90,Pool,3
663,808 Geary Street,3,33.08,Luxury,8
664,9501 Duvander Lane,2,14.23,Pool,5
665,1107 Howard Avenue,1,18.60,Luxury,13
666,727 Laurel Street,4,33.20,Luxury,10
667,31 University Avenue,2,30.97,Luxury,14
668,1441 Polk Street,2,12.19,Pool,8
669,1441 Polk Street,1,9.08,Pool,8
670,642 1st Street,2,41.37,Luxury,8
671,3268 Grand Avenue,2,33.49,Luxury,12
672,3195 North Main Street,2,29.73,Regular,6
673,4038 Judah Street,2,11.23,Pool,9
674,1320 El Camino Real,1,17.07,Pool,9
675,Coconut Bay Thai Restaurant,3,23.73,Pool,9
676,2125 Coast Hwy,3,57.30,Luxury,14
677,San Francisco,3,23.52,Regular,7
678,1503 15th Street,2,24.78,Regular,6
679,1202 West Steele Lane,3,55.55,Luxury,13
680,3268 Grand Avenue,1,16.68,Pool,3
681,1429 San Mateo Avenue,1,24.47,Luxury,11
682,3524 Mount Diablo Boulevard,2,37.08,Luxury,7
683,591 Redwood Highway # 2235,2,36.33,Luxury,12
684,1760 Polk Street,2,39.94,Luxury,7
685,318 Columbus Avenue,2,34.22,Regular,4
686,39277 Cedar Boulevard,2,17.85,Regular,6
687,4095 Century Boulevard,1,26.24,Luxury,10
688,3221 South White Road,2,24.06,Pool,3
689,61 Washington Street,3,24.96,Pool,8
690,1330 Stoneridge Mall Road,2,38.01,Luxury,12
691,101 Brentwood Drive,3,30.09,Pool,6
692,5200 Mowry Avenue Ste M,1,16.70,Pool,9
693,333 South Park Plaza Drive,2,16.04,Pool,7
694,2470 Skyline Boulevard,1,31.81,Luxury,8
695,Vina Enoteca,1,11.59,Pool,5
696,1760 Polk Street,4,51.94,Luxury,13
697,2001 Chestnut Street,2,35.71,Luxury,12
698,Luca Cucina Italiana,4,13.06,Pool,9
699,726 Clement Street,2,22.51,Pool,5
700,1071 B Street,2,22.97,Regular,7
701,29 East Main Street,1,27.74,Luxury,10
702,528 7th Street,2,14.34,Regular,3
703,31014 Union City Boulevard,2,10.76,Pool,5
704,5305 Almaden Expressway,2,16.65,Pool,6
705,425 Avenue Alhambra,2,23.09,Regular,4
706,336 Saint Mary Street,2,24.79,Pool,9
707,1801 Alemany Boulevard,3,45.03,Luxury,14
708,50 Moraga Avenue,1,10.52,Pool,4
709,500 Brannan Street,2,15.61,Regular,5
710,545 San Antonio Road Suite 31,3,35.44,Regular,7
711,2731 Geneva Avenue,2,22.74,Pool,7
712,1008 Blossom Hill Road,3,33.20,Luxury,8
713,9890 Bodega Highway,4,25.66,Pool,7
714,845 Main Street,1,11.11,Pool,7
715,216 Northgate One,1,13.53,Pool,6
716,1754 Polk Street,1,8.98,Pool,4
717,2589 Mission Street,3,31.99,Luxury,8
718,620 3rd Street,2,10.95,Pool,3
719,2525 Sand Creek Road,2,15.05,Regular,3
720,1621 Travis Boulevard #300,1,24.91,Regular,6
721,1585 Marburg Way # 4,1,29.18,Luxury,14
722,87 Fenton Street Suite 210,2,21.34,Luxury,12
723,Belmont Park,1,14.20,Pool,4
724,39900 Blacow Road,2,30.59,Luxury,13
725,6493 Portola Drive,1,27.71,Luxury,14
726,520 Montgomery Street M02,1,8.75,Pool,9
727,909 Hyde Street #530,1,16.47,Pool,3
728,820 East El Camino Real,1,12.60,Pool,3
729,383 Miller Avenue,3,29.05,Pool,3
730,2664 Berryessa Road # 206,1,6.68,Pool,8
731,949 Geneva Avenue,3,28.99,Luxury,11
732,20632 Redwood Road # A,1,20.78,Regular,4
733,401 West Van Buren Street,1,17.00,Pool,4
734,2664 Berryessa Road #104,2,34.35,Regular,3
735,4450 San Pablo Dam Road,1,11.91,Pool,8
736,1069 B Street,1,11.81,Pool,7
737,1475 167th Avenue,4,14.34,Pool,5
738,80 Senter Road,2,22.34,Regular,7
739,815 Ulloa Street,3,25.76,Regular,3
740,Claws And Craws,4,20.44,Regular,2
741,4655 Hoen Avenue # 7,1,10.88,Regular,6
742,2625 South King Road,3,10.98,Pool,7
743,"17 Eastern Parkway, Brooklyn",1,23.67,Regular,5
744,2306 Almaden Road,1,24.09,Regular,6
745,Chicago History Museum,1,29.56,Luxury,9
746,9260 Alcosta Boulevard,2,12.83,Pool,9
747,29 East Allen Street 2nd Floor,2,8.95,Pool,9
748,4288 Dublin Boulevard #101-102,1,21.99,Regular,5
749,344 East Hamilton Avenue,2,32.84,Regular,6
750,2901 East Hastings Street,4,43.42,Regular,2
751,"1 Tennis Place, Forest Hills",1,11.00,Pool,5
752,19655 Stevens Creek Boulevard,1,14.07,Pool,6
753,241 Fremont Hub Courtyard,3,35.80,Regular,6
754,2047 North Milwaukee Avenue,1,21.00,Luxury,14
755,109 Plaza Dr. Gateway Plaza Center,1,9.56,Pool,7
756,3111 Mission College Boulevard,4,49.02,Regular,6
757,725 Camino Plaza,3,50.68,Luxury,7
758,2094 El Camino Real,1,10.79,Regular,2
759,2500 Alhambra Avenue,2,36.53,Luxury,14
760,2936 College Avenue,1,12.24,Pool,8
761,1615 Hill Road,3,31.64,Regular,2
762,2901 East Hastings Street,1,26.81,Luxury,13
763,400 Newpark Mall,2,22.26,Pool,5
764,2452 Watson Court,1,30.35,Luxury,11
765,1069 B Street,3,19.43,Regular,5
766,17705 Hale Avenue Ste. B3,1,26.20,Luxury,7
767,3400 Richmond Parkway,3,17.89,Pool,8
768,1785 San Carlos Avenue #2b,1,17.35,Pool,8
769,2400 Shady Willow Lane,1,25.19,Luxury,10
770,400 Newpark Mall,3,24.08,Regular,7
771,Amador Apartments,3,44.65,Luxury,13
772,1580 East Washington Street # 107,2,20.03,Pool,5
773,4204 Lone Tree Way,2,12.64,Pool,8
774,1425 Oregon Street,1,15.98,Luxury,9
775,1234 West 7th Street,1,7.02,Pool,3
776,200 Bolinas Road # 62,4,20.52,Regular,2
777,2327 Blanding Avenue STE D,1,21.57,Luxury,14
778,4058 18th Street A,1,19.86,Luxury,9
779,2290 California Street,3,28.42,Regular,7
780,2792 Pinole Valley Road,1,20.24,Luxury,13
781,37485 Fremont Boulevard B,2,23.41,Pool,4
782,2550 Mission Street,1,19.45,Luxury,7
783,500 Doyle Park Drive #200,3,18.22,Regular,6
784,318 Diablo Rd # 245,1,31.09,Luxury,13
785,321 Middlefield Road,4,27.78,Pool,4
786,100 North Wiget Lane,1,11.33,Pool,9
787,1400 California 1,2,45.81,Luxury,7
788,4141 Stevenson Boulevard,2,47.60,Luxury,11
789,877 West Fremont Avenue # K2,1,12.41,Pool,4
790,2621 Shadelands Drive,4,63.56,Luxury,9
791,"795 El Camino Real Jamplis Building, Level 1",2,14.93,Regular,6
792,2901 East Hastings Street,1,8.45,Pool,6
793,1422 Southwest 11th Avenue,2,22.49,Pool,3
794,235 West 46th Street,2,44.73,Luxury,8
795,3111 Mission College Boulevard,1,20.68,Regular,3
796,Halu Shabu Shabu,3,31.58,Luxury,14
797,46 Wharf Road,1,10.42,Regular,2
798,Tamashisoul,1,18.70,Luxury,13
799,3478 Camino Tassajara Ste B,1,22.53,Regular,6
800,1388 Locust Street,2,33.98,Regular,4
801,Sundale Arms,1,26.17,Luxury,14
802,10 Milland Drive,2,27.08,Regular,4
803,Sacramento Zoo,1,14.93,Regular,3
804,5720 Mowry School Road,2,40.77,Luxury,9
805,640 Hegenberger Road,2,30.17,Regular,7
806,100 Ellinwood Drive,1,16.25,Pool,4
807,1355 Lincoln Avenue,3,13.61,Pool,8
808,The Village Italian Restaurant,1,10.79,Regular,4
809,92nd Street Y,3,47.74,Luxury,7
810,Lemongrass Bistro,2,17.17,Regular,4
811,4300 Great America Parkway #156,1,23.86,Regular,2
812,Vin Antico,1,26.17,Luxury,8
813,3216 Mission Street,1,21.27,Luxury,11
814,Bacheesos,2,14.78,Pool,4
815,City Centre,1,14.13,Pool,4
816,901 Cole Street,1,7.10,Pool,8
817,6935 Camino Arroyo,1,12.64,Pool,4
818,Golden Rice Bowl,1,25.06,Luxury,12
819,Courtyard Villa Apartments,3,59.95,Luxury,14
820,836 Alturas Avenue # 7,1,12.22,Regular,6
821,1845 Willow Pass Road,1,21.23,Regular,2
822,Aldo Los Altos,1,23.88,Luxury,8
823,The National Gallery,1,14.64,Pool,3
824,100 Smith Ranch Road,4,37.76,Regular,2
825,2368 Junipero Serra Boulevard,1,22.82,Luxury,8
826,Flight Wine Bar & Cafe,1,18.46,Regular,5
827,1300 South Main Street,2,15.95,Pool,4
828,611 East 18th Street,3,41.83,Luxury,12
829,316 11th Street,2,36.47,Luxury,11
830,La Cabana,2,27.25,Luxury,9
831,Boston Music Room,2,37.21,Luxury,11
832,Sumo Japanese Restaurant,1,19.85,Luxury,13
833,Aung Maylika,3,30.16,Regular,3
834,1691 Monument Boulevard,1,13.44,Regular,4
835,Orchids Thai,1,34.84,Luxury,14
836,1920 Irving Street,3,26.33,Pool,6
837,10211 South De Anza Boulevard,3,50.70,Luxury,12
838,1264 Mendocino Avenue,1,14.44,Regular,7
839,658 Market Street,1,13.20,Pool,9
840,Lark Theater,2,17.11,Pool,6
841,1606 North Main Street,2,37.94,Luxury,12
842,Thymele Arts,2,45.35,Luxury,11
843,10000 Sir Francis Drake Boulevard,3,17.84,Pool,6
844,461 2nd Street,1,24.46,Regular,6
845,2244 Fillmore Street,1,21.91,Regular,2
846,12019 Saratoga Sunnyvale Road,3,27.21,Luxury,14
847,9025 Old Redwood Highway D,3,37.41,Luxury,9
848,"Public Art ""Urban Light""",1,18.45,Luxury,7
849,2509 Broadway,1,8.64,Pool,4
850,1111 Meridian Avenue Ste 5,1,14.87,Regular,6
851,1585 Casa Buena Drive,2,39.70,Luxury,11
852,Musa,1,7.40,Pool,8
853,638 El Camino Real,1,29.19,Luxury,7
854,401 Sherwood Drive,1,32.63,Luxury,13
855,1016 Santa Rosa Plaza,3,28.99,Pool,9
856,1200 Grant Avenue,1,15.86,Regular,7
857,17007 Redwood Road,1,30.78,Luxury,9
858,201 Vineyard Town Ctr,4,36.30,Regular,6
859,Sweeney's Grill And Bar,2,46.10,Luxury,7
860,Finn Town,2,24.45,Regular,6
861,Sushi Island,1,22.66,Regular,5
862,1900 Mowry Avenue Suite 101,3,41.50,Regular,5
863,Stephen J Pavlina Investments,1,6.84,Pool,7
864,"1820 Ogden Avenue Floor, 2",1,21.40,Regular,3
865,2800 California Street #101,4,33.38,Luxury,10
866,3200 Kearney Street Bldg 1,1,27.22,Luxury,13
867,381 South Van Ness Avenue,2,19.45,Regular,3
868,2593 South King Road,1,22.83,Luxury,12
869,Educated Palate Restaurant,1,17.01,Regular,3
870,Independence National Historical Park,2,15.49,Pool,9
871,Hidden Garden Apartments,3,58.84,Luxury,8
872,620 3rd Street,1,23.37,Luxury,9
873,1118 4th Street,3,58.68,Luxury,9
874,200 C Street,1,16.46,Pool,5
875,500 Larkspur Landing Circle,1,34.76,Luxury,8
876,400 Newpark Mall,1,29.99,Luxury,7
877,1599 Hopkins Street,1,32.04,Luxury,11
878,6000 Bollinger Canyon Road Suite 2300,1,12.90,Pool,8
879,1201 Locust Street,2,30.58,Luxury,7
880,6000 Bollinger Canyon Road Suite 2300,1,15.76,Luxury,11
881,15055 Los Gatos Boulevard,1,12.67,Regular,4
882,2490 First Street,1,20.92,Luxury,11
883,121 East 1st Street,2,34.76,Regular,7
884,2190 Eastridge Loop,2,30.86,Luxury,12
885,825 Middlefield Road,1,8.37,Pool,7
886,100 Washington Street,3,37.52,Regular,7
887,3111 Mission College Boulevard,2,20.69,Pool,5
888,1901 Junipero Serra Boulevard,1,26.25,Luxury,14
889,400 Newpark Mall,1,19.55,Regular,7
890,4175 Blackhawk Plaza Circle,1,28.05,Luxury,10
891,32100 Union Landing Boulevard,2,36.08,Luxury,9
892,400 Newpark Mall,3,22.15,Pool,8
893,2525 Sand Creek Road,1,20.81,Luxury,14
894,400 Newpark Mall,2,29.46,Regular,7
895,6868 McKinley Street,1,6.62,Pool,9
896,2550 Mission Street,3,40.20,Regular,3
897,5614 Bay Street Suite 220,1,15.67,Luxury,8
898,601 Van Ness Avenue,1,14.21,Regular,6
899,125 Crescent Drive,3,12.92,Pool,3
900,835 Market Street,1,25.70,Luxury,11
901,25 Throckmorton Avenue,4,37.86,Regular,3
902,1500 North Shoreline Boulevard,4,37.14,Regular,2
903,15555 East 14th Street,2,25.89,Regular,2
904,85 Santa Rosa Avenue,1,23.12,Luxury,14
905,3200 Klose Way,3,27.14,Pool,4
906,15555 East 14th Street,1,19.21,Luxury,8
907,2490 First Street,4,37.84,Regular,4
908,2190 Eastridge Loop,1,9.36,Pool,6
909,3111 Mission College Boulevard,3,34.52,Luxury,9
910,6000 Bollinger Canyon Road Suite 2300,2,14.99,Pool,4
911,Royal Botanic Gardens,1,11.91,Pool,8
912,2149 Chestnut Street,1,16.15,Luxury,10
913,409 Aviation Boulevard,1,14.81,Regular,6
914,620 3rd Street,2,46.51,Luxury,9
915,2525 Sand Creek Road,1,12.50,Pool,5
916,1901 Junipero Serra Boulevard,3,26.50,Pool,3
917,288 South 2nd Street,1,15.87,Pool,8
918,Vaucluse House,2,34.51,Luxury,10
919,6000 Bollinger Canyon Road Suite 2300,3,27.50,Pool,3
920,1875 South Bascom Avenue,1,16.81,Pool,8
921,43917 Pacific Commons Boulevard,2,20.01,Pool,7
922,4204 Lone Tree Way,1,14.65,Regular,5
923,500 Larkspur Landing Circle,1,16.82,Pool,9
924,6868 McKinley Street,1,13.61,Regular,7
925,949 El Camino Real,1,16.01,Luxury,11
926,2575 California Street #90,1,8.90,Pool,3
927,6868 McKinley Street,3,26.10,Regular,2
928,2855 Stevens Creek Boulevard Suite 2160,1,16.57,Pool,7
929,1 Embarcadero Center,2,28.21,Regular,4
930,32100 Union Landing Boulevard,1,17.36,Luxury,14
931,2190 Eastridge Loop,3,49.59,Luxury,7
932,4204 Lone Tree Way,1,14.85,Pool,6
933,2317 Central Avenue,1,10.90,Regular,3
934,750 Tennant Station,2,21.58,Regular,2
935,1118 4th Street,1,19.03,Luxury,7
936,200 C Street,1,30.96,Luxury,9
937,100 Washington Street,1,11.60,Regular,3
938,415 Center Street,2,19.04,Regular,4
939,15555 East 14th Street,1,7.92,Pool,6
940,43917 Pacific Commons Boulevard,3,22.86,Regular,6
941,42010 Blacow Road,3,56.86,Luxury,8
942,1188 El Camino Real 4th Floor,1,17.00,Pool,5
943,549 Magnolia Avenue,2,22.03,Luxury,8
944,6000 Bollinger Canyon Road Suite 2300,3,55.70,Luxury,8
945,620 3rd Street,1,19.20,Regular,7
946,620 3rd Street,3,27.09,Pool,8
947,200 C Street,2,31.40,Luxury,14
948,The Villa,3,26.12,Luxury,7
949,Cafe New Honolulu,1,23.62,Regular,7
950,5498 College Avenue,2,15.05,Regular,7
951,34050 Westchester Terrace,2,42.60,Luxury,8
952,John's Of Willow Glen,2,19.45,Pool,5
953,Four Star Theatre,2,23.38,Luxury,11
954,Atlanta,3,23.63,Pool,4
955,Montoya Garden Apartments,1,34.34,Luxury,10
956,Vancouver Aquarium,1,17.82,Luxury,11
957,491 30th Street #103,4,34.76,Regular,2
958,900 Blake Wilbur Drive 1st Floor,3,54.63,Luxury,8
959,4058 18th Street A,1,28.17,Luxury,12
960,Octavia,4,45.70,Luxury,13
961,San Vicente Restaurant,2,24.07,Regular,5
962,1646 Broadway Street,1,15.97,Regular,4
963,770 San Ramon Valley Boulevard,1,16.88,Luxury,9
964,660 Gail Avenue,2,23.90,Pool,6
965,Gum Kuo,1,6.22,Pool,5
966,226 Edelen Avenue,1,13.07,Pool,3
967,2550 El Camino Real,2,18.46,Regular,5
968,Lin Jia Asian Kitchen,1,31.32,Luxury,10
969,1270 Linford Lane,2,42.40,Luxury,8
970,Kusakabe,2,21.91,Pool,3
971,Capers Eat & Drink,4,47.16,Regular,7
972,7880 Wren Avenue,3,30.54,Regular,5
973,Peacock Indian Cuisine,1,16.87,Regular,5
974,10544 San Pablo Avenue,4,52.72,Luxury,13
975,140 Homer Avenue,3,47.04,Luxury,11
976,Ariake,1,15.46,Pool,6
977,4906 West El Camino Real # A,3,22.17,Pool,8
978,Newport Street Gallery,1,14.43,Pool,4
979,Bella Vista At Hilltop,4,19.00,Pool,9
980,Museum of Astronomy and Related Sciences,1,17.84,Regular,2
981,Astoria Park,4,66.66,Luxury,9
982,Century at Pacific Commons & XD,2,43.29,Luxury,14
983,290 Ioof Avenue,4,24.08,Regular,7
984,630 Drake Avenue,1,30.63,Luxury,7
985,5755 Cottle Road # 4,2,32.72,Regular,7
986,2516 Samaritan Drive,1,15.85,Luxury,11
987,101 Gregory Lane,3,28.91,Luxury,14
988,1150 Veterans Boulevard,2,8.73,Pool,6
989,301 Los Gatos-Saratoga Road,1,32.68,Luxury,14
990,975 Sereno Drive,1,32.47,Luxury,14
991,7200 Bancroft Ave # 125C,1,10.96,Pool,7
992,795 Willow Road #321,4,22.78,Pool,6
993,140 Mayhew Way # 702,2,21.57,Luxury,8
994,45 Quail Court # 200,1,12.35,Pool,7
995,1150 Veterans Boulevard,4,14.28,Pool,3
996,160 Saratoga Ave # 280,2,25.48,Regular,4
997,101 Gregory Lane,1,8.69,Pool,6
998,250 Bel Marin Keys Boulevard,2,24.98,Luxury,13
999,1150 Veterans Boulevard,1,6.48,Pool,7
1000,845 El Camino Real,1,10.02,Pool,5
1001,845 El Camino Real,1,34.05,Luxury,8
1002,2455 Bennett Valley Road,2,25.41,Regular,2
1003,5755 Cottle Road # 4,1,20.83,Regular,7
1004,5755 Cottle Road # 4,2,15.63,Pool,9
1005,45 San Clemente Drive b200,1,17.53,Luxury,14
1006,327 North San Mateo Drive Suite 7,4,28.04,Regular,2
1007,101 Gregory Lane,2,22.47,Luxury,13
1008,534 B Street,2,13.70,Pool,6
1009,2455 Bennett Valley Road,1,30.05,Luxury,10
1010,1301 Ralston Avenue # C,1,34.59,Luxury,14
1011,5755 Cottle Road # 4,3,17.96,Pool,5
1012,87 East San Fernando Street,2,21.04,Pool,5
1013,3284 El Camino Real,1,17.91,Luxury,8
1014,716 Magnolia Avenue,2,23.94,Pool,5
1015,601 Van Ness Avenue,1,15.91,Luxury,14
1016,331 West Hacienda Avenue,2,23.00,Pool,6
1017,316 North Santa Cruz Avenue,2,22.09,Luxury,12
1018,1441 Polk Street,2,27.11,Luxury,10
1019,2377 Shattuck Avenue,2,24.68,Luxury,13
1020,2150 Chestnut Street,3,17.96,Pool,3
1021,1560 Fillmore Street,1,16.64,Pool,5
1022,1316 El Camino Real,2,25.87,Luxury,11
1023,3268 Grand Avenue,2,19.54,Pool,7
1024,24 Sunnyside Avenue,4,14.70,Pool,7
1025,4869 Telegraph Avenue,3,34.49,Regular,5
1026,2327 Shattuck Avenue,2,17.41,Pool,9
1027,199 Seawall Drive,3,55.11,Luxury,14
1028,211 San Mateo Road,2,30.69,Regular,4
1029,194 Castro Street,2,46.98,Luxury,11
1030,600 Redwood Highway,3,10.55,Pool,7
1031,471 Haight Street,3,18.52,Pool,6
1032,2116 Shattuck Avenue,3,29.48,Pool,4
1033,808 Geary Street,2,33.62,Regular,4
1034,3119 Clement Street,2,43.50,Luxury,7
1035,134 Castro Street,2,22.71,Luxury,7
1036,15475 Los Gatos Boulevard,1,26.82,Luxury,13
1037,60 East 3rd Avenue,3,28.35,Pool,9
1038,4 Embarcadero Center,3,48.36,Luxury,10
1039,1062 Kiely Boulevard,2,27.65,Luxury,14
1040,630 Park Court,1,18.80,Luxury,13
1041,1825 Sutter Street #C,4,43.24,Regular,7
1042,4239 Park Boulevard,2,38.03,Luxury,8
1043,2083 Camden Avenue,2,39.60,Luxury,13
1044,1801 Alemany Boulevard,2,18.14,Regular,3
1045,1457 Lincoln Avenue,1,13.81,Pool,7
1046,2960 North Shoreline Boulevard,2,45.59,Luxury,11
1047,2355 Chestnut Street,2,24.69,Luxury,14
1048,1261 Folsom Street,1,12.77,Pool,9
1049,1599 Sanchez Street,1,17.97,Pool,9
1050,Atami Sushi Bar & Grill,3,42.99,Regular,4
1051,La Casita 2,2,35.82,Luxury,14
1052,800 Pollard Road # B201,1,8.09,Pool,7
1053,National Museum of Natural History,2,46.58,Luxury,14
1054,100 Park Boulevard,1,11.00,Regular,7
1055,Cascades Apartments,1,22.83,Regular,5
1056,Eden Roc Apartments,3,19.99,Pool,7
1057,503 West San Carlos Street,2,21.81,Luxury,14
1058,Franchino,1,28.62,Luxury,14
1059,Duchess Oakland,1,8.48,Pool,4
1060,SkyJump,1,16.00,Pool,6
1061,Park Branham Apartments,2,11.68,Pool,8
1062,540 El Camino Real,1,22.68,Regular,2
1063,Burke Museum of Natural History and Culture,2,14.62,Regular,4
1064,The Garden Restaurant,1,26.53,Luxury,13
1065,855 East Tabor Avenue,2,22.23,Luxury,13
1066,2508,1,19.99,Luxury,13
1067,Bowl & Plate At White Shallot,1,13.77,Pool,9
1068,Bosque de Chapultepec,3,40.46,Regular,3
1069,421-b March Avenue,3,30.09,Regular,3
1070,Sticky Rice Chinese Bistro & Bar,4,14.18,Pool,3
1071,Cafe Gibraltar,4,26.06,Regular,4
1072,The San Diego Museum of Art,1,22.66,Luxury,9
1073,3339 Walnut Avenue,1,10.55,Regular,4
1074,China Station Restaurant,1,11.41,Regular,4
1075,4067 Transport Street b,1,16.86,Pool,9
1076,3945 24th Street,4,16.44,Pool,9
1077,222 Great Mall Drive,2,34.93,Regular,6
1078,National Maritime Museum,1,28.47,Luxury,11
