,event_date,event_location,event_name,event_time,available_end_time,available_start_time
434,2019-03-02,1375 Montecito Avenue,Property viewing,08:30,,
435,2019-03-09,,,,13:00,11:30
436,2019-03-09,235 West 46th Street,Buddy Guy concert,12:00,,
437,2019-03-05,,,,24:00,14:30
438,2019-03-08,,,,24:00,18:30
439,2019-03-08,"261 Driggs Avenue, Brooklyn",Amber Run Brooklyn concert,19:00,,
440,2019-03-04,,,,24:00,19:30
441,2019-03-02,,,,13:30,08:00
442,2019-03-02,600 Wilbur Avenue,Property viewing,09:00,,
443,2019-03-05,,,,21:30,21:00
444,2019-03-13,24307 Southland Drive,Dentist appointment,08:30,,
445,2019-03-07,,,,18:30,12:30
446,2019-03-07,555 Center Avenue,Movie at Contra Costa Stadium Cinemas,13:15,,
447,2019-03-12,,,,22:30,17:00
448,2019-03-12,401 Gregory Ln # 248,"General Practitioner appointment with John Toth, D.O.",14:30,,
449,2019-03-11,,,,22:30,20:30
450,2019-03-11,Community gym,Gym,21:30,,
451,2019-03-12,,,,24:00,19:30
452,2019-03-12,1500 South Capitol Street Southeast,Baseball Game: Nationals Vs Reds,20:00,,
453,2019-03-09,,,,24:00,21:30
454,2019-03-10,,,,19:30,12:30
455,2019-03-10,858 North Broad Street,Toto concert,12:45,,
456,2019-03-06,,,,24:00,16:30
457,2019-03-09,,,,13:00,08:00
458,2019-03-09,2508,Movie booking for Long Shot,09:45,,
459,2019-03-12,,,,22:30,20:00
460,2019-03-02,5 Bon Air Rd # 114,Appointment with Koppe Michael J,15:15,,
461,2019-03-07,,,,21:30,13:00
462,2019-03-07,2901 East Hastings Street,Billy Idol concert,14:15,,
463,2019-03-05,,,,15:30,08:00
464,2019-03-08,,,,17:00,14:30
465,2019-03-08,50 South San Mateo Drive,General Practitioner appointment,15:00,,
466,2019-03-08,,,,12:00,10:30
467,2019-03-08,,,,19:00,13:30
468,2019-03-08,,,,24:00,22:00
469,2019-03-11,,,,16:00,08:00
470,2019-03-11,,,,17:30,16:30
471,2019-03-11,"4175, 42151 Blacow Road",Hairdresser appointment,15:00,,
472,2019-03-05,,,,10:00,08:00
473,2019-03-05,,,,16:00,11:00
474,2019-03-05,,,,24:00,16:30
475,2019-03-03,,,,18:00,14:00
476,2019-03-03,1880 Solano Avenue,Hairdresser appointment,14:00,,
477,2019-03-14,,,,17:00,11:00
478,2019-03-14,1015 Fitzuren Road #7,Apartment viewing,12:00,,
479,2019-03-09,881 7th Avenue,Joe Hisaishi concert,09:45,,
480,2019-03-01,,,,17:30,15:00
481,2019-03-07,,,,16:30,13:00
482,2019-03-07,2664 Berryessa Road # 210,Appointment with Quach Catherine,14:30,,
483,2019-03-09,,,,18:00,10:30
484,2019-03-13,,,,19:30,19:00
485,2019-03-13,1447 Cedarwood Lane # A,Doctor appointment,19:00,,
486,2019-03-04,,,,12:30,08:00
487,2019-03-08,,,,11:00,08:00
488,2019-03-08,1722 First Street,Movie booking for High Life,08:15,,
489,2019-03-11,,,,14:30,08:00
490,2019-03-11,,,,17:00,15:00
491,2019-03-11,,,,24:00,20:00
492,2019-03-08,,,,13:30,08:00
493,2019-03-08,,,,16:30,15:00
494,2019-03-08,1500 South Capitol Street Southeast,Baseball game,19:30,,
495,2019-03-13,,,,22:30,16:00
496,2019-03-02,,,,12:30,08:00
497,2019-03-02,2505 Samaritan Dr,Dentist appointment with Mark A Watson,09:30,,
498,2019-03-01,,,,11:30,08:00
499,2019-03-01,300 Hilary Way,Viewing at Fountain Plaza Apartments,09:00,,
500,2019-03-07,540 North Santa Cruz Avenue Suite B1,Appointment with Dr. Jaswinder Ghuman,08:15,,
501,2019-03-05,,,,22:30,18:00
502,2019-03-05,1347 Main Street,Reservation for 3 people at Market,18:15,,
503,2019-03-05,,,,24:00,12:30
504,2019-03-05,3911 Figueroa Street,Football Game: Usc Vs Utah,13:30,,
505,2019-03-08,,,,24:00,18:00
506,2019-03-10,,,,22:30,08:00
507,2019-03-10,1234 West 7th Street,Murder City Devils concert,08:45,,
508,2019-03-02,,,,11:00,08:00
509,2019-03-02,,,,16:00,12:30
510,2019-03-02,,,,24:00,17:30
511,2019-03-02,19920 Olivewood Street,Apartment viewing at Pointe At Cupertino,13:00,,
512,2019-03-05,,,,17:00,13:30
513,2019-03-07,,,,18:30,14:00
514,2019-03-07,65 West Main Street,Hairdresser appointment,15:00,,
515,2019-03-04,,,,24:00,23:30
516,2019-03-12,,,,22:30,12:30
517,2019-03-12,41277 Roberts Ave # 32,Viewing at Felson Management Corporation,12:30,,
518,2019-03-03,,,,19:30,16:00
519,2019-03-07,,,,24:00,16:30
520,2019-03-07,50 East Market Street,Viewing at Villa Fontana Apartments,18:15,,
521,2019-03-04,,,,20:30,11:00
522,2019-03-04,960 Blossom Hill Road,Stylist appointment at Kinder Cuts Kids Hair Salon,11:30,,
523,2019-03-07,,,,15:00,11:30
524,2019-03-10,,,,13:00,12:30
525,2019-03-10,2500 Milvia Street,"General Practitioner appointment with Roxanne C. Fiscella, M.D.",12:30,,
526,2019-03-09,,,,11:30,08:00
527,2019-03-09,,,,17:00,12:00
528,2019-03-09,,,,24:00,19:00
529,2019-03-12,,,,18:30,14:00
530,2019-03-12,10095 Saich Way #2,Hairdresser appointment,14:00,,
531,2019-03-07,,,,24:00,20:00
532,2019-03-07,Community gym,Gym,21:15,,
533,2019-03-04,3455 Homestead Road,Apartment viewing,18:45,,
534,2019-03-13,,,,22:30,21:00
535,2019-03-13,Home,Bedtime,21:30,,
536,2019-03-10,,,,22:30,19:00
537,2019-03-04,,,,18:30,11:00
538,2019-03-04,128 El Cerrito Plz,Dentist appointment,11:15,,
539,2019-03-13,,,,13:00,08:00
540,2019-03-03,,,,11:30,08:00
541,2019-03-03,341 7th Street,Appointment at The Dreadlocks Salon,08:45,,
542,2019-03-10,,,,13:00,08:00
543,2019-03-10,,,,24:00,14:30
544,2019-03-04,,,,15:30,08:00
545,2019-03-04,,,,24:00,16:00
546,2019-03-04,2227 Piedmont Avenue,Football Game: Golden Bears Vs Trojans,17:30,,
547,2019-03-03,,,,19:00,15:30
548,2019-03-04,,,,24:00,20:30
549,2019-03-04,Laundry room,Laundry,21:45,,
550,2019-03-05,,,,12:00,08:00
551,2019-03-05,,,,16:00,12:30
552,2019-03-05,,,,19:00,17:00
553,2019-03-05,,,,24:00,21:00
554,2019-03-14,,,,13:30,08:00
555,2019-03-14,,,,14:30,14:00
556,2019-03-14,,,,17:00,15:30
557,2019-03-14,49 Gold Mine Drive,Property viewing,11:30,,
558,2019-03-12,,,,14:30,08:00
559,2019-03-12,31 Panoramic Way #201,General Practitioner appointment,09:30,,
560,2019-03-09,,,,16:00,13:30
561,2019-03-09,,,,24:00,18:00
562,2019-03-07,,,,12:00,08:00
563,2019-03-07,,,,15:00,13:00
564,2019-03-07,,,,18:30,16:00
565,2019-03-07,,,,24:00,20:30
566,2019-03-07,33306 Alvarado-Niles Road,Reservation for 3 people at Mexico Lindo,13:00,,
567,2019-03-13,,,,14:30,08:00
568,2019-03-13,,,,19:00,15:00
569,2019-03-13,,,,24:00,21:00
570,2019-03-14,,,,12:00,08:00
571,2019-03-14,,,,13:30,13:00
572,2019-03-14,1374 9th Avenue,Hairdresser appointment,18:30,,
573,2019-03-02,,,,17:30,08:00
574,2019-03-02,,,,19:30,19:00
575,2019-03-02,,,,24:00,21:30
576,2019-03-14,,,,15:30,08:00
577,2019-03-14,,,,17:00,16:30
578,2019-03-14,,,,24:00,18:00
579,2019-03-14,5500 Campanile Drive,Alejandro Sanz concert,18:30,,
580,2019-03-13,,,,17:00,08:00
581,2019-03-13,,,,22:30,21:30
582,2019-03-04,,,,12:00,08:00
583,2019-03-04,,,,20:00,13:30
584,2019-03-04,,,,24:00,22:00
585,2019-03-04,801 Welch Road,ENT Specialist appointment,14:30,,
586,2019-03-14,,,,19:30,08:00
587,2019-03-14,,,,24:00,21:00
588,2019-03-14,100 Summerfield Drive,Property viewing,15:30,,
589,2019-03-06,,,,13:30,08:00
590,2019-03-06,,,,18:30,14:30
591,2019-03-06,,,,24:00,21:00
592,2019-03-07,,,,17:00,13:00
593,2019-03-07,6000 Bollinger Canyon Road Suite 2300,Movie at THE LOT City Center,19:00,,
594,2019-03-04,,,,16:30,08:00
595,2019-03-04,,,,19:30,17:30
596,2019-03-04,,,,24:00,22:30
597,2019-03-04,4045 East Castro Valley Boulevard,Appointment at Great Clips,18:30,,
598,2019-03-09,,,,19:00,13:30
599,2019-03-09,,,,24:00,22:00
600,2019-03-09,89 South Street,The Struts concert,17:00,,
601,2019-03-08,,,,17:00,12:00
602,2019-03-08,,,,24:00,21:00
603,2019-03-03,,,,18:30,08:00
604,2019-03-03,400 East Remington Drive,Viewing at Apricot Pit Apartments,15:30,,
605,2019-03-01,,,,13:30,08:00
606,2019-03-01,,,,21:30,14:30
607,2019-03-01,,,,24:00,23:30
608,2019-03-01,90 Old Courthouse Square,Restaurant reservation for 3 at Perch + Plow,18:00,,
609,2019-03-12,,,,17:00,11:30
610,2019-03-12,,,,24:00,22:00
611,2019-03-14,,,,15:00,08:00
612,2019-03-14,,,,22:30,16:00
613,2019-03-14,34348 Alvarado-Niles Road,Reservation for 5 people at Mayflower Seafood Restaurant,11:00,,
614,2019-03-02,,,,20:00,14:30
615,2019-03-02,,,,24:00,22:00
616,2019-03-02,994 The Alameda,Hairdresser appointment,17:00,,
617,2019-03-14,,,,24:00,21:30
618,2019-03-09,,,,14:00,08:00
619,2019-03-09,,,,21:00,15:30
620,2019-03-09,344 East Hamilton Avenue,Ophthalmologist appointment with Dr. Edward J. Saub,11:00,,
621,2019-03-12,,,,17:00,14:00
622,2019-03-12,,,,24:00,18:00
623,2019-03-12,200 South 3rd Street,Young The Giant concert,19:00,,
624,2019-03-02,,,,19:30,17:30
625,2019-03-02,,,,24:00,21:00
626,2019-03-02,4343 Renaissance Drive,Apartment viewing at The Enclave,15:00,,
627,2019-03-14,,,,11:30,08:00
628,2019-03-14,,,,19:30,12:30
629,2019-03-14,,,,22:30,21:30
630,2019-03-01,,,,17:30,08:00
631,2019-03-01,,,,22:30,18:30
632,2019-03-01,1460 North Camino Alto,"Ophthalmologist appointment with Rona Silkiss, MD, FACS",13:30,,
633,2019-03-10,,,,16:30,08:00
634,2019-03-10,,,,22:30,17:30
635,2019-03-10,2290 California Street,Apartment viewing at Arbors At Mountain View,14:00,,
636,2019-03-01,,,,17:00,13:30
637,2019-03-01,,,,19:30,18:30
638,2019-03-01,,,,24:00,21:30
639,2019-03-13,,,,15:00,08:00
640,2019-03-13,,,,17:00,16:00
641,2019-03-13,50 Upper Alabama Street,Taking Back Sunday concert,19:00,,
642,2019-03-09,,,,24:00,12:00
643,2019-03-09,1111 Southwest Broadway,Erica Fernandez concert,18:30,,
644,2019-03-04,,,,19:00,17:30
645,2019-03-04,,,,21:30,20:30
646,2019-03-09,,,,12:30,08:00
647,2019-03-09,,,,17:30,14:00
648,2019-03-09,1919 Mount Diablo Boulevard,Hairdresser appointment,11:30,,
649,2019-03-06,9260 Alcosta Boulevard B-12,out of office,12:45,,
650,2019-03-10,689 East Remington Drive Ste A,dental appointment,12:30,,
651,2019-03-13,2664 Berryessa Road # 206,dentist,16:30,,
652,2019-03-14,3550 San Pablo Dam Road # A6,Appointment,14:45,,
653,2019-03-09,1783 Second Street,dentist,14:00,,
654,2019-03-08,2664 Berryessa Road # 206,Appointment,11:30,,
655,2019-03-13,3544 Balboa Street,dentist,11:30,,
656,2019-03-01,4655 Hoen Avenue # 6,dental appointment,16:30,,
657,2019-03-05,4646 El Camino Real,dentist appointment,11:00,,
658,2019-03-11,"4812, 1144 Sonoma Avenue",dentist,16:00,,
659,2019-03-06,14475 South Bascom Avenue,dentist,15:30,,
660,2019-03-13,9260 Alcosta Boulevard,out of office,10:30,,
661,2019-03-10,689 East Remington Drive Ste A,dentist,14:45,,
662,2019-03-07,1150 Scott Boulevard # A2,dentist appointment,12:00,,
663,2019-03-10,24901 Santa Clara Street #2,dental,10:30,,
664,2019-03-13,2664 Berryessa Road # 206,dentist,11:45,,
665,2019-03-07,37149 Fremont Boulevard,dental appointment,17:30,,
666,2019-03-08,535 Pierce Street,dentist appointment,12:30,,
667,2019-03-13,1040 Grant Road #103,Appointment,17:00,,
668,2019-03-06,1785 San Carlos Ave # 3,dentist,12:00,,
669,2019-03-08,"4812, 1144 Sonoma Avenue",errand,12:00,,
670,2019-03-02,990 West Fremont Avenue,errand,10:15,,
671,2019-03-01,6800 Palm Avenue e,dental,12:00,,
672,2019-03-10,2401 Waterman Boulevard,dentist appointment,15:45,,
673,2019-03-04,2664 Berryessa Road # 206,dentist,13:00,,
674,2019-03-10,14475 South Bascom Avenue,not at work,11:30,,
675,2019-03-01,17705 Hale Avenue A-5,not at work,10:45,,
676,2019-03-05,2664 Berryessa Road # 206,Appointment,09:30,,
677,2019-03-12,540 North Santa Cruz Avenue Suite B1,errand,14:30,,
678,2019-03-06,2664 Berryessa Road # 206,Appointment,10:30,,
679,2019-03-08,4655 Hoen Avenue # 6,dental,12:30,,
680,2019-03-04,535 Pierce Street,dentist appointment,15:15,,
681,2019-03-04,7880 Wren Ave,Appointment,17:00,,
682,2019-03-06,2664 Berryessa Road # 206,dentist,13:30,,
683,2019-03-03,1894 Contra Costa Boulevard,errand,09:45,,
684,2019-03-07,6800 Palm Avenue e,dentist appointment,16:00,,
685,2019-03-06,2664 Berryessa Road # 206,dentist,17:15,,
686,2019-03-13,2664 Berryessa Road # 206,dentist,16:15,,
687,2019-03-14,10101 North Wolfe Road,dentist appointment,17:15,,
688,2019-03-02,3434 Villa Lane D-160,dental appointment,13:30,,
689,2019-03-07,990 West Fremont Avenue j,dental,13:30,,
690,2019-03-10,9260 Alcosta Boulevard,not at work,17:30,,
691,2019-03-03,430 East Calaveras Boulevard,dentist appointment,16:00,,
692,2019-03-13,2664 Berryessa Road # 212,out of office,12:00,,
693,2019-03-10,4215 Geary Boulevard,dental appointment,14:00,,
694,2019-03-10,5710 Cahalan Avenue # 8J,dentist appointment,10:30,,
695,2019-03-08,90 Woodacre Drive # 108,not at work,16:15,,
696,2019-03-14,2664 Berryessa Road # 205,dentist appointment,14:15,,
697,2019-03-07,2664 Berryessa Road # 205,dentist appointment,14:00,,
698,2019-03-07,990 West Fremont Avenue j,dental,15:15,,
699,2019-03-07,1532 20th Street,Stylist visit,11:30,,
700,2019-03-10,2485 De La Cruz Boulevard,errand,09:45,,
701,2019-03-08,1532 20th Street,Stylist visit,16:30,,
702,2019-03-03,1880 Solano Avenue,Appointment,15:00,,
703,2019-03-10,1 Camino Sobrante Ste 5,Hair salon,16:00,,
704,2019-03-10,1532 20th Street,Stylist visit,11:15,,
705,2019-03-05,1047 Lincoln Highway suite 101,Hairdresser appointment,14:30,,
706,2019-03-07,1047 Lincoln Highway suite 101,Hairdresser appointment,11:30,,
707,2019-03-12,1532 20th Street,Stylist visit,12:00,,
708,2019-03-08,1532 20th Street,Stylist visit,10:00,,
709,2019-03-14,1047 Lincoln Highway suite 101,Hairdresser appointment,13:30,,
710,2019-03-08,6790 McKinley Street #180,Hair care,18:30,,
711,2019-03-01,1532 20th Street,Stylist visit,16:00,,
712,2019-03-14,820 East El Camino Real,Hairdresser appointment,10:00,,
713,2019-03-10,1047 Lincoln Highway suite 101,Hairdresser appointment,13:30,,
714,2019-03-06,1012 Oak Grove Avenue,Stylist visit,17:00,,
715,2019-03-04,930 Admiral Callaghan Lane,Hairdresser appointment,17:00,,
716,2019-03-10,450 East El Camino Real,Hairdresser appointment,10:30,,
717,2019-03-11,1274 Benton Street,not at work,11:30,,
718,2019-03-03,450 East El Camino Real,Hairdresser appointment,16:30,,
719,2019-03-13,3136 Contra Loma Boulevard,Stylist appointment,10:30,,
720,2019-03-07,1532 20th Street,Stylist visit,15:30,,
721,2019-03-10,1880 Solano Avenue,Hair salon,17:30,,
722,2019-03-13,2485 De La Cruz Boulevard,errand,14:45,,
723,2019-03-02,21314 San Ramon Valley Boulevard,Hairdresser appointment,18:00,,
724,2019-03-06,"Nut Tree Village, 1631 East Monte Vista Avenue K101",Salon,15:00,,
725,2019-03-10,40645 Fremont Boulevard,Busy,18:00,,
726,2019-03-01,1532 20th Street,Stylist visit,16:15,,
727,2019-03-02,1639 North California Boulevard,Stylist,16:00,,
728,2019-03-10,1532 20th Street,Stylist visit,14:00,,
729,2019-03-11,1532 20th Street,Stylist visit,13:30,,
730,2019-03-04,1532 20th Street,Stylist visit,17:30,,
731,2019-03-05,14531 Big Basin Way,Hair salon,12:00,,
732,2019-03-13,1386 Fitzgerald Drive,Stylist visit,15:00,,
733,2019-03-07,1775 Park Avenue,Salon,10:45,,
734,2019-03-01,4801 Telegraph Avenue,Hairdresser appointment,16:30,,
735,2019-03-14,301 Hartz Avenue #105,out of office,17:30,,
736,2019-03-07,2040 Ralston Avenue Ste B,Salon,16:00,,
737,2019-03-06,1532 20th Street,Stylist visit,10:30,,
738,2019-03-05,2100 Avy Avenue,Hairdresser appointment,15:00,,
739,2019-03-10,1532 20th Street,Stylist visit,12:30,,
740,2019-03-10,1532 20th Street,Stylist visit,13:00,,
741,2019-03-11,1532 20th Street,Stylist visit,12:30,,
742,2019-03-02,205 5th Street D,out of office,11:00,,
743,2019-03-09,4801 Telegraph Avenue,Hairdresser appointment,15:00,,
744,2019-03-02,1047 Lincoln Highway suite 101,Hairdresser appointment,12:30,,
745,2019-03-14,1734 El Camino Real,Salon,16:30,,
746,2019-03-13,1047 Lincoln Highway suite 101,Hairdresser appointment,13:30,,
747,2019-03-02,3136 Contra Loma Boulevard,Stylist,18:00,,
748,2019-03-05,301 Hartz Avenue #105,out of office,12:00,,
749,2019-03-01,1047 Lincoln Highway suite 101,Hairdresser appointment,17:00,,
750,2019-03-02,4801 Telegraph Avenue,Hairdresser appointment,10:30,,
751,2019-03-01,2380 Sutter Street,ENT visit,15:15,,
752,2019-03-01,100 North Wiget Lane Suite 270,Appointment,13:00,,
753,2019-03-08,301 Old San Francisco Road Level 2,GP appointment,12:00,,
754,2019-03-06,3440 Hillcrest Avenue Suite 150,Doctor appointment,11:15,,
755,2019-03-01,3300 Webster Street #1200,Doctor visit,15:00,,
756,2019-03-14,"795 El Camino Real Jamplis Building, Level 1",doctor appointment,11:00,,
757,2019-03-09,2400 Samaritan Drive #105,Doctor appointment,17:15,,
758,2019-03-04,2400 Samaritan Drive #105,Doctor appointment,14:00,,
759,2019-03-03,1085 West El Camino Real Level 2,Doctor appointment,16:00,,
760,2019-03-05,2301 Camino Ramon,general practitioner,11:30,,
761,2019-03-13,5050 West El Camino Real # 110,doctor appointment,17:00,,
762,2019-03-03,935 Trancas Street,GP appointment,11:00,,
763,2019-03-09,1501 Trousdale Drive #2,Doctor appointment,17:15,,
764,2019-03-10,"1, 4050 Dublin Boulevard",Doctor visit,11:30,,
765,2019-03-07,500 Doyle Park Drive #200,Visit to doctor,10:00,,
766,2019-03-08,3536 Mendocino Avenue #380,Doc appointment,15:30,,
767,2019-03-12,"2929, 2290 Sacramento Street",Doctor visit,16:15,,
768,2019-03-11,2700 Grant Street Suite 200,Doctor appointment,12:00,,
769,2019-03-08,4906 West El Camino Real # A,ENT Specialist,14:30,,
770,2019-03-12,655 Redwood Highway Suite 100,Doctor appointment,11:15,,
771,2019-03-06,200 Jose Figueres Avenue #490,Visit to doctor,15:00,,
772,2019-03-03,"Sonoma Ave, # 44, 1820 Doctors Park Drive",Doctor appointment,15:30,,
773,2019-03-08,1550 Gateway Boulevard,general practitioner,16:00,,
774,2019-03-03,301 Old San Francisco Road Level 2,general practitioner,17:00,,
775,2019-03-07,1100 Trancas Street #209,Doctor appointment,17:00,,
776,2019-03-13,730 Welch Road 1st Floor,Doctor appointment,16:30,,
777,2019-03-11,5161 Clayton Road Suite F,GP appointment,14:00,,
778,2019-03-02,935 Trancas Street,GP appointment,15:00,,
779,2019-03-13,17251 Hesperian Boulevard,Doctor appointment,10:00,,
780,2019-03-06,3850 Grand Avenue,Doctor appointment,17:15,,
781,2019-03-11,3300 Webster Street #1200,Visit to doctor,11:45,,
782,2019-03-02,1580 Valencia Street #508,Doctor appointment,12:00,,
783,2019-03-05,2100 Webster Street suite 214,Doc appointment,10:45,,
784,2019-03-04,655 Redwood Highway Suite 100,Doctor appointment,14:30,,
785,2019-03-06,280 Baldwin Avenue,Doc appointment,12:00,,
786,2019-03-09,"Sonoma Ave, # 44, 1820 Doctors Park Drive",doctor,11:30,,
787,2019-03-09,5050 West El Camino Real # 110,doctor appointment,14:15,,
788,2019-03-14,991 County Highway G4 STE 104,Doctor appointment,14:45,,
789,2019-03-14,"2929, 2290 Sacramento Street",Doctor visit,15:30,,
790,2019-03-12,5050 West El Camino Real # 110,doctor appointment,16:00,,
791,2019-03-09,1008 Laurel Street,doctor appointment,11:30,,
792,2019-03-12,329 Tennessee Street,Doctor appointment,11:00,,
793,2019-03-11,9460 No Name Uno # 210,Visit to doctor,14:15,,
794,2019-03-05,701 E El Camino Real 2nd Floor,Doctor appointment,14:30,,
795,2019-03-03,460 34th Street,doctor appointment,11:30,,
796,2019-03-10,433 Estudillo Avenue #303,Doc appointment,16:00,,
797,2019-03-02,301 Old San Francisco Road Level 2,GP appointment,15:30,,
798,2019-03-14,2700 International Boulevard # 35,GP visit,16:00,,
799,2019-03-08,2301 Camino Ramon,Doctor appointment,16:00,,
800,2019-03-07,4680 Tassajara Road,Doctor visit,16:00,,
801,2019-03-03,80 Nicholl Avenue,Doctor appointment,12:00,,
802,2019-03-05,3440 Hillcrest Avenue Suite 150,Doctor appointment,16:00,,
803,2019-03-01,2211 Bush Street,Doctor visit,15:30,,
804,2019-03-13,3807 Lone Tree Way,Visit to doctor,16:00,,
805,2019-03-04,888 Oak Grove Avenue #8,Doc appointment,14:45,,
806,2019-03-07,211 Quarry Road,Doctor appointment,11:30,,
807,2019-03-05,655 Redwood Highway Suite 100,Doctor appointment,10:30,,
808,2019-03-02,5050 West El Camino Real # 110,doctor appointment,14:00,,
809,2019-03-11,1546 Maurice Lane,Apartment visit,18:30,,
810,2019-03-08,400 East Remington Drive,Visit appointment,17:30,,
811,2019-03-05,900 Pepper Tree Lane,House,15:00,,
812,2019-03-04,1811 Novato Blvd,Apartment visit,12:30,,
813,2019-03-05,400 East Remington Drive,property visit appointment,11:30,,
814,2019-03-14,5255 Clayton Road,Apartment visit,09:30,,
815,2019-03-03,4757 Snyder Lane,Property appointment,11:30,,
816,2019-03-14,947 Branham Lane # C,House,18:30,,
817,2019-03-03,1500 Vista Club Circle,property visit appointment,14:30,,
818,2019-03-07,133 North Temple Drive,Property visit,14:30,,
819,2019-03-11,24660 Amador Street,Visit appointment,09:00,,
820,2019-03-14,20353 Park Way,Visit appointment,09:30,,
821,2019-03-13,25100 Cypress Avenue,Property appointment,16:00,,
822,2019-03-02,2290 California Street,Property appointment,15:00,,
823,2019-03-10,350 Sharon Park Drive,House,10:00,,
824,2019-03-01,300 Timberhead Lane,property visit appointment,10:00,,
825,2019-03-14,135 Freeway Drive,property visit appointment,14:30,,
826,2019-03-11,150 Sierra Drive,Apartment visit,15:00,,
827,2019-03-02,1270 Linford Lane,property visit appointment,18:00,,
828,2019-03-11,2605 Haste Street,property visit appointment,12:00,,
829,2019-03-14,2000 Shoreline Loop,Property,16:30,,
830,2019-03-10,1688 Clayton Road,Visit appointment,09:00,,
831,2019-03-12,135 Acalanes Drive,Apartment visit,16:30,,
832,2019-03-02,275 Hawthorne Avenue,Property appointment,12:30,,
833,2019-03-14,24660 Amador Street,Visit appointment,16:00,,
834,2019-03-04,1400 A Street,Property,09:30,,
835,2019-03-14,2290 California Street,Property appointment,09:00,,
836,2019-03-11,215 Bayview Street,House,08:30,,
837,2019-03-13,1107 Porter Street,House,11:30,,
838,2019-03-08,1195 Saranap Avenue # 14,Apartment visit,12:00,,
839,2019-03-11,947 Branham Lane # C,House,10:00,,
840,2019-03-05,544 Central Avenue,Property,15:00,,
841,2019-03-05,1711 Detroit Avenue,Property,16:00,,
842,2019-03-09,4656 Quigg Drive,Property appointment,13:00,,
843,2019-03-06,275 Hawthorne Avenue,Property appointment,09:30,,
844,2019-03-08,1546 Maurice Lane,Visit appointment,09:00,,
845,2019-03-08,790 Lincoln Avenue,property visit appointment,08:30,,
846,2019-03-03,199 Aegean Way,Apartment visit,08:30,,
847,2019-03-05,400 East Remington Drive,property visit appointment,13:30,,
848,2019-03-12,2000 Shoreline Loop,Property,11:30,,
849,2019-03-05,19 Panorama Drive,Property appointment,11:30,,
850,2019-03-08,2290 California Street,Property appointment,12:30,,
851,2019-03-06,1475 167th Avenue,property visit appointment,15:30,,
852,2019-03-01,31755 Alvarado Boulevard,Property appointment,18:30,,
853,2019-03-11,4350 San Pablo Dam Road #8,Visit appointment,13:00,,
854,2019-03-13,4757 Snyder Lane,Property appointment,11:30,,
855,2019-03-03,1270 Linford Lane,property visit appointment,17:00,,
856,2019-03-12,2400 Shady Willow Lane,Apartment visit,15:00,,
857,2019-03-13,2211 Hastings Drive,House,14:30,,
858,2019-03-12,1282 Mattox Road,New house,09:30,,
859,2019-03-14,135 Freeway Drive,property visit appointment,15:30,,
860,2019-03-09,160 Wilford Lane,Apartment visit,17:00,,
861,2019-03-14,500 Ioof Avenue,Property visit,11:00,,
862,2019-03-06,1290 San Tomas Aquino Road,Apartment visit,15:00,,
863,2019-03-10,5 Hutchins Way,Visit appointment,16:30,,
864,2019-03-06,275 Hawthorne Avenue,Property appointment,14:00,,
865,2019-03-02,4757 Snyder Lane,Property appointment,14:00,,
866,2019-03-03,150 Sierra Drive,Apartment visit,13:00,,
867,2019-03-06,19 Panorama Drive,Property appointment,12:30,,
868,2019-03-05,1155 San Pablo Avenue,New house,15:30,,
869,2019-03-07,24955 Cypress Avenue,Property visit,17:00,,
870,2019-03-07,699 Gravenstein Highway North,Property visit,15:30,,
871,2019-03-13,1400 A Street,Apartment visit,18:30,,
872,2019-03-07,400 East Remington Drive,property visit appointment,09:00,,
873,2019-03-14,400 East Remington Drive,Visit appointment,17:30,,
874,2019-03-05,24660 Amador Street,Visit appointment,16:30,,
875,2019-03-13,1100 Market Street,Food,11:30,,
876,2019-03-04,1546 Maurice Lane,Visit appointment,18:00,,
877,2019-03-11,34050 Westchester Terrace,Property visit,14:00,,
878,2019-03-06,293 Shasta Drive,House,17:00,,
879,2019-03-05,210 Douglas Street # 100,Apartment visit,11:30,,
880,2019-03-02,947 Branham Lane # C,Property visit,16:00,,
881,2019-03-03,400 East Remington Drive,property visit appointment,11:00,,
882,2019-03-14,200 Greenbriar Circle,New house,10:00,,
883,2019-03-07,1100 Market Street,property visit appointment,12:00,,
884,2019-03-11,20 East Main Street,Property,15:30,,
885,2019-03-09,825 Russell Avenue,property visit appointment,14:00,,
886,2019-03-07,2355 Fairfield Avenue,Property visit,17:30,,
887,2019-03-13,707 Continental Circle,Property,17:00,,
888,2019-03-01,1000 Kiely Boulevard,Apartment visit,12:00,,
889,2019-03-04,1059 Reed Avenue,Visit appointment,09:30,,
890,2019-03-14,160 Wilford Lane,Apartment visit,14:30,,
891,2019-03-07,1290 San Tomas Aquino Road,Apartment visit,16:30,,
892,2019-03-11,947 Branham Lane # C,Property visit,10:30,,
893,2019-03-08,1000 Canyon Village Circle,New house,16:00,,
894,2019-03-06,1290 San Tomas Aquino Road,Apartment visit,08:00,,
895,2019-03-05,1711 Detroit Avenue,Property,12:00,,
896,2019-03-03,1700 Promontory Lane,Apartment visit,11:30,,
897,2019-03-04,3770 Flora Vista Avenue,Property visit,09:00,,
898,2019-03-11,2355 Fairfield Avenue,Property,10:30,,
899,2019-03-09,5643 Charlotte Way,property visit appointment,13:00,,
900,2019-03-04,1275 Central Boulevard,Property visit,12:30,,
