,address,city,dentist_name,offers_cosmetic_services,phone_number,appointment_date,appointment_time
306,"95032 (parking access on National Ave, 14830 Los Gatos Boulevard #103",Los Gatos,Dr. Stephen A. Los,False,408-356-8186,,
307,15215 National Ave # 202,Los Gatos,Townsend Julia H,False,408-356-3151,,
308,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-06,15:30
309,9260 Alcosta Boulevard,,Perfect Smiles Family Dentistry,True,925-833-8702,2019-03-13,10:30
310,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-10,15:00
311,1150 Scott Boulevard # A2,,Ahmed Sameena,False,408-985-7933,2019-03-07,12:00
312,24901 Santa Clara Street #2,,Gateway Plaza Dental Clinic,False,510-887-6835,2019-03-10,10:30
313,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-13,12:00
314,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-07,17:30
315,535 Pierce Street,Albany,Dr. Andrew Doan,False,510-507-0068,,
316,535 Pierce Street,,Dr. Andrew Doan,False,510-507-0068,2019-03-08,12:30
317,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-13,17:00
318,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-06,12:30
319,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-08,12:00
320,990 West Fremont Avenue,,Boyer Dental Arts,False,408-523-4030,2019-03-02,10:30
321,6800 Palm Avenue e,,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,2019-03-01,12:00
322,2401 Waterman Boulevard,,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,2019-03-01,17:30
323,2401 Waterman Boulevard,,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,2019-03-10,16:00
324,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-04,13:00
325,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-10,11:30
326,17705 Hale Avenue A-5,,Bay Area Kids Dentist,False,408-779-2747,2019-03-01,11:00
327,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-05,10:00
328,540 North Santa Cruz Avenue Suite B1,,Dr. Jaswinder Ghuman,False,408-354-0500,2019-03-12,14:30
329,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-06,10:30
330,4655 Hoen Avenue # 6,,Daniel Sullivan,True,707-545-5260,2019-03-08,12:30
331,535 Pierce Street,,Dr. Andrew Doan,False,510-507-0068,2019-03-04,15:30
332,7880 Wren Ave,,Albert Lee,False,408-847-6060,2019-03-04,17:00
333,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-06,13:30
334,1894 Contra Costa Boulevard,,Pleasant Hill Dental,True,925-900-3539,2019-03-03,10:00
335,6800 Palm Avenue e,,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,2019-03-07,16:00
336,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-06,17:30
337,10101 North Wolfe Road,,Cabanas Carol L,False,408-996-9567,2019-03-14,17:30
338,3434 Villa Lane D-160,,Amine G Khoury,False,707-265-9440,2019-03-02,13:30
339,990 West Fremont Avenue j,,"Andrei Simel , Family & Cosmetic Dentisry",False,408-992-0840,2019-03-07,13:30
340,9260 Alcosta Boulevard,,Perfect Smiles Family Dentistry,True,925-833-8702,2019-03-10,17:30
341,430 East Calaveras Boulevard,,Chen Jiangkai,False,408-956-0188,2019-03-03,16:00
342,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-13,12:00
343,4215 Geary Boulevard,,Lim Donald S,False,415-387-0220,2019-03-10,14:00
344,5710 Cahalan Avenue # 8J,,Dr. Svetlana Naret,True,408-225-7813,2019-03-10,10:30
345,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-08,16:30
346,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-14,14:30
347,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-07,14:00
348,343 Gellert Boulevard # C,Daly City,Hillcrest Family Dental Care,False,650-992-7001,,
349,343 Gellert Boulevard # C,,Hillcrest Family Dental Care,False,650-992-7001,2019-03-13,17:00
350,343 Gellert Boulevard # C,,Hillcrest Family Dental Care,False,650-992-7001,2019-03-13,14:00
351,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-08,13:30
352,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-02,14:00
353,1615 Hill Road,,Dr. Susana M. Chou,False,415-898-0091,2019-03-14,11:30
354,343 Gellert Boulevard # C,,Hillcrest Family Dental Care,False,650-992-7001,2019-03-08,16:30
355,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-02,12:00
356,5820 Stoneridge Mall Road SUITE 118,,Tri Valley Dental,False,925-225-1555,2019-03-09,17:00
357,6800 Palm Avenue,,Stephanie Kahle,False,707-823-7417,2019-03-02,16:30
358,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-06,14:30
359,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-05,16:30
360,255 North Lincoln Street,Dixon,Dr. David A. Wilkins,False,707-678-0885,,
361,78 Mission Drive Suite A,,Solage Dental,False,925-523-3695,2019-03-13,17:30
362,24901 Santa Clara Street #2,,Gateway Plaza Dental Clinic,False,510-887-6835,2019-03-08,13:00
363,2401 Waterman Boulevard,,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,2019-03-12,11:00
364,1500 Sycamore Avenue,Hercules,Chu Tuong-Van,False,510-964-0300,,
365,1500 Sycamore Avenue,Hercules,Sabbadini Gary,False,510-245-9356,,
366,1500 Sycamore Avenue,,Sabbadini Gary,False,510-245-9356,2019-03-08,15:00
367,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-14,17:30
368,2100 Peabody Road,,Deffenbaugh John,False,707-451-0182,2019-03-09,10:00
369,3107 Lone Tree Way,,Cosmetic Dentistry Antioch Ca,False,925-757-2422,2019-03-09,14:30
370,1300 Galaxy Way # 13,Concord,New West Dental Laboratory,False,925-686-2518,,
371,1300 Galaxy Way # 13,,New West Dental Laboratory,False,925-686-2518,2019-03-04,14:30
372,4655 Hoen Avenue # 6,,Daniel Sullivan,True,707-545-5260,2019-03-05,16:00
373,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-08,15:30
374,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-10,12:00
375,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-10,10:00
376,2125 Ygnacio Valley Rd # 102,Walnut Creek,Burr,False,925-947-2529,,
377,130 La Casa Via # 1,Walnut Creek,Hathcoat Brian J,False,510-724-5330,,
378,130 La Casa Via #202,Walnut Creek,Mattingly James,True,925-933-5446,,
379,"130 La Casa Via, Building 2, Suite # 104B",Walnut Creek,"Peter F. Chase , Inc. & Associates",False,925-935-2918,,
380,17705 Hale Avenue A-5,,Bay Area Kids Dentist,False,408-779-2747,2019-03-10,17:00
381,1624 Franklin Street,Oakland,Dental Oakland San Francisco Tong Woo Lee,False,510-272-0685,,
382,320 13th Street,Oakland,Timothy H Han,False,510-839-2045,,
383,11860 Dublin Boulevard,,Delta Dental,False,925-230-2183,2019-03-12,15:30
384,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-04,10:00
385,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-09,11:30
386,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-10,12:30
387,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-10,11:30
388,1300 Galaxy Way # 13,,New West Dental Laboratory,False,925-686-2518,2019-03-06,16:30
389,1580 East Washington Street # 105,,Dr Oscar Ventanilla,False,707-763-6381,2019-03-12,17:00
390,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-02,10:00
391,4646 El Camino Real,,Family Dentistry - Dr. Marina Manosov,True,650-383-5599,2019-03-06,14:00
392,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-03,14:30
393,2125 Ygnacio Valley Rd # 102,,Burr,False,925-947-2529,2019-03-14,17:00
394,3107 Lone Tree Way,,Dr. Keller & Dr. Burk - Antioch Premier Dental,True,925-757-5081,2019-03-07,12:00
395,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-07,17:30
396,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-10,13:00
397,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-12,12:30
398,3107 Lone Tree Way,,Cosmetic Dentistry Antioch Ca,False,925-757-2422,2019-03-04,16:30
399,850 Middlefield Road,,Bartlett James O,False,650-326-1400,2019-03-13,17:00
400,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-04,12:00
401,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-06,11:00
402,599 Tomales Road,,Dr. Christopher J. Bennett,False,707-765-7591,2019-03-01,14:00
403,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-12,16:30
404,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-08,17:00
405,10810 San Pablo Ave # 30,El Cerrito,Dr. Bardia Farahmand,False,510-528-0280,,
406,128 El Cerrito Plz,El Cerrito,Plaza Family Dental: Fowler Robert K,False,510-558-8000,,
407,128 El Cerrito Plz,,Plaza Family Dental: Fowler Robert K,False,510-558-8000,2019-03-04,16:30
408,20632 Redwood Road # A,,Darnell Jr Robert,False,510-582-1602,2019-03-14,10:00
409,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-06,10:00
410,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-07,15:30
411,9260 Alcosta Boulevard B-12,,Advanced Ceramics Dental Sudio,False,925-828-7771,2019-03-11,14:30
412,540 North Santa Cruz Avenue Suite B1,,Dr. Jaswinder Ghuman,False,408-354-0500,2019-03-13,16:00
413,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-02,15:00
414,9260 Alcosta Boulevard B-12,,Advanced Ceramics Dental Sudio,False,925-828-7771,2019-03-07,12:00
415,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-11,11:00
416,2125 Ygnacio Valley Rd # 102,,Burr,False,925-947-2529,2019-03-06,12:30
417,320 13th Street,,Timothy H Han,False,510-839-2045,2019-03-13,15:00
418,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-02,15:00
419,990 West Fremont Avenue j,,"Andrei Simel , Family & Cosmetic Dentisry",False,408-992-0840,2019-03-11,10:00
420,430 East Calaveras Boulevard,,Chen Jiangkai,False,408-956-0188,2019-03-14,15:00
421,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-11,12:30
422,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-11,16:30
423,1615 Hill Road,,Dr. Susana M. Chou,False,415-898-0091,2019-03-03,17:30
424,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-08,17:00
425,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-12,11:00
426,5710 Cahalan Avenue # 8J,,Dr. Svetlana Naret,True,408-225-7813,2019-03-02,11:00
427,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-04,12:30
428,2125 Ygnacio Valley Rd # 102,,Burr,False,925-947-2529,2019-03-08,14:00
429,621 East Campbell Avenue # 2A,Campbell,C K Dental Lab,False,408-370-1424,,
430,621 E Campbell Ave # 4,Campbell,Fong Rickey,False,408-374-0501,,
431,621 East Campbell Avenue # 2,Campbell,Wesco Dental Laboratory,False,408-378-5400,,
432,621 East Campbell Avenue # 2A,,C K Dental Lab,False,408-370-1424,2019-03-06,15:30
433,9260 Alcosta Boulevard B-12,,Advanced Ceramics Dental Sudio,False,925-828-7771,2019-03-01,17:30
434,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-05,10:30
435,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-01,12:30
436,430 East Calaveras Boulevard,,Chen Jiangkai,False,408-956-0188,2019-03-12,11:30
437,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-10,10:30
438,3107 Lone Tree Way,,Dr. Keller & Dr. Burk - Antioch Premier Dental,True,925-757-5081,2019-03-08,17:00
439,270 Redwood Shores Parkway,Redwood City,Dr. Anne R. Schoenhard,False,615-775-8836,,
440,114 Birch Street,Redwood City,Elena B Gousseva-Grove,False,650-679-9238,,
441,270 Redwood Shores Parkway,,Dr. Anne R. Schoenhard,False,615-775-8836,2019-03-01,12:00
442,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-01,11:00
443,850 Middlefield Road,,Bartlett James O,False,650-326-1400,2019-03-04,11:30
444,1870 El Camino Real #204,,Dr. Michael E. Bahlinger,False,650-259-1111,2019-03-07,14:30
445,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-12,16:00
446,1624 Franklin Street,,Dental Oakland San Francisco Tong Woo Lee,False,510-272-0685,2019-03-05,12:30
447,1615 Hill Road,,Dr. Susana M. Chou,False,415-898-0091,2019-03-04,10:00
448,4300 Sonoma Boulevard,,Dr. Eugene H. Burton Iii,False,707-643-2500,2019-03-06,12:30
449,6800 Palm Avenue e,,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,2019-03-06,13:00
450,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-13,10:00
451,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-05,13:30
452,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-01,17:00
453,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-04,11:30
454,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-14,12:30
455,1624 Franklin Street,,Dental Oakland San Francisco Tong Woo Lee,False,510-272-0685,2019-03-02,12:30
456,320 13th Street,,Timothy H Han,False,510-839-2045,2019-03-04,16:00
457,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-14,10:00
458,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-10,10:00
459,2801 Waterman Boulevard,,Marc Bowen,True,707-429-0451,2019-03-13,17:30
460,1580 East Washington Street # 105,,Dr Oscar Ventanilla,False,707-763-6381,2019-03-03,13:00
461,877 West Fremont Avenue C 2,Sunnyvale,Dr. Yuan Tao,True,408-737-2988,,
462,877 West Fremont Avenue l3,Sunnyvale,Stephanie Fung,True,408-471-6138,,
463,693 East Remington Drive #C,Sunnyvale,Sunnyvale Family Smiles,True,408-738-1113,,
464,990 West Fremont Avenue,Sunnyvale,Varsha Patel,True,408-720-8555,,
465,877 West Fremont Avenue l3,,Stephanie Fung,True,408-471-6138,2019-03-09,16:30
466,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-03,15:00
467,2401 Waterman Boulevard,,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,2019-03-02,13:00
468,299 West Juana Avenue,,Astra Dental,True,510-352-5017,2019-03-10,17:30
469,4646 El Camino Real,,Family Dentistry - Dr. Marina Manosov,True,650-383-5599,2019-03-09,16:30
470,2401 Waterman Boulevard,,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,2019-03-09,16:00
471,1615 Hill Road,,Leahn J Huffman,True,415-897-3411,2019-03-12,15:00
472,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-05,13:30
473,90 Woodacre Drive # 108,,Lee Myoung,False,415-239-4140,2019-03-06,17:30
474,2125 Ygnacio Valley Rd # 102,,Burr,False,925-947-2529,2019-03-04,13:00
475,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-10,15:00
476,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-02,12:00
477,7880 Wren Avenue Suite D141,,"Amy N. Tran, And Eric R. Nagareda",False,408-847-0795,2019-03-13,11:00
478,301 Sycamore Valley Road,,Dr. Azadeh Jafarnia,False,925-884-1725,2019-03-01,17:00
479,2256 Monument Blvd,,Cho Benjamin,False,925-827-3542,2019-03-03,17:30
480,2121 South El Camino Real,San Mateo,Baker Gregory R,False,650-345-5912,,
481,2121 South El Camino Real,,Baker Gregory R,False,650-345-5912,2019-03-05,11:00
482,3544 Balboa Street,,Balboa Dental Care,False,415-387-8802,2019-03-09,12:00
483,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-04,17:00
484,6800 Palm Avenue e,,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,2019-03-06,10:00
485,3200 Mowry Avenue # G,,Dr. John Y. Park,False,510-623-9497,2019-03-03,14:00
486,2143 Springs Road # 51,,Dr Pucan Dental Office,False,707-552-3952,2019-03-06,10:30
487,8465 Old Redwood Hwy,Windsor,Randolph Colleen,False,707-838-0444,,
488,8465 Old Redwood Hwy,,Randolph Colleen,False,707-838-0444,2019-03-01,15:30
489,7880 Wren Avenue Suite D141,,"Amy N. Tran, And Eric R. Nagareda",False,408-847-0795,2019-03-04,15:30
490,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-12,15:00
491,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-11,10:00
492,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-11,12:00
493,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-11,10:30
494,301 Sycamore Valley Road,,Dr. Azadeh Jafarnia,False,925-884-1725,2019-03-08,12:00
495,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-12,11:30
496,3200 Mowry Avenue # G,,Dr. John Y. Park,False,510-623-9497,2019-03-07,14:00
497,7880 Wren Ave,,Albert Lee,False,408-847-6060,2019-03-01,12:30
498,78 Mission Drive Suite A,,Solage Dental,False,925-523-3695,2019-03-14,13:00
499,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-03,14:30
500,452 East Calaveras Boulevard,,Dr. Sethi And Dr. Virdi,False,408-263-1255,2019-03-14,17:00
501,2256 Monument Blvd,,Cho Benjamin,False,925-827-3542,2019-03-11,14:00
502,17705 Hale Avenue A-5,,Bay Area Kids Dentist,False,408-779-2747,2019-03-03,13:00
503,2100 Peabody Road,,Deffenbaugh John,False,707-451-0182,2019-03-10,15:30
504,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-13,14:00
505,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-02,14:30
506,7880 Wren Ave,,Albert Lee,False,408-847-6060,2019-03-06,12:30
507,599 Tomales Road,,Dr. Christopher J. Bennett,False,707-765-7591,2019-03-05,10:00
508,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-12,10:00
509,4655 Hoen Avenue,,Craig Wilson Msd,False,707-544-4922,2019-03-03,10:30
510,343 Gellert Boulevard # C,,Hillcrest Family Dental Care,False,650-992-7001,2019-03-13,10:00
511,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-13,11:30
512,10101 North Wolfe Road,,Cabanas Carol L,False,408-996-9567,2019-03-05,14:30
513,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-04,15:00
514,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-01,12:00
515,17705 Hale Ave # E3,,Carhuamaca Lat Arturo,False,408-778-3015,2019-03-05,11:00
516,301 Sycamore Valley Road,,Dr. Azadeh Jafarnia,False,925-884-1725,2019-03-09,12:00
517,301 Sycamore Valley Road,,Dr. Azadeh Jafarnia,False,925-884-1725,2019-03-05,13:00
518,2143 Springs Road # 51,,Dr Pucan Dental Office,False,707-552-3952,2019-03-11,11:00
519,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-13,16:00
520,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-13,14:30
521,2500 Hospital Dr # 5D,,Bares William R,False,650-966-8201,2019-03-01,10:00
522,877 West Fremont Avenue C 2,,Dr. Yuan Tao,True,408-737-2988,2019-03-10,16:00
523,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-09,16:30
524,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-13,11:30
525,851 Cherry Avenue # 36,,Bayhill Dental Care / Dr. Diaz F Luisa,False,650-873-9500,2019-03-04,14:00
526,17705 Hale Avenue A-5,,Bay Area Kids Dentist,False,408-779-2747,2019-03-02,12:00
527,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-13,10:30
528,990 West Fremont Avenue,,Boyer Dental Arts,False,408-523-4030,2019-03-01,11:30
529,3200 Mowry Avenue # G,,Dr. John Y. Park,False,510-623-9497,2019-03-09,17:30
530,3200 Mowry Avenue # G,,Dr. John Y. Park,False,510-623-9497,2019-03-03,15:30
531,5 Bon Air Rd # 114,,Koppe Michael J,False,415-924-2585,2019-03-07,12:00
532,1040 Grant Road #103,,Apple Dental Practice,False,650-336-1313,2019-03-03,14:30
533,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-02,10:00
534,2143 Springs Road # 51,,Dr Pucan Dental Office,False,707-552-3952,2019-03-12,13:00
535,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-08,13:00
536,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-10,12:30
537,5 Bon Air Rd # 114,,Danielson Gordon,False,415-924-7455,2019-03-07,10:00
538,6800 Palm Avenue e,,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,2019-03-14,17:30
539,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-11,10:00
540,990 West Fremont Avenue,,Boyer Dental Arts,False,408-523-4030,2019-03-08,14:00
541,299 West Juana Avenue,,Astra Dental,True,510-352-5017,2019-03-04,10:30
542,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-01,12:30
543,5 Bon Air Rd # 114,,Danielson Gordon,False,415-924-7455,2019-03-08,14:30
544,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-09,14:00
545,2100 Peabody Road,,Deffenbaugh John,False,707-451-0182,2019-03-04,11:30
546,3107 Lone Tree Way,,Cosmetic Dentistry Antioch Ca,False,925-757-2422,2019-03-13,15:00
547,621 East Campbell Avenue # 2A,,C K Dental Lab,False,408-370-1424,2019-03-04,17:00
548,"4812, 1144 Sonoma Avenue",,Access Dental - Santa Rosa,False,866-682-9904,2019-03-04,11:30
549,430 East Calaveras Boulevard,,Chen Jiangkai,False,408-956-0188,2019-03-13,12:00
550,24307 Southland Drive,,Premier Family Dental: Dr. Peter Han,False,510-785-3900,2019-03-03,15:00
551,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-04,11:30
552,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-01,13:00
553,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-01,12:00
554,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-03,10:30
555,14475 South Bascom Avenue,,Cosmetic Dentist In Los Gatos - Moradi Signature Smiles - Sedation Dentistry,True,888-852-4539,2019-03-13,11:00
556,2256 Monument Blvd,,Cho Benjamin,False,925-827-3542,2019-03-09,15:00
557,1615 Hill Road,,Dr. Susana M. Chou,False,415-898-0091,2019-03-10,10:30
558,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-04,17:00
559,7880 Wren Avenue Suite D141,,"Amy N. Tran, And Eric R. Nagareda",False,408-847-0795,2019-03-08,10:00
560,4655 Hoen Avenue,,Craig Wilson Msd,False,707-544-4922,2019-03-02,12:30
561,2801 Waterman Boulevard # 290,,Fairfield Endodontics,False,707-425-5666,2019-03-11,11:00
562,990 West Fremont Avenue,,Boyer Dental Arts,False,408-523-4030,2019-03-12,13:00
563,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-03,10:00
564,2664 Berryessa Road # 212,,Abad Dental Office,False,408-272-3809,2019-03-12,10:30
565,1615 Hill Rd #19,,Endoart: Vafaie Nader M,False,415-209-6100,2019-03-06,11:30
566,7880 Wren Avenue a115,,Banner Associates,False,408-842-0226,2019-03-07,13:00
567,7880 Wren Ave,,Albert Lee,False,408-847-6060,2019-03-09,15:00
568,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-14,10:00
569,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-10,11:30
570,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-12,12:00
571,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-11,14:30
572,1615 Hill Rd #12,,Hickle Dallas H,False,415-892-1566,2019-03-07,13:00
573,621 East Campbell Avenue # 2A,,C K Dental Lab,False,408-370-1424,2019-03-02,10:00
574,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-05,17:00
575,1624 Franklin Street,,Dental Oakland San Francisco Tong Woo Lee,False,510-272-0685,2019-03-02,10:30
576,9260 Alcosta Boulevard # D30,,Dr. John Ichiuji,False,925-828-5918,2019-03-08,15:30
577,6800 Palm Avenue e,,Gerald E. Dixon Scott E. Dixon,False,707-823-8529,2019-03-04,10:30
578,2664 Berryessa Road # 206,,A J Dental Lab,False,408-316-8226,2019-03-08,15:30
579,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-01,17:00
580,32364 Dyer Street,Union City,Dr. Faith S. Victoriano,False,510-324-2000,,
581,32364 Dyer Street,,Dr. Faith S. Victoriano,False,510-324-2000,2019-03-12,10:30
582,1500 Sycamore Avenue,,Chu Tuong-Van,False,510-964-0300,2019-03-09,15:30
583,2100 Peabody Road,,Dr. Glenn L. Cheung,False,707-454-3485,2019-03-11,17:00
584,1150 Scott Boulevard # A2,,Ahmed Sameena,False,408-985-7933,2019-03-05,13:30
585,2401 Waterman Boulevard,,Dr. Pascuala Geraldine T. Ocampo,False,209-834-7300,2019-03-04,17:30
586,1300 University Dr # 8,,Menlo Pediatric Dental/ Grace Kwon,False,650-323-0264,2019-03-12,12:00
587,210 San Mateo Road # 104,Half Moon Bay,Sonrisas Community Dental Center,False,650-726-2144,,
588,210 San Mateo Road # 104,,Sonrisas Community Dental Center,False,650-726-2144,2019-03-14,14:30
589,9260 Alcosta Boulevard B-12,,Advanced Ceramics Dental Sudio,False,925-828-7771,2019-03-01,12:30
