,average_rating,check_in_date,check_out_date,hotel_name,location,number_of_rooms,pets_welcome,phone_number,price,street_address
439,3.50,,,Four Points By Sheraton Sacramento International Airport,Sacramento,1,False,+1 916-263-9000,525,4900 Duckhorn Drive
440,4.30,,,Hilton Garden Inn Sacramento/South Natomas,Sacramento,3,False,+1 916-568-5400,936,2540 Venture Oaks Way
441,4.20,,,Hilton Sacramento Arden West,Sacramento,3,True,+1 916-922-4700,300,2200 Harvard Street
442,4.10,,,Holiday Inn Sacramento Downtown - Arena,Sacramento,1,False,+1 916-446-0100,276,300 J Street
443,4.50,,,Kimpton Sawyer Hotel,Sacramento,3,True,+1 916-545-7100,1620,500 J Street
444,3.50,,,La Quinta Inn By Wyndham Sacramento Downtown,Sacramento,2,True,+1 916-448-8100,528,200 Jibboom Street
445,4.40,,,Residence Inn By Marriott Sacramento Downtown At Capitol Park,Sacramento,3,True,+1 916-443-0500,1116,1121 15th Street
446,4.30,,,Sheraton Grand Sacramento Hotel,Sacramento,2,True,+1 916-447-1700,312,"13th And, J Street"
447,3.40,,,Surestay Plus Hotel By Best Western Sacramento North,Sacramento,2,True,+1 916-497-0955,720,350 Bercut Drive
448,4.50,,,The Westin Sacramento,Sacramento,3,True,+1 916-443-8400,4320,4800 Riverside Boulevard
449,4.10,2019-03-01,2019-03-07,Doubletree By Hilton Hotel Sacramento,Sacramento,1,True,+1 916-929-8855,1728,2001 Point West Way
450,4.00,,,Corus Hotel Kuala Lumpur,Kuala Lumpur,1,False,+60 3-2161 8888,336,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan"
451,4.30,2019-03-02,2019-03-05,Ac Hotel By Marriott Paris Porte Maillot,Paris,1,True,+33 1 84 82 49 09,1008,"6 Rue Gustave Charpentier, 75017"
452,4.50,2019-03-07,2019-03-11,Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza,Atlanta,3,False,+1 470-231-3030,1344,3600 Wieuca Road Northeast
453,4.10,2019-03-03,2019-03-10,Ibis London City - Shoreditch Hotel,London,1,False,+44 20 7422 8400,1848,5 Commercial Street
454,3.60,2019-03-08,2019-03-11,Casa Loma Hotel,San Francisco,3,False,+1 415-552-7100,810,610 Fillmore Street
455,4.20,2019-03-06,2019-03-14,Concorde Hotel Kuala Lumpur,Kuala Lumpur,1,False,+60 3-2144 2200,928,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
456,4.20,2019-03-01,2019-03-08,Holiday Inn London - Whitechapel,London,3,False,+44 871 942 9299,2856,5 Cavell Street
457,4.10,2019-03-02,2019-03-13,Hilton Checkers Los Angeles,Los Angeles,1,False,+1 213-624-0000,1628,535 South Grand Avenue
458,4.50,2019-03-01,2019-03-13,Springhill Suites By Marriott San Diego Downtown/Bayfront,San Diego,1,False,+1 888-287-9400,2400,900 Bayfront Court
459,4.40,2019-03-02,2019-03-12,The Kitano Hotel New York,New York,1,False,+1 212-885-7000,3120,66 Park Avenue
460,3.70,2019-03-07,2019-03-14,Hotel 91,New York,1,False,+1 212-266-6800,1827,91 E Broadway
461,4.10,,,Auberge Vancouver Hotel,Vancouver,1,False,+1 604-678-8899,2760,837 West Hastings Street
462,4.10,,,Best Western Plus Chateau Granville Hotel & Suites & Conference Ctr.,Vancouver,1,True,+1 604-669-7070,2232,1100 Granville Street
463,4.30,,,Blue Horizon Hotel,Vancouver,1,False,+1 604-688-1411,2736,1225 Robson Street
464,3.50,,,Coast Vancouver Airport Hotel,Vancouver,1,False,+1 604-263-1555,918,1041 Southwest Marine Drive
465,3.20,,,Days Inn By Wyndham Vancouver Downtown,Vancouver,1,False,+1 604-681-4335,621,921 West Pender Street
466,4.50,,,Delta Hotels By Marriott Vancouver Downtown Suites,Vancouver,1,True,+1 844-254-5048,1800,550 West Hastings Street
467,4.40,,,Exchange Hotel Vancouver,Vancouver,1,False,+1 604-563-4693,1632,475 Howe Street
468,4.10,2019-03-02,2019-03-10,Auberge Vancouver Hotel,Vancouver,1,False,+1 604-678-8899,2432,837 West Hastings Street
469,4.30,,,Ac Hotel By Marriott Chicago Downtown,Chicago,3,True,+1 312-981-6600,3240,630 North Rush Street
470,4.60,,,Ace Hotel Chicago,Chicago,3,True,+1 312-764-1919,4212,311 North Morgan Street
471,4.50,,,Aloft Chicago Downtown River North,Chicago,3,True,+1 312-661-1000,3744,515 North Clark Street
472,3.90,,,Aloft Chicago Mag Mile,Chicago,3,True,+1 312-429-6600,1053,243 East Ontario Street
473,4.30,,,Best Western Plus Hawthorne Terrace Hotel,Chicago,3,True,+1 773-244-3434,2592,3434 N Broadway Ave
474,4.60,,,Chicago Athletic Association,Chicago,3,True,+1 312-940-3552,3744,12 South Michigan Avenue
475,3.70,,,Chicago Lake Shore Hotel,Chicago,3,True,+1 773-288-5800,540,"3250, 4900B South Lake Shore Drive"
476,4.20,,,Comfort Suites Michigan Avenue - Loop,Chicago,3,True,+1 623-432-0770,2088,320 North Michigan Avenue
477,3.90,,,Crowne Plaza Chicago West Loop,Chicago,3,True,+1 312-829-5000,1152,25 South Halsted Street
478,4.20,,,Hampton Inn Chicago Downtown/Magnificent Mile,Chicago,3,True,+1 312-706-0888,3564,160 East Huron Street
479,4.60,2019-03-10,2019-03-14,Ace Hotel Chicago,Chicago,3,True,+1 312-764-1919,1008,311 North Morgan Street
480,3.70,,,Cova Hotel,San Francisco,2,True,+1 415-771-3000,1728,655 Ellis Street
481,3.90,,,Executive Hotel Vintage Court San Francisco,San Francisco,2,True,+1 800-654-1100,1584,650 Bush Street
482,3.50,,,Hotel Beresford,San Francisco,2,True,+1 415-673-9900,240,635 Sutter Street
483,3.60,,,Hotel Bijou,San Francisco,3,True,+1 415-771-1200,1053,111 Mason Street
484,3.80,,,Hotel Diva,San Francisco,1,True,+1 844-592-4559,315,440 Geary Street
485,3.90,,,Hotel Spero,San Francisco,2,True,+1 415-885-2500,540,405 Taylor Street
486,3.80,,,Hotel Triton,San Francisco,2,True,+1 415-394-0500,180,342 Grant Avenue
487,4.00,,,Beresford Arms Hotel,San Francisco,3,True,+1 415-673-2600,4056,701 Post Street
488,3.70,,,Cova Hotel,San Francisco,3,True,+1 415-771-3000,486,655 Ellis Street
489,3.90,,,Executive Hotel Vintage Court San Francisco,San Francisco,3,True,+1 800-654-1100,3366,650 Bush Street
490,3.50,,,Hotel Beresford,San Francisco,3,True,+1 415-673-9900,2016,635 Sutter Street
491,3.80,,,Hotel Diva,San Francisco,3,True,+1 844-592-4559,2079,440 Geary Street
492,3.90,,,Hotel Spero,San Francisco,3,True,+1 415-885-2500,189,405 Taylor Street
493,3.80,,,Hotel Triton,San Francisco,3,True,+1 415-394-0500,1440,342 Grant Avenue
494,4.00,2019-03-01,2019-03-14,Beresford Arms Hotel,San Francisco,3,True,+1 415-673-2600,4056,701 Post Street
495,4.30,2019-03-06,2019-03-11,Ace Hotel London,London,2,True,+44 20 7613 9800,1400,100 Shoreditch High Street
496,4.20,2019-03-04,2019-03-14,Azure Hotel Nairobi Westlands,Nairobi,1,False,+254 709 716000,4560,Lantana Road
497,4.50,,,Ace Hotel Seattle,Seattle,1,True,+1 206-448-4721,2856,2423 1st Avenue
498,4.20,,,Belltown Inn,Seattle,1,True,+1 866-525-4704,416,2301 3rd Avenue
499,4.20,,,Best Western Plus Pioneer Square Hotel Downtown,Seattle,1,False,+1 206-340-1234,1288,77 Yesler Way
500,4.20,,,Courtyard By Marriott Seattle Downtown/Lake Union,Seattle,1,False,+1 206-213-0100,864,925 Westlake Avenue North
501,4.40,,,Crowne Plaza Seattle Downtown,Seattle,1,False,+1 206-464-1980,1368,1113 6th Avenue
502,3.00,,,Days Inn By Wyndham Seattle North Of Downtown,Seattle,1,False,+1 800-615-3107,588,9100 Aurora Avenue North
503,4.50,,,Embassy Suites By Hilton Seattle Downtown Pioneer Square,Seattle,1,False,+1 206-859-4400,96,255 South King Street
504,4.40,,,Even Hotel Seattle Downtown - Lake Union,Seattle,1,True,+1 206-596-2302,1036,527 Fairview Avenue North
505,3.30,,,Extended Stay America - Seattle - Northgate,Seattle,1,True,+1 206-365-8100,468,13300 Stone Avenue North
506,4.00,,,Four Points By Sheraton Downtown Seattle Center,Seattle,1,False,+1 206-282-2600,648,601 Roy Street
507,4.50,2019-03-01,2019-03-04,Ace Hotel Seattle,Seattle,1,True,+1 206-448-4721,276,2423 1st Avenue
508,4.70,,,45 Park Lane,London,1,True,+44 20 7493 4545,792,45 Park Lane
509,3.20,,,Abc Hyde Park Hotel,London,2,False,+44 20 7706 4660,1008,121 Sussex Gardens
510,3.50,,,Abercorn House,London,3,False,+44 20 8563 8692,1674,28-30 Bute Gardens
511,4.10,,,Accommodation London Bridge,London,2,False,+44 20 7403 4299,464,58 Great Dover Street
512,4.30,,,Ace Hotel London,London,1,True,+44 20 7613 9800,128,100 Shoreditch High Street
513,3.70,,,Airways Hotel London Victoria,London,1,False,+44 20 7834 0205,240,29-31 Saint George's Drive
514,4.50,,,Amba Hotel Charing Cross,London,2,False,+44 871 376 9012,1624,Strand
515,4.20,,,Amba Hotel Marble Arch,London,1,False,+44 800 330 8523,252,Bryanston Street
516,3.90,,,Ambassadors Bloomsbury Hotel,London,1,False,+44 20 7388 9930,300,12 Upper Woburn Place
517,3.00,,,Ambassadors Hotel,London,1,False,+44 20 7373 1075,150,16 Collingham Road
518,4.70,2019-03-06,2019-03-12,45 Park Lane,London,1,True,+44 20 7493 4545,672,45 Park Lane
519,4.50,,,1 Hotel Brooklyn Bridge,New York,3,True,+1 833-625-6111,360,"60 Furman Street, Brooklyn"
520,4.50,,,1 Hotel Central Park,New York,3,True,+1 212-703-2001,1680,1414 6th Avenue
521,4.30,,,11 Howard,New York,1,False,+1 212-235-1111,544,11 Howard Street
522,4.00,,,6 Columbus Hotel,New York,3,True,+1 212-204-3000,1440,308 West 58th Street
523,4.50,,,Ac Hotel New York Times Square,New York,2,False,+1 212-398-2700,280,260 West 40th Street
524,4.30,,,Ace Hotel,New York,1,True,+1 212-991-0551,720,20 West 29th Street
525,3.90,,,Adria Hotel & Conference Center,New York,3,False,+1 718-631-5900,648,"221-17 Northern Boulevard, Bayside"
526,4.40,,,Aka Central Park,New York,3,False,+1 646-744-3100,1536,42 West 58th Street
527,4.40,,,Aka Times Square,New York,2,True,+1 212-764-5700,1440,123 West 44th Street
528,4.60,,,Aka Wall Street,New York,2,False,+1 212-252-9090,832,84 William Street
529,4.50,2019-03-01,2019-03-05,1 Hotel Brooklyn Bridge,New York,1,True,+1 833-625-6111,1488,"60 Furman Street, Brooklyn"
530,4.30,,,11 Howard,New York,3,False,+1 212-235-1111,3024,11 Howard Street
531,4.50,,,Ac Hotel New York Times Square,New York,3,False,+1 212-398-2700,2376,260 West 40th Street
532,4.30,,,Ace Hotel,New York,3,True,+1 212-991-0551,912,20 West 29th Street
533,4.40,,,Aka Times Square,New York,3,True,+1 212-764-5700,1656,123 West 44th Street
534,4.60,,,Aka Wall Street,New York,3,False,+1 212-252-9090,2772,84 William Street
535,4.50,2019-03-08,2019-03-13,1 Hotel Brooklyn Bridge,New York,3,True,+1 833-625-6111,1320,"60 Furman Street, Brooklyn"
536,4.50,,,1 Hotel Brooklyn Bridge,New York,2,True,+1 833-625-6111,360,"60 Furman Street, Brooklyn"
537,4.50,,,1 Hotel Central Park,New York,2,True,+1 212-703-2001,1680,1414 6th Avenue
538,4.30,,,11 Howard,New York,2,False,+1 212-235-1111,3024,11 Howard Street
539,4.00,,,6 Columbus Hotel,New York,2,True,+1 212-204-3000,1440,308 West 58th Street
540,4.30,,,Ace Hotel,New York,2,True,+1 212-991-0551,912,20 West 29th Street
541,3.90,,,Adria Hotel & Conference Center,New York,2,False,+1 718-631-5900,648,"221-17 Northern Boulevard, Bayside"
542,4.40,,,Aka Central Park,New York,2,False,+1 646-744-3100,1536,42 West 58th Street
543,4.50,2019-03-10,2019-03-14,1 Hotel Central Park,New York,2,True,+1 212-703-2001,1680,1414 6th Avenue
544,4.30,,,Ac Hotel By Marriott Paris Porte Maillot,Paris,2,True,+33 1 84 82 49 09,1824,"6 Rue Gustave Charpentier, 75017"
545,4.60,,,Amastan Paris,Paris,1,False,+33 1 49 52 99 70,384,"34 Rue Jean Mermoz, 75008"
546,3.40,,,Aparthotel Adagio Access Paris La Villette,Paris,3,True,+33 1 44 72 42 00,864,"28bis Avenue Corentin Cariou, 75019"
547,4.10,,,Aparthotel Adagio Paris Montmartre,Paris,2,True,+33 1 42 57 14 55,800,"10 Place Charles Dullin, 75018"
548,3.70,,,Austin'S Saint Lazare HoTel,Paris,1,False,+33 1 48 74 48 71,288,"26 Rue d'Amsterdam, 75009"
549,3.70,,,Avalon Hotel Paris Gare Du Nord,Paris,3,True,+33 1 42 85 50 00,315,"131 Boulevard de Magenta, 75010"
550,3.60,,,Best Western Bretagne Montparnasse,Paris,2,False,+33 1 45 38 52 59,690,"33 Rue Raymond Losserand, 75014"
551,4.40,,,Bob Hotel By Elegancia,Paris,1,False,+33 1 40 43 02 33,588,"30 Rue Pernety, 75014"
552,4.10,,,Brach Paris,Paris,3,False,+33 1 44 30 10 00,1728,"1-7 Rue Jean Richepin, 75016"
553,4.50,,,Buddha-Bar Hotel Paris,Paris,3,True,+33 1 83 96 88 88,2520,"4 Rue d'Anjou, 75008"
554,4.30,2019-03-03,2019-03-09,Ac Hotel By Marriott Paris Porte Maillot,Paris,1,True,+33 1 84 82 49 09,576,"6 Rue Gustave Charpentier, 75017"
555,4.50,2019-03-07,2019-03-14,1 Hotel Brooklyn Bridge,New York,1,True,+1 833-625-6111,2352,"60 Furman Street, Brooklyn"
556,4.20,,,28 Hotel Sydney,Sydney,1,False,+61 2 9102 2828,1512,"28 Regent Street, Chippendale New South Wales 2008, Australia"
557,4.00,,,57 Hotel,Sydney,1,False,+61 2 9011 5756,264,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
558,4.30,,,Adina Apartment Hotel Bondi Beach Sydney,Sydney,1,False,+61 2 9300 4800,880,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
559,4.00,,,Adina Apartment Hotel Coogee Sydney,Sydney,1,False,+61 2 9578 6000,1092,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia"
560,4.30,,,Adina Apartment Hotel Sydney Airport,Sydney,1,False,+61 2 9381 2000,504,"17 Bourke Road, Mascot New South Wales 2020, Australia"
561,4.20,,,Adina Apartment Hotel Sydney Central,Sydney,1,False,+61 2 8396 9800,1280,"2 Lee Street, Haymarket New South Wales 2000, Australia"
562,4.10,,,Adina Apartment Hotel Sydney Darling Harbour,Sydney,1,False,+61 2 9249 7000,348,55 Shelley Street
563,4.20,,,Adina Apartment Hotel Sydney Surry Hills,Sydney,1,False,+61 2 8302 1000,1728,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
564,4.00,,,Adina Apartment Hotel Sydney Town Hall,Sydney,1,False,+61 2 9274 0000,240,511 Kent Street
565,3.60,,,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),Sydney,1,False,+61 1300 633 462,1620,1 Hosking Place
566,4.00,2019-03-03,2019-03-09,57 Hotel,Sydney,1,False,+61 2 9011 5756,1944,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
567,4.40,,,Ac Hotel By Marriott Beverly Hills,Los Angeles,1,False,+1 323-852-7000,736,6399 Wilshire Boulevard
568,3.90,,,Airtel Plaza Hotel,Los Angeles,1,True,+1 800-224-7835,420,"7277 Valjean Avenue, Van Nuys, California 91406, United States"
569,4.10,,,Banana Bungalow - Hollywood Hostel,Los Angeles,1,False,+1 323-469-2500,200,"5920 Hollywood Boulevard, Hollywood, CA 90028, USA"
570,4.20,,,Best Western Burbank Airport Inn,Los Angeles,1,False,+1 818-765-2900,1680,"7615 Lankershim Boulevard, North Hollywood, California 91605, United States"
571,4.00,,,Best Western Hollywood Plaza Inn,Los Angeles,1,False,+1 323-851-1800,120,"2011 North Highland Avenue, Hollywood, California 90068, United States"
572,3.80,,,Best Western Los Angeles Worldport Hotel,Los Angeles,1,False,+1 310-834-3400,408,"1402 West Pacific Coast Highway, Wilmington, California 90744, United States"
573,4.10,,,Best Western Plus Dragon Gate Inn,Los Angeles,1,True,+1 213-617-3077,1680,818 North Hill Street
574,4.20,,,Best Western Plus Hollywood Hills Hotel,Los Angeles,1,False,+1 323-464-5181,1736,"6141 Franklin Avenue, Hollywood, California 90028, United States"
575,4.20,,,Best Western Plus San Pedro Hotel & Suites,Los Angeles,1,False,+1 310-514-1414,840,"111 South Gaffey Street, San Pedro, California 90731, United States"
576,4.20,,,Beverly Hills Marriott,Los Angeles,1,False,+1 310-553-6561,2268,1150 South Beverly Drive
577,4.00,,,Aloft Philadelphia Airport,Philadelphia,1,True,+1 267-298-1700,1248,4301 Island Avenue
578,4.40,,,Aloft Philadelphia Downtown,Philadelphia,1,True,+1 215-607-2020,396,101 North Broad Street
579,3.80,,,Four Points By Sheraton Philadelphia Airport,Philadelphia,1,True,+1 215-492-0400,216,4101A Island Avenue
580,4.40,,,Hilton Philadelphia At Penn'S Landing,Philadelphia,1,True,+1 215-521-6500,552,201 South Christopher Columbus Boulevard
581,4.30,,,"Home2 Suites By Hilton Philadelphia - Convention Center, Pa",Philadelphia,1,True,+1 215-627-1850,432,1200 Arch Street
582,4.50,,,Kimpton Hotel Monaco Philadelphia,Philadelphia,1,True,+1 855-295-2355,1224,433 Chestnut Street
583,4.30,,,Le MeRidien Philadelphia,Philadelphia,1,True,+1 215-422-8200,192,1421 Arch Street
584,4.20,,,Renaissance Philadelphia Downtown Hotel,Philadelphia,1,True,+1 800-468-3571,600,401 Chestnut Street
585,4.20,,,Sheraton Philadelphia Society Hill Hotel,Philadelphia,1,True,+1 215-238-6000,148,One Dock Street
586,4.10,,,Sheraton Philadelphia University City Hotel,Philadelphia,1,True,+1 215-387-8000,448,3549 Chestnut Street
587,4.00,,,Aloft Philadelphia Airport,Philadelphia,2,True,+1 267-298-1700,1248,4301 Island Avenue
588,4.40,,,Aloft Philadelphia Downtown,Philadelphia,2,True,+1 215-607-2020,396,101 North Broad Street
589,3.80,,,Four Points By Sheraton Philadelphia Airport,Philadelphia,2,True,+1 215-492-0400,1638,4101A Island Avenue
590,4.40,,,Hilton Philadelphia At Penn'S Landing,Philadelphia,2,True,+1 215-521-6500,552,201 South Christopher Columbus Boulevard
591,4.30,,,"Home2 Suites By Hilton Philadelphia - Convention Center, Pa",Philadelphia,2,True,+1 215-627-1850,432,1200 Arch Street
592,4.50,,,Kimpton Hotel Monaco Philadelphia,Philadelphia,2,True,+1 855-295-2355,1224,433 Chestnut Street
593,4.30,,,Le MeRidien Philadelphia,Philadelphia,2,True,+1 215-422-8200,192,1421 Arch Street
594,4.20,,,Renaissance Philadelphia Downtown Hotel,Philadelphia,2,True,+1 800-468-3571,1568,401 Chestnut Street
595,4.20,,,Sheraton Philadelphia Society Hill Hotel,Philadelphia,2,True,+1 215-238-6000,2304,One Dock Street
596,4.40,2019-03-01,2019-03-06,Aloft Philadelphia Downtown,Philadelphia,2,True,+1 215-607-2020,1260,101 North Broad Street
597,3.40,2019-03-11,2019-03-12,Aparthotel Adagio Access Paris La Villette,Paris,1,True,+33 1 44 72 42 00,69,"28bis Avenue Corentin Cariou, 75019"
598,3.50,,,Amsterdam Hostel San Francisco,San Francisco,1,False,+1 415-673-3277,1116,749 Taylor Street
599,4.40,,,Argonaut Hotel,San Francisco,1,True,+1 415-563-0800,1200,495 Jefferson Street
600,4.40,,,Beck'S Motor Lodge,San Francisco,1,False,+1 415-621-8212,2184,2222 Market Street
601,2.60,,,Bei Hotel San Francisco,San Francisco,1,True,+1 415-626-6103,608,50 8th Street
602,4.00,,,Beresford Arms Hotel,San Francisco,1,True,+1 415-673-2600,92,701 Post Street
603,3.60,,,Casa Loma Hotel,San Francisco,1,False,+1 415-552-7100,504,610 Fillmore Street
604,4.30,,,Chancellor Hotel On Union Square,San Francisco,1,False,+1 415-362-2004,1160,433 Powell Street
605,4.10,,,Chelsea,San Francisco,1,False,+1 415-563-5600,1152,2095 Lombard Street
606,3.90,,,Comfort Inn By The Bay,San Francisco,1,False,+1 415-928-5000,828,2775 Van Ness Avenue
607,4.30,,,Cornell Hotel De France,San Francisco,1,False,+1 415-421-3154,640,715 Bush Street
608,3.50,2019-03-01,2019-03-07,Amsterdam Hostel San Francisco,San Francisco,1,False,+1 415-673-3277,504,749 Taylor Street
609,4.50,,,Ace Hotel Seattle,Seattle,3,True,+1 206-448-4721,2856,2423 1st Avenue
610,4.20,,,Belltown Inn,Seattle,2,True,+1 866-525-4704,416,2301 3rd Avenue
611,4.20,,,Best Western Plus Pioneer Square Hotel Downtown,Seattle,2,False,+1 206-340-1234,1288,77 Yesler Way
612,4.20,,,Courtyard By Marriott Seattle Downtown/Lake Union,Seattle,3,False,+1 206-213-0100,864,925 Westlake Avenue North
613,4.40,,,Crowne Plaza Seattle Downtown,Seattle,3,False,+1 206-464-1980,1368,1113 6th Avenue
614,3.30,,,Extended Stay America - Seattle - Northgate,Seattle,3,True,+1 206-365-8100,468,13300 Stone Avenue North
615,4.00,,,Four Points By Sheraton Downtown Seattle Center,Seattle,3,False,+1 206-282-2600,648,601 Roy Street
616,4.50,2019-03-07,2019-03-10,Ace Hotel Seattle,Seattle,1,True,+1 206-448-4721,840,2423 1st Avenue
617,4.40,,,Aloft Philadelphia Downtown,Philadelphia,3,True,+1 215-607-2020,396,101 North Broad Street
618,4.40,,,Hilton Philadelphia At Penn'S Landing,Philadelphia,3,True,+1 215-521-6500,552,201 South Christopher Columbus Boulevard
619,4.30,,,"Home2 Suites By Hilton Philadelphia - Convention Center, Pa",Philadelphia,3,True,+1 215-627-1850,432,1200 Arch Street
620,4.50,,,Kimpton Hotel Monaco Philadelphia,Philadelphia,3,True,+1 855-295-2355,1224,433 Chestnut Street
621,4.10,,,Sheraton Philadelphia University City Hotel,Philadelphia,2,True,+1 215-387-8000,448,3549 Chestnut Street
622,3.80,2019-03-07,2019-03-14,Four Points By Sheraton Philadelphia Airport,Philadelphia,2,True,+1 215-492-0400,1344,4101A Island Avenue
623,3.50,,,Amsterdam Hostel San Francisco,San Francisco,2,False,+1 415-673-3277,1116,749 Taylor Street
624,4.40,,,Argonaut Hotel,San Francisco,3,True,+1 415-563-0800,1200,495 Jefferson Street
625,4.40,,,Beck'S Motor Lodge,San Francisco,3,False,+1 415-621-8212,2184,2222 Market Street
626,2.60,,,Bei Hotel San Francisco,San Francisco,2,True,+1 415-626-6103,608,50 8th Street
627,3.60,,,Casa Loma Hotel,San Francisco,2,False,+1 415-552-7100,504,610 Fillmore Street
628,4.30,,,Chancellor Hotel On Union Square,San Francisco,2,False,+1 415-362-2004,1160,433 Powell Street
629,4.10,,,Chelsea,San Francisco,2,False,+1 415-563-5600,1152,2095 Lombard Street
630,3.90,,,Comfort Inn By The Bay,San Francisco,3,False,+1 415-928-5000,828,2775 Van Ness Avenue
631,4.30,,,Cornell Hotel De France,San Francisco,2,False,+1 415-421-3154,640,715 Bush Street
632,3.50,2019-03-04,2019-03-08,Amsterdam Hostel San Francisco,San Francisco,2,False,+1 415-673-3277,1188,749 Taylor Street
633,3.90,,,Airtel Plaza Hotel,Los Angeles,2,True,+1 800-224-7835,420,"7277 Valjean Avenue, Van Nuys, California 91406, United States"
634,4.10,,,Best Western Plus Dragon Gate Inn,Los Angeles,2,True,+1 213-617-3077,1680,818 North Hill Street
635,4.30,,,Doubletree By Hilton Hotel San Pedro - Port Of Los Angeles,Los Angeles,2,True,+1 310-514-3344,1248,"2800 Via Cabrillo-Marina, San Pedro, California 90731, United States"
636,3.70,,,Four Points By Sheraton Los Angeles International Airport,Los Angeles,2,True,+1 310-645-4600,312,9750 Airport Boulevard
637,4.60,,,Four Seasons Hotel Los Angeles At Beverly Hills,Los Angeles,1,True,+1 310-273-2222,680,300 Doheny Drive
638,4.30,,,Freehand Los Angeles,Los Angeles,2,True,+1 213-612-0021,1160,416 West 8th Street
639,4.10,,,Holiday Inn Los Angeles Gateway - Torrance,Los Angeles,1,True,+1 310-781-9100,80,"19800 South Vermont Avenue, Torrance, California 90502, United States"
640,4.50,,,Hotel Indigo Los Angeles Downtown,Los Angeles,3,True,+1 213-232-8800,720,899 Francisco Street
641,4.10,,,Hotel Mdr Marina Del Rey - A Doubletree By Hilton,Los Angeles,2,True,+1 310-822-8555,1480,"13480 Maxella Avenue, Marina del Rey, California 90292, United States"
642,4.50,,,Intercontinental Los Angeles Downtown,Los Angeles,3,True,+1 213-688-7777,528,900 Wilshire Boulevard
643,3.90,2019-03-03,2019-03-09,Airtel Plaza Hotel,Los Angeles,1,True,+1 800-224-7835,1260,"7277 Valjean Avenue, Van Nuys, California 91406, United States"
644,3.50,2019-03-03,2019-03-07,Abercorn House,London,2,False,+44 20 8563 8692,768,28-30 Bute Gardens
645,4.20,,,28 Hotel Sydney,Sydney,3,False,+61 2 9102 2828,1512,"28 Regent Street, Chippendale New South Wales 2008, Australia"
646,4.00,,,57 Hotel,Sydney,3,False,+61 2 9011 5756,264,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
647,4.30,,,Adina Apartment Hotel Bondi Beach Sydney,Sydney,3,False,+61 2 9300 4800,864,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
648,4.00,,,Adina Apartment Hotel Coogee Sydney,Sydney,3,False,+61 2 9578 6000,1800,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia"
649,4.30,,,Adina Apartment Hotel Sydney Airport,Sydney,3,False,+61 2 9381 2000,504,"17 Bourke Road, Mascot New South Wales 2020, Australia"
650,4.20,,,Adina Apartment Hotel Sydney Central,Sydney,3,False,+61 2 8396 9800,1584,"2 Lee Street, Haymarket New South Wales 2000, Australia"
651,4.10,,,Adina Apartment Hotel Sydney Darling Harbour,Sydney,3,False,+61 2 9249 7000,888,55 Shelley Street
652,4.20,,,Adina Apartment Hotel Sydney Surry Hills,Sydney,3,False,+61 2 8302 1000,1728,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
653,4.00,,,Adina Apartment Hotel Sydney Town Hall,Sydney,3,False,+61 2 9274 0000,1728,511 Kent Street
654,3.60,,,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),Sydney,3,False,+61 1300 633 462,1620,1 Hosking Place
655,4.20,2019-03-04,2019-03-06,28 Hotel Sydney,Sydney,3,False,+61 2 9102 2828,840,"28 Regent Street, Chippendale New South Wales 2008, Australia"
656,4.70,2019-03-07,2019-03-13,45 Park Lane,London,1,True,+44 20 7493 4545,792,45 Park Lane
657,4.30,,,Bahia Resort Hotel,San Diego,2,True,+1 858-539-8666,936,998 West Mission Bay Drive
658,3.80,,,Best Western Mission Bay,San Diego,3,True,+1 619-275-5700,1755,2575 Clairemont Drive
659,4.30,,,Best Western Plus Bayside Inn,San Diego,2,False,+1 619-233-7500,1000,555 West Ash Street
660,4.20,,,Best Western Plus Hacienda Hotel Old Town,San Diego,1,False,+1 619-298-4707,868,4041 Harney Street
661,4.50,,,Best Western Plus Island Palms Hotel & Marina,San Diego,2,False,+1 619-222-0561,1480,2051 Shelter Island Drive
662,3.90,,,Best Western San Diego/Miramar Hotel,San Diego,2,False,+1 858-578-6600,324,9310 Kearny Mesa Road
663,3.70,,,Best Western Seven Seas,San Diego,2,False,+1 619-291-1300,990,411 Hotel Circle South
664,4.00,,,Best Western Yacht Harbor Hotel,San Diego,1,False,+1 619-224-3254,672,5005 North Harbor Drive
665,4.40,,,Blue Sea Beach Hotel,San Diego,2,False,+1 858-488-4700,624,707 Pacific Beach Drive
666,4.30,,,Capri By The Sea By All Seasons Resort Lodging,San Diego,1,False,+1 858-483-6110,540,4767 Ocean Boulevard
